Source.Name,駅名,緯度,経度,緯度、経度
宇都宮線（上野〜黒磯）.csv,大宮,35.906295,139.623999,"35.906295,139.623999"
宇都宮線（上野〜黒磯）.csv,土呂,35.931825,139.632026,"35.931825,139.632026"
宇都宮線（上野〜黒磯）.csv,さいたま新都心,35.893867,139.633587,"35.893867,139.633587"
宇都宮線（上野〜黒磯）.csv,東大宮,35.948751,139.640291,"35.948751,139.640291"
宇都宮線（上野〜黒磯）.csv,蓮田,35.981361,139.652905,"35.981361,139.652905"
宇都宮線（上野〜黒磯）.csv,浦和,35.858482,139.657087,"35.858482,139.657087"
宇都宮線（上野〜黒磯）.csv,白岡,36.017415,139.666793,"36.017415,139.666793"
宇都宮線（上野〜黒磯）.csv,新白岡,36.03874,139.672089,"36.03874,139.672089"
宇都宮線（上野〜黒磯）.csv,久喜,36.065703,139.677295,"36.065703,139.677295"
宇都宮線（上野〜黒磯）.csv,東鷲宮,36.089456,139.679228,"36.089456,139.679228"
宇都宮線（上野〜黒磯）.csv,栗橋,36.136798,139.694208,"36.136798,139.694208"
宇都宮線（上野〜黒磯）.csv,古河,36.194375,139.709726,"36.194375,139.709726"
宇都宮線（上野〜黒磯）.csv,赤羽,35.778051,139.720856,"35.778051,139.720856"
宇都宮線（上野〜黒磯）.csv,野木,36.23034,139.734998,"36.23034,139.734998"
宇都宮線（上野〜黒磯）.csv,尾久,35.746783,139.754635,"35.746783,139.754635"
宇都宮線（上野〜黒磯）.csv,間々田,36.257885,139.760967,"36.257885,139.760967"
宇都宮線（上野〜黒磯）.csv,上野,35.713768,139.777254,"35.713768,139.777254"
宇都宮線（上野〜黒磯）.csv,小山,36.3142,139.80685,"36.3142,139.80685"
宇都宮線（上野〜黒磯）.csv,小金井,36.37493,139.842529,"36.37493,139.842529"
宇都宮線（上野〜黒磯）.csv,自治医大,36.395172,139.854524,"36.395172,139.854524"
宇都宮線（上野〜黒磯）.csv,石橋,36.436489,139.866527,"36.436489,139.866527"
宇都宮線（上野〜黒磯）.csv,雀宮,36.493841,139.876791,"36.493841,139.876791"
宇都宮線（上野〜黒磯）.csv,宇都宮,36.558701,139.898283,"36.558701,139.898283"
宇都宮線（上野〜黒磯）.csv,矢板,36.806853,139.932945,"36.806853,139.932945"
宇都宮線（上野〜黒磯）.csv,岡本,36.598207,139.944541,"36.598207,139.944541"
宇都宮線（上野〜黒磯）.csv,片岡,36.754346,139.945965,"36.754346,139.945965"
宇都宮線（上野〜黒磯）.csv,蒲須坂,36.721241,139.950483,"36.721241,139.950483"
宇都宮線（上野〜黒磯）.csv,野崎,36.843722,139.957724,"36.843722,139.957724"
宇都宮線（上野〜黒磯）.csv,氏家,36.681555,139.962314,"36.681555,139.962314"
宇都宮線（上野〜黒磯）.csv,宝積寺,36.631584,139.979512,"36.631584,139.979512"
宇都宮線（上野〜黒磯）.csv,西那須野,36.884551,139.986319,"36.884551,139.986319"
宇都宮線（上野〜黒磯）.csv,那須塩原,36.931772,140.020514,"36.931772,140.020514"
宇都宮線（上野〜黒磯）.csv,黒磯,36.969995,140.059509,"36.969995,140.059509"
烏山線（宝積寺〜烏山）.csv,宇都宮,36.558701,139.898283,"36.558701,139.898283"
烏山線（宝積寺〜烏山）.csv,岡本,36.598207,139.944541,"36.598207,139.944541"
烏山線（宝積寺〜烏山）.csv,宝積寺,36.631584,139.979512,"36.631584,139.979512"
烏山線（宝積寺〜烏山）.csv,下野花岡,36.649954,140.00867,"36.649954,140.00867"
烏山線（宝積寺〜烏山）.csv,仁井田,36.657257,140.029645,"36.657257,140.029645"
烏山線（宝積寺〜烏山）.csv,鴻野山,36.66647,140.051834,"36.66647,140.051834"
烏山線（宝積寺〜烏山）.csv,大金,36.656425,140.095695,"36.656425,140.095695"
烏山線（宝積寺〜烏山）.csv,小塙,36.6428,140.116946,"36.6428,140.116946"
烏山線（宝積寺〜烏山）.csv,滝,36.64883,140.138052,"36.64883,140.138052"
烏山線（宝積寺〜烏山）.csv,烏山,36.650453,140.154956,"36.650453,140.154956"
横須賀線（東京〜久里浜）.csv,大船,35.353435,139.531124,"35.353435,139.531124"
横須賀線（東京〜久里浜）.csv,戸塚,35.400612,139.534202,"35.400612,139.534202"
横須賀線（東京〜久里浜）.csv,北鎌倉,35.337198,139.545134,"35.337198,139.545134"
横須賀線（東京〜久里浜）.csv,鎌倉,35.31842802,139.5500902,"35.318428023777074,139.55009017372504"
横須賀線（東京〜久里浜）.csv,東戸塚,35.430495,139.55675,"35.430495,139.55675"
横須賀線（東京〜久里浜）.csv,逗子,35.297522,139.579545,"35.297522,139.579545"
横須賀線（東京〜久里浜）.csv,保土ケ谷,35.446746,139.599671,"35.446746,139.599671"
横須賀線（東京〜久里浜）.csv,東逗子,35.298681,139.60111,"35.298681,139.60111"
横須賀線（東京〜久里浜）.csv,横浜,35.466188,139.622715,"35.466188,139.622715"
横須賀線（東京〜久里浜）.csv,田浦,35.29271,139.637632,"35.29271,139.637632"
横須賀線（東京〜久里浜）.csv,横須賀,35.284119,139.655899,"35.284119,139.655899"
横須賀線（東京〜久里浜）.csv,衣笠,35.25736,139.661348,"35.25736,139.661348"
横須賀線（東京〜久里浜）.csv,武蔵小杉,35.5742806,139.6635649,"35.5742806,139.6635649"
横須賀線（東京〜久里浜）.csv,新川崎,35.551395,139.671734,"35.551395,139.671734"
横須賀線（東京〜久里浜）.csv,久里浜,35.233068,139.70132,"35.233068,139.70132"
横須賀線（東京〜久里浜）.csv,西大井,35.601799,139.721812,"35.601799,139.721812"
横須賀線（東京〜久里浜）.csv,品川,35.630152,139.74044,"35.630152,139.74044"
横須賀線（東京〜久里浜）.csv,新橋,35.665498,139.75964,"35.665498,139.75964"
横須賀線（東京〜久里浜）.csv,東京,35.681382,139.766084,"35.681382,139.766084"
横浜線（東神奈川〜八王子）.csv,八王子みなみ野,35.631364,139.330975,"35.631364,139.330975"
横浜線（東神奈川〜八王子）.csv,相原,35.606865,139.331682,"35.606865,139.331682"
横浜線（東神奈川〜八王子）.csv,八王子,35.655641,139.338968,"35.655641,139.338968"
横浜線（東神奈川〜八王子）.csv,片倉,35.63969144,139.3412325,"35.63969144259194,139.34123246697712"
横浜線（東神奈川〜八王子）.csv,橋本,35.59493672,139.34493,"35.594936719977454,139.3449299968779"
横浜線（東神奈川〜八王子）.csv,相模原,35.58145405,139.3707198,"35.58145404809187,139.37071983469653"
横浜線（東神奈川〜八王子）.csv,矢部,35.573069,139.386767,"35.573069,139.386767"
横浜線（東神奈川〜八王子）.csv,淵野辺,35.568756,139.395058,"35.568756,139.395058"
横浜線（東神奈川〜八王子）.csv,古淵,35.55596855,139.4192736,"35.55596855226789,139.4192736328114"
横浜線（東神奈川〜八王子）.csv,町田,35.54197537,139.4454211,"35.54197537267603,139.4454210950062"
横浜線（東神奈川〜八王子）.csv,成瀬,35.535514,139.472909,"35.535514,139.472909"
横浜線（東神奈川〜八王子）.csv,長津田,35.53168368,139.4952627,"35.53168367567983,139.49526267824697"
