---,---,---
2.2,JJ01上野駅都電
0.0,JJ02日暮里駅
1.2,JJ03三河島駅
2.6,三ノ輪信号場
3.4,JJ04南千住駅都電
5.2,JJ05北千住駅都電
11.8,金町駅
15.7,JJ06松戸駅
19.1,馬橋駅
26.9,JJ07柏駅
29.2,北柏駅
31.3,JJ08我孫子駅
34.0,JJ09天王台駅
37.4,JJ10取手駅
---,---,---
1989年（平成元年）,7
230,10
1996年（平成08年）,9
217,10
2002年（平成14年）,10
184,10
2004年（平成16年）,9
183,10
2005年（平成17年）,10
167,10
169,つくばエクスプレス開業年度
2006年（平成18年）,10
169,9
2007年（平成19年）,10
182,9
2009年（平成21年）,10
179,9
2010年（平成22年）,10
177,9
2011年（平成23年）,10
175,9
2012年（平成24年）,10
173,9
2013年（平成25年）,10
172,9
2014年（平成26年）,10
168,9
163,上野東京ライン開業年度
2015年（平成27年）,9
162,10
2016年（平成28年）,9
160,10
---,---,---
