列車番号,,450B,484B,448B,414B,522B,408B,478B,612B,558B,644B,530B,696B,538B,598B,546B,654B,624B,752B,602B,664B,610B,620B,650B,666B,610Y,611K,714B,784B,706Y,707K,748B,722B,702Y,703K,794B,708C,708B,716Y,717S,778B,706C,738Y,739S,704B,788B,728Y,729S,858B,828B,874B,820Y,821S,832B,812B,848Y,849S,836B,868B,844B,826Y,827S,860B,880B,840A,841S,830B,842B,858Y,859S,954B,938B,952B,922Y,923S,998B,976B,918B,910Y,911K,950B,924B,920B,952Y,953S,914B,902B,1006C,916Y,917S,910B,1094B,1022B,1038Y,1039S,1008B,1066B,1002C,1028Y,1029S,1084B,1088B,1004B,1020Y,1021S,1028B,1008C,1134B,1048Y,1049S,1078B,1136B,1112B,1142Y,1143S,1144B,1158B,1198B,1106Y,1107K,1174B,1142B,1130B,1122Y,1123S,1138B,1168B,1214B,1110Y,1111K,1160B,1218B,1276B,1252Y,1253S,1224B,1254B,1208B,1216Y,1217S,1252B,1206C,1202B,1238Y,1239S,1294B,1250B,1328B,1228Y,1229S,1220B,1302C,1366B,1320Y,1321S,1388B,1310B,1344B,1348Y,1349S,1322B,1334B,1308C,1342Y,1343S,1336B,1384B,1438B,1306Y,1307K,1304B,1498B,1458B,1422Y,1423S,1442B,1478B,1424B,1410Y,1411K,1412B,1414B,1468B,1452Y,1453S,1418B,1474B,1594B,1416Y,1417S,1430B,1508B,1554B,1538Y,1539S,1506C,1560B,1588B,1528Y,1529S,1526B,1528B,1550B,1520Y,1521S,1502C,1552B,1636B,1548Y,1549S,1502B,1644B,1672B,1642Y,1643S,1634B,1620B,1606Y,1607K,1642B,1636Y,1637S,1666B,1638B,1684B,1622Y,1623S,1698B,1622B,1718B,1660Y,1661S,1608C,1724B,1752Y,1753S,1746B,1714B,1704B,1706C,1716Y,1717S,1758B,1794B,1778B,1738Y,1739S,1708B,1712B,1802C,1728Y,1729S,1768B,1888B,1874B,1820Y,1821S,1828B,1830B,1826B,1848Y,1849S,1854B,1806B,1842Y,1843S,1810B,1860B,1844B,1834B,1850B,1942B,1922A,1923S,1938B,1902B,1998B,1972B,1918B,1920B,1966B,1914B,1984B,2006C,2022B,2094B,2008C,2008B,2046B,2002C,2076B,2004B,2092B,2058B,2028B,2178B,2126B,2112B,2130B,2106B,2168B,2174B,2134B,2142B,2154B,2202B,2210B,2244B,2250B,2238B,2298B,2206C,2366B,2308B,2384B,2322B,2358B,2308C,2346B,2492B,2412B
列車名_列車名,,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通
運転日,,土休日,土休日,土休日,全日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,全日,土休日,土休日,全日,土休日,土休日
三鷹_三鷹,発,,,,,,0435,0456,,0510,,0526,,0536,0546,0556,0606,0616,,0625,,0636,0642,0647,0654,0659,,,0703,0706,,0711,,0718,,,0723,,0729,,,0737,0742,,,0748,0754,,,0800,,0805,,0810,0815,0819,,0822,,0829,0833,,0836,,0842,,0846,0852,0855,,,0901,,0907,,0911,0917,,0924,,0928,0933,,0938,,0943,0948,,0953,,0958,1003,,1008,,1013,1018,,1023,,1028,1033,,1038,,1043,1048,,1053,,1058,1103,,1108,,1113,1118,,1123,,1128,1133,,1138,,1143,1148,,1153,,1158,1203,,1208,,1213,1218,,1223,,1228,1233,,1238,,1243,1248,,1253,,1258,1303,,1308,,1313,1318,,1323,,1328,1333,,1338,,1343,1348,,1353,,1358,1403,,1408,,1413,1418,,1423,,1428,1433,,1438,,1443,1448,,1453,,1458,1503,,1508,,1513,1518,,1523,,1528,1533,,1538,,1543,1548,,1553,,1558,1601,1606,1610,,1613,1617,1620,,,1624,,1628,1633,,1638,,1643,1648,,1653,,1658,1703,1705,,,1713,1718,,1723,,1728,1733,1737,1740,,1743,1748,,1753,,1758,1802,1805,1809,,1812,1817,,1823,,1828,1833,1835,,,1841,1847,1852,1857,1903,1906,,1909,1915,1920,1926,1931,1937,1944,1950,1955,2001,2006,2011,2016,2020,2026,2031,2036,2041,2046,2052,2057,2103,2108,2114,,2123,2130,2137,2144,2151,2158,2205,2212,2220,2228,2235,2244,2252,2302,2311,2320,2327,2337,2344,2351,0016,0033
吉祥寺_吉祥寺,発,,,,,,0438,0459,,0513,,0528,,0538,0548,0558,0608,0618,,0628,,0638,0644,0650,0656,0702,,,0706,0709,,0713,,0720,,,0726,,0732,,,0739,0745,,,0751,0756,,,0802,,0808,,0813,0818,0822,,0824,,0832,0835,,0839,,0844,,0849,0854,0858,,,0904,,0910,,0913,0920,,0926,,0931,0936,,0941,,0946,0951,,0956,,1001,1006,,1011,,1016,1021,,1026,,1031,1036,,1041,,1046,1051,,1056,,1101,1105,,1111,,1116,1121,,1126,,1131,1136,,1141,,1146,1151,,1156,,1201,1206,,1211,,1216,1221,,1226,,1231,1235,,1241,,1246,1251,,1256,,1301,1306,,1311,,1316,1321,,1326,,1331,1336,,1341,,1346,1351,,1356,,1401,1406,,1411,,1416,1421,,1426,,1431,1436,,1441,,1446,1451,,1456,,1501,1506,,1510,,1516,1521,,1526,,1531,1536,,1540,,1546,1551,,1556,,1600,1604,1608,1612,,1615,1620,1623,,,1627,,1630,1635,,1640,,1645,1650,,1655,,1700,1705,1708,,,1715,1720,,1725,,1730,1735,1739,1743,,1745,1750,,1755,,1800,1804,1808,1811,,1814,1819,,1826,,1830,1835,1838,,,1844,1850,1855,1900,1905,1908,,1912,1917,1922,1928,1933,1940,1947,1952,1958,2003,2009,2013,2019,2023,2028,2034,2038,2043,2048,2054,2100,2105,2111,2117,,2126,2133,2140,2146,2153,2200,2207,2214,2222,2230,2238,2246,2255,2304,2313,2323,2330,2340,2347,2353,0018,0036
西荻窪_西荻窪,発,,,,,,0440,0501,,0515,,0530,,0541,0551,0601,0611,0621,,0630,,0641,0647,0652,0659,0704,,,0708,0711,,0715,,0723,,,0728,,0734,,,0741,0747,,,0753,0759,,,0805,,0810,,0815,0820,0824,,0826,,0834,0838,,0841,,0847,,0851,0857,0900,,,0906,,0912,,0916,0922,,0928,,0933,0938,,0943,,0948,0953,,0958,,1003,1008,,1013,,1018,1023,,1028,,1033,1038,,1043,,1048,1053,,1058,,1103,1108,,1113,,1118,1123,,1128,,1133,1138,,1143,,1148,1153,,1158,,1203,1208,,1213,,1218,1223,,1228,,1233,1238,,1243,,1248,1253,,1258,,1303,1308,,1313,,1318,1323,,1328,,1333,1338,,1343,,1348,1353,,1358,,1403,1408,,1413,,1418,1423,,1428,,1433,1438,,1443,,1448,1453,,1458,,1503,1508,,1513,,1518,1523,,1528,,1533,1538,,1543,,1548,1553,,1558,,1603,1606,1610,1615,,1618,1622,1625,,,1629,,1633,1638,,1643,,1648,1653,,1658,,1703,1708,1710,,,1718,1723,,1728,,1733,1738,1742,1745,,1747,1753,,1758,,1803,1807,1810,1814,,1817,1822,,1828,,1833,1838,1840,,,1846,1852,1857,1902,1908,1911,,1914,1920,1925,1931,1936,1942,1949,1955,2000,2006,2011,2016,2021,2025,2031,2036,2041,2046,2051,2057,2102,2108,2113,2119,,2128,2135,2142,2149,2156,2203,2210,2217,2225,2233,2240,2249,2257,2307,2316,2325,2332,2342,2349,2356,0020,0038
荻窪_荻窪,発,,,,,,0442,0504,,0518,,0533,,0543,0553,0603,0613,0623,,0633,,0643,0649,0655,0701,0707,,,0711,0714,,0718,,0725,,,0731,,0737,,,0744,0750,,,0756,0801,,,0807,,0813,,0818,0823,0826,,0829,,0837,0840,,0844,,0849,,0853,0859,0903,,,0909,,0915,,0919,0925,,0931,,0936,0941,,0946,,0951,0956,,1001,,1006,1011,,1016,,1021,1026,,1031,,1036,1041,,1046,,1051,1056,,1101,,1106,1110,,1116,,1121,1126,,1131,,1136,1141,,1146,,1151,1156,,1201,,1206,1211,,1216,,1221,1226,,1231,,1236,1240,,1246,,1251,1256,,1301,,1306,1311,,1316,,1321,1326,,1331,,1336,1341,,1346,,1351,1356,,1401,,1406,1411,,1416,,1421,1426,,1431,,1436,1441,,1446,,1451,1456,,1501,,1506,1511,,1515,,1521,1526,,1531,,1536,1541,,1545,,1551,1556,,1601,,1605,1609,1613,1617,,1620,1625,1628,,,1632,,1635,1640,,1645,,1650,1655,,1700,,1705,1710,1713,,,1720,1725,,1730,,1735,1740,1744,1748,,1750,1755,,1800,,1805,1809,1813,1816,,1819,1824,,1831,,1835,1840,1843,,,1849,1855,1900,1905,1910,1913,,1917,1922,1927,1933,1938,1945,1952,1957,2003,2008,2014,2018,2024,2028,2033,2039,2043,2048,2053,2059,2105,2110,2116,2122,,2131,2138,2145,2151,2158,2205,2212,2219,2227,2235,2243,2251,2300,2309,2318,2328,2335,2344,2352,2358,0023,0041
阿佐ケ谷_阿佐ケ谷,発,,,,,,0444,0506,,0520,,0535,,0545,0555,0605,0615,0625,,0635,,0645,0651,0657,0703,0709,,,0713,0716,,0720,,0727,,,0733,,0739,,,0746,0752,,,0758,0803,,,0809,,0815,,0820,0825,0828,,0831,,0839,0842,,0846,,0851,,0855,0901,0905,,,0911,,0917,,0921,0927,,0933,,0938,0943,,0948,,0953,0958,,1003,,1008,1013,,1018,,1023,1028,,1033,,1038,1043,,1048,,1053,1058,,1103,,1108,1112,,1118,,1123,1128,,1133,,1138,1143,,1148,,1153,1158,,1203,,1208,1213,,1218,,1223,1228,,1233,,1238,1242,,1248,,1253,1258,,1303,,1308,1313,,1318,,1323,1328,,1333,,1338,1343,,1348,,1353,1358,,1403,,1408,1413,,1418,,1423,1428,,1433,,1438,1443,,1448,,1453,1458,,1503,,1508,1513,,1517,,1523,1528,,1533,,1538,1543,,1547,,1553,1558,,1603,,1607,1611,1615,1619,,1622,1627,1630,,,1634,,1637,1642,,1647,,1652,1657,,1702,,1707,1712,1715,,,1722,1727,,1732,,1737,1742,1746,1750,,1752,1757,,1802,,1807,1811,1815,1818,,1821,1826,,1833,,1837,1842,1845,,,1851,1857,1902,1907,1912,1915,,1919,1924,1929,1935,1940,1947,1954,1959,2005,2010,2016,2020,2026,2030,2035,2041,2045,2050,2055,2101,2107,2112,2118,2124,,2133,2140,2147,2153,2200,2207,2214,2221,2229,2237,2245,2253,2302,2311,2320,2330,2337,2346,2354,0000,0025,0043
高円寺_高円寺,発,,,,,,0446,0508,,0522,,0537,,0547,0557,0607,0617,0627,,0637,,0647,0653,0659,0705,0711,┐,,0715,0718,┐,0722,,0729,┐,,0735,,0741,┐,,0748,0754,┐,,0800,0805,┐,,0811,,0817,┐,0822,0827,0830,┐,0833,,0841,0844,┐,0848,,0853,┐,0857,0903,0907,┐,,0913,,0919,┐,0923,0929,,0935,┐,0940,0945,,0950,┐,0955,1000,,1005,┐,1010,1015,,1020,┐,1025,1030,,1035,┐,1040,1045,,1050,┐,1055,1100,,1105,┐,1110,1114,,1120,┐,1125,1130,,1135,┐,1140,1145,,1150,┐,1155,1200,,1205,┐,1210,1215,,1220,┐,1225,1230,,1235,┐,1240,1244,,1250,┐,1255,1300,,1305,┐,1310,1315,,1320,┐,1325,1330,,1335,┐,1340,1345,,1350,┐,1355,1400,,1405,┐,1410,1415,,1420,┐,1425,1430,,1435,┐,1440,1445,,1450,┐,1455,1500,,1505,┐,1510,1515,,1519,┐,1525,1530,,1535,┐,1540,1545,,1549,┐,1555,1600,,1605,┐,1609,1613,1617,1621,┐,1624,1629,1632,┐,,1636,┐,1639,1644,,1649,┐,1654,1659,,1704,┐,1709,1714,1717,┐,,1724,1729,,1734,┐,1739,1744,1748,1752,┐,1754,1759,,1804,┐,1809,1813,1817,1820,┐,1823,1828,,1835,┐,1839,1844,1847,┐,,1853,1859,1904,1909,1914,1917,┐,1921,1926,1931,1937,1942,1949,1956,2001,2007,2012,2018,2022,2028,2032,2037,2043,2047,2052,2057,2103,2109,2114,2120,2126,,2135,2142,2149,2155,2202,2209,2216,2223,2231,2239,2247,2255,2304,2313,2322,2332,2339,2348,2356,0002,0027,0045
中野_中野,発,,,,0425,,0452,0511,,0525,,0540,,0550,0600,0610,0620,0630,,0640,0646,0651,0657,0702,0708,0714,0714,0714,0718,0721,0721,0725,0729,0732,0732,0734,0739,0743,0745,0745,0750,0753,0757,0757,0759,0804,0809,0809,0810,0815,0820,0821,0821,0825,0830,0834,0834,0836,0840,0845,0848,0848,0851,0856,0857,0857,0902,0907,0910,0910,0913,0918,0923,0924,0924,0928,0932,0938,0938,0938,0943,0948,0953,0953,0953,0958,1003,1008,1008,1008,1013,1018,1023,1023,1023,1028,1033,1038,1038,1038,1043,1048,1053,1053,1053,1058,1103,1108,1108,1108,1113,1118,1123,1123,1123,1128,1133,1138,1138,1138,1143,1148,1153,1153,1153,1158,1203,1208,1208,1208,1213,1218,1223,1223,1223,1228,1233,1238,1238,1238,1243,1248,1252,1253,1253,1258,1303,1308,1308,1308,1313,1318,1323,1323,1323,1328,1333,1338,1338,1338,1343,1348,1353,1353,1353,1358,1403,1408,1408,1408,1413,1418,1423,1423,1423,1428,1433,1438,1438,1438,1443,1448,1453,1453,1453,1458,1503,1508,1508,1508,1513,1518,1523,1523,1523,1528,1533,1538,1538,1538,1543,1548,1553,1553,1553,1558,1603,1608,1608,1608,1612,1617,1622,1624,1624,1627,1632,1635,1635,1637,1639,1639,1642,1647,1652,1654,1654,1657,1702,1707,1708,1708,1712,1717,1720,1720,1722,1727,1732,1737,1738,1738,1742,1747,1752,1755,1755,1757,1802,1807,1809,1809,1812,1817,1821,1823,1823,1826,1832,1837,1840,1840,1842,1847,1850,1850,1852,1857,1902,1907,1912,1918,1920,1920,1924,1930,1935,1941,1946,1952,1959,2004,2010,2016,2021,2026,2031,2036,2041,2046,2051,2056,2101,2106,2112,2118,2123,2129,2134,2139,2145,2152,2158,2205,2212,2219,2227,2234,2242,2250,2258,2307,2316,2325,2335,2343,2352,0001,0005,0030,0047
東中野_東中野,発,,,,0427,,0454,0513,,0527,,0542,,0553,0603,0613,0623,0633,,0642,0648,0653,0659,0704,0711,＝,||,0717,0721,＝,||,0728,0732,＝,||,0736,0741,0746,＝,||,0752,0755,＝,||,0801,0807,＝,||,0812,0817,0822,＝,||,0827,0833,＝,||,0838,0843,0847,＝,||,0853,0859,＝,||,0904,0910,＝,||,0915,0920,0925,＝,||,0930,0934,0940,＝,||,0945,0950,0955,＝,||,1000,1005,1010,＝,||,1015,1020,1025,＝,||,1030,1035,1040,＝,||,1045,1050,1055,＝,||,1100,1105,1110,＝,||,1115,1120,1125,＝,||,1130,1135,1140,＝,||,1145,1150,1155,＝,||,1200,1205,1210,＝,||,1215,1220,1225,＝,||,1230,1235,1240,＝,||,1245,1250,1254,＝,||,1300,1305,1310,＝,||,1315,1320,1325,＝,||,1330,1335,1340,＝,||,1345,1350,1355,＝,||,1400,1405,1410,＝,||,1415,1420,1425,＝,||,1430,1435,1440,＝,||,1445,1450,1455,＝,||,1500,1505,1510,＝,||,1515,1520,1525,＝,||,1530,1535,1540,＝,||,1545,1550,1555,＝,||,1600,1605,1610,＝,||,1615,1619,1624,＝,||,1630,1635,＝,||,1640,＝,||,1645,1650,1655,＝,||,1700,1705,1710,＝,||,1715,1720,＝,||,1725,1730,1735,1740,＝,||,1745,1750,1755,＝,||,1759,1805,1810,＝,||,1815,1819,1823,＝,||,1829,1834,1840,＝,||,1845,1850,＝,||,1855,1900,1905,1910,1915,1920,＝,||,1927,1932,1937,1943,1949,1955,2001,2007,2013,2019,2024,2029,2034,2039,2044,2049,2054,2059,2104,2109,2115,2120,2126,2131,2137,2142,2148,2154,2201,2208,2215,2222,2229,2237,2245,2252,2301,2309,2319,2328,2337,2345,2355,0003,0008,＝,＝
