列車番号,,459B,439B,447B,555B,425B,411B,621B,551B,585B,549B,609C,515B,617S,617Y,607C,639S,639Y,623B,689B,609B,629S,629Y,629B,679B,621S,621Y,733B,613B,749S,749Y,659B,727B,645B,627S,627Y,761B,731B,741S,741Y,769B,797B,743B,759S,759Y,739B,773B,723S,723Y,799B,765B,747B,737S,737Y,755B,811K,811Y,851B,725B,853B,853S,853A,815B,803B,819B,817S,817Y,811B,895B,821B,839S,839Y,809B,867B,907C,929S,929Y,885B,989B,923B,921S,921Y,929B,909C,903C,949S,949Y,979B,937B,905B,943S,943Y,945B,959B,1035B,1007K,1007Y,975B,1043B,1013B,1023S,1023Y,1039B,1069B,1099B,1011K,1011Y,1061B,1019B,1031B,1053S,1053Y,1025B,1055B,1115B,1117S,1117Y,1053B,1107C,1177B,1139S,1139Y,1195B,1151B,1109B,1129S,1129Y,1121B,1103C,1103B,1121S,1121Y,1189B,1111B,1229B,1249S,1249Y,1123B,1235B,1267B,1243S,1243Y,1237B,1285B,1245B,1207K,1207Y,1205B,1299B,1209C,1223S,1223Y,1243B,1279B,1339B,1311K,1311Y,1213B,1315B,1359B,1353S,1353Y,1319B,1375B,1325B,1317S,1317Y,1331B,1309B,1369B,1339S,1339Y,1307C,1361B,1495B,1429S,1429Y,1377B,1429B,1455B,1421S,1421Y,1403C,1453B,1489B,1449S,1449Y,1403B,1445B,1451B,1443S,1443Y,1435B,1421B,1537B,1507K,1507Y,1467B,1539B,1511B,1523S,1523Y,1599B,1523B,1543B,1561S,1561Y,1509C,1525B,1585B,1553S,1553Y,1515B,1505B,1619B,1617S,1617Y,1559B,1695B,1679B,1639S,1639Y,1609B,1613B,1607C,1629S,1629Y,1669B,1689B,1675B,1621S,1621Y,1629B,1631B,1703C,1749S,1749Y,1655B,1707B,1743S,1743Y,1761B,1745B,1727B,1707K,1707Y,1735B,1751B,1711K,1711Y,1743B,1753B,1723S,1723Y,1739B,1703B,1899B,1773B,1819B,1821B,1811C,1867B,1803K,1803Y,1815B,1885B,1807C,1823B,1895B,1809C,1909B,1847B,1903C,1905B,1993B,1959B,1929B,1979B,1927B,1913B,1907B,1969B,2061B,1975B,2035B,2031B,2043B,2055B,2003B,2011B,2073B,2045B,2051B,2039B,2199B,2107C,2119B,2167B,2109B,2185B,2123B,2259B,2209C,2247B,2277B,2293B,2229B,2279B,2213B,2307B,2375B,2335B,2355B,2303B,2445B,2439B,2407C
列車名_列車名,,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通
運転日,,全日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,全日
前の区間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
始発,,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,東葉勝田台_0659_東葉勝田台_0659,___,___,___,___,___,___,___,___,東葉勝田台_0722_東葉勝田台_0722,___,___,___,___,___,___,___,___,東葉勝田台_0748_東葉勝田台_0748,___,___,___,___,___,___,___,東葉勝田台_0813_東葉勝田台_0813,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___
千葉_千葉,発,,,,,0431,0446,,0505,0520,0535,,0555,,,,,,0609,,0619,,,,0631,,,,0640,,,0646,,0656,・,,,0703,,,,0714,,・,,0723,,,,0734,,0740,・,,0747,,,,0755,0802,・,,,0811,,,,0821,,0831,,,,0841,,,,0851,,0901,,,,0911,,,,0921,,0931,,,,0941,,,,0951,,1001,,,,1011,,,,1021,,1031,,,,1041,,,,1051,,1101,,,,1111,,,,1121,,1131,,,,1141,,,,1151,,1201,,,,1211,,,,1221,,1231,,,,1241,,,,1251,,1301,,,,1311,,,,1321,,1331,,,,1341,,,,1351,,1401,,,,1411,,,,1421,,1431,,,,1441,,,,1451,,1501,,,,1511,,,,1521,,1531,,,,1541,,,,1551,,1601,,,,1611,,,,1621,,1631,,,,1641,,,,1651,,,,1701,,1711,,,,1721,,,,1731,,,,1741,,1751,,1801,,1811,,,,1821,,1831,,1841,,1851,,1901,,1911,,1921,,1932,,1943,,1954,,2005,,2016,,2028,,2039,2047,2055,2101,,2113,2122,,2135,2146,,2201,2209,2219,2228,2237,2247,2257,2307,2317,2325,2334,2342,0000,0014,0031
西千葉_西千葉,発,,,,,0433,0448,,0507,0522,0537,,0557,,,,,,0611,,0622,,,,0633,,,,0642,,,0649,,0658,・,,,0705,,,,0716,,・,,0726,,,,0736,,0743,・,,0749,,,,0757,0804,・,,,0814,,,,0824,,0834,,,,0844,,,,0854,,0904,,,,0914,,,,0924,,0934,,,,0944,,,,0954,,1004,,,,1014,,,,1024,,1034,,,,1044,,,,1054,,1104,,,,1114,,,,1124,,1134,,,,1144,,,,1154,,1204,,,,1214,,,,1224,,1234,,,,1244,,,,1254,,1304,,,,1314,,,,1324,,1333,,,,1344,,,,1354,,1404,,,,1414,,,,1424,,1434,,,,1444,,,,1454,,1504,,,,1514,,,,1524,,1534,,,,1544,,,,1554,,1604,,,,1614,,,,1624,,1634,,,,1644,,,,1654,,,,1704,,1714,,,,1724,,,,1734,,,,1744,,1754,,1804,,1814,,,,1824,,1834,,1844,,1854,,1904,,1914,,1924,,1934,,1945,,1956,,2007,,2019,,2030,,2041,2050,2058,2104,,2116,2124,,2138,2148,,2204,2212,2221,2231,2239,2249,2300,2310,2320,2327,2336,2345,0002,0017,0033
稲毛_稲毛,発,,,,,0435,0451,,0509,0524,0539,,0559,,,,,,0614,,0624,,,,0635,,,,0644,,,0651,,0701,・,,,0708,,,,0719,,・,,0728,,,,0738,,0745,・,,0752,,,,0759,0807,・,,,0816,,,,0826,,0836,,,,0846,,,,0856,,0906,,,,0916,,,,0926,,0936,,,,0946,,,,0956,,1006,,,,1016,,,,1026,,1036,,,,1046,,,,1056,,1106,,,,1116,,,,1126,,1136,,,,1146,,,,1156,,1206,,,,1216,,,,1226,,1236,,,,1246,,,,1256,,1306,,,,1316,,,,1326,,1336,,,,1346,,,,1356,,1406,,,,1416,,,,1426,,1436,,,,1446,,,,1456,,1506,,,,1516,,,,1526,,1536,,,,1546,,,,1556,,1606,,,,1616,,,,1626,,1636,,,,1646,,,,1656,,,,1706,,1716,,,,1726,,,,1736,,,,1746,,1756,,1806,,1816,,,,1826,,1836,,1846,,1856,,1906,,1916,,1926,,1937,,1948,,1959,,2010,,2021,,2033,,2044,2052,2100,2106,,2118,2127,,2140,2151,,2206,2214,2223,2233,2242,2252,2302,2312,2322,2329,2338,2347,0004,0019,0035
新検見川_新検見川,発,,,,,0438,0453,,0512,0527,0542,,0602,,,,,,0616,,0627,,,,0638,,,,0647,,,0654,,0703,・,,,0710,,,,0721,,・,,0731,,,,0741,,0748,・,,0754,,,,0802,0809,・,,,0819,,,,0829,,0839,,,,0849,,,,0859,,0909,,,,0919,,,,0929,,0939,,,,0949,,,,0959,,1009,,,,1019,,,,1029,,1039,,,,1049,,,,1059,,1109,,,,1119,,,,1129,,1139,,,,1149,,,,1159,,1209,,,,1219,,,,1229,,1239,,,,1249,,,,1259,,1309,,,,1319,,,,1329,,1338,,,,1349,,,,1359,,1409,,,,1419,,,,1429,,1439,,,,1449,,,,1459,,1509,,,,1519,,,,1529,,1539,,,,1549,,,,1559,,1609,,,,1619,,,,1629,,1639,,,,1649,,,,1659,,,,1709,,1719,,,,1729,,,,1739,,,,1749,,1759,,1809,,1819,,,,1829,,1839,,1849,,1859,,1909,,1919,,1929,,1939,,1950,,2001,,2012,,2024,,2035,,2046,2055,2103,2109,,2121,2129,,2143,2153,,2209,2217,2226,2236,2244,2254,2305,2315,2325,2332,2341,2350,0007,0022,0038
幕張_幕張,発,,,,,0440,0456,,0515,0530,0545,,0605,,,,,,0619,,0629,,,,0640,,,,0649,,,0656,,0706,・,,,0713,,,,0724,,・,,0733,0738,,,0744,,0752,・,,0757,,,,0806,0812,・,,,0821,,,,0831,,0841,,,,0851,,,,0901,,0911,,,,0921,,,,0931,,0941,,,,0951,,,,1001,,1011,,,,1021,,,,1031,,1041,,,,1051,,,,1101,,1111,,,,1121,,,,1131,,1141,,,,1151,,,,1201,,1211,,,,1221,,,,1231,,1241,,,,1251,,,,1301,,1311,,,,1321,,,,1331,,1341,,,,1351,,,,1401,,1411,,,,1421,,,,1431,,1441,,,,1451,,,,1501,,1511,,,,1521,,,,1531,,1541,,,,1551,,,,1601,,1611,,,,1621,,,,1631,,1641,,,,1651,,,,1701,,,,1711,,1721,,,,1731,,,,1741,,,,1751,,1801,,1811,,1821,,,,1831,,1841,,1851,,1901,,1911,,1921,,1931,,1942,,1953,,2004,,2015,,2026,,2038,,2050,2058,2105,2111,,2123,2132,,2145,2156,,2211,2219,2228,2238,2247,2257,2307,2317,2327,2334,2344,2352,0010,0024,0040
幕張本郷_幕張本郷,発,,,,,0443,0458,,0517,0532,0547,,0607,,,,,,0621,,0632,,,,0643,,,,0652,,,0659,,0708,・,,,0715,,,,0726,,・,,0736,0741,,,0746,,0755,・,,0800,,,,0808,0814,・,,,0824,,,,0834,,0844,,,,0854,,,,0904,,0914,,,,0924,,,,0934,,0944,,,,0954,,,,1004,,1014,,,,1024,,,,1034,,1044,,,,1054,,,,1104,,1114,,,,1124,,,,1134,,1144,,,,1154,,,,1204,,1214,,,,1224,,,,1234,,1244,,,,1254,,,,1304,,1314,,,,1324,,,,1334,,1343,,,,1354,,,,1404,,1414,,,,1424,,,,1434,,1444,,,,1454,,,,1504,,1514,,,,1524,,,,1534,,1544,,,,1554,,,,1604,,1614,,,,1624,,,,1634,,1644,,,,1654,,,,1704,,,,1714,,1724,,,,1734,,,,1744,,,,1754,,1804,,1814,,1824,,,,1834,,1844,,1854,,1904,,1914,,1924,,1934,,1944,,1955,,2006,,2017,,2029,,2040,,2052,2100,2108,2114,,2126,2134,,2148,2158,,2214,2222,2231,2241,2249,2259,2310,2320,2330,2337,2346,2355,0012,0027,0043
