列車番号,,1531M,1533M,204M,1151M,206M,321M,9185M,421M,1408M,2535M,1537M,1335M,323M,153M,423M,3523M,1225M,155M,1262M,325M,561T,1361M,327M,425M,1451M,9189M,427M,157M,3425M,3425M,3425M,695T,695M,329M,544M,9071M,429M,429M,331M,1453M,1M,1M,521M,431M,333M,1455M,8075M,5003M,2103M,523M,1457M,9336M,9577M,5M,5M,5M,5M,1412M,335M,8077M,8077M,8077M,525M,8079M,159M,1233M,433M,3107M,3107M,2107M,527M,9M,529M,435M,9554M,9081M,9081M,9181M,9175M,2632M,2632M,2632M,3111M,3111M,3111M,3111M,2111M,13M,214M,161M,437M,437M,811H,811H,811H,811M,8083M,8083M,3115M,3115M,531M,17M,533M,9085M,1539M,3119M,337M,21M,9581D,1541M,535M,1459M,9089M,218M,3123M,339M,341M,25M,163M,1543M,568M,439M,1461M,3127M,343M,29M,570M,441M,1309H,1309M,3131M,165M,347M,9034M,33M,222M,1545M,537M,537M,1403H,1403M,9093M,1547M,5135M,349M,167M,224M,443M,37M,1426M,445M,539M,1463M,9434M,9533M,9434M,9547M,5139M,351M,5041M,169M,1428M,353M,1551M,541M,5143M,355M,357M,543M,1673T,1673M,9022M,45M,1553M,230M,171M,447M,545M,1783T,1783M,3147M,359M,361M,1763T,1763M,2638M,49M,1237M,1239M,1432M,1555M,449M,1811H,1811M,5151M,363M,547M,1841T,1841M,53M,234M,1173M,365M,1557M,1917H,1917M,1945T,1945M,2640M,1921H,1921M,367M,55M,549M,551M,553M,2250M,9522M,5157M,555M,1465M,2252M,5159M,1467M,2371T,2371M
列車名_列車名,,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 富士回遊８５号（富士初日の出号）_特急 富士回遊８５号（富士初日の出号）,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通 みすず_普通 みすず,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,特急 富士回遊８９号（富士山マラソン号）_特急 富士回遊８９号（富士山マラソン号）,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,特急 あずさ71号_特急 あずさ71号,普通_普通,普通_普通,普通_普通,普通_普通,特急 あずさ1号_特急 あずさ1号,特急 あずさ1号_特急 あずさ1号,普通_普通,普通_普通,普通_普通,普通_普通,特急 あずさ75号_特急 あずさ75号,特急 あずさ3号_特急 あずさ3号,特急 富士回遊3号_特急 富士回遊3号,普通_普通,普通_普通,特急 おうめ９１号（青梅マラソン号）_特急 おうめ９１号（青梅マラソン号）,特急 おうめ９１号（青梅マラソン号）_特急 おうめ９１号（青梅マラソン号）,特急 あずさ5号_特急 あずさ5号,特急 あずさ5号_特急 あずさ5号,特急 あずさ5号_特急 あずさ5号,特急 あずさ5号_特急 あずさ5号,普通_普通,普通_普通,特急 あずさ77号_特急 あずさ77号,特急 あずさ77号_特急 あずさ77号,特急 あずさ77号_特急 あずさ77号,普通_普通,特急 あずさ79号_特急 あずさ79号,普通_普通,普通_普通,普通_普通,特急 かいじ7号_特急 かいじ7号,特急 かいじ7号_特急 かいじ7号,特急 富士回遊7号_特急 富士回遊7号,普通_普通,特急 あずさ9号_特急 あずさ9号,普通_普通,普通_普通,特急 開運高尾山初詣群馬号_特急 開運高尾山初詣群馬号,特急 あずさ81号_特急 あずさ81号,特急 あずさ81号_特急 あずさ81号,特急 富士回遊81号_特急 富士回遊81号,特急 富士回遊75号_特急 富士回遊75号,普通 むさしの号_普通 むさしの号,普通 むさしの号_普通 むさしの号,普通 むさしの号_普通 むさしの号,特急 かいじ11号_特急 かいじ11号,特急 かいじ11号_特急 かいじ11号,特急 かいじ11号_特急 かいじ11号,特急 かいじ11号_特急 かいじ11号,特急 富士回遊11号_特急 富士回遊11号,特急 あずさ13号_特急 あずさ13号,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,快速_快速,普通_普通,特急 あずさ83号_特急 あずさ83号,特急 あずさ83号_特急 あずさ83号,特急 かいじ15号_特急 かいじ15号,特急 かいじ15号_特急 かいじ15号,普通_普通,特急 あずさ17号_特急 あずさ17号,普通_普通,特急 あずさ85号_特急 あずさ85号,普通_普通,特急 かいじ19号_特急 かいじ19号,普通_普通,特急 あずさ21号_特急 あずさ21号,快速 リゾートビュー諏訪湖_快速 リゾートビュー諏訪湖,普通_普通,普通_普通,普通_普通,特急 あずさ89号_特急 あずさ89号,普通_普通,特急 かいじ23号_特急 かいじ23号,普通_普通,普通_普通,特急 あずさ25号_特急 あずさ25号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 かいじ27号_特急 かいじ27号,普通_普通,特急 あずさ29号_特急 あずさ29号,普通_普通,普通_普通,中央特快_中央特快,普通_普通,特急 かいじ31号_特急 かいじ31号,普通_普通,普通_普通,特急 ゆけむり草津・四万_特急 ゆけむり草津・四万,特急 あずさ33号_特急 あずさ33号,普通_普通,普通_普通,普通_普通,普通_普通,中央特快_中央特快,普通_普通,特急 あずさ93号_特急 あずさ93号,普通_普通,特急 かいじ35号_特急 かいじ35号,普通_普通,普通_普通,普通_普通,普通_普通,特急 あずさ37号_特急 あずさ37号,普通_普通,普通_普通,普通_普通,普通_普通,特急 開運成田山初詣八王子号_特急 開運成田山初詣八王子号,特急 開運成田山初詣八王子号_特急 開運成田山初詣八王子号,特急 開運成田山初詣青梅号_特急 開運成田山初詣青梅号,特急 開運成田山初詣青梅号_特急 開運成田山初詣青梅号,特急 かいじ39号_特急 かいじ39号,普通_普通,特急 あずさ41号_特急 あずさ41号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 かいじ43号_特急 かいじ43号,普通_普通,普通_普通,普通_普通,中央特快_中央特快,普通_普通,特急 水戸偕楽園高尾号_特急 水戸偕楽園高尾号,特急 あずさ45号_特急 あずさ45号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,中央特快_中央特快,普通_普通,特急 かいじ47号_特急 かいじ47号,普通_普通,普通_普通,中央特快_中央特快,普通_普通,普通 むさしの号_普通 むさしの号,特急 あずさ49号_特急 あずさ49号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,中央特快_中央特快,普通_普通,特急 かいじ51号_特急 かいじ51号,普通_普通,普通_普通,快速_快速,普通_普通,特急 あずさ53号_特急 あずさ53号,普通_普通,普通_普通,普通_普通,普通_普通,中央特快_中央特快,普通_普通,中央特快_中央特快,普通_普通,普通 むさしの号_普通 むさしの号,中央特快_中央特快,普通_普通,普通_普通,特急 あずさ55号_特急 あずさ55号,普通_普通,普通_普通,普通_普通,特急 成田エクスプレス50号_特急 成田エクスプレス50号,特急 ときめき足利イルミ_特急 ときめき足利イルミ,特急 かいじ57号_特急 かいじ57号,普通_普通,普通_普通,特急 成田エクスプレス52号_特急 成田エクスプレス52号,特急 かいじ59号_特急 かいじ59号,普通_普通,快速_快速,普通_普通
設備,,_,_,_,_,_,_,普通車全車指定席___,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,普通車全車指定席___,_,_,_,_,_,_,_,_,_,グリーン車指定席_普通車全車指定席____,_,_,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,普通車全車指定席___,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,グリーン車指定席_普通車全車指定席____,_,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,普通車全車指定席___,_,グリーン車指定席_普通車全車指定席____,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,普通車全車指定席___,普通車全車指定席___,_,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,普通車全車指定席___,グリーン車指定席_普通車全車指定席____,_,_,_,_,_,_,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,グリーン車指定席_普通車全車指定席____,_,グリーン車指定席_普通車全車指定席____,_,グリーン車指定席_普通車全車指定席____,_,グリーン車指定席_普通車全車指定席____,普通車全車指定席___,_,_,_,グリーン車指定席_普通車全車指定席____,_,グリーン車指定席_普通車全車指定席____,_,_,グリーン車指定席_普通車全車指定席____,_,_,_,_,_,グリーン車指定席_普通車全車指定席____,_,グリーン車指定席_普通車全車指定席____,_,_,_,_,グリーン車指定席_普通車全車指定席____,_,_,普通車全車指定席___,グリーン車指定席_普通車全車指定席____,_,_,_,_,_,_,グリーン車指定席_普通車全車指定席____,_,グリーン車指定席_普通車全車指定席____,_,_,_,_,グリーン車指定席_普通車全車指定席____,_,_,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,グリーン車指定席_普通車全車指定席____,_,_,_,_,_,グリーン車指定席_普通車全車指定席____,_,_,_,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,_,_,_,_,_,グリーン車指定席_普通車全車指定席____,_,_,_,_,_,グリーン車指定席_普通車全車指定席____,_,_,_,_,_,_,_,グリーン車指定席_普通車全車指定席____,_,_,_,_,グリーン車指定席_普通車全車指定席____,_,_,_,_,_,_,_,_,_,_,_,_,グリーン車指定席_普通車全車指定席____,_,_,_,グリーン車指定席_普通車全車指定席____,普通車全車指定席___,グリーン車指定席_普通車全車指定席____,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,_
運転日,,全日,全日,全日,全日,全日,全日,1月1日運転__◆_1月1日運転_,全日,全日,全日,全日,土休日,全日,全日,全日,全日,全日,全日,全日,全日,土休日,土休日,全日,全日,土休日,11月26日運転__◆_11月26日運転_,土休日,全日,全日,12月30・31日はこの時刻に変更__時変_12月30・31日はこの時刻に変更_,11月23・25日はこの時刻に変更__時変_11月23・25日はこの時刻に変更_,土休日,土休日,全日,全日,11月25日・12月30・31日運転__◆_11月25日・12月30・31日運転_,土休日,11月25日・12月30・31日はこの時刻に変更__時変_11月25日・12月30・31日はこの時刻に変更_,全日,土休日,全日,11月23・25日・12月30・31日はこの時刻に変更__時変_11月23・25日・12月30・31日はこの時刻に変更_,土休日,全日,全日,土休日,11月23・25日・12月30・31日・2月3・10・17・23日運転__◆_11月23・25日・12月30・31日・2月3・10・17・23日運転_,土休日,全日,土休日,土休日,2月18日運転__◆_2月18日運転_,2月18日運転__◆_2月18日運転_,全日,11月23・25・26日はこの時刻に変更__時変_11月23・25・26日はこの時刻に変更_,12月2・3・9・10・16・17・23・24・30・31日・1月6～8・13・14・20・21・27・28日・2月3・4・10～12・17・23～25日はこの時刻に変更__時変_12月2・3・9・10・16・17・23・24・30・31日・1月6～8・13・14・20・21・27・28日・2月3・4・10～12・17・23～25日はこの時刻に変更_,2月18日はこの時刻に変更__時変_2月18日はこの時刻に変更_,全日,全日,11月25日・12月30・31日運転__◆_11月25日・12月30・31日運転_,11月25日・12月30・31日はこの時刻に変更__時変_11月25日・12月30・31日はこの時刻に変更_,2月10・23日運転__◆_2月10・23日運転_,土休日,11月23・25日・12月2・9・16・23・30・31日・1月6・13・20・27日・2月3・10・11・17・23・24日運転__◆_11月23・25日・12月2・9・16・23・30・31日・1月6・13・20・27日・2月3・10・11・17・23・24日運転_,全日,全日,全日,土休日,勝沼ぶどう郷停車は12月24日までの土曜・休日・1月6日～2月25日の土曜・休日と12月30日～1月2日__臨停_勝沼ぶどう郷停車は12月24日までの土曜・休日・1月6日～2月25日の土曜・休日と12月30日～1月2日_,全日,土休日,土休日,土休日,土休日,1月6・7日運転__◆_1月6・7日運転_,12月24日までの土曜・休日・1月6日～2月25日の土曜・休日と12月30・31日運転__◆_12月24日までの土曜・休日・1月6日～2月25日の土曜・休日と12月30・31日運転_,12月2～24日の土曜・休日・1月6日～2月25日の土曜・休日と12月30・31日はこの時刻に変更__時変_12月2～24日の土曜・休日・1月6日～2月25日の土曜・休日と12月30・31日はこの時刻に変更_,12月24日までの土曜・休日・1月6日～2月25日の土曜・休日と12月30・31日運転__◆_12月24日までの土曜・休日・1月6日～2月25日の土曜・休日と12月30・31日運転_,1月2・3日運転__◆_1月2・3日運転_,土休日,12月2・3・9・10・16・17・23・24・30・31日・1月6～8・13・14・20・21・27・28日・2月3・4・10～12・17・18・23～25日はこの時刻に変更__時変_12月2・3・9・10・16・17・23・24・30・31日・1月6～8・13・14・20・21・27・28日・2月3・4・10～12・17・18・23～25日はこの時刻に変更_,11月23・25・26日はこの時刻に変更__時変_11月23・25・26日はこの時刻に変更_,土休日,11月23・25・26日はこの時刻に変更__時変_11月23・25・26日はこの時刻に変更_,12月2・3・9・10・16・17・23・24・30・31日・1月6～8・13・14・20・21・27・28日・2月3・4・10～12・17・18・23～25日はこの時刻に変更__時変_12月2・3・9・10・16・17・23・24・30・31日・1月6～8・13・14・20・21・27・28日・2月3・4・10～12・17・18・23～25日はこの時刻に変更_,勝沼ぶどう郷停車は11月23・25・26日__臨停_勝沼ぶどう郷停車は11月23・25・26日_,全日,土休日,全日,全日,土休日,11月23・25・26日はこの時刻に変更__時変_11月23・25・26日はこの時刻に変更_,土休日,12月2・3・9・10・16・17・23・24・30・31日・1月6～8・13・14・20・21・27・28日・2月3・4・10～12・17・18・23～25日はこの時刻に変更__時変_12月2・3・9・10・16・17・23・24・30・31日・1月6～8・13・14・20・21・27・28日・2月3・4・10～12・17・18・23～25日はこの時刻に変更_,11月23・25・26日はこの時刻に変更__時変_11月23・25・26日はこの時刻に変更_,土休日,12月2・9・16・23・30・31日・1月6・13・20・27日・2月10・17・23日運転__◆_12月2・9・16・23・30・31日・1月6・13・20・27日・2月10・17・23日運転_,11月23・25日・2月3日運転__◆_11月23・25日・2月3日運転_,土休日,勝沼ぶどう郷停車は11月26日までの土曜・休日__臨停_勝沼ぶどう郷停車は11月26日までの土曜・休日_,土休日,全日,全日,12月30・31日・2月10・23日運転__◆_12月30・31日・2月10・23日運転_,全日,土休日,全日,土休日,12月10日・1月14日・2月18日運転__◆_12月10日・1月14日・2月18日運転_,全日,土休日,土休日,12月30・31日運転__◆_12月30・31日運転_,全日,土休日,全日,全日,全日,全日,全日,全日,土休日,土休日,土休日,全日,全日,全日,全日,土休日,土休日,土休日,全日,全日,1月28日運転__◆_1月28日運転_,土休日,全日,全日,土休日,12月30・31日はこの時刻に変更__時変_12月30・31日はこの時刻に変更_,土休日,土休日,12月29～31日運転__◆_12月29～31日運転_,全日,土休日,全日,全日,全日,全日,土休日,全日,土休日,土休日,土休日,1月7日運転__◆_1月7日運転_,1月7日運転__◆_1月7日運転_,1月6日運転__◆_1月6日運転_,1月6日運転__◆_1月6日運転_,土休日,土休日,土休日,全日,全日,土休日,全日,土休日,土休日,土休日,全日,土休日,土休日,土休日,2月23～25日運転__◆_2月23～25日運転_,土休日,全日,全日,全日,土休日,土休日,土休日,土休日,土休日,全日,全日,土休日,土休日,土休日,土休日,全日,全日,全日,全日,全日,土休日,土休日,土休日,全日,土休日,土休日,土休日,全日,全日,全日,全日,全日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,12月16・23日運転__◆_12月16・23日運転_,土休日,土休日,土休日,土休日,土休日,全日,土休日,全日
記事,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,千葉－大月間は5003M〔あずさ3号〕に併結__★_千葉－大月間は5003M〔あずさ3号〕に併結_,,,,,,,,,,,,,,,,,,,,,新宿－大月間は3107M〔かいじ7号〕に併結__★_新宿－大月間は3107M〔かいじ7号〕に併結_,,,,,,,,新宿－大月間は9081M〔あずさ81号〕に併結__★_新宿－大月間は9081M〔あずさ81号〕に併結_,,,,,,,,,新宿－大月間は3111M〔かいじ11号〕に併結__★_新宿－大月間は3111M〔かいじ11号〕に併結_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,成田空港－東京間は2050M〔成田エクスプレス50号〕に併結__★_成田空港－東京間は2050M〔成田エクスプレス50号〕に併結_,,,,,成田空港－東京間は2052M〔成田エクスプレス52号〕に併結__★_成田空港－東京間は2052M〔成田エクスプレス52号〕に併結_,,,,
前の区間,,,,,,,,,,,,,,,,,↑,,,,,↑,,,,,,,,↑,↑,↑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,↑,,,,,↑,↑,↑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,↑,,,,,,,,,,,,,,,,,,,,↑,,↑,,,,,,,,,,,,,,,,↑,,,,,,,,,,,,,,↑,,,,,,,,,,,,,,,,,,,,,,,↑,,,,,,,,↑,↑,,,,↑,,,,
始発,,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,飯田_0545_飯田_0545,___,___,___,___,武蔵小金井_0512_武蔵小金井_0512,___,___,___,___,___,___,___,天竜峡_0616_天竜峡_0616,天竜峡_0616_天竜峡_0616,天竜峡_0616_天竜峡_0616,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,高崎_0722_高崎_0722,___,___,___,___,大宮_0853_大宮_0853,大宮_0853_大宮_0853,大宮_0853_大宮_0853,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,長野原草津口_1205_長野原草津口_1205,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,成田_1504_成田_1504,___,成田_1504_成田_1504,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,勝田_1607_勝田_1607,___,___,___,___,___,___,___,___,___,___,___,___,___,大宮_1822_大宮_1822,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,大宮_1952_大宮_1952,___,___,___,___,___,___,___,成田空港_1948_成田空港_1948,足利_1925_足利_1925,___,___,___,成田空港_2044_成田空港_2044,___,___,___,___
千葉_千葉,発,,,,,,,,,,,,,,,,・,,,,,・,,,,,,,,・,・,・,,,,,,,,,,,,,,,,,0638,,,,0704,,,,,,,,,,,,,,,,,,,,,,,・,,,,,・,・,・,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,・,,,,,,,,,,,,,,,,,,,,レ,,レ,,,,,,,,,,,,,,,,・,,,,,,,,,,,,,,・,,,,,,,,,,,,,,,,,,,,,,,・,,,,,,,,レ,・,,,,レ,,,,
津田沼_津田沼,発,,,,,,,,,,,,,,,,・,,,,,・,,,,,,,,・,・,・,,,,,,,,,,,,,,,,,レ,,,,レ,,,,,,,,,,,,,,,,,,,,,,,・,,,,,・,・,・,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,・,,,,,,,,,,,,,,,,,,,,レ,,レ,,,,,,,,,,,,,,,,・,,,,,,,,,,,,,,・,,,,,,,,,,,,,,,,,,,,,,,・,,,,,,,,レ,・,,,,レ,,,,
船橋_船橋,発,,,,,,,,,,,,,,,,・,,,,,・,,,,,,,,・,・,・,,,,,,,,,,,,,,,,,0653,,,,0719,,,,,,,,,,,,,,,,,,,,,,,・,,,,,・,・,・,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,・,,,,,,,,,,,,,,,,,,,,レ,,レ,,,,,,,,,,,,,,,,・,,,,,,,,,,,,,,・,,,,,,,,,,,,,,,,,,,,,,,・,,,,,,,,レ,・,,,,レ,,,,
錦糸町_錦糸町,発,,,,,,,,,,,,,,,,・,,,,,・,,,,,,,,・,・,・,,,,,,,,,,,,,,,,,0708,,,,0734,,,,,,,,,,,,,,,,,,,,,,,・,,,,,・,・,・,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,・,,,,,,,,,,,,,,,,,,,,レ,,レ,,,,,,,,,,,,,,,,・,,,,,,,,,,,,,,・,,,,,,,,,,,,,,,,,,,,,,,・,,,,,,,,レ,・,,,,レ,,,,
