列車番号,,1450M,5202M,672M,672T,5302M,616M,616T,5204M,520M,730M,730T,522M,712M,712H,524M,704M,704H,818M,818H,526M,320M,5102M,1452M,420M,2201M,528M,322M,422M,148M,5004M,5106M,324M,1403M,530M,207M,152M,5008M,9272M,424M,426M,5110M,5110M,1454M,326M,150M,532M,428M,1520M,2209M,1522M,3520M,5012M,430M,211M,154M,5114M,1524M,534M,328M,213M,5016M,1120M,1120H,536M,432M,1415M,156M,1456M,538M,18M,3120M,434M,9506D,217M,22M,3124M,1458M,436M,219M,1232M,158M,26M,330M,3128M,1460M,438M,540M,1530M,3424M,30M,332M,3132M,1652M,1652T,542M,542M,542M,1532M,221M,34M,3136M,2136M,334M,9074M,160M,2625M,1644M,1644T,1644T,1644T,544M,544M,38M,38M,38M,9172M,9172M,9172M,546M,3140M,3140M,3140M,3140M,3140M,440M,223M,42M,42M,42M,8078M,1462M,44M,44M,44M,2144M,548M,2627M,1534M,336M,225M,338M,3148M,2148M,550M,550M,1536M,162M,46M,340M,9082M,9082M,1922M,1922H,552M,229M,3526M,342M,1538M,519M,5050M,554M,9086M,442M,3152M,2050M,2050T,444M,164M,344M,346M,1540M,348M,233M,350M,1542M,54M,2038M,2038T,1464M,352M,3156M,2126M,2126T,556M,3158M,446M,235M,166M,1544M,2268M,2268T,2274M,2274T,354M,558M,237M,1234M,60M,448M,1441M,168M,560M,562M,1546M,356M,1548M,531M,358M,360M,1170M,9092M,450M,539M,1550M
列車名_列車名,,普通_普通,特急 はちおうじ2号_特急 はちおうじ2号,普通_普通,中央特快_中央特快,特急 おうめ2号_特急 おうめ2号,普通_普通,快速_快速,特急 はちおうじ4号_特急 はちおうじ4号,普通_普通,普通_普通,通勤特別快速_通勤特別快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,特急 かいじ2号_特急 かいじ2号,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,特急 あずさ4号_特急 あずさ4号,特急 かいじ6号_特急 かいじ6号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 あずさ8号_特急 あずさ8号,特急 みなみの桜・河津桜号_特急 みなみの桜・河津桜号,普通_普通,普通_普通,特急 かいじ10号_特急 かいじ10号,特急 かいじ10号_特急 かいじ10号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,快速 みすず_快速 みすず,普通_普通,普通_普通,特急 あずさ12号_特急 あずさ12号,普通_普通,普通_普通,普通_普通,特急 かいじ14号_特急 かいじ14号,普通_普通,普通_普通,普通_普通,普通_普通,特急 あずさ16号_特急 あずさ16号,普通_普通,中央特快_中央特快,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 あずさ18号_特急 あずさ18号,特急 かいじ20号_特急 かいじ20号,普通_普通,快速 アラカルトトレイン中央_快速 アラカルトトレイン中央,普通_普通,特急 あずさ22号_特急 あずさ22号,特急 かいじ24号_特急 かいじ24号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 あずさ26号_特急 あずさ26号,普通_普通,特急 かいじ28号_特急 かいじ28号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 あずさ30号_特急 あずさ30号,普通_普通,特急 かいじ32号_特急 かいじ32号,普通_普通,中央特快_中央特快,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 あずさ34号_特急 あずさ34号,特急 かいじ36号_特急 かいじ36号,特急 富士回遊36号_特急 富士回遊36号,普通_普通,特急 あずさ74号_特急 あずさ74号,普通_普通,普通 むさしの号_普通 むさしの号,普通_普通,中央特快_中央特快,中央特快_中央特快,中央特快_中央特快,普通_普通,普通_普通,特急 あずさ38号_特急 あずさ38号,特急 あずさ38号_特急 あずさ38号,特急 あずさ38号_特急 あずさ38号,特急 富士回遊72号_特急 富士回遊72号,特急 富士回遊72号_特急 富士回遊72号,特急 富士回遊72号_特急 富士回遊72号,普通_普通,特急 かいじ40号_特急 かいじ40号,特急 かいじ40号_特急 かいじ40号,特急 かいじ40号_特急 かいじ40号,特急 かいじ40号_特急 かいじ40号,特急 かいじ40号_特急 かいじ40号,普通_普通,普通_普通,特急 あずさ42号_特急 あずさ42号,特急 あずさ42号_特急 あずさ42号,特急 あずさ42号_特急 あずさ42号,特急 あずさ78号_特急 あずさ78号,普通_普通,特急 あずさ44号_特急 あずさ44号,特急 あずさ44号_特急 あずさ44号,特急 あずさ44号_特急 あずさ44号,特急 富士回遊44号_特急 富士回遊44号,普通_普通,普通 むさしの号_普通 むさしの号,普通_普通,普通_普通,普通_普通,普通_普通,特急 かいじ48号_特急 かいじ48号,特急 富士回遊48号_特急 富士回遊48号,普通_普通,普通_普通,普通_普通,普通_普通,特急 あずさ46号_特急 あずさ46号,普通_普通,特急 あずさ82号_特急 あずさ82号,特急 あずさ82号_特急 あずさ82号,普通_普通,快速_快速,普通_普通,普通_普通,快速 みすず_快速 みすず,普通_普通,普通_普通,普通_普通,特急 あずさ50号_特急 あずさ50号,普通_普通,特急 あずさ86号_特急 あずさ86号,普通_普通,特急 かいじ52号_特急 かいじ52号,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 あずさ54号_特急 あずさ54号,普通_普通,中央特快_中央特快,普通_普通,普通_普通,特急 かいじ56号_特急 かいじ56号,普通_普通,快速_快速,普通_普通,特急 かいじ58号_特急 かいじ58号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,中央特快_中央特快,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,特急 あずさ60号_特急 あずさ60号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 信州2号_特急 信州2号,普通_普通,普通_普通,普通_普通
設備,,_,グリーン車指定席_普通車全車指定席____,_,_,グリーン車指定席_普通車全車指定席____,_,_,グリーン車指定席_普通車全車指定席____,_,_,_,_,_,_,_,_,_,_,_,_,_,グリーン車指定席_普通車全車指定席____,_,_,_,_,_,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,_,_,_,グリーン車指定席_普通車全車指定席____,普通車全車指定席___,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,_,_,_,_,_,_,_,グリーン車指定席_普通車全車指定席____,_,_,_,グリーン車指定席_普通車全車指定席____,_,_,_,_,グリーン車指定席_普通車全車指定席____,_,_,_,_,_,_,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,普通車全車指定席___,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,_,_,_,グリーン車指定席_普通車全車指定席____,_,グリーン車指定席_普通車全車指定席____,_,_,_,_,_,グリーン車指定席_普通車全車指定席____,_,グリーン車指定席_普通車全車指定席____,_,_,_,_,_,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,普通車全車指定席___,_,グリーン車指定席_普通車全車指定席____,_,_,_,_,_,_,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,普通車全車指定席___,普通車全車指定席___,普通車全車指定席___,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,普通車全車指定席___,_,_,_,_,_,_,グリーン車指定席_普通車全車指定席____,普通車全車指定席___,_,_,_,_,グリーン車指定席_普通車全車指定席____,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,_,_,_,_,_,_,グリーン車指定席_普通車全車指定席____,_,グリーン車指定席_普通車全車指定席____,_,グリーン車指定席_普通車全車指定席____,_,_,_,_,_,_,_,_,_,_,_,グリーン車指定席_普通車全車指定席____,_,_,_,_,グリーン車指定席_普通車全車指定席____,_,_,_,グリーン車指定席_普通車全車指定席____,_,_,_,_,_,_,_,_,_,_,_,_,グリーン車指定席_普通車全車指定席____,_,_,_,_,_,_,_,_,_,_,_,_,普通車一部指定席___,_,_,_
運転日,,平日,平日,平日,平日,平日,平日,平日,平日,全日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,全日,平日,平日,全日,全日,平日,全日,平日,全日,平日,平日,全日,全日,平日,全日,全日,平日,2月16日運転__◆_2月16日運転_,全日,全日,平日,2月16日はこの時刻に変更__時変_2月16日はこの時刻に変更_,平日,全日,全日,平日,全日,全日,全日,全日,全日,平日,全日,全日,全日,平日,全日,平日,全日,全日,平日,平日,平日,平日,全日,全日,11月21・22・28日～12月1日は運休__◆_11月21・22・28日～12月1日は運休_,平日,全日,平日,平日,平日,12月15日運転__◆_12月15日運転_,全日,平日,平日,全日,平日,全日,全日,11月21・22・28日～12月1日は運休__◆_11月21・22・28日～12月1日は運休_,平日,全日,平日,平日,全日,平日,全日,全日,平日,全日,平日,平日,平日,平日,11月30日まで・但し、土曜・休日を除くはこの時刻に変更__時変_11月30日まで・但し、土曜・休日を除くはこの時刻に変更_,12月1・4～8・11～15・18～22・25～29日・1月4・5・9～12・15～19・22～26・29日～2月2・5～9・13～16・19～22・26～29日はこの時刻に変更__時変_12月1・4～8・11～15・18～22・25～29日・1月4・5・9～12・15～19・22～26・29日～2月2・5～9・13～16・19～22・26～29日はこの時刻に変更_,全日,全日,平日,平日,全日,全日,1月4日運転__◆_1月4日運転_,11月21・22・28日～12月1日は運休__◆_11月21・22・28日～12月1日は運休_,平日,平日,平日,11月30日まで・但し、土曜・休日を除くはこの時刻に変更__時変_11月30日まで・但し、土曜・休日を除くはこの時刻に変更_,12月1・4～8・11～15・18～22・25～29日・1月4・5・9～12・15～19・22～26・29日～2月2・5～9・13～16・19～22・26～29日はこの時刻に変更__時変_12月1・4～8・11～15・18～22・25～29日・1月4・5・9～12・15～19・22～26・29日～2月2・5～9・13～16・19～22・26～29日はこの時刻に変更_,平日,2月29日まで＜除く、土曜・休日と12月30日～1月3日＞はこの時刻に変更__時変_2月29日まで＜除く、土曜・休日と12月30日～1月3日＞はこの時刻に変更_,平日,12月1・4～8・11～15・18～22・25～29日・1月4・5・9～12・15～19・22～26・29日～2月2・5～9・13～16・19～22・26～29日はこの時刻に変更__時変_12月1・4～8・11～15・18～22・25～29日・1月4・5・9～12・15～19・22～26・29日～2月2・5～9・13～16・19～22・26～29日はこの時刻に変更_,11月30日まで・但し、土曜・休日を除くはこの時刻に変更__時変_11月30日まで・但し、土曜・休日を除くはこの時刻に変更_,2月29日まで運転・但し、土曜・休日と12月30日～1月3日を除く__◆_2月29日まで運転・但し、土曜・休日と12月30日～1月3日を除く_,12月1・8・15・21・22日・1月12・19・26日・2月2・9・16・22日はこの時刻に変更__時変_12月1・8・15・21・22日・1月12・19・26日・2月2・9・16・22日はこの時刻に変更_,1月4日はこの時刻に変更__時変_1月4日はこの時刻に変更_,平日,平日,1月4日はこの時刻に変更__時変_1月4日はこの時刻に変更_,11月30日まで・但し、土曜・休日を除くはこの時刻に変更__時変_11月30日まで・但し、土曜・休日を除くはこの時刻に変更_,12月1・4～8・11～15・18～22・25～29日・1月5・9～12・15～19・22～26・29日～2月2・5～9・13～16・19～22・26～29日はこの時刻に変更__時変_12月1・4～8・11～15・18～22・25～29日・1月5・9～12・15～19・22～26・29日～2月2・5～9・13～16・19～22・26～29日はこの時刻に変更_,勝沼ぶどう郷停車は11月30日まで＜除く、土曜・休日＞__臨停_勝沼ぶどう郷停車は11月30日まで＜除く、土曜・休日＞_,全日,全日,平日,11月30日まで・但し、土曜・休日を除くはこの時刻に変更__時変_11月30日まで・但し、土曜・休日を除くはこの時刻に変更_,12月1・4～8・11～15・18～22・25～29日・1月4・5・9～12・15～19・22～26・29日～2月2・5～9・13～16・19～22・26～29日はこの時刻に変更__時変_12月1・4～8・11～15・18～22・25～29日・1月4・5・9～12・15～19・22～26・29日～2月2・5～9・13～16・19～22・26～29日はこの時刻に変更_,1月2～4日運転__◆_1月2～4日運転_,平日,平日,11月30日まで・但し、土曜・休日を除くはこの時刻に変更__時変_11月30日まで・但し、土曜・休日を除くはこの時刻に変更_,12月1・4～8・11～15・18～22・25～29日・1月4・5・9～12・15～19・22～26・29日～2月2・5～9・13～16・19～22・26～29日はこの時刻に変更__時変_12月1・4～8・11～15・18～22・25～29日・1月4・5・9～12・15～19・22～26・29日～2月2・5～9・13～16・19～22・26～29日はこの時刻に変更_,全日,平日,平日,全日,平日,全日,平日,平日,全日,平日,1月4日はこの時刻に変更__時変_1月4日はこの時刻に変更_,全日,全日,平日,平日,1月2～4日運転__◆_1月2～4日運転_,1月4日はこの時刻に変更__時変_1月4日はこの時刻に変更_,平日,平日,平日,全日,全日,平日,全日,全日,平日,平日,11月26日・1月2～4日運転__◆_11月26日・1月2～4日運転_,全日,平日,平日,平日,全日,全日,全日,全日,全日,全日,全日,全日,全日,平日,平日,平日,全日,全日,平日,平日,平日,平日,平日,全日,全日,全日,全日,平日,平日,平日,平日,全日,平日,全日,全日,平日,全日,全日,全日,平日,平日,全日,全日,全日,全日,全日,全日,全日,2月29日まで運転・但し、土曜・休日と12月29日～1月3日を除く__◆_2月29日まで運転・但し、土曜・休日と12月29日～1月3日を除く_,全日,全日,全日
記事,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大月－新宿間は3136M〔かいじ36号〕に併結__★_大月－新宿間は3136M〔かいじ36号〕に併結_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大月－新宿間は44M〔あずさ44号〕に併結__★_大月－新宿間は44M〔あずさ44号〕に併結_,,,,,,,,大月－新宿間は3148M〔かいじ48号〕に併結__★_大月－新宿間は3148M〔かいじ48号〕に併結_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前の区間,,,,,,↑,,,,,,,,↑,,,,,↑,,,,,,,↑,,,,,,,,↑,,↑,,,,,,,,,,,,,↑,↑,↑,,,↑,↑,,,,,,↑,,,,,,↑,,↑,,,,,,↑,,,,,↑,,,,,,,,,,,,,,,,,,,,↑,,,↑,,,,,,,,,,,,,,↑,↑,↑,,,,,,,,↑,,,,,,,,,↑,,,,,↑,,,↑,,,,,↑,,,,,,,↑,,,,↑,,,,,,,,,,,,,,↑,,↑,,,,,,,,,,,,↑,,,,,,,,,↑,,,,↑,,,,,,,↑,,,,,,↑,
始発,,___,___,___,___,青梅_0617_青梅_0617,___,___,___,___,___,___,___,河口湖_0549_河口湖_0549,___,___,___,___,河口湖_0615_河口湖_0615,___,___,___,___,___,___,駒ケ根_0512_駒ケ根_0512,___,___,___,___,___,___,___,駒ケ根_0536_駒ケ根_0536,___,飯田_0500_飯田_0500,___,___,___,___,___,___,___,___,___,___,___,___,信濃大町_0604_信濃大町_0604,飯田_0545_飯田_0545,信濃大町_0648_信濃大町_0648,___,___,明科_0714_明科_0714,天竜峡_0517_天竜峡_0517,___,___,___,___,___,天竜峡_0616_天竜峡_0616,___,___,___,___,___,伊那大島_0741_伊那大島_0741,___,河口湖_1040_河口湖_1040,___,___,___,___,___,伊那松島_1027_伊那松島_1027,___,___,___,___,飯田_0943_飯田_0943,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,天竜峡_1055_天竜峡_1055,___,___,河口湖_1503_河口湖_1503,___,___,___,___,___,___,___,___,___,___,___,___,___,河口湖_1533_河口湖_1533,河口湖_1533_河口湖_1533,河口湖_1533_河口湖_1533,___,___,___,___,___,___,___,駒ケ根_1350_駒ケ根_1350,___,___,___,___,___,___,___,___,河口湖_1651_河口湖_1651,___,___,___,___,天竜峡_1233_天竜峡_1233,___,___,河口湖_1736_河口湖_1736,___,___,___,___,南小谷_1500_南小谷_1500,___,___,___,___,___,___,駒ケ根_1545_駒ケ根_1545,___,___,___,豊橋_1042_豊橋_1042,___,___,___,___,___,___,___,___,___,___,___,___,___,飯田_1555_飯田_1555,___,信濃大町_1716_信濃大町_1716,___,___,___,___,___,___,___,___,___,___,___,天竜峡_1614_天竜峡_1614,___,___,___,___,___,___,___,___,天竜峡_1718_天竜峡_1718,___,___,___,天竜峡_1751_天竜峡_1751,___,___,___,___,___,___,豊橋_1442_豊橋_1442,___,___,___,___,___,豊橋_1642_豊橋_1642,___
長野_長野,発,,,,,・,,,,,,,,・,,,,,・,,,,,,,・,,,,,,,,・,,・,,,,,,,,,,,,,・,・,・,0631,,・,・,,,,,,・,,,,,,・,,・,,,,,,・,,,,,・,,,,,,,1010,,,,,,,,,,,,,・,,,・,,,,,,,,,,,,,,・,・,・,,,,,,,,・,,,,,,,,,・,,,,,・,,,・,,,,,・,,,,,,,・,,,,・,,,,,,,,1606,,,,,,・,,・,,,,,,,,,,,1713,・,,,,,,,,,・,,,1817,・,,,,1906,,,・,,,,2047,2051,・,2152
松本_松本,発,,,,,・,,,,,,,,・,,,,,・,,,,,,,・,,,0547,0552,0630,,,・,,・,0653,0710,,0617,0640,,,,,,,0712,0721,・,0749,0755,0810,0735,・,,,0813,,,・,0910,,,,0843,・,,・,,1010,,0939,1018,・,1110,,,1040,・,1117,,1210,,,,1141,,1232,1256,1310,,,,,,,,1314,・,1345,,・,,1407,,,,,,,,,1450,1450,1450,・,・,・,,,,,,,1417,・,1510,1510,1510,1513,,1550,1550,1550,・,,,1516,,・,,,・,,,1555,,1630,,1632,1632,,,,・,1635,,1705,・,1720,,1722,1641,,,,1723,,,,1741,,・,,1813,1840,,,,,,,,,,1843,・,,1858,,,,,,,・,1957,2010,1935,・,,,,2034,,2109,・,,,2141,2149,2212,・,2305
南松本_南松本,発,,,,,・,,,,,,,,・,,,,,・,,,,,,,・,,,0550,0555,レ,,,・,,・,0656,レ,,0620,0643,,,,,,,0716,0725,・,0753,0759,レ,0738,・,,,0816,,,・,レ,,,,0846,・,,・,,レ,,0943,レ,・,レ,,,1044,・,1120,,レ,,,,1145,,1236,1259,レ,,,,,,,,1317,・,レ,,・,,レ,,,,,,,,,レ,レ,レ,・,・,・,,,,,,,1421,・,レ,レ,レ,レ,,レ,レ,レ,・,,,1520,,・,,,・,,,1558,,レ,,レ,レ,,,,・,1638,,1709,・,レ,,レ,1644,,,,1726,,,,1745,,・,,1817,レ,,,,,,,,,,1846,・,,1901,,,,,,,・,2000,レ,1939,・,,,,2038,,2112,・,,,2144,レ,2215,・,2309
平田_平田,発,,,,,・,,,,,,,,・,,,,,・,,,,,,,・,,,0553,0558,レ,,,・,,・,0659,レ,,0623,0646,,,,,,,0719,0728,・,0755,0801,レ,0741,・,,,0819,,,・,レ,,,,0849,・,,・,,レ,,0945,レ,・,レ,,,1047,・,1123,,レ,,,,1147,,1238,1302,レ,,,,,,,,1320,・,レ,,・,,レ,,,,,,,,,レ,レ,レ,・,・,・,,,,,,,1424,・,レ,レ,レ,レ,,レ,レ,レ,・,,,1522,,・,,,・,,,1601,,レ,,レ,レ,,,,・,1641,,1711,・,レ,,レ,1647,,,,1729,,,,1747,,・,,1820,レ,,,,,,,,,,1848,・,,1904,,,,,,,・,2003,レ,1942,・,,,,2041,,2115,・,,,2147,レ,2217,・,2313
