列車番号,,568E,573H,572E,670E,575H,574E,661H,660E,665H,664E,666E,679H,678E,764E,677H,676E,763H,762E,769H,768E,864E,773H,875H,874E,871H,870E,861H,860E,967H,979H,978E,1069H,1068E,1065H,1064E,1175H,1174E,1161H,1160E,1267H,1266E,1279H,1278E,1369H,1368E,1365H,1364E,1475H,1474E,1461H,1460E,1567H,1566E,1579H,1578E,1669H,1668E,1766E,1665H,1664E,1677H,1770E,1775H,1774E,1866E,1761H,1760E,1777H,1879H,1878E,1869H,1868E,1877H,1876E,1965H,1964E,1975H,1974E,1967H,1966E,2061H,2079H,2078E,2169H,2168E,2161H,2160E,2177H,2176E,2275H,2274E,2267H,2266E,2379H,2461H
列車名_列車名,,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通
運転日,,平日,全日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,全日,平日,全日
前の区間,,,↑,,,↑,,,,,,,,,,↑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
始発,,___,南古谷_0511_南古谷_0511,___,___,南古谷_0540_南古谷_0540,___,___,___,___,___,___,___,___,___,南古谷_0656_南古谷_0656,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___
川越_川越,発,,0516,,,0547,,0601,,0626,,,0647,,,0702,,0719,,0736,,,0757,0819,,0837,,0854,,0917,0946,,1011,,1039,,1107,,1137,,1207,,1237,,1307,,1337,,1407,,1437,,1507,,1537,,1606,,,1630,,1648,,1701,,,1727,,1749,1810,,1835,,1855,,1916,,1938,,1959,,2020,2041,,2102,,2123,,2146,,2224,,2246,,2331,0015
西川越_西川越,発,,0519,,,0550,,0605,,0629,,,0650,,,0705,,0722,,0740,,,0800,0822,,0840,,0858,,0920,0950,,1014,,1042,,1110,,1140,,1210,,1240,,1310,,1340,,1410,,1440,,1510,,1540,,1610,,,1634,,1652,,1705,,,1730,,1753,1814,,1838,,1859,,1920,,1942,,2003,,2024,2044,,2105,,2126,,2149,,2227,,2250,,2335,0019
的場_的場,発,,0522,,,0553,,0611,,0632,,,0654,,,0711,,0729,,0746,,,0807,0831,,0847,,0904,,0923,0956,,1021,,1048,,1116,,1146,,1216,,1246,,1316,,1346,,1416,,1446,,1517,,1547,,1616,,,1641,,1655,,1711,,,1737,,1756,1821,,1841,,1902,,1923,,1945,,2006,,2029,2048,,2108,,2134,,2154,,2233,,2253,,2338,0022
笠幡_笠幡,発,,0526,,,0557,,0614,,0636,,,0657,,,0715,,0732,,0749,,,0810,0835,,0850,,0908,,0927,0959,,1024,,1051,,1120,,1150,,1220,,1250,,1320,,1350,,1420,,1450,,1520,,1550,,1619,,,1645,,1658,,1714,,,1740,,1759,1825,,1845,,1905,,1926,,1948,,2009,,2033,2051,,2112,,2137,,2157,,2236,,2256,,2341,0025
武蔵高萩_武蔵高萩,発,,0532,,,0603,,0623,,0640,,,0704,,,0721,,0741,,0757,,,0821,0839,,0854,,0912,,0933,1003,,1028,,1055,,1124,,1154,,1224,,1254,,1324,,1354,,1424,,1454,,1524,,1554,,1623,,,1649,,1702,,1718,,,1745,,1803,1829,,1849,,1912,,1936,,1956,,2019,,2037,2058,,2118,,2146,,2201,,2240,,2300,,2345,0029
高麗川_高麗川,着,,0537,┐,,0608,┐,0628,┐,0644,┐,,0708,┐,,0726,┐,0745,┐,0802,┐,,0825,0843,┐,0859,┐,0917,┐,0938,1007,┐,1033,┐,1100,┐,1128,┐,1158,┐,1228,┐,1258,┐,1328,┐,1358,┐,1428,┐,1458,┐,1529,┐,1559,┐,1627,┐,,1653,┐,1707,,1722,┐,,1750,┐,1808,1833,┐,1853,┐,1916,┐,1941,┐,2000,┐,2023,┐,2041,2102,┐,2123,┐,2151,┐,2206,┐,2245,┐,2305,┐,2350,0034
高麗川_高麗川,発,0509,,0543,0600,,0615,,0631,,0645,0659,,0715,,,0733,,0751,,0808,,,,0844,,0903,,0925,,,1008,,1034,,1101,,1130,,1200,,1230,,1300,,1330,,1400,,1430,,1500,,1530,,1600,,1629,,,1700,,,,1724,,,1754,,,1836,,1854,,1917,,1944,,2010,,2032,,,2105,,2127,,2153,,2220,,2246,,2306,,
