列車番号,,1120M,722M,2322M,52M,1124M,326M,520M,2054M,1128M,330M,728M,522M,1132M,56M,334M,1136M,338M,734M,524M,660M,2M,1140M,2342M,1144M,526M,58M,1146M,736M,528M,662M,4M,1148M,3150M,1152M,740M,530M,60M,1154M,358M,532M,664M,3156M,1160M,534M,536M,222M,666M,6M,538M,62M,1162M,744M,622M,540M,226M,542M,8M,1164M,1166M,624M,668M,64M,626M,544M,228M,10M,1168M,1170M,1172M,628M,66M,1174M,546M,230M,630M,670M,12M,1176M,1178M,632M,232M,68M,548M,634M,672M,234M,14M,1180M,1182M,1184M,636M,70M,550M,638M,552M,236M,674M,16M,1186M,1188M,9042M,1190M,640M,640M,72M,554M,642M,756M,756M,556M,238M,18M,1192M,2394M,9044M,1196M,74M,398M,398M,1220M,558M,422M,676M,560M,240M,20M,1224M,562M,76M,426M,1228M,762M,430M,430M,430M,678M,242M,22M,9096M,9096M,1232M,564M,78M,434M,1236M,2438M,1240M,680M,244M,24M,2768M,80M,1242M,566M,644M,682M,246M,26M,2444M,1246M,772M,82M,448M,568M,684M,248M,250M,1250M,776M,1252M,28M,570M,84M,454M,778M,686M,252M,254M,30M,2456M,458M,86M,460M,688M,782M,572M,256M,258M,462M,690M,260M,574M,262M,646M,264M,692M,266M,268M,270M,272M,274M
列車名_列車名,,普通_普通,普通_普通,普通_普通,特急 ときわ52号_特急 ときわ52号,普通_普通,普通_普通,普通_普通,特急 ときわ54号_特急 ときわ54号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ときわ56号_特急 ときわ56号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ひたち2号_特急 ひたち2号,普通_普通,普通_普通,普通_普通,普通_普通,特急 ときわ58号_特急 ときわ58号,普通_普通,普通_普通,普通_普通,普通_普通,特急 ひたち4号_特急 ひたち4号,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,特急 ときわ60号_特急 ときわ60号,普通_普通,普通_普通,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ひたち6号_特急 ひたち6号,普通_普通,特急 ときわ62号_特急 ときわ62号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ひたち8号_特急 ひたち8号,普通_普通,普通_普通,普通_普通,普通_普通,特急 ときわ64号_特急 ときわ64号,普通_普通,普通_普通,普通_普通,特急 ひたち10号_特急 ひたち10号,普通_普通,普通_普通,普通_普通,普通_普通,特急 ときわ66号_特急 ときわ66号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ひたち12号_特急 ひたち12号,普通_普通,普通_普通,普通_普通,普通_普通,特急 ときわ68号_特急 ときわ68号,普通_普通,普通_普通,普通_普通,普通_普通,特急 ひたち14号_特急 ひたち14号,普通_普通,普通_普通,普通_普通,普通_普通,特急 ときわ70号_特急 ときわ70号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ひたち16号_特急 ひたち16号,普通_普通,普通_普通,特急 ときわ42号_特急 ときわ42号,普通_普通,普通_普通,普通_普通,特急 ときわ72号_特急 ときわ72号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ひたち18号_特急 ひたち18号,普通_普通,普通_普通,特急 ときわ44号_特急 ときわ44号,普通_普通,特急 ときわ74号_特急 ときわ74号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ひたち20号_特急 ひたち20号,普通_普通,普通_普通,特急 ときわ76号_特急 ときわ76号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ひたち22号_特急 ひたち22号,特急 ときわ96号_特急 ときわ96号,特急 ときわ96号_特急 ときわ96号,普通_普通,普通_普通,特急 ときわ78号_特急 ときわ78号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ひたち24号_特急 ひたち24号,普通_普通,特急 ときわ80号_特急 ときわ80号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ひたち26号_特急 ひたち26号,普通_普通,普通_普通,普通_普通,特急 ときわ82号_特急 ときわ82号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ひたち28号_特急 ひたち28号,普通_普通,特急 ときわ84号_特急 ときわ84号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ひたち30号_特急 ひたち30号,普通_普通,普通_普通,特急 ときわ86号_特急 ときわ86号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通
設備,,グリーン車自由席___,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,_,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,_,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,_,_,_,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,_,_,_,_,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,_,_,_,_,_,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車指定席_普通車全車指定席____,_,_,_,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,_,_,_,_,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車指定席_普通車全車指定席____,_,_,_,_,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車指定席_普通車全車指定席____,_,_,_,_,_,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,_,_,グリーン車指定席_普通車全車指定席____,_,_,_,_,_,_,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,_,_,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,_,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,_,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車指定席_普通車全車指定席____,_,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,_,_,_,_,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,_,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,_,_,_,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,_,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,_,_,_,_,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,_,_,_,_,_,グリーン車自由席___,_,_,_,_,_,_,_,_,_,_,_,_
運転日,,全日,全日,全日,全日,平日,平日,全日,平日,平日,平日,全日,全日,平日,平日,平日,平日,平日,全日,全日,全日,平日,平日,平日,平日,全日,平日,平日,全日,全日,全日,平日,平日,平日,平日,全日,全日,平日,平日,全日,全日,全日,全日,平日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,平日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,平日,1月4日運転__◆_1月4日運転_,全日,全日,1月4日はこの時刻に変更__時変_1月4日はこの時刻に変更_,全日,全日,全日,全日,1月2～4日はこの時刻に変更__時変_1月2～4日はこの時刻に変更_,全日,全日,全日,平日,全日,1月2～4日運転__◆_1月2～4日運転_,全日,全日,全日,1月2～4日はこの時刻に変更__時変_1月2～4日はこの時刻に変更_,平日,全日,全日,全日,全日,全日,全日,平日,全日,全日,平日,平日,全日,全日,11月22日はこの時刻に変更__時変_11月22日はこの時刻に変更_,12月1・8・15・22日・1月12・19・26日・2月2・9・16・22日はこの時刻に変更__時変_12月1・8・15・22日・1月12・19・26日・2月2・9・16・22日はこの時刻に変更_,全日,全日,全日,11月22日・12月1・8・15・22日・1月12・19・26日・2月2・9・16・22日運転__◆_11月22日・12月1・8・15・22日・1月12・19・26日・2月2・9・16・22日運転_,12月1・8・15・22日・1月12・19・26日・2月2・9・16・22日はこの時刻に変更__時変_12月1・8・15・22日・1月12・19・26日・2月2・9・16・22日はこの時刻に変更_,平日,全日,平日,全日,全日,全日,平日,全日,全日,全日,全日,平日,平日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日
仙台番線_仙台番線,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(6),,,,,,,,,(6),,,,,,,,,,(6),,,,,,,,,(6),,,,,,,(6),,,,,(6),(6),,,,,,,,,(6),,,,,,,,,,,,,,,(6),,,,,,,,,,,,,,(6),,,,,,,,,,,,(6),,,,,,,,,,,,(6),,,,,,,,(6),(6),,,,,,,,(4),(6),,,,,,,,,,(5),(5),(6),,,,,,,,(6),(6),,,(6),,(6),,(6),,(5),(6),(6),(6),(6)
仙台_仙台,発,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0530,,,,,,,,,0631,,,,,,,,,,0718,,,,,,,,,0812,,,,,,,0850,,,,,0934,1014,,,,,,,,,1036,,,,,,,,,,,,,,,1140,,,,,,,,,,,,,,1240,,,,,,,,,,,,1340,,,,,,,,,,,,1440,,,,,,,,1534,1606,,,,,,,,1616,1635,,,,,,,,,,1708,1730,1802,,,,,,,,1811,1840,,,1910,,1940,,2010,,2040,2110,2140,2240,2332
長町_長町,発,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0535,,,,,,,,,0636,,,,,,,,,,0723,,,,,,,,,0817,,,,,,,0855,,,,,0939,レ,,,,,,,,,1041,,,,,,,,,,,,,,,1145,,,,,,,,,,,,,,1245,,,,,,,,,,,,1345,,,,,,,,,,,,1445,,,,,,,,1539,レ,,,,,,,,1621,1640,,,,,,,,,,1712,1735,レ,,,,,,,,1816,1845,,,1915,,1945,,2015,,2045,2115,2145,2245,2337
太子堂_太子堂,発,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0537,,,,,,,,,0638,,,,,,,,,,0725,,,,,,,,,0819,,,,,,,0857,,,,,0941,レ,,,,,,,,,1043,,,,,,,,,,,,,,,1147,,,,,,,,,,,,,,1247,,,,,,,,,,,,1347,,,,,,,,,,,,1447,,,,,,,,1541,レ,,,,,,,,1623,1642,,,,,,,,,,1714,1737,レ,,,,,,,,1818,1847,,,1917,,1947,,2017,,2047,2117,2147,2247,2339
南仙台_南仙台,発,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0540,,,,,,,,,0641,,,,,,,,,,0728,,,,,,,,,0822,,,,,,,0900,,,,,0944,レ,,,,,,,,,1046,,,,,,,,,,,,,,,1150,,,,,,,,,,,,,,1250,,,,,,,,,,,,1350,,,,,,,,,,,,1450,,,,,,,,1544,レ,,,,,,,,1626,1645,,,,,,,,,,1717,1740,レ,,,,,,,,1821,1850,,,1920,,1950,,2020,,2050,2120,2150,2250,2342
名取_名取,発,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0543,,,,,,,,,0644,,,,,,,,,,0732,,,,,,,,,0826,,,,,,,0904,,,,,0947,レ,,,,,,,,,1049,,,,,,,,,,,,,,,1154,,,,,,,,,,,,,,1254,,,,,,,,,,,,1354,,,,,,,,,,,,1454,,,,,,,,1547,レ,,,,,,,,1630,1649,,,,,,,,,,1721,1744,レ,,,,,,,,1825,1854,,,1923,,1954,,2024,,2054,2124,2154,2254,2345
館腰_館腰,発,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0546,,,,,,,,,0648,,,,,,,,,,0735,,,,,,,,,0829,,,,,,,0907,,,,,0951,レ,,,,,,,,,1053,,,,,,,,,,,,,,,1157,,,,,,,,,,,,,,1257,,,,,,,,,,,,1357,,,,,,,,,,,,1457,,,,,,,,1551,レ,,,,,,,,1633,1652,,,,,,,,,,1724,1747,レ,,,,,,,,1828,1857,,,1926,,1957,,2027,,2057,2127,2157,2257,2348
