列車番号,,433H,471H,531H,321M,551H,533H,323M,325M,681H,671H,327M,631H,1129M,683H,331M,751H,735H,2333M,733H,1135M,1135M,787H,2337M,871H,881H,339M,831H,889H,883H,343M,885H,951H,1145M,933H,1147M,987H,971H,1149M,981H,1031H,1151M,1083H,1035H,1153M,1085H,1155M,1151H,1157M,1171H,1159M,1189H,1161M,1281H,1163M,1283H,1165M,1287H,1167M,1351H,1351H,1169M,1371H,1171M,1385H,1173M,1481H,1481H,1175M,1483H,1177M,1489H,1179M,1551H,3181M,383M,1571H,1185M,1587H,1187M,1681H,3189M,391M,1661H,1193M,1683H,1195M,1771H,1197M,1791H,1751H,1199M,1781H,421M,1793H,1889H,1223M,1885H,2425M,1883H,1227M,1863H,429M,1971H,1231M,1965H,2433M,1951H,1235M,1991H,2437M,2061H,1239M,2081H,441M,2083H,1243M,2089H,445M,2165H,1247M,2171H,449M,2193H,1251M,2151H,2453M,2191H,1255M,2263H,2281H,1257M,2283H,2365H,1259M,2361H,2371H,2461M,2385H,2493H,2491H,2463H,2483H
列車名_列車名,,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,特別快速_特別快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,特別快速_特別快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速,快速_快速
設備,,_,_,_,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,_,グリーン車自由席___,_,_,_,グリーン車自由席___,_,_,グリーン車自由席___,_,グリーン車自由席___,_,_,グリーン車自由席___,_,_,グリーン車自由席___,_,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,_,グリーン車自由席___,_,グリーン車自由席___,_,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,_,グリーン車自由席___,_,_,グリーン車自由席___,_,_,グリーン車自由席___,_,_,_,_,_
運転日,,全日,全日,全日,全日,全日,全日,全日,全日,全日,土休日,全日,土休日,全日,土休日,全日,土休日,全日,全日,土休日,土休日,1月28日はこの時刻に変更__時変_1月28日はこの時刻に変更_,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,全日,全日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,全日,土休日,土休日,全日,土休日,全日,土休日,全日,全日,土休日,土休日,全日,全日,全日,土休日,12月30・31日はこの時刻に変更__時変_12月30・31日はこの時刻に変更_,全日,土休日,全日,全日,土休日,土休日,12月30・31日はこの時刻に変更__時変_12月30・31日はこの時刻に変更_,全日,土休日,全日,土休日,土休日,土休日,全日,全日,土休日,全日,土休日,全日,全日,全日,全日,土休日,全日,土休日,全日,土休日,土休日,土休日,土休日,全日,土休日,全日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,全日,土休日,全日,土休日,全日,土休日,土休日,全日,全日,土休日,全日,土休日,全日,全日,全日,土休日,全日,土休日,土休日,全日,土休日,土休日,土休日,土休日,全日
品川_品川,発,,,,,,,,,,,,,0635,,,,,,,0723,0723,,,,,,,,,,,,0856,,0909,,,0923,,,0955,,,1016,,1033,,1055,,1117,,1135,,1155,,1217,,1235,,,1255,,1317,,1336,,,1355,,1417,,1435,,1455,,,1517,,1535,,1555,,,1617,,1635,,1654,1703,,1717,,,1735,,1753,1804,,,1824,1833,,,1854,1901,,,1926,1933,,,1954,2002,,,2024,2032,,,2054,2102,,,2126,2139,,2155,2206,,2223,2234,,,2256,,,,,,,,
新橋_新橋,発,,,,,,,,,,,,,0640,,,,,,,0729,0729,,,,,,,,,,,,0902,,0914,,,0929,,,1000,,,1022,,1039,,1100,,1123,,1140,,1200,,1223,,1240,,,1300,,1323,,1341,,,1400,,1423,,1440,,1500,,,1523,,1540,,1600,,,1623,,1640,,1659,1708,,1723,,,1741,,1759,1809,,,1830,1839,,,1859,1907,,,1931,1938,,,1959,2007,,,2029,2037,,,2059,2107,,,2132,2144,,2200,2211,,2229,2239,,,2301,,,,,,,,
東京_東京,発,,,,,,,,,,,,,0644,,,,,,,0732,0732,,,,,,,,,,,,0906,,0918,,,0935,,,1005,,,1026,,1044,,1105,,1126,,1145,,1205,,1226,,1245,,,1305,,1326,,1345,,,1405,,1426,,1444,,1505,,,1526,,1545,,1605,,,1626,,1644,,1703,1712,,1727,,,1746,,1803,1813,,,1834,1842,,,1903,1911,,,1935,1942,,,2003,2011,,,2033,2041,,,2103,2111,,,2136,2148,,2204,2215,,2233,2243,,,2305,,,,,,,,
上野番線_上野番線,,,(9),(12),(9),(11),(12),,(9),(11),(12),(9),(12),(6),(11),(10),(12),(11),(9),(11),(6),(6),(12),(10),(12),(11),(10),(11),(12),(11),(10),(11),(12),(6),(11),(6),(12),(11),(6),(12),(11),(6),(12),(11),(6),(12),(6),(11),(6),(12),(6),(11),(6),(12),(6),(11),(6),(12),(6),(11),12月30・31日はこの時刻に変更__(11)_12月30・31日はこの時刻に変更_,(6),(12),(6),(11),(6),(12),12月30・31日はこの時刻に変更__(12)_12月30・31日はこの時刻に変更_,(6),(11),(6),(12),(6),(11),(6),(8),(12),(6),(11),(6),(12),(6),(8),(11),(6),(12),(6),(11),(6),(6),(12),(6),(11),(10),(6),(12),(6),(6),(10),(11),(6),(6),(10),(12),(6),(6),(10),(12),(6),(6),(10),(11),(6),(6),(10),(12),(6),(6),(9),(11),(6),(6),(10),(12),(6),(6),(10),(6),(6),(12),(6),(6),(11),(10),(6),(11),(12),(10),(11),(12),(11),(12),(11)
上野_上野,発,,0433,0503,0511,0531,0551,,0604,0613,0622,0631,0641,0649,0654,0702,0710,0716,0724,0734,0741,0741,0748,0753,0803,0811,0817,0825,0834,0839,0849,0857,0905,0912,0918,0925,0934,0938,0944,0954,1008,1012,1017,1021,1032,1039,1051,1102,1112,1122,1132,1142,1152,1202,1212,1222,1232,1242,1252,1302,12月30・31日はこの時刻に変更__1302_12月30・31日はこの時刻に変更_,1312,1322,1332,1342,1352,1402,12月30・31日はこの時刻に変更__1402_12月30・31日はこの時刻に変更_,1412,1422,1432,1442,1452,1502,1511,1513,1522,1532,1542,1551,1602,1611,1613,1623,1632,1642,1651,1702,1709,1718,1724,1733,1740,1747,1754,1802,1810,1819,1824,1833,1840,1849,1854,1902,1910,1917,1924,1933,1941,1949,1954,2004,2010,2017,2024,2033,2041,2047,2054,2103,2110,2117,2126,2134,2144,2154,2202,2211,2222,2232,2240,2249,2255,2303,2312,2321,2331,2342,2349,0000,0012,0023,0033
日暮里_日暮里,発,,0436,0506,0514,0534,0554,,0607,0616,0625,0634,0644,0654,0657,0706,0713,0719,0727,0737,0744,0744,0751,0757,0806,0814,0821,0828,0837,0842,0852,0900,0908,0915,0921,0928,0937,0941,0947,0957,1011,1016,1020,1024,1037,1042,1054,1105,1116,1125,1136,1145,1155,1205,1216,1225,1236,1245,1255,1305,12月30・31日はこの時刻に変更__1305_12月30・31日はこの時刻に変更_,1316,1325,1336,1345,1355,1405,12月30・31日はこの時刻に変更__1405_12月30・31日はこの時刻に変更_,1416,1425,1436,1445,1455,1505,1514,1517,1525,1536,1545,1555,1605,1614,1617,1626,1636,1645,1655,1705,1713,1722,1727,1737,1743,1750,1757,1805,1813,1822,1827,1836,1844,1853,1858,1905,1914,1921,1927,1936,1945,1952,1958,2007,2013,2020,2027,2036,2045,2051,2057,2106,2113,2121,2129,2137,2148,2157,2206,2215,2226,2235,2243,2253,2258,2306,2315,2324,2334,2346,2352,0003,0015,0026,0036
