列車番号,,221M,223M,225M,227M,663M,229M,231M,233M,665M,521M,235M,667M,523M,525M,237M,669M,527M,621M,321M,529M,239M,531M,2723M,2723M,623M,671M,323M,325M,9031M,725M,241M,533M,327M,9035M,729M,535M,535M,1129M,1129M,1M,1M,1M,331M,9037M,2333M,51M,51M,731M,731M,673M,1135M,1135M,9039M,537M,625M,625M,2337M,3M,3M,3M,735M,735M,243M,539M,539M,9021M,9025M,627M,627M,737M,737M,9023M,541M,339M,339M,339M,53M,53M,343M,343M,5M,5M,5M,1145M,1145M,1147M,55M,55M,245M,1149M,7M,7M,675M,543M,545M,247M,629M,629M,1151M,57M,57M,1153M,1155M,9M,9M,547M,743M,743M,677M,631M,631M,9041M,549M,1157M,59M,59M,249M,633M,633M,1159M,1161M,11M,11M,551M,635M,635M,251M,553M,1163M,61M,61M,637M,637M,1165M,1167M,13M,13M,679M,555M,253M,639M,639M,639M,9043M,681M,557M,557M,1169M,63M,63M,641M,641M,255M,257M,559M,1171M,643M,643M,643M,1173M,1173M,15M,15M,9045M,683M,259M,561M,1175M,1175M,65M,65M,261M,563M,565M,1177M,1177M,1179M,17M,17M,3181M,685M,567M,569M,383M,383M,67M,1185M,571M,1187M,19M,263M,687M,9047M,3189M,391M,69M,69M,265M,689M,267M,573M,1193M,691M,1195M,21M,761M,1197M,71M,269M,575M,763M,1199M,421M,23M,765M,1223M,2425M,73M,693M,271M,273M,577M,1227M,769M,429M,25M,695M,579M,1231M,2433M,75M,1235M,2437M,27M,1239M,581M,441M,77M,1243M,445M,29M,1247M,583M,449M,79M,1251M,81M,2453M,1255M,83M,1257M,85M,1259M,2461M
列車名_列車名,,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ときわ３１号（百里基地航空祭号）_特急 ときわ３１号（百里基地航空祭号）,普通_普通,普通_普通,普通_普通,普通_普通,特急 ときわ３５号（勝田全国マラソン３５号）_特急 ときわ３５号（勝田全国マラソン３５号）,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ひたち1号_特急 ひたち1号,特急 ひたち1号_特急 ひたち1号,特急 ひたち1号_特急 ひたち1号,普通_普通,特急 ときわ３７号（勝田全国マラソン３７号）_特急 ときわ３７号（勝田全国マラソン３７号）,普通_普通,特急 ときわ51号_特急 ときわ51号,特急 ときわ51号_特急 ときわ51号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ときわ３９号（勝田全国マラソン３９号）_特急 ときわ３９号（勝田全国マラソン３９号）,普通_普通,普通_普通,普通_普通,普通_普通,特急 ひたち3号_特急 ひたち3号,特急 ひたち3号_特急 ひたち3号,特急 ひたち3号_特急 ひたち3号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 水戸偕楽園高尾号_特急 水戸偕楽園高尾号,特急 冬を満喫！海浜公園号_特急 冬を満喫！海浜公園号,普通_普通,普通_普通,普通_普通,普通_普通,特急 冬満喫ひたち巡り旅号_特急 冬満喫ひたち巡り旅号,普通_普通,普通_普通,普通_普通,普通_普通,特急 ときわ53号_特急 ときわ53号,特急 ときわ53号_特急 ときわ53号,普通_普通,普通_普通,特急 ひたち5号_特急 ひたち5号,特急 ひたち5号_特急 ひたち5号,特急 ひたち5号_特急 ひたち5号,普通_普通,普通_普通,普通_普通,特急 ときわ55号_特急 ときわ55号,特急 ときわ55号_特急 ときわ55号,普通_普通,普通_普通,特急 ひたち7号_特急 ひたち7号,特急 ひたち7号_特急 ひたち7号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ときわ57号_特急 ときわ57号,特急 ときわ57号_特急 ときわ57号,普通_普通,普通_普通,特急 ひたち9号_特急 ひたち9号,特急 ひたち9号_特急 ひたち9号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ときわ41号_特急 ときわ41号,普通_普通,普通_普通,特急 ときわ59号_特急 ときわ59号,特急 ときわ59号_特急 ときわ59号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ひたち11号_特急 ひたち11号,特急 ひたち11号_特急 ひたち11号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ときわ61号_特急 ときわ61号,特急 ときわ61号_特急 ときわ61号,普通_普通,普通_普通,普通_普通,普通_普通,特急 ひたち13号_特急 ひたち13号,特急 ひたち13号_特急 ひたち13号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ときわ43号_特急 ときわ43号,普通_普通,普通_普通,普通_普通,普通_普通,特急 ときわ63号_特急 ときわ63号,特急 ときわ63号_特急 ときわ63号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ひたち15号_特急 ひたち15号,特急 ひたち15号_特急 ひたち15号,特急 ときわ45号_特急 ときわ45号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ときわ65号_特急 ときわ65号,特急 ときわ65号_特急 ときわ65号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ひたち17号_特急 ひたち17号,特急 ひたち17号_特急 ひたち17号,特別快速_特別快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ときわ67号_特急 ときわ67号,普通_普通,普通_普通,普通_普通,特急 ひたち19号_特急 ひたち19号,普通_普通,普通_普通,特急 ときわ47号_特急 ときわ47号,特別快速_特別快速,普通_普通,特急 ときわ69号_特急 ときわ69号,特急 ときわ69号_特急 ときわ69号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ひたち21号_特急 ひたち21号,普通_普通,普通_普通,特急 ときわ71号_特急 ときわ71号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ひたち23号_特急 ひたち23号,普通_普通,普通_普通,普通_普通,特急 ときわ73号_特急 ときわ73号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ひたち25号_特急 ひたち25号,普通_普通,普通_普通,普通_普通,普通_普通,特急 ときわ75号_特急 ときわ75号,普通_普通,普通_普通,特急 ひたち27号_特急 ひたち27号,普通_普通,普通_普通,普通_普通,特急 ときわ77号_特急 ときわ77号,普通_普通,普通_普通,特急 ひたち29号_特急 ひたち29号,普通_普通,普通_普通,普通_普通,特急 ときわ79号_特急 ときわ79号,普通_普通,特急 ときわ81号_特急 ときわ81号,普通_普通,普通_普通,特急 ときわ83号_特急 ときわ83号,普通_普通,特急 ときわ85号_特急 ときわ85号,普通_普通,普通_普通
設備,,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,グリーン車自由席___,グリーン車自由席___,_,_,_,_,_,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,_,_,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,_,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,_,_,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,_,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,_,_,グリーン車指定席_普通車全車指定席____,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,_,_,_,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,_,_,_,_,グリーン車指定席_普通車全車指定席____,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,_,_,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,_,_,_,_,グリーン車指定席_普通車全車指定席____,_,_,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,_,_,_,グリーン車自由席___,_,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,_,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,_,_,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,_,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,_,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,_,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,_,_,_,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___
運転日,,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,12月17日はこの時刻に変更__時変_12月17日はこの時刻に変更_,全日,全日,全日,全日,12月17日運転__◆_12月17日運転_,全日,全日,全日,全日,1月28日運転__◆_1月28日運転_,全日,全日,1月28日はこの時刻に変更__時変_1月28日はこの時刻に変更_,全日,1月28日はこの時刻に変更__時変_1月28日はこの時刻に変更_,全日,石岡停車は12月17日__臨停_石岡停車は12月17日_,友部停車は12月24日までの土曜・休日と1月6日～2月25日の土曜・休日__臨停_友部停車は12月24日までの土曜・休日と1月6日～2月25日の土曜・休日_,全日,1月28日運転__◆_1月28日運転_,全日,全日,1月28日はこの時刻に変更__時変_1月28日はこの時刻に変更_,全日,1月28日はこの時刻に変更__時変_1月28日はこの時刻に変更_,全日,土休日,1月28日はこの時刻に変更__時変_1月28日はこの時刻に変更_,1月28日運転__◆_1月28日運転_,全日,全日,偕楽園停車は2月10～25日の土曜・休日__臨停_偕楽園停車は2月10～25日の土曜・休日_,土休日,土休日,偕楽園停車は2月10～25日の土曜・休日__臨停_偕楽園停車は2月10～25日の土曜・休日_,石岡停車は12月17日__臨停_石岡停車は12月17日_,全日,偕楽園停車は2月10～25日の土曜・休日__臨停_偕楽園停車は2月10～25日の土曜・休日_,全日,全日,12月23・24日はこの時刻に変更__時変_12月23・24日はこの時刻に変更_,2月23～25日運転__◆_2月23～25日運転_,12月23・24日運転__◆_12月23・24日運転_,全日,偕楽園停車は2月10～25日の土曜・休日__臨停_偕楽園停車は2月10～25日の土曜・休日_,全日,偕楽園停車は2月10～25日の土曜・休日__臨停_偕楽園停車は2月10～25日の土曜・休日_,12月9日運転__◆_12月9日運転_,全日,土休日,12月9日はこの時刻に変更__時変_12月9日はこの時刻に変更_,偕楽園停車は2月10～25日の土曜・休日__臨停_偕楽園停車は2月10～25日の土曜・休日_,土休日,偕楽園停車は2月10～25日の土曜・休日__臨停_偕楽園停車は2月10～25日の土曜・休日_,全日,偕楽園停車は2月10～25日の土曜・休日__臨停_偕楽園停車は2月10～25日の土曜・休日_,土休日,12月23・24日はこの時刻に変更__時変_12月23・24日はこの時刻に変更_,偕楽園停車は2月10～25日の土曜・休日__臨停_偕楽園停車は2月10～25日の土曜・休日_,土休日,偕楽園停車は2月10～25日の土曜・休日__臨停_偕楽園停車は2月10～25日の土曜・休日_,土休日,土休日,偕楽園停車は2月10～25日の土曜・休日__臨停_偕楽園停車は2月10～25日の土曜・休日_,全日,土休日,全日,偕楽園停車は2月10～25日の土曜・休日__臨停_偕楽園停車は2月10～25日の土曜・休日_,全日,全日,全日,全日,全日,偕楽園停車は2月10～25日の土曜・休日__臨停_偕楽園停車は2月10～25日の土曜・休日_,土休日,全日,偕楽園停車は2月10～25日の土曜・休日__臨停_偕楽園停車は2月10～25日の土曜・休日_,土休日,土休日,全日,偕楽園停車は2月10～25日の土曜・休日__臨停_偕楽園停車は2月10～25日の土曜・休日_,全日,全日,偕楽園停車は2月10～25日の土曜・休日__臨停_偕楽園停車は2月10～25日の土曜・休日_,全日,全日,偕楽園停車は2月10～25日の土曜・休日__臨停_偕楽園停車は2月10～25日の土曜・休日_,12月29・30日運転__◆_12月29・30日運転_,全日,全日,全日,偕楽園停車は2月10～25日の土曜・休日__臨停_偕楽園停車は2月10～25日の土曜・休日_,全日,全日,偕楽園停車は2月10～25日の土曜・休日__臨停_偕楽園停車は2月10～25日の土曜・休日_,全日,全日,全日,偕楽園停車は2月10～25日の土曜・休日__臨停_偕楽園停車は2月10～25日の土曜・休日_,全日,全日,偕楽園停車は2月10～25日の土曜・休日__臨停_偕楽園停車は2月10～25日の土曜・休日_,全日,全日,土休日,全日,偕楽園停車は2月10～25日の土曜・休日__臨停_偕楽園停車は2月10～25日の土曜・休日_,全日,偕楽園停車は2月10～25日の土曜・休日__臨停_偕楽園停車は2月10～25日の土曜・休日_,全日,全日,全日,偕楽園停車は2月10～25日の土曜・休日__臨停_偕楽園停車は2月10～25日の土曜・休日_,全日,全日,全日,全日,12月30・31日はこの時刻に変更__時変_12月30・31日はこの時刻に変更_,偕楽園停車は2月10～25日の土曜・休日__臨停_偕楽園停車は2月10～25日の土曜・休日_,12月30・31日運転__◆_12月30・31日運転_,全日,全日,12月30・31日はこの時刻に変更__時変_12月30・31日はこの時刻に変更_,全日,全日,偕楽園停車は2月10～25日の土曜・休日__臨停_偕楽園停車は2月10～25日の土曜・休日_,全日,偕楽園停車は2月10～25日の土曜・休日__臨停_偕楽園停車は2月10～25日の土曜・休日_,全日,全日,全日,全日,全日,12月29～31日はこの時刻に変更__時変_12月29～31日はこの時刻に変更_,偕楽園停車は2月10～25日の土曜・休日__臨停_偕楽園停車は2月10～25日の土曜・休日_,土休日,偕楽園停車は2月10～25日の土曜・休日__臨停_偕楽園停車は2月10～25日の土曜・休日_,全日,偕楽園停車は2月10～25日の土曜・休日__臨停_偕楽園停車は2月10～25日の土曜・休日_,12月29～31日運転__◆_12月29～31日運転_,全日,全日,全日,全日,偕楽園停車は2月10～25日の土曜・休日__臨停_偕楽園停車は2月10～25日の土曜・休日_,全日,偕楽園停車は2月10～25日の土曜・休日__臨停_偕楽園停車は2月10～25日の土曜・休日_,全日,全日,全日,全日,偕楽園停車は2月10～25日の土曜・休日__臨停_偕楽園停車は2月10～25日の土曜・休日_,土休日,全日,偕楽園停車は2月10～25日の土曜・休日__臨停_偕楽園停車は2月10～25日の土曜・休日_,全日,全日,全日,全日,全日,12月29・31日はこの時刻に変更__時変_12月29・31日はこの時刻に変更_,全日,全日,全日,全日,全日,全日,全日,12月29・31日運転__◆_12月29・31日運転_,全日,全日,全日,12月29・31日・1月4日はこの時刻に変更__時変_12月29・31日・1月4日はこの時刻に変更_,全日,全日,全日,全日,全日,土休日,全日,全日,全日,土休日,全日,全日,全日,全日,全日,全日,全日,全日,土休日,土休日,土休日,全日,全日,全日,全日,土休日,全日,土休日,全日,全日,全日,土休日,土休日,全日,土休日,土休日,全日,土休日,全日,土休日,全日,土休日,全日,全日,全日,全日,全日,全日,土休日,全日,全日,全日,全日,全日,全日,全日,全日
前の区間,,,,,,,,,,,,,,,,,,,,,,,,↑,↑,,,,,,↑,,,,,↑,,,,,,,,,,,,,↑,↑,,,,,,,,,,,,↑,↑,,,,↑,↑,,,↑,↑,↑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,↑,↑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,↑,,,,,↑,,,,↑,,,,,,,,,↑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
始発,,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,小山_0557_小山_0557,小山_0557_小山_0557,___,___,___,___,___,小山_0627_小山_0627,___,___,___,___,小山_0707_小山_0707,___,___,___,___,___,___,___,___,___,___,___,___,小山_0733_小山_0733,小山_0733_小山_0733,___,___,___,___,___,___,___,___,___,___,___,小山_0823_小山_0823,小山_0823_小山_0823,___,___,___,高尾_0745_高尾_0745,高崎_0722_高崎_0722,___,___,小山_0908_小山_0908,小山_0908_小山_0908,大宮_0843_大宮_0843,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,小山_1036_小山_1036,小山_1036_小山_1036,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,小山_1737_小山_1737,___,___,___,___,小山_1805_小山_1805,___,___,___,小山_1838_小山_1838,___,___,___,___,___,___,___,___,小山_1937_小山_1937,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___
品川番線_品川番線,,,,,,,,,,,,,,,,,,,,,,,,・,・,,,,,,・,,,,(9),・,,,(10),(10),(9),(9),(9),,(10),,(9),(9),・,・,,(10),(10),,,,,,(9),(9),(9),・,・,,,,・,・,,,・,・,・,,,,,(9),(9),,,(9),(9),(9),(11),(11),(10),(9),(9),,(10),(9),(9),,,,,,,(10),(9),(9),(10),(11),(9),(9),,・,・,,,,,,(10),(9),(9),,,,(10),(11),(9),(9),,,,,,(10),(9),(9),,,(10),(11),(9),(9),,,,,,,,,,,(10),(9),(9),,,,,,(10),,,,(11),(11),(9),(9),,,,,(10),(10),(9),(9),,,,(10),(10),(11),(9),(9),(10),,,,,,(9),(10),,(11),(9),,,,(10),,(9),(9),,,,,(10),,(11),(9),・,(10),(9),,,・,(10),,(9),・,(10),,(9),,,,,(10),・,,(9),,,(10),,(9),(10),,(9),(10),,,(9),(10),,(9),(10),,,(9),(10),(9),,(11),(9),(11),(9),(10),
品川_品川,発,,,,,,,,,,,,,,,,,,,,,,,・,・,,,,,,・,,,,0623,・,,,0635,0635,0645,0645,0645,,0652,,0715,0715,・,・,,0723,0723,,,,,,0743,0743,0743,・,・,,,,・,・,,,・,・,・,,,,,0815,0815,,,0845,0845,0845,0856,0856,0909,0915,0915,,0923,0945,0945,,,,,,,0955,1014,1014,1016,1033,1045,1045,,・,・,,,,,,1055,1115,1115,,,,1117,1135,1145,1145,,,,,,1155,1215,1215,,,1217,1235,1245,1245,,,,,,,,,,,1255,1315,1315,,,,,,1317,,,,1336,1336,1345,1345,,,,,1355,1355,1415,1415,,,,1417,1417,1435,1445,1445,1455,,,,,,1515,1517,,1535,1545,,,,1555,,1615,1615,,,,,1617,,1635,1645,・,1654,1715,,,・,1717,,1745,・,1753,,1815,,,,,1824,・,,1845,,,1854,,1915,1926,,1945,1954,,,2015,2024,,2045,2054,,,2115,2126,2145,,2206,2215,2234,2245,2256,
新橋_新橋,発,,,,,,,,,,,,,,,,,,,,,,,・,・,,,,,,・,,,,レ,・,,,0640,0640,レ,レ,レ,,レ,,レ,レ,・,・,,0729,0729,,,,,,レ,レ,レ,・,・,,,,・,・,,,・,・,・,,,,,レ,レ,,,レ,レ,レ,0902,0902,0914,レ,レ,,0929,レ,レ,,,,,,,1000,レ,レ,1022,1039,レ,レ,,・,・,,,,,,1100,レ,レ,,,,1123,1140,レ,レ,,,,,,1200,レ,レ,,,1223,1240,レ,レ,,,,,,,,,,,1300,レ,レ,,,,,,1323,,,,1341,1341,レ,レ,,,,,1400,1400,レ,レ,,,,1423,1423,1440,レ,レ,1500,,,,,,レ,1523,,1540,レ,,,,1600,,レ,レ,,,,,1623,,1640,レ,・,1659,レ,,,・,1723,,レ,・,1759,,レ,,,,,1830,・,,レ,,,1859,,レ,1931,,レ,1959,,,レ,2029,,レ,2059,,,レ,2132,レ,,2211,レ,2239,レ,2301,
東京_東京,発,,,,,,,,,,,,,,,,,,,,,,,・,・,,,,,,・,,,,0633,・,,,0644,0644,0653,0653,0653,,0701,,0723,0723,・,・,,0732,0732,,,,,,0753,0753,0753,・,・,,,,・,・,,,・,・,・,,,,,0824,0824,,,0853,0853,0853,0906,0906,0918,0924,0924,,0935,0953,0953,,,,,,,1005,1023,1023,1026,1044,1053,1053,,・,・,,,,,,1105,1123,1123,,,,1126,1145,1153,1153,,,,,,1205,1223,1223,,,1226,1245,1253,1253,,,,,,,,,,,1305,1323,1323,,,,,,1326,,,,1345,1345,1353,1353,,,,,1405,1405,1423,1423,,,,1426,1426,1444,1453,1453,1505,,,,,,1523,1526,,1545,1553,,,,1605,,1623,1623,,,,,1626,,1644,1653,・,1703,1723,,,・,1727,,1753,・,1803,,1823,,,,,1834,・,,1853,,,1903,,1923,1935,,1953,2003,,,2023,2033,,2054,2103,,,2123,2136,2153,,2215,2223,2243,2253,2305,
上野_上野,着,,,,,,,,,,,,,,,,,,,,,,,・,・,,,,,,・,,,,0638,・,,,0648,0648,0658,0658,0658,,0706,,0728,0728,・,・,,0738,0738,,,,,,0758,0758,0758,・,・,,,,・,・,,,・,・,・,,,,,0829,0829,,,0858,0858,0858,0911,0911,0924,0929,0929,,0941,0958,0958,,,,,,,1010,1028,1028,1031,1049,1058,1058,,・,・,,,,,,1110,1128,1128,,,,1131,1150,1158,1158,,,,,,1210,1228,1228,,,1231,1250,1258,1258,,,,,,,,,,,1310,1328,1328,,,,,,1331,,,,1350,1350,1358,1358,,,,,1410,1410,1428,1428,,,,1431,1431,1449,1458,1458,1510,,,,,,1528,1531,,1550,1558,,,,1610,,1628,1628,,,,,1631,,1649,1658,・,1708,1729,,,・,1732,,1758,・,1808,,1828,,,,,1839,・,,1858,,,1908,,1929,1940,,1958,2008,,,2029,2039,,2059,2108,,,2129,2142,2158,,2221,2228,2248,2259,2310,
