列車番号,,221M,223M,225M,227M,663M,229M,231M,233M,665M,521M,235M,667M,523M,525M,237M,669M,527M,621M,321M,529M,239M,531M,2723M,623M,671M,323M,325M,725M,241M,533M,327M,729M,535M,1129M,1M,331M,2333M,51M,731M,673M,1135M,537M,625M,2337M,3M,735M,243M,539M,627M,737M,541M,339M,2053M,2341M,343M,5M,345M,1147M,55M,245M,1149M,7M,675M,543M,545M,247M,629M,1151M,57M,1153M,1155M,9M,547M,743M,677M,631M,9041M,549M,1157M,59M,249M,633M,1159M,1161M,11M,551M,635M,251M,553M,1163M,61M,637M,1165M,1167M,13M,679M,555M,253M,639M,681M,557M,1169M,63M,641M,255M,257M,559M,1171M,643M,643M,1173M,15M,9045M,683M,259M,561M,1175M,65M,261M,563M,565M,1177M,1179M,17M,3181M,685M,567M,569M,383M,383M,67M,1185M,571M,1187M,19M,263M,687M,9047M,3189M,391M,69M,69M,265M,689M,267M,573M,1193M,691M,1195M,21M,761M,1197M,71M,269M,575M,763M,1199M,421M,23M,765M,1223M,2425M,73M,693M,271M,273M,577M,1227M,769M,429M,429M,25M,695M,579M,1231M,9097M,2433M,75M,1235M,2437M,27M,1239M,581M,441M,77M,1243M,445M,29M,1247M,583M,449M,79M,1251M,81M,2453M,1255M,83M,1257M,85M,1259M,2461M
列車名_列車名,,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ひたち1号_特急 ひたち1号,普通_普通,普通_普通,特急 ときわ51号_特急 ときわ51号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ひたち3号_特急 ひたち3号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ときわ53号_特急 ときわ53号,普通_普通,普通_普通,特急 ひたち5号_特急 ひたち5号,普通_普通,普通_普通,特急 ときわ55号_特急 ときわ55号,普通_普通,普通_普通,特急 ひたち7号_特急 ひたち7号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ときわ57号_特急 ときわ57号,普通_普通,普通_普通,特急 ひたち9号_特急 ひたち9号,普通_普通,普通_普通,普通_普通,普通_普通,特急 ときわ41号_特急 ときわ41号,普通_普通,普通_普通,特急 ときわ59号_特急 ときわ59号,普通_普通,普通_普通,普通_普通,普通_普通,特急 ひたち11号_特急 ひたち11号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ときわ61号_特急 ときわ61号,普通_普通,普通_普通,普通_普通,特急 ひたち13号_特急 ひたち13号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ときわ63号_特急 ときわ63号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ひたち15号_特急 ひたち15号,特急 ときわ45号_特急 ときわ45号,普通_普通,普通_普通,普通_普通,普通_普通,特急 ときわ65号_特急 ときわ65号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ひたち17号_特急 ひたち17号,特別快速_特別快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ときわ67号_特急 ときわ67号,普通_普通,普通_普通,普通_普通,特急 ひたち19号_特急 ひたち19号,普通_普通,普通_普通,特急 ときわ47号_特急 ときわ47号,特別快速_特別快速,普通_普通,特急 ときわ69号_特急 ときわ69号,特急 ときわ69号_特急 ときわ69号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ひたち21号_特急 ひたち21号,普通_普通,普通_普通,特急 ときわ71号_特急 ときわ71号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ひたち23号_特急 ひたち23号,普通_普通,普通_普通,普通_普通,特急 ときわ73号_特急 ときわ73号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ひたち25号_特急 ひたち25号,普通_普通,普通_普通,普通_普通,特急 ときわ97号_特急 ときわ97号,普通_普通,特急 ときわ75号_特急 ときわ75号,普通_普通,普通_普通,特急 ひたち27号_特急 ひたち27号,普通_普通,普通_普通,普通_普通,特急 ときわ77号_特急 ときわ77号,普通_普通,普通_普通,特急 ひたち29号_特急 ひたち29号,普通_普通,普通_普通,普通_普通,特急 ときわ79号_特急 ときわ79号,普通_普通,特急 ときわ81号_特急 ときわ81号,普通_普通,普通_普通,特急 ときわ83号_特急 ときわ83号,普通_普通,特急 ときわ85号_特急 ときわ85号,普通_普通,普通_普通
設備,,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,グリーン車自由席___,グリーン車自由席___,_,_,_,_,_,_,グリーン車自由席___,グリーン車自由席___,_,_,_,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,_,_,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,_,_,_,_,_,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,_,_,_,_,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,_,_,_,_,グリーン車指定席_普通車全車指定席____,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,_,_,_,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,_,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,_,_,_,_,_,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,_,_,_,_,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,_,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,_,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,_,_,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,_,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,_,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,_,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,_,_,_,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,_,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___
運転日,,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,平日,全日,全日,平日,平日,全日,全日,全日,全日,全日,全日,平日,平日,平日,全日,平日,平日,平日,平日,全日,平日,全日,全日,全日,全日,全日,全日,平日,全日,平日,平日,全日,全日,全日,全日,全日,12月29・30日運転__◆_12月29・30日運転_,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,平日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,12月29～31日はこの時刻に変更__時変_12月29～31日はこの時刻に変更_,平日,全日,12月29～31日運転__◆_12月29～31日運転_,全日,全日,全日,全日,全日,全日,全日,全日,全日,平日,全日,全日,全日,全日,全日,全日,12月29・31日はこの時刻に変更__時変_12月29・31日はこの時刻に変更_,全日,全日,全日,全日,全日,全日,全日,12月29・31日運転__◆_12月29・31日運転_,全日,全日,全日,12月29・31日・1月4日はこの時刻に変更__時変_12月29・31日・1月4日はこの時刻に変更_,全日,全日,全日,全日,全日,平日,全日,全日,全日,平日,全日,全日,全日,全日,全日,全日,全日,全日,平日,平日,平日,全日,全日,全日,全日,平日,全日,平日,11月22日・12月1・8・15・22日・1月12・19・26日・2月2・9・16・22日はこの時刻に変更__時変_11月22日・12月1・8・15・22日・1月12・19・26日・2月2・9・16・22日はこの時刻に変更_,全日,全日,全日,平日,11月22日・12月1・8・15・22日・1月12・19・26日・2月2・9・16・22日運転__◆_11月22日・12月1・8・15・22日・1月12・19・26日・2月2・9・16・22日運転_,平日,全日,平日,平日,全日,平日,全日,平日,全日,平日,全日,全日,全日,全日,全日,全日,平日,全日,全日,全日,全日,全日,全日,全日,全日
前の区間,,,,,,,,,,,,,,,,,,,,,,,,↑,,,,,↑,,,,↑,,,,,,,↑,,,,,,,↑,,,,↑,,,,,,,,,,,,,,,,,,,,,,,,↑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,↑,,,,,↑,,,,↑,,,,,,,,,↑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
始発,,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,小山_0557_小山_0557,___,___,___,___,小山_0627_小山_0627,___,___,___,小山_0707_小山_0707,___,___,___,___,___,___,小山_0733_小山_0733,___,___,___,___,___,___,小山_0823_小山_0823,___,___,___,小山_0908_小山_0908,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,小山_1036_小山_1036,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,小山_1737_小山_1737,___,___,___,___,小山_1805_小山_1805,___,___,___,小山_1838_小山_1838,___,___,___,___,___,___,___,___,小山_1937_小山_1937,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___
品川番線_品川番線,,,,,,,,,,,,,,,,,,,,,,,,・,,,,,・,,,,・,,(10),(9),,,(9),・,,(10),,,,(9),・,,,,・,,,,,,(9),,(10),(9),,(10),(9),,,,,,(11),(9),(11),(10),(9),,・,,,,,(10),(9),,,(10),(11),(9),,,,,(11),(9),,(10),(11),(9),,,,,,,(10),(9),,,,,(10),,,(11),(9),,,,,(10),(9),,,,(10),(11),(9),(10),,,,,,(9),(10),,(11),(9),,,,(10),,(9),(9),,,,,(10),,(11),(9),・,(10),(9),,,・,(10),,(9),・,(10),,(9),,,,,(10),・,,,(9),,,(10),,,(9),(10),,(9),(10),,,(9),(10),,(9),(10),,,(9),(10),(9),,(11),(9),(11),(9),(10),
品川_品川,発,,,,,,,,,,,,,,,,,,,,,,,・,,,,,・,,,,・,,0635,0645,,,0715,・,,0722,,,,0743,・,,,,・,,,,,,0843,,0909,0915,,0933,0945,,,,,,0952,1014,1017,1036,1045,,・,,,,,1055,1115,,,1117,1135,1145,,,,,1155,1215,,1217,1235,1245,,,,,,,1255,1315,,,,,1317,,,1335,1345,,,,,1355,1415,,,,1417,1435,1445,1455,,,,,,1515,1517,,1535,1545,,,,1555,,1615,1615,,,,,1617,,1635,1645,・,1655,1715,,,・,1717,,1745,・,1748,,1815,,,,,1824,・,,,1845,,,1853,,,1915,1924,,1945,1954,,,2015,2024,,2045,2054,,,2115,2127,2145,,2206,2215,2234,2245,2256,
新橋_新橋,発,,,,,,,,,,,,,,,,,,,,,,,・,,,,,・,,,,・,,0640,レ,,,レ,・,,0727,,,,レ,・,,,,・,,,,,,レ,,0915,レ,,0938,レ,,,,,,0957,レ,1023,1041,レ,,・,,,,,1100,レ,,,1123,1140,レ,,,,,1200,レ,,1223,1240,レ,,,,,,,1300,レ,,,,,1323,,,1341,レ,,,,,1400,レ,,,,1423,1440,レ,1500,,,,,,レ,1523,,1540,レ,,,,1600,,レ,レ,,,,,1623,,1640,レ,・,1700,レ,,,・,1723,,レ,・,1753,,レ,,,,,1830,・,,,レ,,,1858,,,レ,1930,,レ,1959,,,レ,2029,,レ,2059,,,レ,2133,レ,,2211,レ,2239,レ,2301,
東京_東京,発,,,,,,,,,,,,,,,,,,,,,,,・,,,,,・,,,,・,,0644,0653,,,0723,・,,0732,,,,0752,・,,,,・,,,,,,0853,,0918,0924,,0943,0953,,,,,,1001,1023,1026,1045,1053,,・,,,,,1105,1123,,,1126,1145,1153,,,,,1205,1223,,1226,1245,1253,,,,,,,1305,1323,,,,,1326,,,1345,1353,,,,,1405,1423,,,,1426,1445,1453,1505,,,,,,1523,1526,,1545,1553,,,,1605,,1623,1623,,,,,1626,,1644,1653,・,1704,1723,,,・,1727,,1753,・,1759,,1823,,,,,1833,・,,,1853,,,1902,,,1923,1933,,1953,2003,,,2023,2033,,2054,2103,,,2123,2137,2153,,2215,2223,2243,2253,2305,
上野_上野,着,,,,,,,,,,,,,,,,,,,,,,,・,,,,,・,,,,・,,0648,0658,,,0728,・,,0738,,,,0758,・,,,,・,,,,,,0859,,0923,0929,,0949,0958,,,,,,1006,1028,1031,1050,1058,,・,,,,,1110,1128,,,1131,1150,1158,,,,,1210,1228,,1231,1250,1258,,,,,,,1310,1328,,,,,1331,,,1350,1358,,,,,1410,1428,,,,1431,1450,1458,1510,,,,,,1528,1531,,1550,1558,,,,1610,,1628,1628,,,,,1631,,1649,1658,・,1709,1729,,,・,1732,,1758,・,1805,,1829,,,,,1839,・,,,1858,,,1907,,,1929,1939,,1958,2008,,,2029,2039,,2059,2108,,,2129,2142,2158,,2221,2228,2248,2259,2310,
