列車番号,,701E,703E,591E,8699E,8491C,705E,481C,707E,1301C,3501E,6051C,709E,551E,401C,4401C,4073C,601E,303C,303C,3503E,603E,471C,4471C,305C,305C,711E,553E,2403C,4403C,8521E,9671E,307C,307C,307C,4081C,3505E,713E,555E,309C,9087C,605E,8605E,1311C,9675E,3507E,313C,557E,607E,8057C,4083C,8523E,8635E,315C,3509E,715E,9679E,559E,1317C,8525E,8059C,609E,6089C,717E,561E,8637E,319C,8061C,9527E,719E,611E,6091C,563E,8639E,1321C,8529E,8063C,721E,613E,8065C,565E,8641E,323C,8531E,6067C,723E,615E,8069C,567E,8643E,325C,8533E,725E,617E,8073C,569E,8645E,1329C,727E,619E,8075C,8647E,331C,6511E,571E,333C,621E,8535E,9657E,335C,405C,4405C,3513E,729E,623E,1337C,2407C,2407C,731E,573E,339C,6409C,3515E,2411C,625E,1341C,733E,575E,413C,6517E,627E,343C,2415C,9539E,9539E,8077C,577E,347C,629E,349C,3519E,475C,8081C,735E,631E,351C,8649E,633E,417C,477E
列車名_列車名,,つるぎ_701_つるぎ701,つるぎ_703_つるぎ703,はくたか_591_はくたか591,あさま_699_あさま699,とき_491_とき491,つるぎ_705_つるぎ705,とき_481_とき481,つるぎ_707_つるぎ707,とき_301_とき301,かがやき_501_かがやき501,とき_51_とき51,つるぎ_709_つるぎ709,はくたか_551_はくたか551,たにがわ_401_たにがわ401,たにがわ_401_たにがわ401,たにがわ_73_たにがわ73,あさま_601_あさま601,とき_303_とき303,とき_303_とき303,かがやき_503_かがやき503,あさま_603_あさま603,たにがわ_471_たにがわ471,たにがわ_471_たにがわ471,とき_305_とき305,とき_305_とき305,つるぎ_711_つるぎ711,はくたか_553_はくたか553,たにがわ_403_たにがわ403,たにがわ_403_たにがわ403,かがやき_521_かがやき521,あさま_671_あさま671,とき_307_とき307,とき_307_とき307,とき_307_とき307,たにがわ_81_たにがわ81,かがやき_505_かがやき505,つるぎ_713_つるぎ713,はくたか_555_はくたか555,とき_309_とき309,とき_87_とき87,あさま_605_あさま605,はくたか_605_はくたか605,とき_311_とき311,あさま_675_あさま675,かがやき_507_かがやき507,とき_313_とき313,はくたか_557_はくたか557,あさま_607_あさま607,とき_57_とき57,たにがわ_83_たにがわ83,かがやき_523_かがやき523,あさま_635_あさま635,とき_315_とき315,かがやき_509_かがやき509,つるぎ_715_つるぎ715,あさま_679_あさま679,はくたか_559_はくたか559,とき_317_とき317,かがやき_525_かがやき525,とき_59_とき59,あさま_609_あさま609,とき_89_とき89,つるぎ_717_つるぎ717,はくたか_561_はくたか561,あさま_637_あさま637,とき_319_とき319,とき_61_とき61,かがやき_527_かがやき527,つるぎ_719_つるぎ719,あさま_611_あさま611,とき_91_とき91,はくたか_563_はくたか563,あさま_639_あさま639,とき_321_とき321,かがやき_529_かがやき529,とき_63_とき63,つるぎ_721_つるぎ721,あさま_613_あさま613,とき_65_とき65,はくたか_565_はくたか565,あさま_641_あさま641,とき_323_とき323,かがやき_531_かがやき531,とき_67_とき67,つるぎ_723_つるぎ723,あさま_615_あさま615,とき_69_とき69,はくたか_567_はくたか567,あさま_643_あさま643,とき_325_とき325,かがやき_533_かがやき533,つるぎ_725_つるぎ725,あさま_617_あさま617,とき_73_とき73,はくたか_569_はくたか569,あさま_645_あさま645,とき_329_とき329,つるぎ_727_つるぎ727,あさま_619_あさま619,とき_75_とき75,あさま_647_あさま647,とき_331_とき331,かがやき_511_かがやき511,はくたか_571_はくたか571,とき_333_とき333,あさま_621_あさま621,かがやき_535_かがやき535,あさま_657_あさま657,とき_335_とき335,たにがわ_405_たにがわ405,たにがわ_405_たにがわ405,かがやき_513_かがやき513,つるぎ_729_つるぎ729,あさま_623_あさま623,とき_337_とき337,たにがわ_407_たにがわ407,たにがわ_407_たにがわ407,つるぎ_731_つるぎ731,はくたか_573_はくたか573,とき_339_とき339,たにがわ_409_たにがわ409,かがやき_515_かがやき515,たにがわ_411_たにがわ411,あさま_625_あさま625,とき_341_とき341,つるぎ_733_つるぎ733,はくたか_575_はくたか575,たにがわ_413_たにがわ413,かがやき_517_かがやき517,あさま_627_あさま627,とき_343_とき343,たにがわ_415_たにがわ415,かがやき_539_かがやき539,かがやき_539_かがやき539,とき_77_とき77,はくたか_577_はくたか577,とき_347_とき347,あさま_629_あさま629,とき_349_とき349,かがやき_519_かがやき519,たにがわ_475_たにがわ475,とき_81_とき81,つるぎ_735_つるぎ735,あさま_631_あさま631,とき_351_とき351,あさま_649_あさま649,あさま_633_あさま633,たにがわ_417_たにがわ417,たにがわ_477_たにがわ477
設備,,グリーン車指定席_普通車一部指定席____,グリーン車指定席_普通車一部指定席____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,_,_,グリーン車指定席_普通車一部指定席____,グリーン車指定席___,グリーン車指定席_普通車一部指定席____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス_普通車全車指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車全車指定席_____,グリーン車指定席_普通車一部指定席____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス_普通車全車指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_普通車一部指定席____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス_普通車全車指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車全車指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス_普通車全車指定席_____,グリーン車指定席_普通車一部指定席____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車全車指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車全車指定席_____,グリーン車指定席_グランクラス_普通車全車指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車全車指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス_普通車全車指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス_普通車全車指定席_____,グリーン車指定席_普通車一部指定席____,グリーン車指定席_グランクラス（車内サービスなし）_普通車全車指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス_普通車全車指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車全車指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車全車指定席_____,グリーン車指定席_普通車一部指定席____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車全車指定席_____,グリーン車指定席_グランクラス_普通車全車指定席_____,グリーン車指定席_普通車一部指定席____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車全車指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス_普通車全車指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車全車指定席_____,グリーン車指定席_普通車一部指定席____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車全車指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス_普通車全車指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車全車指定席_____,グリーン車指定席_普通車一部指定席____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車全車指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス_普通車全車指定席_____,グリーン車指定席_普通車一部指定席____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車全車指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_普通車一部指定席____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車全車指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス_普通車全車指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス_普通車全車指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス_普通車全車指定席_____,グリーン車指定席_普通車一部指定席____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）____,グリーン車指定席_グランクラス（車内サービスなし）____,グリーン車指定席_普通車一部指定席____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）____,グリーン車指定席_グランクラス_普通車全車指定席_____,グリーン車指定席_グランクラス（車内サービスなし）____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_普通車一部指定席____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）____,グリーン車指定席_グランクラス_普通車全車指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）____,グリーン車指定席_グランクラス_普通車全車指定席_____,グリーン車指定席_グランクラス_普通車全車指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車全車指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス_普通車全車指定席_____,グリーン車指定席_グランクラス（車内サービスなし）____,グリーン車指定席_グランクラス（車内サービスなし）_普通車全車指定席_____,グリーン車指定席_普通車一部指定席____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）_普通車一部指定席_____,グリーン車指定席_グランクラス（車内サービスなし）____,グリーン車指定席_グランクラス（車内サービスなし）____
運転日,,全日,全日,全日,土曜・休日と12月30日～1月3日は運休__◆_土曜・休日と12月30日～1月3日は運休_,土曜・休日と12月30日～1月3日は運休__◆_土曜・休日と12月30日～1月3日は運休_,全日,全日,土曜・休日と12月30日～1月3日は運休__◆_土曜・休日と12月30日～1月3日は運休_,全日,全日,12月29・30日運転__◆_12月29・30日運転_,全日,全日,全日,12月16日～2月29日運転__◆_12月16日～2月29日運転_,12月23日～2月29日運転__◆_12月23日～2月29日運転_,全日,全日,11月22～26日はこの時刻に変更__時変_11月22～26日はこの時刻に変更_,全日,全日,休日と12月16日～2月29日は運休__◆_休日と12月16日～2月29日は運休_,12月16日～2月29日運転__◆_12月16日～2月29日運転_,全日,11月22～26日はこの時刻に変更__時変_11月22～26日はこの時刻に変更_,全日,全日,全日,12月16日～2月29日運転__◆_12月16日～2月29日運転_,11月20日～12月3・7～10・14～17・21～31日・1月2～8・12～14・19～21・26～28日・2月2～4・8～26日運転__◆_11月20日～12月3・7～10・14～17・21～31日・1月2～8・12～14・19～21・26～28日・2月2～4・8～26日運転_,12月16・23・29～31日・1月6・13・20・27日・2月3・10・11・17・23・24日運転__◆_12月16・23・29～31日・1月6・13・20・27日・2月3・10・11・17・23・24日運転_,全日,11月22～26日はこの時刻に変更__時変_11月22～26日はこの時刻に変更_,12月16・23・29～31日・1月6・13・20・27日・2月3・10・11・17・23・24日はこの時刻に変更__時変_12月16・23・29～31日・1月6・13・20・27日・2月3・10・11・17・23・24日はこの時刻に変更_,12月16日～2月29日運転__◆_12月16日～2月29日運転_,全日,全日,全日,全日,12月29・30日運転__◆_12月29・30日運転_,12月29～31日・2月10・23日は運休__◆_12月29～31日・2月10・23日は運休_,12月29～31日・2月10・23日運転__◆_12月29～31日・2月10・23日運転_,全日,11月23日・12月29～31日・1月6日・2月10・23日運転__◆_11月23日・12月29～31日・1月6日・2月10・23日運転_,全日,全日,全日,全日,11月23日・12月2・9・16・29～31日運転__◆_11月23日・12月2・9・16・29～31日運転_,12月23～28日・1月1日～2月29日運転__◆_12月23～28日・1月1日～2月29日運転_,11月20・21・23～26日・12月2・9・16・23・26～31日・1月2～4・6・7・20・27日・2月3・10・12・17・23～25日運転__◆_11月20・21・23～26日・12月2・9・16・23・26～31日・1月2～4・6・7・20・27日・2月3・10・12・17・23～25日運転_,11月23・25・26日・12月2・9・16・23・25日～1月1・6・13・20・27日・2月3・10・17・23日運転__◆_11月23・25・26日・12月2・9・16・23・25日～1月1・6・13・20・27日・2月3・10・17・23日運転_,全日,全日,全日,12月29・30日運転__◆_12月29・30日運転_,全日,全日,11月23～25日・12月1～3・8～10・15～17・22日～1月8・12・13・19～21・26～28日・2月2～4・9～12・16～18・22～25日運転__◆_11月23～25日・12月1～3・8～10・15～17・22日～1月8・12・13・19～21・26～28日・2月2～4・9～12・16～18・22～25日運転_,11月23・25日・12月23・28日～1月4・6・7・13・20・27日・2月3・11・17・24日運転__◆_11月23・25日・12月23・28日～1月4・6・7・13・20・27日・2月3・11・17・24日運転_,全日,12月28～31日・2月10・23日運転__◆_12月28～31日・2月10・23日運転_,全日,全日,11月23・25日・12月28日～1月3・6日・2月10・23日運転__◆_11月23・25日・12月28日～1月3・6日・2月10・23日運転_,全日,12月29～31日運転__◆_12月29～31日運転_,11月23・25日・12月28日～1月3・6日・2月10・23・24日運転__◆_11月23・25日・12月28日～1月3・6日・2月10・23・24日運転_,全日,全日,12月23・28日～1月4・6・13・14日・2月10・23日運転__◆_12月23・28日～1月4・6・13・14日・2月10・23日運転_,全日,12月26日～1月1日運転__◆_12月26日～1月1日運転_,全日,11月23・26日・12月28日～1月4・8日・2月10・12・23・25日運転__◆_11月23・26日・12月28日～1月4・8日・2月10・12・23・25日運転_,12月29～31日運転__◆_12月29～31日運転_,全日,全日,11月23・25日・12月28～31日・1月8日・2月12・25日運転__◆_11月23・25日・12月28～31日・1月8日・2月12・25日運転_,全日,12月29～31日・2月10・23日運転__◆_12月29～31日・2月10・23日運転_,全日,11月25・26日・12月3・10・17・28日～1月4・7・8日・2月12・18・25日運転__◆_11月25・26日・12月3・10・17・28日～1月4・7・8日・2月12・18・25日運転_,12月29～31日運転__◆_12月29～31日運転_,全日,全日,11月26日・12月28～31日・1月2～4・8日・2月12・25日運転__◆_11月26日・12月28～31日・1月2～4・8日・2月12・25日運転_,全日,12月29～31日・1月8日運転__◆_12月29～31日・1月8日運転_,全日,11月22・25・26日・12月1・3・8・10・15・17・22・24・27日～1月8・12・14・21・28日・2月2・4・9～12・16・18・22～26日運転__◆_11月22・25・26日・12月1・3・8・10・15・17・22・24・27日～1月8・12・14・21・28日・2月2・4・9～12・16・18・22～26日運転_,全日,全日,11月22・26日・12月28～31日・1月2～4・8・14・21・28日・2月4・12・18・25日運転__◆_11月22・26日・12月28～31日・1月2～4・8・14・21・28日・2月4・12・18・25日運転_,全日,12月28～31日・1月8日・2月12・25日運転__◆_12月28～31日・1月8日・2月12・25日運転_,全日,全日,全日,11月26日・12月3・10・17・24・28～31日運転__◆_11月26日・12月3・10・17・24・28～31日運転_,12月28～31日運転__◆_12月28～31日運転_,全日,2月29日まで運転__◆_2月29日まで運転_,全日,全日,全日,11月22・24・26日・12月15・22・29・30日・1月2～4・8日・2月12・22・25日運転__◆_11月22・24・26日・12月15・22・29・30日・1月2～4・8日・2月12・22・25日運転_,2月9日運転__◆_2月9日運転_,全日,全日,12月16日～2月29日運転__◆_12月16日～2月29日運転_,全日,全日,全日,全日,全日,11月22日・12月1日はこの時刻に変更__時変_11月22日・12月1日はこの時刻に変更_,全日,全日,全日,11月20～22・24・27日～12月1・4～8・11～15・18～22・25～29日・1月5・9～12・15～19・22～26・29日～2月2・5～9・13～16・19～22・26～29日運転__◆_11月20～22・24・27日～12月1・4～8・11～15・18～22・25～29日・1月5・9～12・15～19・22～26・29日～2月2・5～9・13～16・19～22・26～29日運転_,全日,全日,全日,全日,全日,全日,全日,2月29日まで運転__◆_2月29日まで運転_,全日,全日,全日,11月22・26日・12月1・3・8・10・17・24・28～30日・1月2～5・7・8・14・19・21・26・28日・2月4・9・11・12・16・18・22・24・25日運転__◆_11月22・26日・12月1・3・8・10・17・24・28～30日・1月2～5・7・8・14・19・21・26・28日・2月4・9・11・12・16・18・22・24・25日運転_,12月1・3・8・10・17・24・28～30日・1月2～5・7・8・14・19・21・26・28日・2月4・9・11・12・16・18・22・24・25日はこの時刻に変更__時変_12月1・3・8・10・17・24・28～30日・1月2～5・7・8・14・19・21・26・28日・2月4・9・11・12・16・18・22・24・25日はこの時刻に変更_,11月22・24・26日・12月28～30日運転__◆_11月22・24・26日・12月28～30日運転_,全日,全日,全日,全日,全日,全日,12月28日運転__◆_12月28日運転_,全日,全日,全日,12月28～30日運転__◆_12月28～30日運転_,全日,全日,全日
東京番線_東京番線,,,,,,,,,,(22),(20),(22),,(21),(23),,(21),(23),(20),(20),(20),(23),(20),(20),(21),(21),,(20),(21),,(23),,(20),(20),(20),(22),(21),,(23),(21),(23),(22),(22),(20),,(22),(20),(23),(20),(22),(22),(21),(22),(23),(22),,,(23),(22),(23),(22),(23),(22),,(20),(22),(20),(23),(22),,(22),(20),(21),(20),(21),(20),(21),,(20),(21),(23),(21),(23),(22),(23),,(21),(23),(22),(23),(22),(20),,(23),(22),(20),(22),(20),,(21),(20),(22),(20),(21),(20),(21),(23),(20),(20),(23),(21),,(23),,(20),(23),(22),(22),,(20),(23),(20),(22),(20),(22),(21),,(20),(22),(21),(20),(23),(20),(21),(21),(20),(21),(23),(20),(20),(22),(20),(22),,(21),(20),(23),(22),(23),(22)
東京_東京,発,,,,,,,,,0608,0616,0624,,0628,0636,,0644,0652,0704,0704,0720,0724,0736,0736,0748,0748,,0752,0804,,0812,,0824,0824,0824,0832,0836,,0844,0852,0900,0904,0904,0912,,0920,0928,0932,0944,0952,0952,0956,1008,1016,1024,,,1032,1040,1048,1056,1104,1116,,1124,1132,1140,1144,1148,,1204,1216,1224,1232,1240,1248,1256,,1304,1316,1324,1332,1340,1352,1356,,1404,1416,1424,1432,1440,1452,,1504,1516,1524,1532,1540,,1552,1556,1604,1616,1624,1632,1640,1652,1704,1704,1708,1712,,1724,,1732,1740,1752,1752,,1804,1812,1816,1824,1832,1840,1852,,1904,1912,1924,1932,1936,1948,1956,1956,2004,2012,2024,2036,2052,2104,2108,2120,,2128,2140,2148,2208,2228,2300
上野番線_上野番線,,,,,,,,,,(20),(20),(19),,(19),(19),,(19),(19),(19),(19),(19),(19),(20),(20),(20),(20),,(20),(19),,(19),(19),(19),(19),(19),(19),(19),,(19),(19),(20),(19),(19),↓,(19),(19),(19),(19),(19),(19),(19),(19),(19),(19),↓,,(19),(19),(19),(19),(19),(19),(20),,(19),(19),(20),(19),(19),,(19),(19),(19),(19),(19),(19),(19),,(19),(19),(19),(19),(19),(19),(19),,(19),(19),(19),(19),(19),(19),,(19),(19),(19),(19),(20),,(20),(19),(19),(19),(19),(19),(19),(19),(19),(19),(19),(19),,(19),,(19),(19),(19),(19),,(19),(19),(19),(19),(19),(19),(19),,(19),(19),(19),(19),(19),(19),(19),(19),(19),(19),(19),(19),(19),(19),(19),(19),,(19),(19),(19),(19),(19),(19)
上野_上野,発,,,,,,,,,0614,0622,0630,,0634,0642,,0650,0658,0710,0710,0726,0730,0742,0742,0754,0754,,0758,0810,,0818,0826,0830,0830,0830,0838,0842,,0850,0858,0905,0910,0910,レ,0920,0926,0934,0938,0950,0958,0958,1002,1014,1022,レ,,1032,1038,1046,1054,1102,1110,1122,,1130,1138,1146,1150,1154,,1210,1222,1230,1238,1246,1254,1302,,1310,1322,1330,1338,1346,1358,1402,,1410,1422,1430,1438,1446,1458,,1510,1522,1530,1538,1546,,1558,1602,1610,1622,1630,1638,1646,1658,1710,1710,1714,1718,,1730,,1738,1746,1758,1758,,1810,1818,1822,1830,1838,1846,1858,,1910,1918,1930,1938,1942,1954,2002,2002,2010,2018,2030,2042,2058,2110,2114,2126,,2134,2146,2154,2214,2234,2306
大宮_大宮,発,,,,,,,,,0633,0641,0649,,0653,0701,,0709,0717,0729,0729,0745,0749,0801,0801,0813,0813,,0817,0829,,0837,0845,0849,0849,0849,0857,0901,,0909,0917,0924,0928,0928,0934,0939,0945,0953,0957,1009,1017,1017,1021,1033,1041,1047,,1051,1057,1105,1113,1121,1129,1141,,1149,1157,1205,1209,1213,,1229,1241,1249,1257,1305,1313,1321,,1329,1341,1349,1357,1405,1417,1421,,1429,1441,1449,1457,1505,1517,,1529,1541,1549,1557,1605,,1617,1621,1629,1641,1649,1657,1705,1717,1729,1729,1733,1737,,1749,,1757,1805,1817,1817,,1829,1837,1841,1849,1857,1905,1917,,1929,1937,1949,1957,2001,2013,2021,2021,2029,2037,2049,2101,2117,2129,2133,2145,,2153,2205,2213,2233,2253,2325
熊谷_熊谷,発,,,,,,,,,レ,レ,レ,,レ,0713,,レ,0730,レ,レ,レ,0801,0814,0814,レ,レ,,レ,0841,,レ,レ,0901,0901,12月16・23・29～31日・1月6・13・20・27日・2月3・10・11・17・23・24日はこの時刻に変更__0902_12月16・23・29～31日・1月6・13・20・27日・2月3・10・11・17・23・24日はこの時刻に変更_,レ,レ,,レ,0929,0946,レ,レ,レ,レ,レ,1009,レ,1021,1033,1033,レ,レ,レ,レ,,レ,レ,1117,レ,レ,1141,1153,,レ,レ,レ,レ,レ,,1241,レ,レ,レ,レ,レ,レ,,1341,レ,レ,レ,レ,レ,レ,,1441,1453,レ,レ,レ,レ,,1541,レ,レ,レ,レ,,1629,1635,1642,1653,レ,レ,レ,1729,レ,レ,レ,1749,,レ,,1809,レ,1829,1829,,レ,レ,1855,レ,1909,1918,1929,,レ,1949,レ,レ,2015,2026,レ,レ,レ,レ,2101,レ,2130,レ,2145,レ,,2205,2219,2226,2245,2305,2337
本庄早稲田_本庄早稲田,発,,,,,,,,,レ,レ,レ,,レ,0726,,レ,レ,レ,レ,レ,0811,0823,0823,レ,レ,,レ,0851,,レ,レ,レ,レ,レ,レ,レ,,レ,0938,レ,レ,レ,レ,レ,レ,レ,レ,1031,レ,レ,レ,レ,レ,レ,,レ,レ,レ,レ,レ,1150,レ,,レ,レ,レ,レ,レ,,1250,レ,レ,レ,レ,レ,レ,,1350,レ,レ,レ,レ,レ,レ,,1451,レ,レ,レ,レ,レ,,1550,レ,レ,レ,レ,,1639,レ,レ,レ,レ,レ,レ,1738,レ,レ,レ,1759,,レ,,レ,レ,1841,1841,,レ,レ,1908,レ,1919,レ,1939,,レ,1959,レ,レ,レ,2038,レ,レ,レ,レ,2111,レ,レ,レ,2155,レ,,レ,2229,2236,レ,2315,2347
