列車番号,,407B,463C,465C,461A,463A,401A,401B,405A,403A,509A,565A,505B,511A,507A,513A,561C,615A,515B,667A,622K,617B,617A,619B,619A,621B,669A,714K,667C,651B,771A,665C,716K,723B,721A,769C,700K,707B,771C,828K,725B,773C,763C,820K,775C,727B,741B,729B,861A,812K,877C,831B,3842K,863A,833B,940K,801A,879C,835B,801B,837B,3944K,805A,803A,910K,905B,943B,3922K,909A,965A,934K,909B,945B,4028K,911A,907A,961C,1020K,915B,1049B,4030K,947B,1015A,1046K,1017B,1021A,4032K,1067A,1023A,1150K,1017A,1025A,4148K,1019B,1069A,1138K,1065C,1127A,4118K,1021B,1175C,1102K,1151B,1181C,4144K,1171C,1161A,1214K,1123B,1183C,4222K,1107B,1131B,1206K,1173C,1249B,4228K,1163C,1235B,1224K,1241B,1221A,4230K,1229B,1243B,1312K,1277C,1225A,4332K,1233B,1245B,1340K,1279C,1327A,4348K,1201B,1307A,1310K,1305A,1381C,4318K,1305B,1315A,1434K,1309A,1383C,4444K,1309B,1323A,1420K,1311A,1449B,4422K,1315B,1469A,1446K,1447B,1421A,4428K,1417B,1475C,1550K,1467A,1425A,4530K,1417A,1461A,1538K,1419B,4532K,1527A,1573A,1465C,1502K,1531B,1521B,4548K,1581C,1551B,1614K,1535B,1571C,4618K,1583C,1523B,1606K,1543B,1507B,4644K,1645B,1573C,1624K,1629A,1663C,4622K,1677C,1641B,1633B,1629B,4728K,1671A,1637B,1607A,1649B,4730K,1775C,1685C,1679C,1715A,1710K,1739B,1763A,1701B,1705A,1709A,1723A,1709B,1705B,1848K,1765C,1721A,1769A,1787C,1889C,1711A,1871C,1817B,1815B,1825A,1867A,1812K,1847B,1861A,1817A,1891C,1825B,1851B,1873A,1863C,1993C,1919B,1927A,1981C,1931B,1983C,1973C,1971A,1923B,1935B,1975C,2041B,1943B,2005A,2045B,2007A,2029A,2029B,2077C,2037B,2033B,2023A,2189C,2065C,2139B,2185C,2101B,2179C,2109A,2171C,2117A,2169A,2225A,2109B,2221A,2263C,2287C,2211A,2217B,2261A,2267A,2291C,2319B,2373A,2383C,2393C,2323B,2327A,2341B,2475C,2305A,2429A
列車名_列車名,,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通
運転日,,全日,全日,全日,土休日,全日,土休日,全日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日
前の区間,,,,,,,,,,,,,,,,,,,,,↑,,,,,,,↑,,,,,↑,,,,↑,,,↑,,,,↑,,,,,,↑,,,↑,,,↑,,,,,,↑,,,↑,,,↑,,,↑,,,↑,,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,↑,,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,,,↑,,,,,↑,,,,,↑,,,,,,,,,↑,,,,,,,,,,,,↑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
始発,,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,八王子_0637_八王子_0637,___,___,___,___,___,___,町田_0741_町田_0741,___,___,___,___,八王子_0739_八王子_0739,___,___,___,八王子_0751_八王子_0751,___,___,橋本_0811_橋本_0811,___,___,___,八王子_0812_八王子_0812,___,___,___,___,___,橋本_0849_橋本_0849,___,___,八王子_0856_八王子_0856,___,___,橋本_0912_橋本_0912,___,___,___,___,___,八王子_0929_八王子_0929,___,___,橋本_0944_橋本_0944,___,___,八王子_0949_八王子_0949,___,___,八王子_0952_八王子_0952,___,___,八王子_1009_八王子_1009,___,___,___,橋本_1024_橋本_1024,___,___,八王子_1029_八王子_1029,___,___,橋本_1044_橋本_1044,___,___,八王子_1049_八王子_1049,___,___,橋本_1104_橋本_1104,___,___,八王子_1109_八王子_1109,___,___,橋本_1124_橋本_1124,___,___,八王子_1129_八王子_1129,___,___,橋本_1144_橋本_1144,___,___,八王子_1149_八王子_1149,___,___,橋本_1204_橋本_1204,___,___,八王子_1209_八王子_1209,___,___,橋本_1224_橋本_1224,___,___,八王子_1229_八王子_1229,___,___,橋本_1244_橋本_1244,___,___,八王子_1249_八王子_1249,___,___,橋本_1304_橋本_1304,___,___,八王子_1309_八王子_1309,___,___,橋本_1324_橋本_1324,___,___,八王子_1329_八王子_1329,___,___,橋本_1344_橋本_1344,___,___,八王子_1349_八王子_1349,___,___,橋本_1404_橋本_1404,___,___,八王子_1409_八王子_1409,___,___,橋本_1424_橋本_1424,___,___,八王子_1429_八王子_1429,___,___,橋本_1444_橋本_1444,___,___,八王子_1449_八王子_1449,___,___,橋本_1504_橋本_1504,___,___,八王子_1509_八王子_1509,___,___,橋本_1524_橋本_1524,___,八王子_1529_八王子_1529,___,___,___,橋本_1544_橋本_1544,___,___,八王子_1549_八王子_1549,___,___,橋本_1604_橋本_1604,___,___,八王子_1609_八王子_1609,___,___,橋本_1624_橋本_1624,___,___,八王子_1629_八王子_1629,___,___,橋本_1644_橋本_1644,___,___,八王子_1649_八王子_1649,___,___,___,___,八王子_1709_八王子_1709,___,___,___,___,八王子_1729_八王子_1729,___,___,___,___,橋本_1744_橋本_1744,___,___,___,___,___,___,___,___,八王子_1807_八王子_1807,___,___,___,___,___,___,___,___,___,___,___,八王子_1854_八王子_1854,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___
大宮_大宮,発,,,,,,,0428,,0448,,,0516,,0527,,0546,,0559,,・,0610,,0621,,0633,,・,0644,0649,,0657,・,0704,,0712,・,0719,0724,・,0729,0734,0739,・,0744,0749,0754,0759,0804,・,0809,0814,・,0819,0824,・,0829,0834,0839,0844,0849,・,0854,0859,・,0904,0909,・,0914,0919,・,0924,0929,・,0934,0939,,・,0949,,・,0958,1004,・,,1013,・,1019,,・,1029,,・,1039,,・,1049,,・,1059,,・,1109,,・,1119,,・,1129,,・,1139,,・,1149,,・,1159,,・,1209,,・,1219,,・,1229,,・,1239,,・,1249,,・,1259,,・,1309,,・,1319,,・,1329,,・,1339,,・,1349,,・,1359,,・,1409,,・,1419,,・,1429,,・,1439,,・,1449,・,,,1459,・,,1509,・,,1519,・,,1529,・,,1539,・,,1549,・,,1559,・,,1609,・,,1619,,1629,・,,1638,,1647,・,,1655,1659,,・,1707,,1714,1719,,1726,,1734,・,1739,,1747,1751,,1759,1803,,1811,1816,,・,1824,1828,,1835,1840,,1848,1853,,1902,1908,,1917,1923,,1932,,1942,1948,,1958,,2008,,2018,,2029,,2040,2047,,2058,,2108,,2119,,2130,,2142,,2155,2202,,2214,2223,2232,,2243,2250,2300,2307,2314,2322,2329,2338,2343,,2357,0015
さいたま新都心_さいたま新都心,発,,,,,,,0430,,0451,,,0518,,0530,,0548,,0601,,・,0612,,0624,,0636,,・,0646,0651,,0659,・,0706,,0714,・,0722,0726,・,0731,0736,0741,・,0746,0751,0756,0801,0806,・,0811,0816,・,0821,0826,・,0831,0836,0841,0846,0851,・,0856,0901,・,0906,0911,・,0916,0921,・,0926,0931,・,0936,0941,,・,0951,,・,1001,1006,・,,1015,・,1021,,・,1031,,・,1041,,・,1051,,・,1101,,・,1111,,・,1121,,・,1131,,・,1141,,・,1151,,・,1201,,・,1211,,・,1221,,・,1231,,・,1241,,・,1251,,・,1301,,・,1311,,・,1321,,・,1331,,・,1341,,・,1351,,・,1401,,・,1411,,・,1421,,・,1431,,・,1441,,・,1451,・,,,1502,・,,1511,・,,1521,・,,1531,・,,1541,・,,1551,・,,1601,・,,1611,・,,1621,,1631,・,,1640,,1649,・,,1657,1702,,・,1709,,1717,1722,,1729,,1737,・,1742,,1749,1754,,1802,1806,,1814,1818,,・,1827,1831,,1838,1843,,1850,1855,,1905,1910,,1920,1926,,1935,,1945,1951,,2000,,2010,,2020,,2031,,2042,2049,,2100,,2110,,2121,,2132,,2145,,2158,2205,,2217,2226,2235,,2246,2253,2303,2309,2317,2324,2332,2340,2346,,0000,0018
与野_与野,発,,,,,,,0432,,0453,,,0520,,0532,,0550,,0603,,・,0614,,0626,,0638,,・,0648,0653,,0701,・,0708,,0716,・,0724,0728,・,0733,0738,0743,・,0748,0753,0758,0803,0808,・,0813,0818,・,0823,0828,・,0833,0838,0843,0848,0853,・,0858,0903,・,0908,0913,・,0918,0923,・,0928,0933,・,0938,0943,,・,0953,,・,1003,1008,・,,1017,・,1023,,・,1033,,・,1043,,・,1053,,・,1103,,・,1113,,・,1123,,・,1133,,・,1143,,・,1153,,・,1203,,・,1213,,・,1223,,・,1233,,・,1243,,・,1253,,・,1303,,・,1313,,・,1323,,・,1333,,・,1343,,・,1353,,・,1403,,・,1413,,・,1423,,・,1433,,・,1443,,・,1453,・,,,1504,・,,1513,・,,1523,・,,1533,・,,1543,・,,1553,・,,1603,・,,1613,・,,1623,,1633,・,,1642,,1651,・,,1659,1704,,・,1711,,1719,1724,,1731,,1739,・,1744,,1751,1756,,1804,1808,,1816,1820,,・,1829,1833,,1840,1845,,1852,1857,,1907,1912,,1922,1928,,1937,,1947,1953,,2002,,2012,,2022,,2033,,2044,2051,,2102,,2112,,2123,,2134,,2147,,2200,2207,,2219,2228,2237,,2248,2255,2305,2311,2319,2326,2334,2342,2348,,0002,0020
北浦和_北浦和,発,,,,,,,0435,,0455,,,0523,,0534,,0553,,0606,,・,0617,,0628,,0640,,・,0651,0656,,0704,・,0711,,0719,・,0726,0731,・,0736,0741,0746,・,0751,0756,0801,0806,0811,・,0816,0821,・,0826,0831,・,0836,0841,0846,0851,0856,・,0901,0906,・,0911,0916,・,0921,0926,・,0931,0936,・,0941,0946,,・,0956,,・,1005,1011,・,,1020,・,1026,,・,1036,,・,1046,,・,1056,,・,1106,,・,1116,,・,1126,,・,1136,,・,1146,,・,1156,,・,1206,,・,1216,,・,1226,,・,1236,,・,1246,,・,1256,,・,1306,,・,1316,,・,1326,,・,1336,,・,1346,,・,1356,,・,1406,,・,1416,,・,1426,,・,1436,,・,1446,,・,1456,・,,,1506,・,,1516,・,,1526,・,,1536,・,,1546,・,,1556,・,,1606,・,,1616,・,,1626,,1636,・,,1645,,1654,・,,1702,1706,,・,1714,,1721,1726,,1733,,1741,・,1746,,1754,1758,,1806,1810,,1818,1823,,・,1831,1835,,1842,1847,,1855,1900,,1909,1915,,1924,1930,,1939,,1949,1955,,2005,,2015,,2025,,2036,,2047,2054,,2105,,2115,,2126,,2137,,2149,,2202,2209,,2221,2230,2239,,2250,2257,2307,2314,2321,2329,2336,2345,2350,,0004,0022
浦和_浦和,発,,,,,,,0437,,0458,,,0525,,0537,,0555,,0608,,・,0619,,0631,,0643,,・,0653,0658,,0706,・,0713,,0722,・,0729,0733,・,0738,0743,0748,・,0753,0758,0803,0808,0813,・,0818,0823,・,0828,0833,・,0838,0843,0848,0853,0858,・,0903,0908,・,0913,0918,・,0923,0928,・,0933,0938,・,0943,0948,,・,0958,,・,1008,1013,・,,1022,・,1028,,・,1038,,・,1048,,・,1058,,・,1108,,・,1118,,・,1128,,・,1138,,・,1148,,・,1158,,・,1208,,・,1218,,・,1228,,・,1238,,・,1248,,・,1258,,・,1308,,・,1318,,・,1328,,・,1338,,・,1348,,・,1358,,・,1408,,・,1418,,・,1428,,・,1438,,・,1448,,・,1458,・,,,1509,・,,1518,・,,1528,・,,1538,・,,1548,・,,1558,・,,1608,・,,1618,・,,1628,,1638,・,,1647,,1656,・,,1704,1709,,・,1716,,1724,1729,,1736,,1744,・,1749,,1756,1801,,1809,1813,,1821,1825,,・,1834,1838,,1845,1850,,1857,1902,,1912,1917,,1927,1933,,1942,,1952,1958,,2007,,2017,,2027,,2038,,2049,2056,,2107,,2117,,2128,,2139,,2152,,2205,2212,,2224,2233,2242,,2253,2300,2310,2316,2324,2331,2339,2347,2353,,0007,0025
南浦和_南浦和,発,,,,,,0430,0440,0449,0500,0511,,0528,0533,0540,0549,0558,0604,0611,,・,0622,0627,0634,0638,0646,0650,・,0656,0701,,0710,・,0716,0720,0726,・,0731,0736,・,0741,0746,0751,・,0756,0801,0806,0811,0816,・,0821,0826,・,0831,0836,・,0841,0846,0851,0856,0901,・,0906,0911,・,0916,0921,・,0926,0931,・,0936,0941,・,0946,0951,0956,・,1001,1006,・,1011,1016,・,1021,1026,・,1031,1036,・,1041,1046,・,1051,1056,・,1101,1106,・,1111,1116,・,1121,1126,・,1131,1136,・,1141,1146,・,1151,1156,・,1201,1206,・,1211,1216,・,1221,1226,・,1231,1236,・,1241,1246,・,1251,1256,・,1301,1306,・,1311,1316,・,1321,1326,・,1331,1336,・,1341,1346,・,1351,1356,・,1401,1406,・,1411,1416,・,1421,1426,・,1431,1436,・,1441,1446,・,1451,1456,・,1501,・,1506,,1511,・,1516,1522,・,1526,1531,・,1536,1541,・,1546,1551,・,1556,1601,・,1606,1611,・,1616,1621,・,1626,1631,1636,1641,・,1645,1650,1654,1659,・,1703,1708,1712,1715,・,1720,1723,1728,1732,1735,1740,1743,1748,・,1752,1755,1800,1804,1807,1812,1816,1819,1824,1828,1831,・,1836,1841,1844,1848,1853,1857,1901,1906,1910,1915,1921,1925,1931,1936,1940,1946,1950,1956,2001,2005,2011,2015,2021,2025,2030,2036,2042,2046,2053,2059,2105,2111,2115,2121,2125,2131,2135,2143,2146,2154,2202,2208,2214,2221,2228,2236,2245,2250,2256,2303,2314,2319,2326,2334,2342,2351,2356,0002,0011,0027
