列車番号,,407B,463C,465C,461A,463A,401A,401B,405A,500K,569C,403A,673C,509A,677C,565A,505B,513A,739B,683C,507A,618K,687C,561C,709B,511A,619A,791C,515B,623A,615A,622K,625A,617B,617A,744K,619B,667A,633A,726K,621A,621B,730K,637A,708K,627A,651B,743A,714K,629A,667C,631A,747A,700K,723B,735A,740K,765C,749A,739A,771C,741A,751A,707B,725B,834K,745A,775C,763C,771A,769A,779C,727B,861A,818K,781C,741B,863A,829B,885C,820K,833B,889C,848K,869C,831B,801A,824K,877C,883C,893C,897C,938K,921B,835B,801B,895C,3926K,837B,805A,943B,928K,903A,905B,987C,3944K,973C,945B,925A,1046K,947B,961C,4050K,935A,949B,913A,1004K,917A,907A,4036K,923A,1039A,1018K,1009B,1015A,4002K,1019A,1015B,1122K,1017B,1071C,4120K,1007B,1037A,1142K,1075C,1067A,4106K,1069A,1185C,1110K,1127A,1141A,4126K,1131A,1145A,1230K,1123B,1171A,4244K,1179C,1127B,1214K,1187C,1207A,4250K,1141B,1233B,1240K,1261C,1215A,4236K,1281C,1205B,1348K,1263A,1271C,4302K,1201B,1245B,1338K,1277C,1367A,4320K,1221B,1349B,1328K,1337B,1341A,4306K,1303A,1339A,1446K,1373C,1371A,4426K,1347B,1315B,1404K,1335A,1407A,4444K,1317A,1437A,1418K,1423A,1415A,4450K,1409B,1485C,1522K,1419A,1471C,4536K,1417B,1445A,1542K,1407B,1538K,1567A,1502K,1475C,1527B,1569A,1528K,1541A,1527A,1533B,1630K,1531A,1571A,1523B,1614K,1529A,1579C,1607A,1587C,1673A,1626K,1641B,1605B,1663A,1661C,1601B,1681C,1618K,1621A,1645B,1665C,1615A,1751B,1649B,1719B,1777C,1771C,1767C,1721B,1739A,1742K,1749A,1737B,1701A,1743A,1703A,1769A,1715B,1806K,1773C,1791C,1731B,1729B,1747B,1825A,1737A,1802K,1735A,1833A,1863C,1809B,1817A,1845A,1823A,1875C,1835B,1823B,1897C,1885C,1889C,1851A,1983C,1819A,1831A,1967A,1917B,1907B,1913A,1927A,1961A,1987C,1927B,1943B,1941A,1979C,1901B,1977C,1971A,2041B,2029A,2007A,2015A,2063A,2073A,2039A,2067C,2015B,2043A,2049B,2021A,2165C,2171C,2163C,2119B,2129B,2137A,2121B,2173C,2210K,2149A,2101A,2169A,2209B,2223A,2225A,2233A,2223B,2245A,2241A,2219A,2227B,2331A,2385C,2313A,2383C,2387C,2307B,2361A,2301B,2343B,2371A,2449B
列車名_列車名,,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通
運転日,,全日,全日,全日,平日,全日,平日,全日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日
前の区間,,,,,,,,,,↑,,,,,,,,,,,,↑,,,,,,,,,,↑,,,,↑,,,,↑,,,↑,,↑,,,,↑,,,,,↑,,,↑,,,,,,,,,↑,,,,,,,,,↑,,,,,,↑,,,↑,,,,↑,,,,,↑,,,,,↑,,,,↑,,,,↑,,,,↑,,,↑,,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,,↑,,↑,,↑,,,,↑,,,,↑,,,,↑,,,,,,↑,,,,,,,↑,,,,,,,,,,,,,↑,,,,,,,,↑,,,,,,,,↑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,↑,,,,,,,,,,,,,,,,,,,,,,,
始発,,___,___,___,___,___,___,___,___,八王子_0513_八王子_0513,___,___,___,___,___,___,___,___,___,___,___,橋本_0613_橋本_0613,___,___,___,___,___,___,___,___,___,橋本_0651_橋本_0651,___,___,___,橋本_0706_橋本_0706,___,___,___,八王子_0705_八王子_0705,___,___,橋本_0724_橋本_0724,___,八王子_0719_八王子_0719,___,___,___,橋本_0737_橋本_0737,___,___,___,___,八王子_0734_八王子_0734,___,___,八王子_0742_八王子_0742,___,___,___,___,___,___,___,___,八王子_0802_八王子_0802,___,___,___,___,___,___,___,___,八王子_0828_八王子_0828,___,___,___,___,___,八王子_0839_八王子_0839,___,___,八王子_0846_八王子_0846,___,___,___,八王子_0854_八王子_0854,___,___,___,___,橋本_0921_橋本_0921,___,___,___,___,八王子_0929_八王子_0929,___,___,___,橋本_0944_橋本_0944,___,___,___,八王子_0949_八王子_0949,___,___,___,橋本_1004_橋本_1004,___,___,八王子_1009_八王子_1009,___,___,___,橋本_1024_橋本_1024,___,___,八王子_1029_八王子_1029,___,___,橋本_1044_橋本_1044,___,___,八王子_1049_八王子_1049,___,___,橋本_1104_橋本_1104,___,___,八王子_1109_八王子_1109,___,___,橋本_1124_橋本_1124,___,___,八王子_1129_八王子_1129,___,___,橋本_1144_橋本_1144,___,___,八王子_1149_八王子_1149,___,___,橋本_1204_橋本_1204,___,___,八王子_1209_八王子_1209,___,___,橋本_1224_橋本_1224,___,___,八王子_1229_八王子_1229,___,___,橋本_1244_橋本_1244,___,___,八王子_1249_八王子_1249,___,___,橋本_1304_橋本_1304,___,___,八王子_1309_八王子_1309,___,___,橋本_1324_橋本_1324,___,___,八王子_1329_八王子_1329,___,___,橋本_1344_橋本_1344,___,___,八王子_1349_八王子_1349,___,___,橋本_1404_橋本_1404,___,___,八王子_1409_八王子_1409,___,___,橋本_1424_橋本_1424,___,___,八王子_1429_八王子_1429,___,___,橋本_1444_橋本_1444,___,___,八王子_1449_八王子_1449,___,___,橋本_1504_橋本_1504,___,___,八王子_1509_八王子_1509,___,___,橋本_1525_橋本_1525,___,八王子_1521_八王子_1521,___,八王子_1529_八王子_1529,___,___,___,八王子_1542_八王子_1542,___,___,___,橋本_1610_橋本_1610,___,___,___,橋本_1623_橋本_1623,___,___,___,___,___,八王子_1637_八王子_1637,___,___,___,___,___,___,八王子_1659_八王子_1659,___,___,___,___,___,___,___,___,___,___,___,___,八王子_1743_八王子_1743,___,___,___,___,___,___,___,橋本_1817_橋本_1817,___,___,___,___,___,___,___,八王子_1828_八王子_1828,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,八王子_2207_八王子_2207,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___
大宮_大宮,発,,,,,,,0428,,・,,0448,,,,,0516,,,,0528,・,,0539,,0547,,,0559,,0605,・,,0613,0619,・,0624,,,・,0632,0639,・,,・,0644,0648,,・,0652,0656,0659,,・,0703,0707,・,0710,,0714,0717,0720,,0724,0727,・,0731,0734,0737,,0741,0745,0749,,・,0753,0758,,0803,0808,・,,0814,・,,0819,,・,0825,,0832,,・,,0840,0844,0847,・,0851,0856,0901,・,0905,0908,,・,0913,0918,,・,0924,0930,・,,0936,0943,・,0949,0954,・,0959,,・,1007,,・,1016,1023,・,,1033,・,1039,,・,1047,1054,・,1059,,・,1109,,・,1118,,・,1129,,・,1139,,・,1149,,・,1159,,・,1209,,・,1219,,・,1229,,・,1239,,・,1249,,・,1259,,・,1308,,・,1319,,・,1329,,・,1339,,・,1349,,・,1359,,・,1409,,・,1419,,・,1429,,・,1439,,・,1449,・,,・,1459,,1509,・,,1519,,・,1529,,1539,・,,1549,,1559,,・,1606,1612,,1620,,1628,・,,1636,,1644,,1653,,1700,1704,,1710,1714,・,,1719,1723,,1728,,1734,・,1738,,1744,,1750,,1755,・,1759,,1806,,1813,,1818,1823,,1829,1833,1837,,1844,,1851,1855,,1902,1906,1910,1914,1919,1923,1928,1933,1938,1943,1948,1953,1958,2003,2008,2013,2018,,2024,2029,2036,2041,,2049,2056,2101,,2111,2117,,2127,2134,,・,2143,2149,2155,2202,2207,2214,2220,2226,2232,,2243,2250,,2300,2307,2314,2322,2329,2338,2343,2351,2357,0015
さいたま新都心_さいたま新都心,発,,,,,,,0430,,・,,0451,,,,,0518,,,,0531,・,,0541,,0550,,,0601,,0608,・,,0616,0622,・,0626,,,・,0635,0642,・,,・,0647,0651,,・,0654,0658,0702,,・,0706,0709,・,0713,,0716,0720,0723,,0726,0729,・,0733,0736,0739,,0744,0748,0751,,・,0756,0800,,0806,0810,・,,0816,・,,0821,,・,0828,,0835,,・,,0842,0846,0850,・,0854,0859,0903,・,0907,0911,,・,0915,0920,,・,0926,0932,・,,0939,0945,・,0951,0956,・,1001,,・,1010,,・,1019,1026,・,,1036,・,1041,,・,1050,1056,・,1101,,・,1111,,・,1120,,・,1131,,・,1141,,・,1151,,・,1201,,・,1211,,・,1221,,・,1231,,・,1241,,・,1251,,・,1301,,・,1311,,・,1321,,・,1331,,・,1341,,・,1351,,・,1401,,・,1411,,・,1421,,・,1431,,・,1442,,・,1452,・,,・,1502,,1512,・,,1522,,・,1532,,1542,・,,1552,,1601,,・,1609,1614,,1623,,1631,・,,1638,,1647,,1656,,1702,1706,,1712,1717,・,,1721,1726,,1731,,1736,・,1741,,1746,,1753,,1757,・,1801,,1808,,1815,,1821,1826,,1831,1836,1840,,1847,,1853,1858,,1905,1909,1913,1917,1921,1926,1930,1935,1940,1945,1950,1955,2000,2005,2010,2015,2020,,2026,2032,2038,2044,,2051,2058,2104,,2114,2120,,2130,2137,,・,2146,2152,2158,2205,2210,2217,2223,2229,2235,,2246,2253,,2303,2309,2317,2324,2332,2340,2346,2353,0000,0018
与野_与野,発,,,,,,,0432,,・,,0453,,,,,0520,,,,0533,・,,0543,,0552,,,0603,,0610,・,,0618,0624,・,0629,,,・,0637,0644,・,,・,0649,0653,,・,0656,0700,0704,,・,0708,0711,・,0715,,0718,0722,0725,,0729,0732,・,0735,0738,0741,,0746,0750,0753,,・,0758,0802,,0808,0812,・,,0819,・,,0824,,・,0830,,0837,,・,,0845,0848,0852,・,0856,0901,0905,・,0909,0913,,・,0917,0922,,・,0928,0934,・,,0941,0947,・,0953,0958,・,1003,,・,1012,,・,1021,1028,・,,1038,・,1043,,・,1052,1058,・,1103,,・,1113,,・,1122,,・,1133,,・,1143,,・,1153,,・,1203,,・,1213,,・,1223,,・,1233,,・,1243,,・,1253,,・,1303,,・,1313,,・,1323,,・,1333,,・,1343,,・,1353,,・,1403,,・,1413,,・,1423,,・,1433,,・,1444,,・,1454,・,,・,1504,,1514,・,,1524,,・,1534,,1544,・,,1554,,1603,,・,1611,1616,,1625,,1633,・,,1640,,1649,,1658,,1704,1708,,1714,1719,・,,1723,1728,,1733,,1738,・,1743,,1748,,1755,,1759,・,1803,,1810,,1817,,1823,1828,,1833,1838,1842,,1849,,1855,1900,,1907,1911,1915,1919,1923,1928,1932,1937,1942,1947,1952,1957,2002,2007,2012,2017,2022,,2028,2034,2040,2046,,2053,2100,2106,,2116,2122,,2132,2139,,・,2148,2154,2200,2207,2212,2219,2225,2231,2237,,2248,2255,,2305,2311,2319,2326,2334,2342,2348,2355,0002,0020
北浦和_北浦和,発,,,,,,,0435,,・,,0455,,,,,0523,,,,0535,・,,0546,,0554,,,0606,,0612,・,,0621,0627,・,0631,,,・,0640,0646,・,,・,0652,0656,,・,0659,0703,0706,,・,0710,0714,・,0717,,0721,0724,0727,,0731,0734,・,0738,0741,0744,,0748,0752,0756,,・,0800,0805,,0810,0815,・,,0821,・,,0826,,・,0832,,0840,,・,,0847,0851,0855,・,0858,0903,0908,・,0912,0915,,・,0920,0925,,・,0931,0937,・,,0943,0950,・,0956,1001,・,1006,,・,1014,,・,1023,1030,・,,1040,・,1046,,・,1054,1101,・,1106,,・,1116,,・,1125,,・,1136,,・,1146,,・,1156,,・,1206,,・,1216,,・,1226,,・,1236,,・,1246,,・,1256,,・,1306,,・,1315,,・,1326,,・,1336,,・,1346,,・,1356,,・,1406,,・,1416,,・,1426,,・,1436,,・,1446,,・,1456,・,,・,1506,,1516,・,,1526,,・,1536,,1546,・,,1556,,1606,,・,1613,1619,,1627,,1635,・,,1643,,1651,,1700,,1707,1711,,1717,1721,・,,1726,1730,,1735,,1741,・,1745,,1751,,1757,,1802,・,1806,,1813,,1820,,1825,1830,,1836,1840,1844,,1851,,1858,1902,,1909,1913,1917,1921,1926,1930,1935,1940,1945,1950,1955,2000,2005,2010,2015,2020,2025,,2031,2036,2043,2048,,2056,2103,2108,,2118,2124,,2134,2141,,・,2150,2156,2202,2209,2214,2221,2227,2233,2239,,2250,2257,,2307,2314,2321,2329,2336,2345,2350,2358,0004,0022
浦和_浦和,発,,,,,,,0437,,・,,0458,,,,,0525,,,,0538,・,,0548,,0557,,,0608,,0615,・,,0624,0629,・,0634,,,・,0643,0649,・,,・,0654,0658,,・,0703,0707,0710,,・,0714,0718,・,0720,,0725,0728,0730,,0734,0738,・,0741,0744,0747,,0752,0756,0759,,・,0804,0808,,0813,0818,・,,0824,・,,0829,,・,0836,,0842,,・,,0851,0854,0857,・,0901,0906,0910,・,0914,0918,,・,0922,0927,,・,0933,0939,・,,0946,0952,・,0958,1003,・,1008,,・,1017,,・,1026,1033,・,,1043,・,1048,,・,1057,1103,・,1108,,・,1118,,・,1127,,・,1138,,・,1148,,・,1158,,・,1208,,・,1218,,・,1228,,・,1238,,・,1248,,・,1258,,・,1308,,・,1318,,・,1329,,・,1338,,・,1348,,・,1358,,・,1408,,・,1418,,・,1428,,・,1438,,・,1449,,・,1459,・,,・,1509,,1519,・,,1529,,・,1539,,1549,・,,1559,,1608,,・,1616,1621,,1630,,1638,・,,1645,,1654,,1703,,1710,1713,,1720,1724,・,,1728,1733,,1738,,1743,・,1748,,1753,,1800,,1804,・,1808,,1815,,1822,,1828,1833,,1839,1843,1847,,1854,,1900,1905,,1912,1916,1920,1924,1928,1933,1937,1942,1947,1952,1957,2002,2007,2012,2017,2022,2027,,2034,2040,2046,2051,,2059,2105,2111,,2121,2127,,2137,2144,,・,2153,2159,2205,2212,2217,2224,2230,2236,2242,,2253,2300,,2310,2316,2324,2331,2339,2347,2353,0000,0007,0025
南浦和_南浦和,発,,,,,,0430,0440,0449,・,,0500,,0511,,,0528,0533,,,0540,・,,0551,,0600,0605,,0611,0615,0618,・,0624,0627,0632,・,0636,,0643,・,0647,0652,・,0655,・,0658,0701,0704,・,0707,0710,0713,0715,・,0718,0720,・,0723,0725,0728,0730,0733,0735,0738,0740,・,0743,0746,0749,0752,0755,0758,0801,0804,・,0807,0810,0814,0817,0820,・,0823,0827,・,,0832,0835,・,0839,0842,0845,0849,・,,0854,0858,0901,・,0905,0909,0913,・,0917,0920,,・,0926,0930,,・,0936,0942,・,,0949,0955,・,1001,1006,・,1011,,・,1020,1025,・,1030,1036,・,1041,1046,・,1051,1056,・,1101,1106,・,1111,1116,・,1121,1126,・,1131,1136,・,1141,1146,・,1151,1156,・,1201,1206,・,1211,1216,・,1221,1226,・,1231,1236,・,1241,1246,・,1251,1256,・,1301,1306,・,1311,1316,・,1321,1326,・,1332,1336,・,1341,1346,・,1351,1356,・,1401,1406,・,1411,1416,・,1421,1426,・,1431,1436,・,1441,1446,・,1451,1456,・,1501,・,1506,・,1511,1516,1521,・,1526,1531,1536,・,1541,1546,1551,・,1556,1601,1606,1611,1615,・,1620,1624,1627,1632,1636,1640,・,1643,1649,1652,1657,1700,1706,1709,1713,1716,1719,1723,1727,・,1729,1733,1736,1738,1742,1744,1748,・,1751,1753,1757,1759,1803,1805,1808,・,1811,1814,1818,1821,1825,1828,1832,1836,1839,1843,1846,1850,1853,1857,1900,1903,1908,1911,1916,1919,1923,1927,1931,1936,1941,1946,1951,1956,2001,2006,2011,2016,2021,2026,2031,2035,2039,2044,2050,2054,2057,2103,2108,2114,2119,2125,2130,2135,2141,2146,2151,・,2157,2202,2208,2215,2220,2227,2233,2239,2245,2250,2256,2303,2308,2314,2319,2326,2334,2342,2351,2356,0003,0011,0027
