列車番号,,9482Y,9424Y,424Y,404Y,9516Y,526Y,477E,532Y,530Y,529E,614Y,510Y,515E,622Y,682Y,565E,620Y,624Y,618A,571E,608A,604Y,726Y,667E,628Y,2715E,634Y,716A,685E,784A,3684A,732Y,669E,606A,730Y,810Y,755E,822Y,882A,741E,824Y,820Y,808A,717E,928Y,818Y,926A,819E,914A,984Y,833E,934Y,912E,906A,916Y,827E,1022Y,932A,807E,1076E,1030Y,1024Y,1082A,965E,1008Y,1002E,1020A,1018Y,961E,1028A,1114Y,1067E,1184A,1134Y,1010A,1081E,1116Y,1106A,1132Y,1083E,1122A,1282Y,1111E,1208A,1220Y,1126A,1149E,1204Y,1228Y,1218A,1284Y,1105E,1214A,1310Y,1213E,1316A,1306Y,1230A,1243E,1322Y,1332A,1308Y,1227E,1382A,1426Y,1371E,1404A,1418Y,1334A,1347E,9440E,1414Y,9442E,1484A,1416Y,1385E,1410A,1530Y,1469E,1522A,1532Y,1420A,1455E,1582Y,1508A,1504Y,1526A,1483E,1634Y,1618A,1684Y,1511E,1506A,1610Y,1614Y,1549E,1616Y,1622Y,1505E,1630Y,1732A,1704Y,1782Y,1613E,1720Y,1726A,1665E,1734Y,1708Y,1818Y,1761E,1884Y,1806A,1814Y,1767E,1816Y,1832Y,1822Y,1828Y,1785E,1802Y,1869E,1904Y,8978E,1924Y,1817E,8979E,1920Y,1855E,1926Y,1984Y,1821E,1908Y,1918Y,1911E,2014Y,2032Y,1930Y,1933E,2022Y,2016Y,8179E,2002Y,1907E,2034Y,2013E,9190E,2104Y,2120Y,2065E,3131E,9118E,2184Y,2071E,2118Y,2108Y,2128Y,2161E,2214Y,2222Y,2175E,2124Y,2202Y,2217E,2334Y,2320Y,2384Y,2308Y,2428Y,2414Y
列車名_列車名,,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通
運転日,,1月1日運転__◆_1月1日運転_,1月1日運転__◆_1月1日運転_,1月1日は運休__◆_1月1日は運休_,土休日,1月1日運転__◆_1月1日運転_,土休日,全日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,全日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,11月23日運転__◆_11月23日運転_,土休日,11月23日運転__◆_11月23日運転_,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,12月24日までの土曜・休日と12月30・31日運転__◆_12月24日までの土曜・休日と12月30・31日運転_,土休日,土休日,12月24日までの土曜・休日と12月30・31日運転__◆_12月24日までの土曜・休日と12月30・31日運転_,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,12月24日までの土曜・休日と12月30・31日運転__◆_12月24日までの土曜・休日と12月30・31日運転_,土休日,土休日,土休日,土休日,12月30日運転__◆_12月30日運転_,土休日,土休日,土休日,土休日,12月30日運転__◆_12月30日運転_,土休日,土休日,12月30日は運休__◆_12月30日は運休_,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,全日,土休日,土休日
記事,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,誉田－東京間は3784Aに併結__★_誉田－東京間は3784Aに併結_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前の区間,,,,,,,,↑,,,↑,,,↑,,,↑,,,↑,↑,↑,,,↑,↑,,↑,,↑,↑,↑,,↑,↑,,,↑,,,↑,,,,↑,,,,↑,,,↑,,,,,↑,,,↑,,,,,↑,,,,,↑,,,↑,,,↑,↑,,,,↑,,,↑,,,↑,↑,,,,,↑,,,↑,,,↑,↑,,,,↑,,,↑,,,↑,↑,,,,,,↑,,,↑,,,↑,↑,,,,,↑,,,,↑,↑,,,↑,,,↑,,,,,↑,,,↑,,,,↑,,,,↑,,,,,↑,,↑,,,,↑,,,↑,,,↑,,,↑,,,↑,↑,,,,,↑,↑,↑,,,,↑,,,,↑,,,↑,↑,,,↑,↑,,↑,,,,,,
始発,,___,___,___,___,___,___,東所沢_0444_東所沢_0444,___,___,東所沢_0505_東所沢_0505,___,___,府中本町_0501_府中本町_0501,___,___,東所沢_0541_東所沢_0541,___,___,上総一ノ宮_0608_上総一ノ宮_0608,府中本町_0545_府中本町_0545,君津_0612_君津_0612,___,___,府中本町_0609_府中本町_0609,上総一ノ宮_0626_上総一ノ宮_0626,___,君津_0640_君津_0640,___,府中本町_0635_府中本町_0635,勝浦_0625_勝浦_0625,成東_0651_成東_0651,___,府中本町_0652_府中本町_0652,上総湊_0656_上総湊_0656,___,___,府中本町_0710_府中本町_0710,___,___,府中本町_0724_府中本町_0724,___,___,___,府中本町_0748_府中本町_0748,___,___,___,府中本町_0812_府中本町_0812,___,___,府中本町_0822_府中本町_0822,___,___,___,___,府中本町_0844_府中本町_0844,___,___,府中本町_0857_府中本町_0857,___,___,___,___,府中本町_0920_府中本町_0920,___,___,___,___,府中本町_0940_府中本町_0940,___,___,府中本町_1001_府中本町_1001,___,___,上総一ノ宮_1040_上総一ノ宮_1040,府中本町_1020_府中本町_1020,___,___,___,府中本町_1040_府中本町_1040,___,___,府中本町_1100_府中本町_1100,___,___,上総一ノ宮_1138_上総一ノ宮_1138,府中本町_1120_府中本町_1120,___,___,___,___,府中本町_1140_府中本町_1140,___,___,府中本町_1200_府中本町_1200,___,___,上総一ノ宮_1239_上総一ノ宮_1239,府中本町_1220_府中本町_1220,___,___,___,府中本町_1240_府中本町_1240,___,___,府中本町_1300_府中本町_1300,___,___,上総一ノ宮_1339_上総一ノ宮_1339,府中本町_1320_府中本町_1320,___,___,___,___,___,府中本町_1340_府中本町_1340,___,___,府中本町_1400_府中本町_1400,___,___,上総一ノ宮_1439_上総一ノ宮_1439,府中本町_1420_府中本町_1420,___,___,___,___,府中本町_1450_府中本町_1450,___,___,___,府中本町_1510_府中本町_1510,上総一ノ宮_1539_上総一ノ宮_1539,___,___,府中本町_1531_府中本町_1531,___,___,府中本町_1551_府中本町_1551,___,___,___,___,府中本町_1610_府中本町_1610,___,___,府中本町_1639_府中本町_1639,___,___,___,府中本町_1701_府中本町_1701,___,___,___,府中本町_1721_府中本町_1721,___,___,___,___,府中本町_1746_府中本町_1746,___,府中本町_1804_府中本町_1804,___,___,___,府中本町_1820_府中本町_1820,___,___,府中本町_1828_府中本町_1828,___,___,府中本町_1845_府中本町_1845,___,___,府中本町_1909_府中本町_1909,___,___,君津_1938_君津_1938,府中本町_1921_府中本町_1921,___,___,___,___,府中本町_1956_府中本町_1956,上総一ノ宮_2013_上総一ノ宮_2013,府中本町_2007_府中本町_2007,___,___,___,府中本町_2032_府中本町_2032,___,___,___,府中本町_2045_府中本町_2045,___,___,上総一ノ宮_2113_上総一ノ宮_2113,府中本町_2108_府中本町_2108,___,___,府中本町_2133_府中本町_2133,君津_2145_君津_2145,___,府中本町_2207_府中本町_2207,___,___,___,___,___,___
蘇我_蘇我,発,,,,0450,,0506,・,0526,0540,・,,0554,・,0607,0619,・,0627,0633,0642,・,0651,0655,0702,・,0710,,0719,0728,・,0744,,0737,・,0757,0750,0805,・,0812,0819,・,0828,0836,0845,・,,0853,0906,・,0917,,・,0926,,0940,0934,・,,0955,・,,1007,,1020,・,,,1035,,・,1050,,・,1105,,1120,・,,1135,,・,1150,,・,1205,,1220,・,,,1235,,・,1250,,・,1305,,1320,・,,1335,,・,1350,,・,1405,,1420,・,1413,,1427,1435,,・,1450,,・,1505,,1520,・,,1535,,1550,・,,1605,,・,1620,,1625,・,1635,,・,1648,1702,,1710,・,1721,1732,・,1739,1748,,・,1800,1812,1818,・,1824,,1835,,・,1854,・,1904,,,・,,1921,・,1932,,・,1948,1956,・,2010,,2020,・,,2037,,2046,・,2054,・,,2110,2120,・,,,2135,・,,2145,2157,・,2208,2222,・,2236,2251,・,2309,2328,2340,2349,0001,0020
千葉みなと_千葉みなと,発,,,,0454,,0510,・,0530,0544,・,,0558,・,0611,0623,・,0631,0637,0646,・,0655,0659,0706,・,0714,,0723,0732,・,0748,,0741,・,0801,0754,0809,・,0816,0823,・,0832,0840,0849,・,,0857,0910,・,0921,,・,0930,,0944,0938,・,,0959,・,,1011,,1024,・,,,1039,,・,1054,,・,1109,,1124,・,,1139,,・,1154,,・,1209,,1224,・,,,1239,,・,1254,,・,1309,,1324,・,,1339,,・,1354,,・,1409,,1424,・,1419,,1433,1439,,・,1454,,・,1509,,1524,・,,1539,,1554,・,,1609,,・,1624,,1629,・,1639,,・,1652,1706,,1714,・,1725,1736,・,1743,1752,,・,1804,1816,1822,・,1828,,1839,,・,1858,・,1908,,,・,,1925,・,1936,,・,1952,2000,・,2014,,2024,・,,2041,,2050,・,2058,・,,2114,2124,・,,,2139,・,,2149,2201,・,2212,2226,・,2240,2255,・,2313,2332,2344,2353,0005,0024
稲毛海岸_稲毛海岸,発,,,,0457,,0514,・,0533,0548,・,,0601,・,0615,0626,・,0635,0641,0650,・,0659,0703,0710,・,0717,,0727,0736,・,0752,,0745,・,0805,0757,0813,・,0820,0826,・,0835,0844,0853,・,,0901,0913,・,0925,,・,0933,,0948,0941,・,,1003,・,,1014,,1027,・,,,1042,,・,1057,,・,1113,,1127,・,,1142,,・,1157,,・,1213,,1227,・,,,1242,,・,1257,,・,1313,,1327,・,,1342,,・,1357,,・,1413,,1427,・,1422,,1437,1442,,・,1457,,・,1513,,1527,・,,1542,,1557,・,,1613,,・,1627,,1632,・,1643,,・,1656,1710,,1718,・,1729,1739,・,1747,1755,,・,1807,1820,1825,・,1832,,1843,,・,1902,・,1912,,,・,,1929,・,1940,,・,1956,2004,・,2018,,2027,・,,2044,,2054,・,2102,・,,2117,2128,・,,,2143,・,,2153,2204,・,2216,2229,・,2243,2258,・,2317,2336,2347,2357,0008,0027
検見川浜_検見川浜,発,,,,0459,,0516,・,0536,0550,・,,0604,・,0617,0628,・,0637,0643,0652,・,0701,0705,0712,・,0719,,0729,0738,・,0754,,0747,・,0807,0800,0815,・,0822,0828,・,0837,0846,0855,・,,0903,0915,・,0927,,・,0935,,0950,0943,・,,1005,・,,1016,,1029,・,,,1044,,・,1059,,・,1115,,1129,・,,1144,,・,1159,,・,1215,,1229,・,,,1244,,・,1259,,・,1315,,1329,・,,1344,,・,1359,,・,1415,,1429,・,1424,,1439,1444,,・,1459,,・,1515,,1529,・,,1544,,1559,・,,1615,,・,1629,,1635,・,1645,,・,1658,1712,,1720,・,1731,1741,・,1749,1757,,・,1809,1822,1827,・,1834,,1845,,・,1904,・,1914,,,・,,1931,・,1942,,・,1958,2006,・,2020,,2029,・,,2047,,2056,・,2104,・,,2120,2130,・,,,2145,・,,2155,2206,・,2218,2231,・,2246,2301,・,2319,2338,2350,2359,0010,0029
