列車番号,,424Y,404Y,526Y,477E,532Y,582Y,510Y,515E,602Y,622Y,547E,630Y,624Y,571E,618A,616Y,608A,545E,604Y,2783E,726Y,509E,700Y,628Y,667E,780Y,732Y,635E,634Y,685E,712Y,2784A,5684A,779E,2825E,710Y,653E,2606A,714Y,623E,702Y,720Y,727E,810E,822Y,830Y,705E,818Y,816Y,757E,800E,808Y,804Y,882A,739E,928A,826Y,912Y,932Y,849E,934Y,984Y,910A,920Y,863E,902Y,907E,1022Y,1030A,947E,1018Y,1016Y,971E,1002E,1008A,1134Y,1021E,1132Y,1014A,1067E,1102Y,1110Y,1079E,1120A,1218Y,1183E,1230Y,1126A,1105E,1234Y,1216Y,1143E,1208A,1302Y,1281E,1314Y,1222A,1255E,1318Y,1310Y,1241E,1320A,1434Y,1365E,1426Y,1332A,1309E,1402Y,1416Y,1385E,1408A,1518Y,1417E,1522Y,1430A,1427E,1534Y,1510Y,1469E,1520A,1602Y,1526Y,1557E,1632Y,1514A,1684Y,1618Y,1505E,1616A,1533E,1624Y,1608Y,2706E,1543E,1622Y,1782Y,2720E,1730A,1663E,1734Y,1710A,1728Y,1704Y,1613E,1702Y,3706E,1726A,1647E,1820Y,1714Y,1741E,2816E,1832Y,1884A,1806Y,1721E,2811E,1818Y,1808Y,1785E,1824Y,2929E,1916Y,1922Y,1817E,1934Y,1883E,1904Y,1879E,1926Y,1920Y,1839E,3011E,1914Y,2032Y,1981E,2084Y,1930Y,2018Y,1933E,2056E,2024Y,2016Y,1907E,2002Y,2128Y,2065E,2134Y,2104Y,2013E,2120Y,2071E,2110Y,2108Y,2129E,2214Y,2230Y,2284Y,2218Y,2175E,2122Y,2224Y,3228E,2202Y,2217E,2334Y,2320Y,2310Y,2308Y,2414Y,2484Y
列車名_列車名,,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,通勤快速_通勤快速,通勤快速_通勤快速,普通_普通,普通_普通,普通_普通,普通_普通,通勤快速_通勤快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通
運転日,,全日,平日,平日,全日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,全日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,全日,平日,平日
記事,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,誉田－東京間は5784Aに併結__★_誉田－東京間は5784Aに併結_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前の区間,,,,,↑,,,,↑,,,↑,,,↑,↑,,↑,↑,,,,↑,,↑,↑,,,↑,↑,↑,,↑,↑,↑,,,↑,↑,,↑,,↑,↑,,,,↑,,,↑,,,,,↑,,,,,↑,,,,,↑,,↑,,,↑,,,↑,,,,↑,,↑,↑,,,↑,,,↑,,↑,↑,,,↑,,,↑,,↑,↑,,,↑,,,↑,,↑,↑,,,↑,,,↑,,↑,↑,,,↑,,,,↑,,↑,,,↑,,↑,,,,↑,,,,,↑,,,,,↑,,,,↑,,,↑,,,,,↑,,,,↑,↑,,,,↑,,↑,,↑,,,↑,,,,↑,,↑,,↑,,,,↑,↑,,↑,,,↑,,↑,,↑,↑,,,,,↑,↑,,,,↑,,,,,,
始発,,___,___,___,東所沢_0444_東所沢_0444,___,___,___,府中本町_0501_府中本町_0501,___,___,府中本町_0516_府中本町_0516,___,___,東所沢_0553_東所沢_0553,上総一ノ宮_0608_上総一ノ宮_0608,___,君津_0612_君津_0612,府中本町_0546_府中本町_0546,___,___,___,府中本町_0559_府中本町_0559,___,上総一ノ宮_0626_上総一ノ宮_0626,府中本町_0608_府中本町_0608,___,___,府中本町_0616_府中本町_0616,君津_0640_君津_0640,府中本町_0626_府中本町_0626,___,勝浦_0625_勝浦_0625,成東_0651_成東_0651,吉川美南_0727_吉川美南_0727,___,___,府中本町_0637_府中本町_0637,上総湊_0656_上総湊_0656,___,府中本町_0647_府中本町_0647,___,誉田_0751_誉田_0751,東所沢_0717_東所沢_0717,___,___,___,府中本町_0717_府中本町_0717,___,___,府中本町_0731_府中本町_0731,___,___,___,___,府中本町_0755_府中本町_0755,___,___,___,___,府中本町_0822_府中本町_0822,___,___,___,___,府中本町_0848_府中本町_0848,___,府中本町_0905_府中本町_0905,___,___,府中本町_0921_府中本町_0921,___,___,府中本町_0940_府中本町_0940,___,___,___,府中本町_1000_府中本町_1000,___,上総一ノ宮_1040_上総一ノ宮_1040,府中本町_1020_府中本町_1020,___,___,府中本町_1040_府中本町_1040,___,___,府中本町_1100_府中本町_1100,___,上総一ノ宮_1138_上総一ノ宮_1138,府中本町_1120_府中本町_1120,___,___,府中本町_1140_府中本町_1140,___,___,府中本町_1200_府中本町_1200,___,上総一ノ宮_1239_上総一ノ宮_1239,府中本町_1220_府中本町_1220,___,___,府中本町_1240_府中本町_1240,___,___,府中本町_1300_府中本町_1300,___,上総一ノ宮_1339_上総一ノ宮_1339,府中本町_1320_府中本町_1320,___,___,府中本町_1340_府中本町_1340,___,___,府中本町_1400_府中本町_1400,___,上総一ノ宮_1439_上総一ノ宮_1439,府中本町_1420_府中本町_1420,___,___,府中本町_1440_府中本町_1440,___,___,___,府中本町_1500_府中本町_1500,___,上総一ノ宮_1539_上総一ノ宮_1539,___,___,府中本町_1529_府中本町_1529,___,東所沢_1554_東所沢_1554,___,___,___,府中本町_1554_府中本町_1554,___,___,___,___,府中本町_1606_府中本町_1606,___,___,___,___,東所沢_1653_東所沢_1653,___,___,___,府中本町_1652_府中本町_1652,___,___,府中本町_1702_府中本町_1702,___,___,___,___,府中本町_1724_府中本町_1724,___,___,___,府中本町_1747_府中本町_1747,誉田_1841_誉田_1841,___,___,___,府中本町_1810_府中本町_1810,___,府中本町_1818_府中本町_1818,___,府中本町_1832_府中本町_1832,___,___,府中本町_1849_府中本町_1849,___,___,___,府中本町_1908_府中本町_1908,___,君津_1938_君津_1938,___,府中本町_1936_府中本町_1936,___,___,___,府中本町_1955_府中本町_1955,上総一ノ宮_2013_上総一ノ宮_2013,___,府中本町_2012_府中本町_2012,___,___,府中本町_2032_府中本町_2032,___,府中本町_2044_府中本町_2044,___,上総一ノ宮_2113_上総一ノ宮_2113,府中本町_2108_府中本町_2108,___,___,___,___,府中本町_2133_府中本町_2133,君津_2145_君津_2145,___,___,___,府中本町_2206_府中本町_2206,___,___,___,___,___,___
蘇我_蘇我,発,,0450,0507,・,0527,0541,0550,・,0604,0611,・,0618,0627,・,0642,0635,0651,・,0655,,0701,・,0705,0709,・,0713,0716,・,0719,・,0726,0744,,・,,0736,・,0758,0742,・,0751,0802,・,,0805,0813,・,0821,0831,・,,0840,0846,0853,・,0908,0859,,0912,・,0922,0929,0936,,・,0951,・,1005,1020,・,,1035,・,,1050,,・,1105,1120,・,,1135,・,1150,,・,1205,1220,・,,1235,・,1250,,・,1305,1320,・,,1335,・,1350,,・,1405,1420,・,,1435,・,1450,,・,1505,1520,・,,1534,・,1550,,1558,・,1609,1620,,,・,1635,・,,1646,,・,1653,,,1708,・,1715,1724,,,・,1737,,1749,・,,1758,・,,1811,1820,,・,,1832,1842,・,1850,,,1900,・,1912,・,1924,・,1937,1945,・,,1954,2004,・,2013,2020,2029,・,,2039,2043,・,2053,2100,・,2116,2125,・,2138,・,2144,2155,・,2207,,2218,2226,・,2235,2243,2251,2258,・,2309,2328,2343,2349,0001,0020
千葉みなと_千葉みなと,発,,0454,0511,・,0531,0545,0554,・,0608,0615,・,0622,0631,・,0646,0639,0655,・,0700,,0705,・,0710,0714,・,0717,0721,・,0725,・,0735,レ,,・,,0741,・,レ,0750,・,0755,0806,・,,0809,0818,・,0825,0835,・,,0844,0850,0857,・,0912,0907,,0916,・,0926,0933,0940,,・,0955,・,1009,1024,・,,1039,・,,1054,,・,1109,1124,・,,1139,・,1154,,・,1209,1224,・,,1239,・,1254,,・,1309,1324,・,,1339,・,1354,,・,1409,1424,・,,1439,・,1454,,・,1509,1524,・,,1538,・,1554,,1602,・,1613,1624,,,・,1639,・,,1650,,・,1657,,,1712,・,1719,1728,,,・,1741,,1753,・,,1802,・,,1815,1824,,・,,1836,1846,・,1854,,,1904,・,1916,・,1928,・,1941,1949,・,,1958,2008,・,2017,2024,2033,・,,2043,2047,・,2057,2104,・,2120,2129,・,2142,・,2148,2159,・,2211,,2222,2230,・,2239,2247,2255,2302,・,2313,2332,2347,2353,0005,0024
稲毛海岸_稲毛海岸,発,,0457,0515,・,0534,0549,0557,・,0611,0619,・,0626,0635,・,0650,0643,0659,・,0703,,0709,・,0713,0717,・,0721,0724,・,0729,・,0739,レ,,・,,0744,・,レ,0754,・,0759,0810,・,,0813,0821,・,0829,0839,・,,0848,0854,0901,・,0916,0911,,0920,・,0930,0937,0943,,・,0959,・,1013,1027,・,,1042,・,,1057,,・,1113,1127,・,,1142,・,1157,,・,1213,1227,・,,1242,・,1258,,・,1313,1327,・,,1342,・,1357,,・,1413,1427,・,,1442,・,1457,,・,1513,1527,・,,1541,・,1557,,1605,・,1616,1627,,,・,1642,・,,1653,,・,1701,,,1716,・,1722,1731,,,・,1745,,1757,・,,1805,・,,1818,1827,,・,,1839,1850,・,1858,,,1907,・,1920,・,1931,・,1945,1952,・,,2002,2011,・,2020,2027,2037,・,,2047,2051,・,2101,2108,・,2124,2132,・,2146,・,2152,2202,・,2215,,2226,2234,・,2242,2250,2258,2306,・,2317,2336,2351,2357,0008,0027
検見川浜_検見川浜,発,,0459,0517,・,0536,0551,0559,・,0613,0621,・,0628,0637,・,0652,0645,0701,・,0706,,0711,・,0716,0720,・,0723,0727,・,0731,・,0741,レ,,・,,0747,・,レ,0756,・,0802,0812,・,,0815,0824,・,0831,0841,・,,0850,0856,0903,・,0918,0913,,0922,・,0932,0939,0945,,・,1001,・,1015,1029,・,,1044,・,,1059,,・,1115,1129,・,,1144,・,1159,,・,1215,1229,・,,1244,・,1300,,・,1315,1329,・,,1344,・,1359,,・,1415,1429,・,,1444,・,1459,,・,1515,1529,・,,1544,・,1559,,1607,・,1618,1629,,,・,1644,・,,1655,,・,1703,,,1718,・,1725,1733,,,・,1747,,1759,・,,1808,・,,1821,1830,,・,,1841,1852,・,1900,,,1909,・,1922,・,1933,・,1947,1954,・,,2004,2013,・,2023,2029,2039,・,,2049,2053,・,2103,2110,・,2126,2134,・,2148,・,2154,2204,・,2217,,2228,2236,・,2244,2253,2301,2308,・,2319,2338,2353,2359,0011,0029
海浜幕張_海浜幕張,発,,0502,0520,・,0539,0554,0602,・,0616,0623,・,0634,0642,・,0655,0647,0704,・,0709,,0714,・,0720,0723,・,0726,0730,・,0734,・,0744,レ,,・,,0750,・,レ,0801,・,0809,0815,・,0825,0821,0828,・,0838,0845,・,0852,0855,0859,0907,・,0922,0916,0930,0925,・,0936,0941,0948,0950,・,1004,・,1018,1032,・,1035,1047,・,1052,1102,1105,・,1118,1132,・,1141,1147,・,1202,1205,・,1218,1232,・,1236,1247,・,1302,1305,・,1318,1332,・,1336,1347,・,1402,1405,・,1418,1432,・,1436,1447,・,1502,1504,・,1518,1532,・,1537,1546,・,1602,1604,1610,・,1621,1633,1625,1635,・,1647,・,1652,1659,,・,1706,1713,1718,1724,・,1727,1736,,1739,・,1750,1752,1802,・,1805,1810,・,1818,1823,1832,,・,,1845,1855,・,1903,,1907,1912,・,1925,・,1937,・,1950,1957,・,,2006,2016,・,2025,2032,2042,・,2044,2052,2056,・,2106,2119,・,2129,2139,・,2151,・,2157,2207,・,2220,2225,2231,2239,・,2248,2255,2303,2311,・,2322,2341,2356,0001,0013,0032
