列車番号,,2001M,2201M,2003M,2203M,2005M,2205M,2007M,2207M,2209M,2009M,2211M,2011M,2013M,2015M,2215M,2217M,2017M,2019M,2219M,2221M,2021M,2023M,2223M,2225M,2025M,2027M,2227M,2229M,2029M,2031M,2231M,2233M,2033M,2035M,2235M,2237M,2037M,2039M,2239M,2241M,2041M,2043M,2243M,2245M,2045M,2047M,2247M,2249M,2049M,2051M,2251M,2053M,2253M
列車名_列車名,,特急 成田エクスプレス1号_特急 成田エクスプレス1号,特急 成田エクスプレス1号_特急 成田エクスプレス1号,特急 成田エクスプレス3号_特急 成田エクスプレス3号,特急 成田エクスプレス3号_特急 成田エクスプレス3号,特急 成田エクスプレス5号_特急 成田エクスプレス5号,特急 成田エクスプレス5号_特急 成田エクスプレス5号,特急 成田エクスプレス7号_特急 成田エクスプレス7号,特急 成田エクスプレス7号_特急 成田エクスプレス7号,特急 成田エクスプレス9号_特急 成田エクスプレス9号,特急 成田エクスプレス9号_特急 成田エクスプレス9号,特急 成田エクスプレス11号_特急 成田エクスプレス11号,特急 成田エクスプレス11号_特急 成田エクスプレス11号,特急 成田エクスプレス13号_特急 成田エクスプレス13号,特急 成田エクスプレス15号_特急 成田エクスプレス15号,特急 成田エクスプレス15号_特急 成田エクスプレス15号,特急 成田エクスプレス17号_特急 成田エクスプレス17号,特急 成田エクスプレス17号_特急 成田エクスプレス17号,特急 成田エクスプレス19号_特急 成田エクスプレス19号,特急 成田エクスプレス19号_特急 成田エクスプレス19号,特急 成田エクスプレス21号_特急 成田エクスプレス21号,特急 成田エクスプレス21号_特急 成田エクスプレス21号,特急 成田エクスプレス23号_特急 成田エクスプレス23号,特急 成田エクスプレス23号_特急 成田エクスプレス23号,特急 成田エクスプレス25号_特急 成田エクスプレス25号,特急 成田エクスプレス25号_特急 成田エクスプレス25号,特急 成田エクスプレス27号_特急 成田エクスプレス27号,特急 成田エクスプレス27号_特急 成田エクスプレス27号,特急 成田エクスプレス29号_特急 成田エクスプレス29号,特急 成田エクスプレス29号_特急 成田エクスプレス29号,特急 成田エクスプレス31号_特急 成田エクスプレス31号,特急 成田エクスプレス31号_特急 成田エクスプレス31号,特急 成田エクスプレス33号_特急 成田エクスプレス33号,特急 成田エクスプレス33号_特急 成田エクスプレス33号,特急 成田エクスプレス35号_特急 成田エクスプレス35号,特急 成田エクスプレス35号_特急 成田エクスプレス35号,特急 成田エクスプレス37号_特急 成田エクスプレス37号,特急 成田エクスプレス37号_特急 成田エクスプレス37号,特急 成田エクスプレス39号_特急 成田エクスプレス39号,特急 成田エクスプレス39号_特急 成田エクスプレス39号,特急 成田エクスプレス41号_特急 成田エクスプレス41号,特急 成田エクスプレス41号_特急 成田エクスプレス41号,特急 成田エクスプレス43号_特急 成田エクスプレス43号,特急 成田エクスプレス43号_特急 成田エクスプレス43号,特急 成田エクスプレス45号_特急 成田エクスプレス45号,特急 成田エクスプレス45号_特急 成田エクスプレス45号,特急 成田エクスプレス47号_特急 成田エクスプレス47号,特急 成田エクスプレス47号_特急 成田エクスプレス47号,特急 成田エクスプレス49号_特急 成田エクスプレス49号,特急 成田エクスプレス49号_特急 成田エクスプレス49号,特急 成田エクスプレス51号_特急 成田エクスプレス51号,特急 成田エクスプレス51号_特急 成田エクスプレス51号,特急 成田エクスプレス53号_特急 成田エクスプレス53号,特急 成田エクスプレス53号_特急 成田エクスプレス53号
設備,,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____
運転日,,全日,全日,全日,平日,全日,全日,全日,平日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日
記事,,,東京－成田空港間は2001M〔成田エクスプレス1号〕に併結__★_東京－成田空港間は2001M〔成田エクスプレス1号〕に併結_,,東京－成田空港間は2003M〔成田エクスプレス3号〕に併結__★_東京－成田空港間は2003M〔成田エクスプレス3号〕に併結_,,東京－成田空港間は2005M〔成田エクスプレス5号〕に併結__★_東京－成田空港間は2005M〔成田エクスプレス5号〕に併結_,,東京－成田空港間は2007M〔成田エクスプレス7号〕に併結__★_東京－成田空港間は2007M〔成田エクスプレス7号〕に併結_,,,,,,,東京－成田空港間は2015M〔成田エクスプレス15号〕に併結__★_東京－成田空港間は2015M〔成田エクスプレス15号〕に併結_,,,,東京－成田空港間は2019M〔成田エクスプレス19号〕に併結__★_東京－成田空港間は2019M〔成田エクスプレス19号〕に併結_,,,,東京－成田空港間は2023M〔成田エクスプレス23号〕に併結__★_東京－成田空港間は2023M〔成田エクスプレス23号〕に併結_,,,,東京－成田空港間は2027M〔成田エクスプレス27号〕に併結__★_東京－成田空港間は2027M〔成田エクスプレス27号〕に併結_,,,,東京－成田空港間は2031M〔成田エクスプレス31号〕に併結__★_東京－成田空港間は2031M〔成田エクスプレス31号〕に併結_,,,,東京－成田空港間は2035M〔成田エクスプレス35号〕に併結__★_東京－成田空港間は2035M〔成田エクスプレス35号〕に併結_,,,,東京－成田空港間は2039M〔成田エクスプレス39号〕に併結__★_東京－成田空港間は2039M〔成田エクスプレス39号〕に併結_,,,,東京－成田空港間は2043M〔成田エクスプレス43号〕に併結__★_東京－成田空港間は2043M〔成田エクスプレス43号〕に併結_,,,,東京－成田空港間は2047M〔成田エクスプレス47号〕に併結__★_東京－成田空港間は2047M〔成田エクスプレス47号〕に併結_,,,,東京－成田空港間は2051M〔成田エクスプレス51号〕に併結__★_東京－成田空港間は2051M〔成田エクスプレス51号〕に併結_,,東京－成田空港間は2053M〔成田エクスプレス53号〕に併結__★_東京－成田空港間は2053M〔成田エクスプレス53号〕に併結_
八王子_八王子,発,,,,0555,,,,0628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
立川_立川,発,,,,0604,,,,0637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
国分寺_国分寺,発,,,,0610,,,,0644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三鷹_三鷹,発,,,,0616,,,,0650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉祥寺_吉祥寺,発,,,,0619,,,,0653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大船_大船,発,0528,,0606,||,0622,,0638,||,,,,,0808,0910,,,,1010,,,,1110,,,,1211,,,,1311,,,,1410,,,,1510,,,,1610,,,,1710,,,,1810,,1910,
戸塚_戸塚,発,0533,,0612,||,0628,,0645,||,,,,,0814,0916,,,,1016,,,,1116,,,,1218,,,,1318,,,,1416,,,,1516,,,,1616,,,,1716,,,,1816,,1916,
横浜_横浜,発,0544,,0622,||,0640,,0656,||,,,,,0826,0928,,,,1028,,,,1128,,,,1229,,,,1329,,,,1428,,,,1528,,,,1628,,,,1728,,,,1828,,1928,
武蔵小杉_武蔵小杉,発,0555,,0634,||,0651,,0708,||,,,,,0838,0939,,,,1039,,,,1139,,,,1240,,,,1340,,,,1439,,,,1539,,,,1639,,,,1739,,,,1839,,1939,
大宮_大宮,発,||,,||,||,||,,||,||,,,,,||,||,,,,||,,,,||,,,,||,,,,||,,,,||,,,,||,,,,||,,,,||,,,,||,,||,
池袋_池袋,発,||,,||,||,||,,||,||,,,,,||,||,,,,||,,,,||,,,,||,,,,||,,,,||,,,,||,,,,||,,,,||,,,,||,,||,
新宿_新宿,発,||,0555,||,0634,||,0651,||,0707,0727,,0802,,||,||,0939,1008,,||,1038,1108,,||,1138,1208,,||,1238,1308,,||,1338,1408,,||,1438,1508,,||,1538,1608,,||,1638,1709,,||,1739,1809,,||,1839,||,1939
渋谷_渋谷,発,||,0601,||,0640,||,0657,||,0713,0733,,0808,,||,||,0945,1014,,||,1044,1114,,||,1144,1214,,||,1244,1314,,||,1344,1414,,||,1444,1514,,||,1544,1614,,||,1644,1715,,||,1745,1815,,||,1845,||,1945
品川_品川,発,0605,レ,0647,レ,0702,レ,0718,レ,0745,,0819,,0849,0949,レ,1023,,1049,レ,1123,,1149,レ,1224,,1250,レ,1324,,1350,レ,1424,,1449,レ,1524,,1549,レ,1624,,1649,レ,1724,,1749,レ,1824,,1849,レ,1949,レ
東京_東京,着,0612,0616,0654,0658,0709,0713,0725,0729,0754,┐,0828,┐,0857,0956,1000,1030,┐,1056,1100,1130,┐,1156,1200,1231,┐,1257,1301,1331,┐,1357,1401,1431,┐,1456,1500,1531,┐,1556,1600,1631,┐,1656,1700,1731,┐,1756,1801,1831,┐,1856,1900,1956,2000
東京_東京,発,0618,┘,0700,┘,0715,┘,0731,┘,,0755,,0830,0900,1003,┘,,1033,1103,┘,,1133,1203,┘,,1233,1303,┘,,1333,1403,┘,,1433,1503,┘,,1533,1603,┘,,1633,1703,┘,,1733,1803,┘,,1833,1903,┘,2003,┘
千葉_千葉,発,0644,,レ,,0742,,レ,,,0831,,レ,0929,1028,,,レ,1128,,,レ,1228,,,レ,1328,,,レ,1428,,,レ,1527,,,レ,1628,,,レ,1728,,,レ,1829,,,1900,1931,,2038,
四街道_四街道,発,レ,,レ,,レ,,レ,,,レ,,レ,レ,レ,,,レ,レ,,,レ,レ,,,レ,レ,,,レ,レ,,,レ,レ,,,レ,レ,,,レ,レ,,,レ,1835,,,1906,1938,,2044,
佐倉_佐倉,発,レ,,レ,,レ,,レ,,,レ,,レ,レ,レ,,,レ,レ,,,レ,レ,,,レ,レ,,,レ,レ,,,レ,レ,,,レ,レ,,,レ,レ,,,レ,レ,,,レ,1944,,2051,
成田_成田,発,レ,,レ,,レ,,レ,,,レ,,レ,レ,レ,,,レ,レ,,,レ,レ,,,レ,レ,,,レ,レ,,,レ,レ,,,レ,レ,,,レ,レ,,,レ,1850,,,1925,1957,,2102,
空港第２ビル_空港第２ビル,着,0715,,0754,,0808,,0833,,,0859,,0925,0954,1054,,,1123,1153,,,1228,1254,,,1323,1354,,,1428,1454,,,1523,1553,,,1628,1653,,,1726,1755,,,1824,1858,,,1933,2005,,2110,
成田空港_成田空港,着,0719,,0758,,0811,,0837,,,0903,,0929,0958,1058,,,1127,1157,,,1232,1258,,,1327,1357,,,1432,1458,,,1527,1557,,,1632,1657,,,1730,1758,,,1828,1902,,,1936,2009,,2114,
