列車番号,,2002M,2202M,2004M,2204M,2006M,2206M,2008M,2208M,2010M,2210M,2012M,2212M,2014M,2214M,2016M,2216M,2018M,2218M,2020M,2220M,2022M,2222M,2024M,2224M,2026M,2226M,2028M,2228M,2030M,2230M,2032M,2032M,2232M,2034M,2034M,2234M,2036M,2236M,2038M,2238M,2040M,2240M,2042M,2044M,2244M,2046M,2246M,2048M,2248M,2050M,2250M,2052M,2252M,2054M,2254M
列車名_列車名,,特急 成田エクスプレス2号_特急 成田エクスプレス2号,特急 成田エクスプレス2号_特急 成田エクスプレス2号,特急 成田エクスプレス4号_特急 成田エクスプレス4号,特急 成田エクスプレス4号_特急 成田エクスプレス4号,特急 成田エクスプレス6号_特急 成田エクスプレス6号,特急 成田エクスプレス6号_特急 成田エクスプレス6号,特急 成田エクスプレス8号_特急 成田エクスプレス8号,特急 成田エクスプレス8号_特急 成田エクスプレス8号,特急 成田エクスプレス10号_特急 成田エクスプレス10号,特急 成田エクスプレス10号_特急 成田エクスプレス10号,特急 成田エクスプレス12号_特急 成田エクスプレス12号,特急 成田エクスプレス12号_特急 成田エクスプレス12号,特急 成田エクスプレス14号_特急 成田エクスプレス14号,特急 成田エクスプレス14号_特急 成田エクスプレス14号,特急 成田エクスプレス16号_特急 成田エクスプレス16号,特急 成田エクスプレス16号_特急 成田エクスプレス16号,特急 成田エクスプレス18号_特急 成田エクスプレス18号,特急 成田エクスプレス18号_特急 成田エクスプレス18号,特急 成田エクスプレス20号_特急 成田エクスプレス20号,特急 成田エクスプレス20号_特急 成田エクスプレス20号,特急 成田エクスプレス22号_特急 成田エクスプレス22号,特急 成田エクスプレス22号_特急 成田エクスプレス22号,特急 成田エクスプレス24号_特急 成田エクスプレス24号,特急 成田エクスプレス24号_特急 成田エクスプレス24号,特急 成田エクスプレス26号_特急 成田エクスプレス26号,特急 成田エクスプレス26号_特急 成田エクスプレス26号,特急 成田エクスプレス28号_特急 成田エクスプレス28号,特急 成田エクスプレス28号_特急 成田エクスプレス28号,特急 成田エクスプレス30号_特急 成田エクスプレス30号,特急 成田エクスプレス30号_特急 成田エクスプレス30号,特急 成田エクスプレス32号_特急 成田エクスプレス32号,特急 成田エクスプレス32号_特急 成田エクスプレス32号,特急 成田エクスプレス32号_特急 成田エクスプレス32号,特急 成田エクスプレス34号_特急 成田エクスプレス34号,特急 成田エクスプレス34号_特急 成田エクスプレス34号,特急 成田エクスプレス34号_特急 成田エクスプレス34号,特急 成田エクスプレス36号_特急 成田エクスプレス36号,特急 成田エクスプレス36号_特急 成田エクスプレス36号,特急 成田エクスプレス38号_特急 成田エクスプレス38号,特急 成田エクスプレス38号_特急 成田エクスプレス38号,特急 成田エクスプレス40号_特急 成田エクスプレス40号,特急 成田エクスプレス40号_特急 成田エクスプレス40号,特急 成田エクスプレス42号_特急 成田エクスプレス42号,特急 成田エクスプレス44号_特急 成田エクスプレス44号,特急 成田エクスプレス44号_特急 成田エクスプレス44号,特急 成田エクスプレス46号_特急 成田エクスプレス46号,特急 成田エクスプレス46号_特急 成田エクスプレス46号,特急 成田エクスプレス48号_特急 成田エクスプレス48号,特急 成田エクスプレス48号_特急 成田エクスプレス48号,特急 成田エクスプレス50号_特急 成田エクスプレス50号,特急 成田エクスプレス50号_特急 成田エクスプレス50号,特急 成田エクスプレス52号_特急 成田エクスプレス52号,特急 成田エクスプレス52号_特急 成田エクスプレス52号,特急 成田エクスプレス54号_特急 成田エクスプレス54号,特急 成田エクスプレス54号_特急 成田エクスプレス54号
設備,,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____
運転日,,土休日,土休日,全日,土休日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,成田停車は1月1～3日__臨停_成田停車は1月1～3日_,全日,全日,成田停車は1月1～3日__臨停_成田停車は1月1～3日_,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,土休日,全日,土休日,全日,全日
記事,,,成田空港－東京間は2002M〔成田エクスプレス2号〕に併結__★_成田空港－東京間は2002M〔成田エクスプレス2号〕に併結_,,,,成田空港－東京間は2006M〔成田エクスプレス6号〕に併結__★_成田空港－東京間は2006M〔成田エクスプレス6号〕に併結_,,,,成田空港－東京間は2010M〔成田エクスプレス10号〕に併結__★_成田空港－東京間は2010M〔成田エクスプレス10号〕に併結_,,,,成田空港－東京間は2014M〔成田エクスプレス14号〕に併結__★_成田空港－東京間は2014M〔成田エクスプレス14号〕に併結_,,,,成田空港－東京間は2018M〔成田エクスプレス18号〕に併結__★_成田空港－東京間は2018M〔成田エクスプレス18号〕に併結_,,,,成田空港－東京間は2022M〔成田エクスプレス22号〕に併結__★_成田空港－東京間は2022M〔成田エクスプレス22号〕に併結_,,,,成田空港－東京間は2026M〔成田エクスプレス26号〕に併結__★_成田空港－東京間は2026M〔成田エクスプレス26号〕に併結_,,,,成田空港－東京間は2030M〔成田エクスプレス30号〕に併結__★_成田空港－東京間は2030M〔成田エクスプレス30号〕に併結_,,,,,,成田空港－東京間は2034M〔成田エクスプレス34号〕に併結__★_成田空港－東京間は2034M〔成田エクスプレス34号〕に併結_,,,,成田空港－東京間は2038M〔成田エクスプレス38号〕に併結__★_成田空港－東京間は2038M〔成田エクスプレス38号〕に併結_,,成田空港－東京間は2040M〔成田エクスプレス40号〕に併結__★_成田空港－東京間は2040M〔成田エクスプレス40号〕に併結_,,,,,成田空港－東京間は2046M〔成田エクスプレス46号〕に併結__★_成田空港－東京間は2046M〔成田エクスプレス46号〕に併結_,,,,成田空港－東京間は2050M〔成田エクスプレス50号〕に併結__★_成田空港－東京間は2050M〔成田エクスプレス50号〕に併結_,,成田空港－東京間は2052M〔成田エクスプレス52号〕に併結__★_成田空港－東京間は2052M〔成田エクスプレス52号〕に併結_,,成田空港－東京間は2054M〔成田エクスプレス54号〕に併結__★_成田空港－東京間は2054M〔成田エクスプレス54号〕に併結_
成田空港_成田空港,発,0737,,0813,,0850,,0916,,0946,,1015,,1045,,1114,,1144,,1220,,1245,,1315,,1345,,1421,,1446,,1514,1514,,1544,1544,,1620,,1645,,1717,,1746,1815,,1848,,1912,,1948,,2044,,2144,
空港第２ビル_空港第２ビル,発,0740,,0816,,0854,,0919,,0949,,1018,,1048,,1118,,1148,,1224,,1249,,1318,,1348,,1424,,1449,,1518,1518,,1548,1548,,1624,,1648,,1720,,1749,1819,,1852,,1916,,1952,,2047,,2147,
成田_成田,発,0749,,0828,,0905,,レ,,レ,,レ,,レ,,レ,,レ,,レ,,レ,,レ,,レ,,レ,,レ,,レ,成田停車は1月1～3日__1531_成田停車は1月1～3日_,,レ,成田停車は1月1～3日__1559_成田停車は1月1～3日_,,レ,,レ,,レ,,レ,レ,,レ,,レ,,レ,,レ,,レ,
佐倉_佐倉,発,0800,,レ,,0917,,レ,,レ,,レ,,レ,,レ,,レ,,レ,,レ,,レ,,レ,,レ,,レ,,レ,レ,,レ,レ,,レ,,レ,,レ,,レ,レ,,レ,,レ,,レ,,レ,,レ,
四街道_四街道,発,0806,,0844,,0923,,レ,,レ,,レ,,レ,,レ,,レ,,レ,,レ,,レ,,レ,,レ,,レ,,レ,レ,,レ,レ,,レ,,レ,,レ,,レ,レ,,レ,,レ,,レ,,レ,,レ,
