列車番号,,477E,417E,529E,515E,533E,527E,565E,521E,507E,571E,643E,509E,667E,675E,635E,685E,647E,669E,781E,755E,723E,741E,711E,2631M,783E,717E,713E,849E,9025M,9021M,819E,833E,9023M,2633M,877E,827E,2763M,903E,807E,943E,9431M,965E,909E,961E,9491M,971E,1067E,9491M,2635M,1047E,1081E,1085E,1083E,1069E,9035M,1111E,1155E,1149E,1141E,1105E,1117E,1213E,1219E,1243E,1233E,1227E,1209E,1371E,1307E,1347E,1365E,1385E,1361E,1469E,1467E,9521M,1455E,1481E,1441E,9713M,1483E,1517E,1511E,1529E,1519E,1549E,1533E,9727M,1505E,1609E,1613E,1607E,1643E,1665E,1627E,9555M,1761E,2637M,1771E,8069M,9069M,1767E,1747E,1781E,2767M,1803E,1785E,1741E,2639M,1869E,1875E,1817E,1855E,1829E,1821E,1819E,1883E,1911E,1933E,1949E,1909E,1943E,1905E,1907E,2013E,2027E,2051E,2065E,2769M,2003E,2071E,2047E,2161E,9526M,9526M,2141E,2167E,2175E,2185E,2129E,2269E,2217E,2283E,2255E,2221E,2243E,2311E,2349E,2333E,2407E
列車名_列車名,,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通 むさしの号_普通 むさしの号,普通_普通,普通_普通,普通_普通,普通_普通,特急 冬を満喫！海浜公園号_特急 冬を満喫！海浜公園号,特急 水戸偕楽園高尾号_特急 水戸偕楽園高尾号,普通_普通,普通_普通,特急 冬満喫ひたち巡り旅号_特急 冬満喫ひたち巡り旅号,普通 むさしの号_普通 むさしの号,普通_普通,普通_普通,普通 しもうさ号_普通 しもうさ号,普通 しもうさ号_普通 しもうさ号,普通_普通,普通_普通,特急 開運成田山初詣栃木号_特急 開運成田山初詣栃木号,普通_普通,普通_普通,普通_普通,特急 開運成田山初詣武蔵野号_特急 開運成田山初詣武蔵野号,普通_普通,普通_普通,特急 開運成田山初詣群馬号_特急 開運成田山初詣群馬号,普通 むさしの号_普通 むさしの号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ゆけむり草津・四万_特急 ゆけむり草津・四万,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 ときめき足利イルミ_特急 ときめき足利イルミ,普通_普通,普通_普通,普通_普通,特急 マリンきぬがわ_特急 マリンきぬがわ,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 氏家雛めぐり号_特急 氏家雛めぐり号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 開運高尾山初詣群馬号_特急 開運高尾山初詣群馬号,普通_普通,普通 むさしの号_普通 むさしの号,普通_普通,特急 鎌倉_特急 鎌倉,特急 武蔵野線５０周年鎌倉号_特急 武蔵野線５０周年鎌倉号,普通_普通,普通_普通,普通_普通,普通 しもうさ号_普通 しもうさ号,普通 しもうさ号_普通 しもうさ号,普通_普通,普通_普通,普通 むさしの号_普通 むさしの号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通 しもうさ号_普通 しもうさ号,普通 しもうさ号_普通 しもうさ号,普通_普通,普通_普通,普通_普通,特急 きらきら足利イルミ_特急 きらきら足利イルミ,特急 きらきら足利イルミ_特急 きらきら足利イルミ,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通
設備,,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車指定席_普通車全車指定席____,_,_,_,_,_,_,_,グリーン車指定席_普通車全車指定席____,_,_,_,普通車全車指定席___,_,_,グリーン車指定席_普通車全車指定席____,_,_,_,_,_,_,普通車全車指定席___,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,普通車全車指定席___,_,_,_,普通車全車指定席___,_,_,_,_,_,_,_,普通車全車指定席___,_,_,_,_,_,_,_,グリーン車指定席_普通車全車指定席____,_,_,_,普通車全車指定席___,普通車全車指定席___,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,普通車全車指定席___,普通車全車指定席___,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
運転日,,全日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,12月23・24日運転__◆_12月23・24日運転_,2月23～25日運転__◆_2月23～25日運転_,土休日,土休日,12月9日運転__◆_12月9日運転_,土休日,土休日,土休日,土休日,土休日,土休日,土休日,1月6・7日運転__◆_1月6・7日運転_,土休日,土休日,土休日,1月8日運転__◆_1月8日運転_,土休日,土休日,1月13・14日運転__◆_1月13・14日運転_,土休日,土休日,土休日,土休日,土休日,土休日,1月27日運転__◆_1月27日運転_,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,12月16・23日運転__◆_12月16・23日運転_,土休日,土休日,土休日,2月18日運転__◆_2月18日運転_,土休日,土休日,土休日,土休日,土休日,土休日,土休日,2月3日運転__◆_2月3日運転_,土休日,土休日,土休日,土休日,土休日,土休日,土休日,1月6・7日運転__◆_1月6・7日運転_,土休日,土休日,土休日,11月23日・12月2・9日・1月6・7・13・20・27日・2月3・10・11・17・23・24日運転__◆_11月23日・12月2・9日・1月6・7・13・20・27日・2月3・10・11・17・23・24日運転_,11月25日運転__◆_11月25日運転_,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,12月16・23日・1月13・20・27日・2月10・11日運転__◆_12月16・23日・1月13・20・27日・2月10・11日運転_,11月26日運転__◆_11月26日運転_,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,全日,全日
前の区間,,,,,,,,,,,,,,,,,,,,,,,,,↑,,,,,↑,↑,,,,,,,,,,,↑,,,,,,,↑,↑,,,,,,↑,,,,,,,,,,,,,,,,,,,,,↑,,,,↑,,,,,,,,↑,,,,,,,,↑,,↑,,↑,↑,,,,,,,,↑,,,,,,,,,,,,,,,,,,,,,,,,,↑,↑,,,,,,,,,,,,,,,
始発,,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,八王子_0721_八王子_0721,___,___,___,___,高崎_0722_高崎_0722,高尾_0745_高尾_0745,___,___,___,___,___,___,___,___,___,___,宇都宮_0826_宇都宮_0826,___,___,___,___,___,___,前橋_0906_前橋_0906,八王子_0950_八王子_0950,___,___,___,___,___,八王子_1041_八王子_1041,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,八王子_1403_八王子_1403,___,___,___,鬼怒川温泉_1319_鬼怒川温泉_1319,___,___,___,___,___,___,___,氏家_1447_氏家_1447,___,___,___,___,___,___,___,高尾_1623_高尾_1623,___,八王子_1656_八王子_1656,___,鎌倉_1623_鎌倉_1623,鎌倉_1623_鎌倉_1623,___,___,___,___,___,___,___,八王子_1747_八王子_1747,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,足利_1958_足利_1958,足利_1958_足利_1958,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___
横浜_横浜,発,,,,,,,,,,,,,,,,,,,,,,,,・,,,,,・,・,,,,,,,,,,,・,,,,,,,・,・,,,,,,・,,,,,,,,,,,,,,,,,,,,,・,,,,・,,,,,,,,・,,,,,,,,・,,・,,・,・,,,,,,,,・,,,,,,,,,,,,,,,,,,,,,,,,,・,・,,,,,,,,,,,,,,,
府中本町_府中本町,発,,,,0501,,0516,,0532,,0545,,0559,0609,,0624,0635,0644,0652,0702,0710,0716,0724,0731,・,0740,0748,0756,0804,・,・,0812,0822,,0826,0831,0844,,,0857,0910,・,0920,0930,0940,0945,0950,1001,・,・,1010,1020,1030,1040,1050,・,1100,1110,1120,1130,1140,1150,1200,1210,1220,1230,1240,1250,1300,1310,1320,1330,1340,1350,1400,1410,・,1420,1430,1440,・,1450,1500,1510,,1520,1531,1541,・,1551,1600,1610,1620,1630,1639,1650,・,1701,・,1713,レ,レ,1721,1729,1737,,,1746,1754,・,1804,1812,1820,1828,1835,1845,1849,1857,1909,1921,1931,1937,1943,1947,1956,2007,2013,2021,2032,,,2045,2056,2108,・,・,2114,2120,2133,2144,2156,2201,2207,2219,2231,2243,2253,2305,2319,2336,0001
北府中_北府中,発,,,,0503,,0518,,0534,,0548,,0601,0611,,0626,0637,0646,0654,0704,0712,0718,0726,0733,・,0742,0750,0758,0806,・,・,0814,0824,,0828,0834,0846,,,0859,0912,・,0922,0932,0942,レ,0952,1003,・,・,1012,1022,1032,1042,1052,・,1102,1112,1122,1132,1142,1152,1202,1212,1222,1232,1242,1252,1302,1312,1322,1332,1342,1352,1402,1412,・,1422,1432,1442,・,1452,1502,1512,,1523,1533,1543,・,1553,1602,1613,1622,1633,1641,1652,・,1704,・,1715,レ,レ,1723,1731,1739,,,1749,1757,・,1806,1814,1822,1830,1838,1847,1851,1859,1911,1923,1933,1940,1945,1949,1958,2010,2015,2023,2034,,,2047,2058,2110,・,・,2117,2122,2135,2146,2158,2203,2209,2221,2233,2245,2256,2307,2321,2339,0003
西国分寺_西国分寺,発,,,,0506,,0521,,0537,,0550,,0604,0614,,0629,0640,0649,0657,0707,0715,0721,0729,0736,レ,0745,0753,0801,0809,・,レ,0817,0827,,0831,0836,0849,,,0902,0915,・,0925,0935,0945,0950,0955,1006,・,レ,1015,1025,1035,1045,1055,レ,1105,1115,1125,1135,1145,1155,1205,1215,1225,1235,1245,1255,1305,1315,1325,1335,1345,1355,1405,1415,レ,1425,1435,1445,・,1455,1505,1515,,1526,1536,1546,・,1556,1605,1615,1625,1635,1644,1655,レ,1706,レ,1718,1722,1722,1726,1734,1742,,,1752,1800,レ,1809,1817,1825,1833,1840,1850,1854,1902,1914,1926,1936,1942,1948,1952,2001,2012,2018,2026,2037,,,2050,2101,2113,・,・,2119,2125,2138,2149,2201,2206,2212,2224,2236,2248,2258,2310,2324,2341,0006
新小平_新小平,発,,,,0509,,0524,,0540,,0554,,0608,0617,,0632,0643,0653,0700,0710,0718,0724,0732,0739,0744,0748,0756,0804,0812,・,レ,0821,0830,,0834,0840,0852,,,0905,0918,・,0929,0938,0948,レ,0958,1009,・,1013,1018,1028,1038,1048,1058,レ,1108,1118,1128,1138,1149,1158,1209,1218,1228,1238,1249,1258,1308,1318,1328,1338,1348,1358,1409,1418,レ,1429,1438,1448,・,1458,1508,1519,,1529,1539,1549,・,1559,1608,1619,1628,1639,1647,1659,レ,1710,1716,1721,レ,レ,1729,1738,1745,,,1755,1803,1808,1812,1821,1829,1837,1844,1853,1857,1905,1917,1929,1939,1946,1951,1955,2004,2016,2021,2029,2040,,,2053,2105,2117,・,・,2123,2129,2141,2152,2204,2209,2215,2227,2239,2251,2302,2313,2328,2345,0009
新秋津_新秋津,発,,,,0514,,0529,,0545,,0559,,0612,0622,,0637,0648,0657,0705,0715,0723,0729,0737,0744,0749,0753,0801,0809,0817,・,0821,0825,0835,,0839,0845,0857,,,0910,0923,・,0933,0943,0953,0958,1003,1014,・,1018,1023,1033,1043,1053,1103,1108,1113,1123,1133,1143,1154,1203,1214,1223,1233,1243,1254,1303,1313,1323,1333,1343,1353,1403,1414,1423,1430,1434,1443,1453,・,1503,1513,1524,,1534,1544,1554,・,1604,1613,1624,1633,1644,1652,1703,レ,1715,1721,1726,1730,1730,1734,1742,1750,,,1800,1808,1813,1817,1825,1833,1841,1849,1858,1902,1910,1922,1934,1944,1951,1956,2000,2009,2021,2026,2034,2045,,,2058,2109,2121,・,・,2128,2133,2146,2157,2209,2214,2220,2232,2244,2256,2307,2318,2332,2350,0014
東所沢_東所沢,発,0444,0454,0505,0517,0525,0533,0541,0549,0554,0603,0608,0616,0625,0633,0640,0651,0701,0708,0719,0727,0733,0741,0748,0752,0757,0805,0813,0821,・,レ,0829,0839,,0843,0848,0901,,,0914,0927,・,0937,0947,0957,レ,1006,1017,・,1021,1027,1037,1047,1057,1107,レ,1117,1127,1137,1147,1158,1207,1218,1227,1237,1247,1258,1307,1317,1327,1337,1347,1357,1407,1418,1427,レ,1438,1447,1457,・,1507,1517,1528,1532,1538,1547,1558,・,1608,1616,1627,1637,1647,1656,1707,レ,1718,1725,1729,レ,レ,1738,1746,1754,,,1804,1812,1817,1821,1829,1837,1846,1852,1902,1906,1913,1925,1938,1947,1954,2000,2004,2012,2024,2030,2037,2049,,,2101,2113,2125,・,・,2131,2137,2150,2200,2213,2218,2223,2236,2247,2300,2310,2321,2336,2353,0017
新座_新座,発,0447,0457,0508,0521,0529,0536,0544,0552,0558,0606,0612,0620,0629,0637,0644,0655,0705,0712,0722,0730,0736,0744,0751,0756,0800,0809,0816,0824,・,レ,0833,0842,,0847,0852,0904,,,0917,0930,・,0941,0950,1000,レ,1010,1021,・,1025,1030,1040,1050,1100,1110,レ,1120,1130,1140,1150,1201,1210,1221,1230,1240,1250,1301,1310,1320,1330,1340,1350,1400,1410,1421,1430,レ,1441,1450,1500,・,1510,1520,1531,1535,1541,1551,1601,・,1611,1620,1631,1640,1651,1700,1711,レ,1722,1729,1733,レ,レ,1741,1750,1757,,,1807,1815,1820,1824,1833,1841,1849,1856,1906,＝,1917,1929,1941,1951,＝,2003,＝,2016,2028,＝,2041,2052,,,2105,2117,2129,・,・,＝,2141,2153,2204,2217,＝,2227,2239,2251,2303,＝,2325,2340,2356,0020
北朝霞_北朝霞,発,0451,0501,0512,0524,0532,0539,0548,0556,0601,0609,0615,0623,0632,0640,0647,0658,0708,0715,0725,0733,0739,0747,0755,0800,0804,0812,0820,0828,・,0832,0836,0845,,0850,0855,0908,,,0921,0933,・,0944,0954,1004,レ,1013,1024,・,1029,1034,1044,1054,1104,1114,1118,1124,1134,1144,1154,1205,1214,1225,1234,1244,1254,1305,1314,1324,1334,1344,1354,1404,1414,1425,1434,1441,1445,1454,1504,・,1514,1524,1535,1539,1545,1554,1605,・,1615,1623,1634,1644,1654,1703,1714,レ,1725,1732,1736,1740,1740,1745,1753,1801,,,1811,1819,1824,1828,1836,1844,1852,1859,1909,,1920,1932,1945,1954,,2006,,2019,2031,,2044,2055,,,2108,2120,2132,・,・,,2144,2156,2207,2220,,2230,2242,2254,2307,,2328,2343,0000,0024
西浦和_西浦和,発,0455,0505,0516,0529,0537,0544,0552,0600,0606,0614,0619,0627,0637,0645,0652,0703,0712,0720,0730,0738,0744,0752,0759,レ,0808,0817,0824,0832,・,レ,0840,0850,,レ,0900,0912,,,0925,0938,・,0948,0958,1008,レ,1018,1029,・,レ,1038,1048,1058,1108,1118,レ,1128,1138,1148,1158,1209,1218,1229,1238,1248,1258,1309,1318,1328,1338,1348,1358,1408,1418,1429,1438,レ,1449,1458,1508,・,1518,1528,1539,1543,1549,1559,1609,・,1619,1628,1639,1648,1659,1708,1718,レ,1730,レ,1741,レ,レ,1749,1757,1805,,,1815,1823,レ,1832,1840,1849,1857,1904,1913,,1925,1937,1949,1959,,2011,,2024,2036,,2049,2100,,,2113,2124,2136,・,・,,2148,2201,2212,2225,,2235,2247,2259,2311,,2333,2347,0004,0028
大宮_大宮,発,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,0812,||,||,||,||,0831,||,||,||,0843,0904,||,||,0913,┐,||,||,0931,||,||,||,||,||,||,1038,1040,||,||,||,||,||,1130,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,1455,||,||,||,レ,||,||,||,||,||,||,||,レ,||,||,||,||,||,||,||,・,||,1745,||,||,||,||,||,||,1801,┐,||,||,1836,||,||,||,||,||,||,,||,||,||,||,,||,,||,||,,||,||,2056,┐,||,||,||,2135,2135,,||,||,||,||,,||,||,||,||,,||,||,||,||
武蔵浦和_武蔵浦和,発,0458,0508,0519,0531,0539,0546,0555,0603,0608,0616,0622,0630,0639,0647,0654,0705,0715,0722,0732,0740,0746,0754,0802,＝,0811,0819,0827,0835,レ,レ,0843,0852,レ,＝,0902,0915,0922,0923,0928,0940,レ,0951,1001,1011,レ,1020,1031,レ,＝,1041,1051,1101,1111,1121,・,1131,1141,1151,1201,1212,1221,1232,1241,1251,1301,1312,1321,1331,1341,1351,1401,1411,1421,1432,1441,・,1452,1501,1511,レ,1521,1531,1542,1546,1552,1601,1612,レ,1622,1630,1641,1651,1701,1710,1721,・,1732,＝,1743,1747,1747,1752,1800,1808,1812,1813,1818,1826,＝,1835,1843,1851,1859,1906,1916,,1927,1939,1952,2001,,2013,,2026,2038,,2051,2102,2108,2109,2115,2127,2139,レ,レ,,2151,2203,2214,2227,,2237,2249,2301,2314,,2335,2350,0007,0031
南浦和_南浦和,発,0501,0511,0523,0534,0542,0550,0558,0606,0613,0620,0626,0633,0642,0650,0658,0708,0718,0725,0736,0744,0750,0758,0806,,0814,0823,0831,0838,0842,0843,0846,0856,0900,,0905,0918,＝,0926,0932,0944,0948,0954,1004,1014,レ,1024,1034,レ,,1044,1054,1104,1114,1124,・,1134,1144,1154,1204,1215,1224,1235,1244,1254,1304,1315,1324,1334,1344,1354,1404,1414,1424,1435,1444,・,1455,1504,1514,1518,1524,1534,1545,1549,1556,1605,1615,レ,1625,1633,1644,1654,1704,1714,1725,・,1735,,1746,レ,レ,1755,1803,1811,＝,1816,1822,1830,,1838,1846,1854,1903,1909,1920,,1930,1942,1955,2004,,2017,,2029,2042,,2055,2106,＝,2112,2118,2130,2142,2150,2150,,2154,2207,2217,2230,,2240,2253,2304,2317,,2338,2353,0013,0039
東浦和_東浦和,発,0504,0514,0526,0537,0546,0553,0601,0609,0616,0623,0630,0637,0646,0654,0702,0712,0722,0729,0739,0747,0754,0801,0809,,0817,0826,0834,0841,レ,レ,0850,0859,レ,,0909,0921,,0929,0935,0947,レ,0958,1007,1017,レ,1027,1038,レ,,1047,1057,1107,1117,1127,・,1137,1147,1157,1207,1218,1227,1238,1247,1257,1307,1318,1327,1337,1347,1357,1407,1418,1427,1438,1448,・,1458,1507,1517,レ,1527,1537,1548,1552,1600,1608,1618,レ,1628,1637,1648,1657,1708,1717,1728,・,1739,,1750,レ,レ,1758,1807,1814,,1819,1825,1833,,1841,1850,1858,1906,1913,1923,,1934,1946,1958,2008,,2021,,2033,2045,,2058,2109,,2116,2122,2134,2146,レ,レ,,2158,2210,2221,2234,,2244,2256,2308,2321,,2342,2357,0016,0043
東川口_東川口,発,0508,0518,0530,0541,0550,0557,0605,0613,0620,0627,0633,0640,0650,0657,0706,0716,0725,0733,0743,0751,0757,0805,0813,,0821,0830,0838,0845,レ,レ,0853,0903,レ,,0912,0925,,0933,0939,0951,レ,1001,1011,1021,レ,1031,1042,レ,,1051,1101,1111,1121,1131,・,1141,1151,1201,1211,1222,1231,1242,1251,1301,1311,1322,1331,1341,1351,1401,1411,1421,1431,1442,1452,・,1502,1511,1521,レ,1531,1541,1552,1556,1603,1612,1622,レ,1632,1641,1651,1701,1711,1721,1732,・,1742,,1754,レ,レ,1802,1810,1818,,1823,1829,1837,,1845,1853,1902,1910,1916,1927,,1938,1950,2002,2012,,2024,,2037,2049,,2102,2113,,2119,2126,2138,2149,レ,レ,,2201,2214,2225,2237,,2248,2300,2312,2325,,2346,0000,0020,0046
南越谷_南越谷,発,0512,0523,0534,0545,0554,0602,0609,0617,0624,0631,0637,0644,0654,0701,0710,0720,0729,0737,0747,0755,0801,0809,0817,,0825,0834,0842,0849,0853,0853,0857,0907,0911,,0916,0929,,0937,0943,0955,1000,1005,1015,1025,レ,1035,1046,レ,,1055,1105,1115,1125,1135,・,1145,1155,1205,1215,1226,1235,1246,1255,1305,1315,1326,1335,1345,1355,1405,1415,1425,1435,1446,1456,・,1506,1515,1525,レ,1535,1545,1556,1600,1608,1616,1626,1630,1636,1645,1656,1705,1715,1725,1736,・,1747,,1758,1802,1802,1806,1815,1822,,1827,1833,1841,,1849,1858,1906,1914,1921,1931,,1942,1954,2006,2016,,2029,,2041,2053,,2106,2117,,2124,2130,2142,2154,2200,2200,,2206,2218,2229,2242,,2252,2304,2316,2329,,2350,0004,0024,0051
