列車番号,,422F,458F,434F,420F,532F,456F,514F,562F,530F,550F,510F,602F,544F,616F,500F,638F,654F,522F,612F,628F,642F,640F,748F,658F,624F,634F,660F,604F,620F,618F,632F,726F,608F,656F,736F,716F,614F,746F,764F,762F,706F,730F,742F,750F,710F,722F,724F,702F,744F,860F,752F,700F,820F,738F,848F,832F,754F,712F,856F,828F,846F,840F,808F,858F,830F,834F,804F,818F,964F,826F,936F,914F,962F,950F,924F,1048F,944F,9272M,1020F,1054F,4028F,1040F,1058F,1030F,4004F,1018F,1164F,1126F,4114F,1136F,1162F,1150F,4148F,1124F,1244F,1220F,4254F,1228F,1240F,1258F,4230F,1204F,1318F,1364F,4326F,1314F,1336F,1362F,4350F,1348F,1424F,1444F,4420F,1454F,1428F,1440F,4458F,1430F,1504F,1518F,4564F,1526F,1514F,1536F,4562F,1632F,1550F,1648F,1624F,1660F,1644F,1738F,1664F,1620F,1654F,1716F,1628F,1708F,1640F,1736F,1758F,1730F,1714F,1702F,4844F,1704F,1718F,1848F,1726F,1762F,4808F,1854F,1832F,1850F,1824F,1860F,4902F,1858F,1838F,1864F,1930F,1820F,4962F,1918F,1928F,1940F,1936F,1932F,1914F,1944F,1904F,2026F,2008F,2054F,2024F,2060F,2058F,2128F,2064F,2130F,2162F,2114F,2118F,2140F,2136F,2108F,2132F,2144F,2204F,2226F,2254F,2224F,2340F,2260F,2264F,2308F,2362F,2318F,2336F,2432F
列車名_列車名,,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 みなみの桜・河津桜号_特急 みなみの桜・河津桜号,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通
設備,,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,普通車全車指定席___,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
運転日,,平日,平日,全日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,2月16日運転__◆_2月16日運転_,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,全日
前の区間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,↑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
始発,,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,高尾_0936_高尾_0936,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___
立川_立川,発,,,,,,0447,,,,,0514,,,,0532,,,0550,,0601,,,,0610,,0619,,,0631,,0641,,0647,0652,,,0658,,,0706,,0711,,0715,0719,,,0725,0730,,,0739,,0745,,,0752,0759,,0807,,0817,,0824,,0834,0843,0850,,0858,0907,0915,0924,0933,0942,,0954,1000,1003,1014,1023,1026,1036,1044,1053,1056,1106,1114,1123,1126,1136,1144,1153,1156,1206,1214,1223,1226,1236,1244,1253,1256,1306,1314,1323,1326,1336,1344,1353,1356,1406,1414,1423,1426,1436,1444,1453,1456,1506,1514,1523,1526,1536,1544,1553,,1556,1605,1611,,1620,,,1630,1636,,1645,,1655,,1705,1713,,,,1725,1735,,1745,1754,,,1805,1813,1818,1825,,,1835,1845,,1855,,,1905,1915,1925,,1935,1944,1954,2000,2010,2015,2024,2032,2040,,2051,2100,2109,,2116,2125,2134,,2145,2155,2206,2219,2228,2238,,2250,2258,,2312,2324,2343,0002
西国立_西国立,発,,,,,,0449,,,,,0516,,,,0534,,,0552,,0603,,,,0612,,0621,,,0633,,0643,,0649,0654,,,0700,0705,,0708,,0713,,0717,0721,,,0727,0732,,0738,0741,,0747,,,0754,0801,,0809,,0819,,0826,,0836,0845,0852,,0900,0909,0917,0926,0935,0944,,0956,レ,1005,1016,レ,1028,1038,1046,レ,1058,1108,1116,レ,1128,1138,1146,レ,1158,1208,1216,レ,1228,1238,1246,レ,1258,1308,1316,レ,1328,1338,1346,レ,1358,1408,1416,レ,1428,1438,1446,レ,1458,1508,1516,レ,1528,1538,1546,レ,,1558,1607,1613,,1622,,,1632,1638,,1647,,1657,,1707,1715,,,,1727,1737,,1747,1756,,,1807,1815,1820,1827,,,1837,1847,,1857,,,1907,1917,1927,,1937,1946,1956,2002,2012,2017,2026,2034,2042,,2053,2102,2111,,2118,2127,2136,,2147,2157,2208,2221,2230,2240,,2252,2300,,2314,2326,2345,0004
矢川_矢川,発,,,,,,0450,,,,,0518,,,,0536,,,0553,,0604,,,,0615,,0623,,,0635,,0645,,0651,0656,,,0702,0707,,0710,,0715,,0720,0724,,,0729,0734,,0740,0743,,0749,,,0756,0803,,0811,,0821,,0828,,0838,0847,0853,,0901,0911,0918,0928,0937,0946,,0957,レ,1007,1017,レ,1030,1039,1047,レ,1100,1109,1117,レ,1130,1139,1147,レ,1200,1209,1217,レ,1230,1239,1247,レ,1300,1309,1317,レ,1330,1339,1347,レ,1400,1409,1417,レ,1430,1439,1447,レ,1500,1509,1518,レ,1530,1539,1547,レ,,1600,1609,1614,,1623,,,1633,1640,,1649,,1658,,1708,1717,,,,1728,1738,,1748,1758,,,1809,1816,1822,1828,,,1838,1848,,1858,,,1908,1918,1928,,1938,1948,1958,2004,2014,2019,2028,2036,2044,,2055,2103,2113,,2120,2129,2138,,2148,2158,2210,2222,2232,2241,,2253,2301,,2315,2328,2346,0006
谷保_谷保,発,,,,,,0453,,,,,0520,,,,0538,,,0556,,0607,,,,0617,,0625,,,0637,,0648,,0653,0658,,,0704,0709,,0712,,0717,,0722,0726,,,0732,0736,,0742,0745,,0751,,,0758,0805,,0814,,0823,,0830,,0840,0849,0856,,0904,0913,0921,0930,0939,0948,,1000,レ,1009,1020,レ,1032,1042,1050,レ,1102,1112,1120,レ,1132,1142,1150,レ,1202,1212,1220,レ,1232,1242,1250,レ,1302,1312,1320,レ,1332,1342,1350,レ,1402,1412,1420,レ,1432,1442,1450,レ,1502,1512,1520,レ,1532,1542,1550,レ,,1602,1611,1617,,1626,,,1636,1642,,1651,,1701,,1711,1719,,,,1731,1741,,1751,1801,,,1811,1819,1824,1831,,,1841,1851,,1901,,,1911,1921,1931,,1941,1951,2000,2007,2016,2022,2030,2038,2046,,2057,2106,2115,,2122,2132,2140,,2151,2201,2212,2225,2234,2244,,2256,2304,,2318,2330,2349,0008
