列車番号,,420T,580T,548,546,554T,514,506,508H,550,538T,612,642,680T,5302M,648,504,692T,668T,602H,640,608,660T,614,664T,644,762T,710H,746,744T,606,710,706H,750,736T,742,704,712,748T,748,782T,702,814,888T,840,850T,844,708,894T,810,850,806,842,952T,948,912,986T,916T,916T,940,802,968T,968T,968T,944,910,910,1064T,908,1042,1034T,1012,1048,1058T,1006,1078T,1142,1110,1122T,1002,1150T,1148,1116H,1180T,1242,1212,1106,1232T,1210,1210,1210,1248,1244T,1240T,1202,1342,1314H,1382T,1312,1348,1330T,1306,1360T,1442,1410,1420H,1302,1422T,1448,1480T,1486T,1542,1512,1406,1522H,1510,1548,1574T,1502,1558T,1642,1644,1692T,1638T,1638T,1638T,1648,1646,1612,1606,1646T,1646T,1646T,1610,1742,1702H,1702H,1702H,1748,1602,1716H,1722T,1744,1780T,1812,1704,1846,1868T,1842,1864T,1706,1810,1848,1824T,1972T,1944,1944,1944,1802,1978T,1912,1946,1946,1946,1928T,1928T,1928T,1916T,1942,1942,1942,1904,1908H,2044,2054T,2010,2048,1906,2066T,2018H,2042,2012,2036T,6044,2002,2080T,2148,2194T,2004,2130T,2142,2110,2182T,2146,2112,2106,2224T,2278T,2244,2102,2246T,2228T,2246,2208H,2204,2310,2342,2312,2344,2348,2306,2346,6342,2336T
列車名_列車名,,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,青梅特快_青梅特快,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,特急 おうめ2号_特急 おうめ2号,普通_普通,普通_普通,快速_快速,快速_快速,通勤特別快速_通勤特別快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,通勤特別快速_通勤特別快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,青梅特快_青梅特快,青梅特快_青梅特快,普通_普通,普通_普通,快速_快速,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,青梅特快_青梅特快,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,青梅特快_青梅特快,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,青梅特快_青梅特快,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,青梅特快_青梅特快,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,青梅特快_青梅特快,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,青梅特快_青梅特快,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通
設備,,_,_,_,_,_,_,_,_,_,_,_,_,_,グリーン車指定席_普通車全車指定席____,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
運転日,,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,2月16日はこの時刻に変更__時変_2月16日はこの時刻に変更_,平日,平日,平日,12月1・4～8・11～15・18～22・25～29日・1月4・5・9～12・15～19・22～26・29日～2月2・5～9・13～16・19～22・26～29日はこの時刻に変更__時変_12月1・4～8・11～15・18～22・25～29日・1月4・5・9～12・15～19・22～26・29日～2月2・5～9・13～16・19～22・26～29日はこの時刻に変更_,11月30日まで・但し、土曜・休日を除くはこの時刻に変更__時変_11月30日まで・但し、土曜・休日を除くはこの時刻に変更_,平日,平日,11月30日まで・但し、土曜・休日を除くはこの時刻に変更__時変_11月30日まで・但し、土曜・休日を除くはこの時刻に変更_,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,11月30日まで・但し、土曜・休日を除くはこの時刻に変更__時変_11月30日まで・但し、土曜・休日を除くはこの時刻に変更_,12月1・4～8・11～15・18～22・25～29日・1月4・5・9～12・15～19・22～26・29日～2月2・5～9・13～16・19～22・26～29日はこの時刻に変更__時変_12月1・4～8・11～15・18～22・25～29日・1月4・5・9～12・15～19・22～26・29日～2月2・5～9・13～16・19～22・26～29日はこの時刻に変更_,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,12月1・4～8・11～15・18～22・25～29日・1月4・5・9～12・15～19・22～26・29日～2月2・5～9・13～16・19～22・26～29日はこの時刻に変更__時変_12月1・4～8・11～15・18～22・25～29日・1月4・5・9～12・15～19・22～26・29日～2月2・5～9・13～16・19～22・26～29日はこの時刻に変更_,11月30日まで・但し、土曜・休日を除くはこの時刻に変更__時変_11月30日まで・但し、土曜・休日を除くはこの時刻に変更_,平日,平日,平日,平日,平日,11月30日まで・但し、土曜・休日を除くはこの時刻に変更__時変_11月30日まで・但し、土曜・休日を除くはこの時刻に変更_,12月1・4～8・11～15・18～22・25～29日・1月4・5・9～12・15～19・22～26・29日～2月2・5～9・13～16・19～22・26～29日はこの時刻に変更__時変_12月1・4～8・11～15・18～22・25～29日・1月4・5・9～12・15～19・22～26・29日～2月2・5～9・13～16・19～22・26～29日はこの時刻に変更_,平日,平日,平日,11月30日まで・但し、土曜・休日を除くはこの時刻に変更__時変_11月30日まで・但し、土曜・休日を除くはこの時刻に変更_,12月1・4～8・11～15・18～22・25～29日・1月4・5・9～12・15～19・22～26・29日～2月2・5～9・13～16・19～22・26～29日はこの時刻に変更__時変_12月1・4～8・11～15・18～22・25～29日・1月4・5・9～12・15～19・22～26・29日～2月2・5～9・13～16・19～22・26～29日はこの時刻に変更_,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,11月30日まで・但し、土曜・休日を除くはこの時刻に変更__時変_11月30日まで・但し、土曜・休日を除くはこの時刻に変更_,12月1・4～8・11～15・18～22・25～29日・1月4・5・9～12・15～19・22～26・29日～2月2・5～9・13～16・19～22・26～29日はこの時刻に変更__時変_12月1・4～8・11～15・18～22・25～29日・1月4・5・9～12・15～19・22～26・29日～2月2・5～9・13～16・19～22・26～29日はこの時刻に変更_,平日,平日,平日,平日,11月30日まで・但し、土曜・休日を除くはこの時刻に変更__時変_11月30日まで・但し、土曜・休日を除くはこの時刻に変更_,12月1・4～8・11～15・18～22・25～29日・1月4・5・9～12・15～19・22～26・29日～2月2・5～9・13～16・19～22・26～29日はこの時刻に変更__時変_12月1・4～8・11～15・18～22・25～29日・1月4・5・9～12・15～19・22～26・29日～2月2・5～9・13～16・19～22・26～29日はこの時刻に変更_,平日,11月30日まで・但し、土曜・休日を除くはこの時刻に変更__時変_11月30日まで・但し、土曜・休日を除くはこの時刻に変更_,12月1・4～8・11～15・18～22・25～29日・1月4・5・9～12・15～19・22～26・29日～2月2・5～9・13～16・19～22・26～29日はこの時刻に変更__時変_12月1・4～8・11～15・18～22・25～29日・1月4・5・9～12・15～19・22～26・29日～2月2・5～9・13～16・19～22・26～29日はこの時刻に変更_,平日,平日,11月30日まで・但し、土曜・休日を除くはこの時刻に変更__時変_11月30日まで・但し、土曜・休日を除くはこの時刻に変更_,12月1・4～8・11～15・18～22・25～29日・1月4・5・9～12・15～19・22～26・29日～2月2・5～9・13～16・19～22・26～29日はこの時刻に変更__時変_12月1・4～8・11～15・18～22・25～29日・1月4・5・9～12・15～19・22～26・29日～2月2・5～9・13～16・19～22・26～29日はこの時刻に変更_,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日
奥多摩_奥多摩,発,,,,,,,0505,,,,,,,,,0542,,,,,0604,,,,,,,,,0631,,,,,,,,,,,0710,,,,,,0744,,,,0811,,,,,,,,,0856,,,,,,,,0932,,,,,,1016,,,,,1059,,,,,,,1144,,,,,,,,1230,,,,,,,1312,,,,,1355,,,,,,,1438,,,,,1521,,,,,,,,,,,1606,,,,,,,,,,1654,,,,,,1727,,,,,1759,,,,,,,,1832,,,,,,,,,,,,,1911,,,,,,1944,,,,,,,2018,,,,2050,,,,,,,2123,,,,2156,,,,,2228,,,,,,2300,,,
白丸_白丸,発,,,,,,,0508,,,,,,,,,0545,,,,,0607,,,,,,,,,0634,,,,,,,,,,,0713,,,,,,0747,,,,0814,,,,,,,,,0859,,,,,,,,0935,,,,,,1019,,,,,1102,,,,,,,1147,,,,,,,,1233,,,,,,,1315,,,,,1358,,,,,,,1441,,,,,1524,,,,,,,,,,,1609,,,,,,,,,,1657,,,,,,1730,,,,,1802,,,,,,,,1835,,,,,,,,,,,,,1914,,,,,,1947,,,,,,,2021,,,,2053,,,,,,,2126,,,,2159,,,,,2231,,,,,,2303,,,
鳩ノ巣_鳩ノ巣,発,,,,,,,0510,,,,,,,,,0551,,,,,0610,,,,,,,,,0636,,,,,,,,,,,0716,,,,,,0750,,,,0817,,,,,,,,,0901,,,,,,,,0938,,,,,,1022,,,,,1105,,,,,,,1150,,,,,,,,1236,,,,,,,1318,,,,,1401,,,,,,,1444,,,,,1526,,,,,,,,,,,1612,,,,,,,,,,1700,,,,,,1733,,,,,1805,,,,,,,,1838,,,,,,,,,,,,,1917,,,,,,1950,,,,,,,2023,,,,2056,,,,,,,2129,,,,2201,,,,,2234,,,,,,2306,,,
古里_古里,発,,,,,,,0514,,,,,,,,,0554,,,,,0615,,,,,,,,,0640,,,,,,,,,,,0721,,,,,,0755,,,,0821,,,,,,,,,0906,,,,,,,,0941,,,,,,1026,,,,,1109,,,,,,,1154,,,,,,,,1240,,,,,,,1321,,,,,1405,,,,,,,1448,,,,,1530,,,,,,,,,,,1615,,,,,,,,,,1705,,,,,,1738,,,,,1810,,,,,,,,1843,,,,,,,,,,,,,1922,,,,,,1955,,,,,,,2028,,,,2101,,,,,,,2134,,,,2206,,,,,2239,,,,,,2312,,,
川井_川井,発,,,,,,,0517,,,,,,,,,0558,,,,,0618,,,,,,,,,0643,,,,,,,,,,,0724,,,,,,0758,,,,0824,,,,,,,,,0909,,,,,,,,0945,,,,,,1029,,,,,1112,,,,,,,1157,,,,,,,,1243,,,,,,,1325,,,,,1408,,,,,,,1451,,,,,1533,,,,,,,,,,,1619,,,,,,,,,,1708,,,,,,1741,,,,,1813,,,,,,,,1846,,,,,,,,,,,,,1926,,,,,,1958,,,,,,,2031,,,,2104,,,,,,,2137,,,,2209,,,,,2242,,,,,,2315,,,
御嶽_御嶽,発,,,,,,,0522,,,,,,,,,0607,,,,,0625,,,,,,,,,0648,,,,,,0714,,,,,0729,,,,,,0803,,,,0828,,,,,,,,,0914,,,,,,,,0949,,,,,,1034,,,,,1117,,,,,,,1202,,,,,,,,1248,,,,,,,1332,,,,,1415,,,,,,,1458,,,,,1540,,,,,,,,,,,1626,,,,,,,,,,1713,,,,,,1745,,,,,1818,,,,,,,,1851,,,,,,,,,,,,,1930,,,,,,2003,,,,,,,2036,,,,2109,,,,,,,2141,,,,2214,,,,,2246,,,,,,2320,,,
沢井_沢井,発,,,,,,,0525,,,,,,,,,0610,,,,,0628,,,,,,,,,0651,,,,,,0717,,,,,0732,,,,,,0806,,,,0831,,,,,,,,,0917,,,,,,,,0952,,,,,,1037,,,,,1120,,,,,,,1205,,,,,,,,1251,,,,,,,1335,,,,,1418,,,,,,,1501,,,,,1543,,,,,,,,,,,1629,,,,,,,,,,1716,,,,,,1748,,,,,1821,,,,,,,,1854,,,,,,,,,,,,,1933,,,,,,2006,,,,,,,2039,,,,2112,,,,,,,2144,,,,2217,,,,,2249,,,,,,2323,,,
