列車番号,,455T,509,513,507,539T,563T,603,549,551,637T,605,645,613,647,615,709,643,611H,681T,707,749,649T,7741,7741,711,751,803,651T,745,721H,747,805,713,849,779T,7847,7847,7847,9577M,815,843,809,727T,727T,735T,907,811,949,709H,807H,7941,7941,805H,945,903,913,855T,855T,855T,6949,875T,875T,875T,1005,919H,919H,919H,1045,1011,923H,917T,1049,921H,1107,1013,1145,1079T,1021T,1149,1103,1111,1027T,1245,1113H,1113H,1205,1103H,1103H,1181T,1249,1213,1207,1175T,1251T,1345,1303,1311,1247T,1349,1239T,1405,1383T,1445,1341T,1413,1407,1327T,1449,1411,1503,1367T,1473T,1545,1413H,1505,1481T,1549,1423H,1513,1563T,1643,1607,1551T,1579T,1645,1603,1611,1539T,6643,1561T,1705,9547M,1613,1749,1649T,1627T,1745,1605H,1807,1711,1849,1717T,1709H,1803,1843,1719H,1813,6849,1905,1791T,1803H,1943,1879T,1907,1853T,1947,1911,1895T,1949,2003,1913,2043,1967T,2005,1949T,2045,1993T,2049,1981T,2047,2107,2143,2111,2009H,2113,2145,2007H,2203,2149,2021T,2035T,2179T,2243,2205,2247,2249,2211,2213,2237T,2343,2303,2261T,2347,2349,2445,2413,2319T
列車名_列車名,,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特別快速 ホリデー快速おくたま1号_特別快速 ホリデー快速おくたま1号,特別快速 ホリデー快速おくたま81号_特別快速 ホリデー快速おくたま81号,特別快速 ホリデー快速おくたま81号_特別快速 ホリデー快速おくたま81号,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,特別快速 ホリデー快速おくたま3号_特別快速 ホリデー快速おくたま3号,特別快速 ホリデー快速おくたま83号_特別快速 ホリデー快速おくたま83号,特別快速 ホリデー快速おくたま83号_特別快速 ホリデー快速おくたま83号,特別快速 ホリデー快速おくたま83号_特別快速 ホリデー快速おくたま83号,特急 おうめ９１号（青梅マラソン号）_特急 おうめ９１号（青梅マラソン号）,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,青梅特快_青梅特快,普通_普通,普通_普通,普通_普通,快速_快速,特別快速 ホリデー快速おくたま5号_特別快速 ホリデー快速おくたま5号,特別快速 ホリデー快速おくたま85号_特別快速 ホリデー快速おくたま85号,特別快速 ホリデー快速おくたま85号_特別快速 ホリデー快速おくたま85号,快速_快速,普通_普通,普通_普通,普通_普通,青梅特快_青梅特快,青梅特快_青梅特快,青梅特快_青梅特快,普通_普通,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,青梅特快_青梅特快,普通_普通,普通_普通,普通_普通,青梅特快_青梅特快,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,青梅特快_青梅特快,青梅特快_青梅特快,普通_普通,快速_快速,快速_快速,青梅特快_青梅特快,普通_普通,普通_普通,普通_普通,快速_快速,青梅特快_青梅特快,普通_普通,普通_普通,普通_普通,青梅特快_青梅特快,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,青梅特快_青梅特快,普通_普通,普通_普通,青梅特快_青梅特快,普通_普通,普通_普通,普通_普通,快速_快速,青梅特快_青梅特快,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,青梅特快_青梅特快,普通_普通,普通_普通,快速_快速,青梅特快_青梅特快,普通_普通,普通_普通,普通_普通,青梅特快_青梅特快,普通_普通,快速_快速,普通_普通,特急 開運成田山初詣青梅号_特急 開運成田山初詣青梅号,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,青梅特快_青梅特快,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,青梅特快_青梅特快,普通_普通,普通_普通,快速_快速,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速
設備,,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,グリーン車指定席_普通車全車指定席____,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,グリーン車指定席_普通車全車指定席____,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
運転日,,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,12月17日までの土曜・休日と2月18・23～25日運転__◆_12月17日までの土曜・休日と2月18・23～25日運転_,日向和田停車は2月23～25日__臨停_日向和田停車は2月23～25日_,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,12月17日までの土曜・休日と2月18・23～25日運転__◆_12月17日までの土曜・休日と2月18・23～25日運転_,日向和田停車は2月23～25日__臨停_日向和田停車は2月23～25日_,古里停車は12月3日__臨停_古里停車は12月3日_,2月18日運転__◆_2月18日運転_,土休日,土休日,土休日,土休日,2月18日はこの時刻に変更__時変_2月18日はこの時刻に変更_,土休日,土休日,土休日,土休日,土休日,土休日,12月17日までの土曜・休日と2月18・23～25日運転__◆_12月17日までの土曜・休日と2月18・23～25日運転_,日向和田停車は2月23～25日__臨停_日向和田停車は2月23～25日_,土休日,土休日,土休日,土休日,土休日,12月2・3・9・10・16・17・23・24・30・31日・1月6～8・13・14・20・21・27・28日・2月3・4・10～12・17・18・23～25日はこの時刻に変更__時変_12月2・3・9・10・16・17・23・24・30・31日・1月6～8・13・14・20・21・27・28日・2月3・4・10～12・17・18・23～25日はこの時刻に変更_,11月23・25・26日はこの時刻に変更__時変_11月23・25・26日はこの時刻に変更_,土休日,土休日,12月2・3・9・10・16・17・23・24・30・31日・1月6～8・13・14・20・21・27・28日・2月3・4・10～12・17・18・23～25日はこの時刻に変更__時変_12月2・3・9・10・16・17・23・24・30・31日・1月6～8・13・14・20・21・27・28日・2月3・4・10～12・17・18・23～25日はこの時刻に変更_,11月23・25・26日はこの時刻に変更__時変_11月23・25・26日はこの時刻に変更_,土休日,土休日,11月23・25・26日はこの時刻に変更__時変_11月23・25・26日はこの時刻に変更_,12月2・3・9・10・16・17・23・24・30・31日・1月6～8・13・14・20・21・27・28日・2月3・4・10～12・17・18・23～25日はこの時刻に変更__時変_12月2・3・9・10・16・17・23・24・30・31日・1月6～8・13・14・20・21・27・28日・2月3・4・10～12・17・18・23～25日はこの時刻に変更_,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,11月23・25・26日はこの時刻に変更__時変_11月23・25・26日はこの時刻に変更_,土休日,土休日,11月23・25・26日はこの時刻に変更__時変_11月23・25・26日はこの時刻に変更_,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,1月6日運転__◆_1月6日運転_,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日
前の区間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,↑,,↑,,,,,,,,,↑,,,,↑,↑,↑,,,,↑,,,,↑,,,,↑,↑,↑,,↑,↑,↑,,↑,↑,↑,,,↑,↑,,↑,,,,↑,↑,,,,↑,,↑,↑,,↑,↑,↑,,,,↑,↑,,,,↑,,↑,,,,↑,,,↑,,,,↑,↑,,↑,,↑,,↑,,↑,,,↑,↑,,,,↑,,↑,,↑,,,↑,↑,,↑,,,,↑,↑,,,↑,,,,↑,↑,,↑,,↑,,,↑,,,,,↑,,↑,,↑,,↑,,,,,↑,,,↑,,,↑,↑,↑,,,,,,,↑,,,↑,,,,,↑
始発,,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,東京_0634_東京_0634,___,武蔵小金井_0725_武蔵小金井_0725,___,___,___,___,___,___,___,___,千葉_0704_千葉_0704,___,___,___,東京_0725_東京_0725,東京_0725_東京_0725,東京_0754_東京_0754,___,___,___,東京_0749_東京_0749,___,___,___,東京_0803_東京_0803,___,___,___,東京_0849_東京_0849,東京_0849_東京_0849,東京_0849_東京_0849,___,東京_0843_東京_0843,東京_0843_東京_0843,東京_0843_東京_0843,___,東京_0906_東京_0906,東京_0906_東京_0906,東京_0906_東京_0906,___,___,東京_0924_東京_0924,東京_0926_東京_0926,___,東京_0954_東京_0954,___,___,___,東京_1020_東京_1020,東京_1024_東京_1024,___,___,___,東京_1041_東京_1041,___,東京_1105_東京_1105,東京_1105_東京_1105,___,東京_1102_東京_1102,東京_1102_東京_1102,東京_1129_東京_1129,___,___,___,東京_1142_東京_1142,東京_1206_東京_1206,___,___,___,東京_1229_東京_1229,___,東京_1232_東京_1232,___,___,___,東京_1307_東京_1307,___,___,東京_1338_東京_1338,___,___,___,東京_1340_東京_1340,東京_1407_東京_1407,___,東京_1402_東京_1402,___,東京_1416_東京_1416,___,東京_1431_東京_1431,___,東京_1505_東京_1505,___,___,東京_1502_東京_1502,東京_1529_東京_1529,___,___,___,東京_1550_東京_1550,___,東京_1541_東京_1541,___,成田_1504_成田_1504,___,___,東京_1608_東京_1608,東京_1618_東京_1618,___,東京_1636_東京_1636,___,___,___,東京_1708_東京_1708,東京_1706_東京_1706,___,___,東京_1723_東京_1723,___,___,___,東京_1745_東京_1745,東京_1802_東京_1802,___,東京_1811_東京_1811,___,東京_1824_東京_1824,___,___,東京_1832_東京_1832,___,___,___,___,東京_1913_東京_1913,___,東京_1921_東京_1921,___,東京_1937_東京_1937,___,東京_1948_東京_1948,___,___,___,___,東京_2017_東京_2017,___,___,東京_2051_東京_2051,___,___,東京_2047_東京_2047,東京_2059_東京_2059,東京_2117_東京_2117,___,___,___,___,___,___,東京_2218_東京_2218,___,___,東京_2228_東京_2228,___,___,___,___,東京_2330_東京_2330
立川_立川,発,447,,505,,519,535,,543,557,605,,,619,627,635,,639,647,654,,703,715,,,711,722,,730,736,740,747,,756,,812,,,,レ,806,820,,825,2月18日はこの時刻に変更__0827_2月18日はこの時刻に変更_,839,,848,,852,907,,,902,916,,925,935,12月2・3・9・10・16・17・23・24・30・31日・1月6～8・13・14・20・21・27・28日・2月3・4・10～12・17・18・23～25日はこの時刻に変更__0935_12月2・3・9・10・16・17・23・24・30・31日・1月6～8・13・14・20・21・27・28日・2月3・4・10～12・17・18・23～25日はこの時刻に変更_,11月23・25・26日はこの時刻に変更__0935_11月23・25・26日はこの時刻に変更_,,944,12月2・3・9・10・16・17・23・24・30・31日・1月6～8・13・14・20・21・27・28日・2月3・4・10～12・17・18・23～25日はこの時刻に変更__0948_12月2・3・9・10・16・17・23・24・30・31日・1月6～8・13・14・20・21・27・28日・2月3・4・10～12・17・18・23～25日はこの時刻に変更_,11月23・25・26日はこの時刻に変更__0948_11月23・25・26日はこの時刻に変更_,,956,11月23・25・26日はこの時刻に変更__0956_11月23・25・26日はこの時刻に変更_,12月2・3・9・10・16・17・23・24・30・31日・1月6～8・13・14・20・21・27・28日・2月3・4・10～12・17・18・23～25日はこの時刻に変更__0956_12月2・3・9・10・16・17・23・24・30・31日・1月6～8・13・14・20・21・27・28日・2月3・4・10～12・17・18・23～25日はこの時刻に変更_,,1004,1013,1025,,1038,,1051,,1102,1117,,,1128,1135,,1146,11月23・25・26日はこの時刻に変更__1146_11月23・25・26日はこの時刻に変更_,,1203,11月23・25・26日はこの時刻に変更__1203_11月23・25・26日はこの時刻に変更_,1209,,1226,,1239,1246,,,1303,1310,,1326,,1339,,1347,1402,,1417,,1429,,1439,1446,,1458,,1508,,1525,1536,1546,,,1556,1608,1613,,1622,1632,,1642,,1652,1654,,1700,1715,1723,1728,,1739,,1752,1801,,1810,1816,1834,,,1845,1853,,1907,,1915,,1926,1934,1946,,1957,,2008,,2019,,2030,,2042,2052,,,2100,2107,2124,,2134,,,2145,2157,2207,,,2221,,2237,2252,2307,,,2322,2342,,5,14,21
西立川_西立川,発,450,,509,,523,538,,547,600,609,,,623,631,638,,643,650,657,,707,720,,,715,725,,734,740,744,751,,800,,816,,,,レ,810,823,,830,2月18日はこの時刻に変更__0830_2月18日はこの時刻に変更_,844,,851,,856,911,,,906,919,,928,939,939,939,,949,12月2・3・9・10・16・17・23・24・30・31日・1月6～8・13・14・20・21・27・28日・2月3・4・10～12・17・18・23～25日はこの時刻に変更__0952_12月2・3・9・10・16・17・23・24・30・31日・1月6～8・13・14・20・21・27・28日・2月3・4・10～12・17・18・23～25日はこの時刻に変更_,11月23・25・26日はこの時刻に変更__0952_11月23・25・26日はこの時刻に変更_,,1000,1000,1000,,1008,1018,1029,,1043,,1054,,1106,1120,,,1131,1139,,1150,1150,,1206,1206,1212,,1229,,1243,1249,,,1306,1314,,1329,,1343,,1351,1405,,1421,,1432,,1443,1449,,1502,,1512,,1528,1539,1549,,,1600,1611,1616,,1625,1636,,1646,,レ,1658,,1704,1719,1726,1732,,1742,,1756,1805,,1814,1820,1837,,,1849,1857,,1911,,1919,,1930,1938,1949,,2000,,2012,,2023,,2034,,2046,2055,,,2104,2111,2127,,2138,,,2149,2201,2211,,,2225,,2241,2256,2311,,,2326,2345,,8,17,25
東中神_東中神,発,452,,510,,525,540,,549,602,611,,,625,632,640,,644,652,659,,709,レ,,,716,727,,736,742,745,753,,802,,レ,,,,レ,812,825,,832,2月18日はこの時刻に変更__0832_2月18日はこの時刻に変更_,845,,853,,858,レ,,,907,921,,930,941,941,941,,951,12月2・3・9・10・16・17・23・24・30・31日・1月6～8・13・14・20・21・27・28日・2月3・4・10～12・17・18・23～25日はこの時刻に変更__0954_12月2・3・9・10・16・17・23・24・30・31日・1月6～8・13・14・20・21・27・28日・2月3・4・10～12・17・18・23～25日はこの時刻に変更_,11月23・25・26日はこの時刻に変更__0954_11月23・25・26日はこの時刻に変更_,,1002,1002,1002,,1009,1020,1031,,1045,,1056,,1108,1122,,,1133,1141,,1152,1152,,1208,1208,1214,,1231,,1244,1251,,,1308,1316,,1331,,1344,,1352,1407,,1422,,1434,,1445,1451,,1504,,1514,,1530,1541,1551,,,1602,1613,1618,,1627,1638,,1647,,レ,1659,,1706,1721,1728,1734,,1744,,1758,1807,,1815,1822,1839,,,1850,1858,,1913,,1921,,1931,1940,1951,,2002,,2014,,2025,,2036,,2048,2057,,,2106,2113,2129,,2140,,,2151,2202,2213,,,2227,,2243,2258,2313,,,2328,2347,,10,19,27
中神_中神,発,454,,512,,526,541,,550,604,612,,,626,634,642,,646,654,701,,710,レ,,,718,729,,738,743,747,754,,804,,レ,,,,レ,813,827,,834,2月18日はこの時刻に変更__0834_2月18日はこの時刻に変更_,847,,855,,900,レ,,,909,923,,932,943,943,943,,952,12月2・3・9・10・16・17・23・24・30・31日・1月6～8・13・14・20・21・27・28日・2月3・4・10～12・17・18・23～25日はこの時刻に変更__0956_12月2・3・9・10・16・17・23・24・30・31日・1月6～8・13・14・20・21・27・28日・2月3・4・10～12・17・18・23～25日はこの時刻に変更_,11月23・25・26日はこの時刻に変更__0956_11月23・25・26日はこの時刻に変更_,,1004,1004,1004,,1011,1021,1033,,1047,,1058,,1110,1124,,,1135,1143,,1154,1154,,1210,1210,1216,,1233,,1246,1253,,,1309,1317,,1333,,1346,,1354,1409,,1424,,1435,,1447,1453,,1505,,1516,,1532,1543,1553,,,1604,1615,1620,,1628,1640,,1649,,レ,1701,,1708,1723,1730,1736,,1746,,1759,1809,,1817,1823,1841,,,1852,1900,,1915,,1923,,1933,1942,1953,,2004,,2016,,2027,,2038,,2050,2059,,,2107,2115,2131,,2142,,,2153,2204,2214,,,2228,,2244,2259,2315,,,2330,2349,,12,21,29
昭島_昭島,発,456,,514,,528,544,,552,606,615,,,629,637,644,,649,656,703,,713,レ,,,721,731,,740,746,750,757,,806,,レ,,,,レ,816,829,,836,2月18日はこの時刻に変更__0836_2月18日はこの時刻に変更_,850,,857,,902,レ,,,912,925,,934,945,945,945,,955,12月2・3・9・10・16・17・23・24・30・31日・1月6～8・13・14・20・21・27・28日・2月3・4・10～12・17・18・23～25日はこの時刻に変更__0958_12月2・3・9・10・16・17・23・24・30・31日・1月6～8・13・14・20・21・27・28日・2月3・4・10～12・17・18・23～25日はこの時刻に変更_,11月23・25・26日はこの時刻に変更__0958_11月23・25・26日はこの時刻に変更_,,1006,1006,1006,,1013,1024,1035,,1049,,1100,,1112,1126,,,1137,1145,,1156,1156,,1212,1212,1218,,1235,,1248,1255,,,1312,1320,,1335,,1348,,1356,1411,,1426,,1438,,1449,1455,,1508,,1518,,1534,1545,1555,,,1606,1617,1622,,1631,1642,,1651,,1700,1703,,1710,1725,1732,1738,,1748,,1802,1811,,1820,1826,1843,,,1855,1903,,1917,,1925,,1936,1944,1955,,2006,,2018,,2029,,2040,,2052,2101,,,2110,2117,2133,,2144,,,2155,2207,2217,,,2231,,2247,2302,2317,,,2332,2351,,14,23,31
