列車番号,,573H,441K,443K,575H,545K,541K,543K,551K,501K,591K,677H,603K,647K,605F,657K,609K,607S,653K,637F,120M,613K,641K,615K,749K,683S,717K,747F,122M,759K,719K,721K,124M,4761S,703K,787F,723K,711K,126M,4763K,755K,815K,785S,220M,4865K,745F,739K,751K,128M,4867K,881K,843K,130M,4869S,889K,803K,825K,132M,4877K,911K,827S,959K,801K,222M,4971K,829K,853S,224M,923K,931F,941K,963K,907K,226M,933K,987K,949F,228M,1001K,937K,983F,1081K,921K,230M,1003K,1047F,1025K,232M,1059K,1065F,1087K,234M,1123K,1085F,1137K,1141K,236M,1145F,1103K,1181K,1189F,134M,1159K,1221K,1127F,1223K,238M,1225K,1253F,1241K,1287K,1255F,240M,1281K,1337K,1249F,1321K,242M,1303K,1383F,1325K,1359K,1369F,244M,1387K,1423K,1365F,1437K,246M,1441K,1485F,1403K,1481K,1447F,248M,1459K,1521K,1431F,1523K,250M,1525K,1527F,1541K,1587K,1545F,252M,1581K,1637K,1555F,1621K,136M,1603K,1639F,1625K,254M,1659K,1607K,1683S,1653K,138M,1723K,1737K,1661S,140M,1711K,1649K,1703K,1765S,1701K,1705K,256M,1771K,1785S,1821K,258M,1787K,1833K,1769S,1859K,142M,1741K,1837K,1831S,1807K,1889K,260M,1803K,1827S,1923K,144M,1847K,1971K,1891S,1901K,1825K,146M,1933K,1963S,1921K,148M,1939K,1937K,1945S,2059K,150M,1953K,2003K,1911S,2007K,1955K,262M,2071K,2081S,2023K,152M,2005K,2047K,2087S,154M,2101K,2083K,2141K,2061S,2155K,264M,2085K,2105K,2169S,2159K,266M,2165K,2137K,2131S,268M,2207K,2153K,2233K,2127S,270M,2203K,2125K,2223K,2249K,272M,2265S,2221K,2253K,2263K,2355K,156M,2283K,2325K,2245K,2359K,2353K,2347K,2307K,2469K,2425K
列車名_列車名,,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,通勤快速_通勤快速,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,通勤快速_通勤快速,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,通勤快速_通勤快速,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,通勤快速_通勤快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,通勤快速_通勤快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,通勤快速_通勤快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,通勤快速_通勤快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,通勤快速_通勤快速,普通_普通,普通_普通,普通_普通,普通_普通,通勤快速_通勤快速,普通_普通,普通_普通,普通_普通,普通_普通,通勤快速_通勤快速,普通_普通,普通_普通,普通_普通,普通_普通,通勤快速_通勤快速,普通_普通,普通_普通,普通_普通,普通_普通,通勤快速_通勤快速,普通_普通,普通_普通,普通_普通,普通_普通,通勤快速_通勤快速,普通_普通,普通_普通,普通_普通,普通_普通,通勤快速_通勤快速,普通_普通,普通_普通,普通_普通,普通_普通,通勤快速_通勤快速,普通_普通,普通_普通,普通_普通,普通_普通,通勤快速_通勤快速,普通_普通,普通_普通,普通_普通,普通_普通,通勤快速_通勤快速,普通_普通,普通_普通,普通_普通,普通_普通,通勤快速_通勤快速,普通_普通,普通_普通,普通_普通,普通_普通,通勤快速_通勤快速,普通_普通,普通_普通,普通_普通,普通_普通,通勤快速_通勤快速,普通_普通,普通_普通,普通_普通,普通_普通,通勤快速_通勤快速,普通_普通,普通_普通,普通_普通,普通_普通,通勤快速_通勤快速,普通_普通,普通_普通,普通_普通,普通_普通,通勤快速_通勤快速,普通_普通,普通_普通,普通_普通,普通_普通,通勤快速_通勤快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,通勤快速_通勤快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通
運転日,,全日,全日,全日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日
前の区間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
始発,,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,海老名_0543_海老名_0543,___,___,___,___,___,___,___,海老名_0610_海老名_0610,___,___,___,海老名_0630_海老名_0630,___,___,___,___,___,海老名_0645_海老名_0645,___,___,___,___,海老名_0658_海老名_0658,___,___,___,___,海老名_0723_海老名_0723,___,___,___,海老名_0738_海老名_0738,___,___,___,___,海老名_0753_海老名_0753,___,___,___,___,___,海老名_0802_海老名_0802,___,___,___,海老名_0818_海老名_0818,___,___,___,___,___,海老名_0831_海老名_0831,___,___,___,海老名_0848_海老名_0848,___,___,___,___,___,海老名_0913_海老名_0913,___,___,___,海老名_0933_海老名_0933,___,___,___,海老名_0953_海老名_0953,___,___,___,___,海老名_1023_海老名_1023,___,___,___,___,海老名_1051_海老名_1051,___,___,___,___,海老名_1113_海老名_1113,___,___,___,___,___,海老名_1143_海老名_1143,___,___,___,___,海老名_1213_海老名_1213,___,___,___,___,___,海老名_1243_海老名_1243,___,___,___,___,海老名_1313_海老名_1313,___,___,___,___,___,海老名_1343_海老名_1343,___,___,___,___,海老名_1413_海老名_1413,___,___,___,___,___,海老名_1443_海老名_1443,___,___,___,___,海老名_1519_海老名_1519,___,___,___,海老名_1532_海老名_1532,___,___,___,___,海老名_1602_海老名_1602,___,___,___,海老名_1622_海老名_1622,___,___,___,___,___,___,海老名_1632_海老名_1632,___,___,___,海老名_1655_海老名_1655,___,___,___,___,海老名_1725_海老名_1725,___,___,___,___,___,海老名_1735_海老名_1735,___,___,___,海老名_1805_海老名_1805,___,___,___,___,___,海老名_1825_海老名_1825,___,___,___,海老名_1845_海老名_1845,___,___,___,___,海老名_1905_海老名_1905,___,___,___,___,___,海老名_1925_海老名_1925,___,___,___,海老名_1945_海老名_1945,___,___,___,海老名_2000_海老名_2000,___,___,___,___,___,海老名_2010_海老名_2010,___,___,___,___,海老名_2030_海老名_2030,___,___,___,大和_2103_大和_2103,___,___,___,___,海老名_2105_海老名_2105,___,___,___,___,海老名_2135_海老名_2135,___,___,___,___,___,海老名_2210_海老名_2210,___,___,___,___,___,___,___,___,___
羽沢横浜国大_羽沢横浜国大,発,,,,,,,,,,,,,,,,,,,,0605,,,,,,,,0636,,,,0654,,,,,,0714,,,,,0730,,,,,0751,,,,0804,,,,,0818,,,,,,0837,,,,0850,,,,,,0902,,,,0921,,,,,,0948,,,,1005,,,,1025,,,,,1056,,,,,1116,,,,,1146,,,,,,1216,,,,,1246,,,,,,1316,,,,,1346,,,,,,1416,,,,,1446,,,,,,1516,,,,,1546,,,,1607,,,,,1626,,,,1646,,,,,,,1706,,,,1728,,,,,1748,,,,,,1809,,,,1828,,,,,,1848,,,,1908,,,,,1928,,,,,,1955,,,,2007,,,,2025,,,,,,2043,,,,,2107,,,,2125,,,,,2142,,,,,2207,,,,,,2233,,,,,,,,,
武蔵小杉_武蔵小杉,発,,,,,,,,,,,,,,,,,,,,0620,,,,,,,,0654,,,,0711,,,,,,0729,,,,,0748,,,,,0809,,,,0823,,,,,0836,,,,,,0854,,,,0907,,,,,,0920,,,,0937,,,,,,1004,,,,1021,,,,1043,,,,,1110,,,,,1132,,,,,1203,,,,,,1233,,,,,1303,,,,,,1333,,,,,1403,,,,,,1433,,,,,1503,,,,,,1533,,,,,1603,,,,1623,,,,,1643,,,,1703,,,,,,,1723,,,,1743,,,,,1803,,,,,,1826,,,,1842,,,,,,1905,,,,1925,,,,,1944,,,,,,2009,,,,2024,,,,2041,,,,,,2103,,,,,2123,,,,2141,,,,,2200,,,,,2221,,,,,,2248,,,,,,,,,
西大井_西大井,発,,,,,,,,,,,,,,,,,,,,0626,,,,,,,,0659,,,,0716,,,,,,0734,,,,,0754,,,,,0814,,,,0829,,,,,0841,,,,,,0859,,,,0913,,,,,,0926,,,,0942,,,,,,1010,,,,1026,,,,1049,,,,,1116,,,,,1138,,,,,1208,,,,,,1239,,,,,1309,,,,,,1339,,,,,1409,,,,,,1439,,,,,1509,,,,,,1539,,,,,1609,,,,1629,,,,,1648,,,,1709,,,,,,,1729,,,,1748,,,,,1809,,,,,,1832,,,,1848,,,,,,1911,,,,1930,,,,,1949,,,,,,2015,,,,2029,,,,2046,,,,,,2108,,,,,2129,,,,2147,,,,,2205,,,,,2227,,,,,,2253,,,,,,,,,
新木場_新木場,発,,,,,,,,,,,,,,,,,,,0609,||,,,,,0630,,,||,,,,||,,,0710,,0717,||,,0730,,0737,||,,0746,0750,0756,||,,0801,0808,||,,0814,,0820,||,,,0832,,0840,||,,0847,0852,||,,0900,0904,,0910,||,0916,,0925,||,,0934,0941,,0952,||,,1000,,||,,1023,,||,,1040,,,||,1102,,,1120,||,,,1142,,||,,1202,,,1220,||,,,1240,,||,,1302,,,1320,||,,,1340,,||,,1402,,,1420,||,,,1443,,||,,1502,,,1520,||,,,1542,,||,,1600,,||,,,1624,1630,||,,,1647,||,,1655,,1703,,1714,||,,1726,,||,1735,,1741,,||,1755,,1806,,1811,||,,1819,,||,1833,,1844,,1851,||,,1903,,||,1918,,1924,,||,1931,,1945,,1950,||,,2002,,||,2012,,2025,||,,2034,,2043,,||,2056,,2104,,||,2116,,2124,||,,2134,,2143,||,,2151,,2205,||,,2216,,2226,,||,2241,,2257,,,2314,,,
東雲_東雲,発,,,,,,,,,,,,,,,,,,,0612,||,,,,,0633,,,||,,,,||,,,0713,,0720,||,,0732,,0740,||,,0748,0753,0758,||,,0804,0810,||,,0817,,0823,||,,,0835,,0843,||,,0850,0855,||,,0903,0907,,0912,||,0918,,0928,||,,0936,0943,,0954,||,,1002,,||,,1026,,||,,1043,,,||,1105,,,1123,||,,,1145,,||,,1205,,,1223,||,,,1242,,||,,1304,,,1323,||,,,1343,,||,,1405,,,1423,||,,,1446,,||,,1504,,,1522,||,,,1545,,||,,1602,,||,,,1627,1632,||,,,1650,||,,1658,,1705,,1717,||,,1729,,||,1737,,1744,,||,1758,,1809,,1814,||,,1821,,||,1836,,1847,,1853,||,,1906,,||,1921,,1927,,||,1933,,1947,,1952,||,,2005,,||,2014,,2028,||,,2036,,2046,,||,2059,,2106,,||,2118,,2126,||,,2136,,2146,||,,2154,,2208,||,,2218,,2228,,||,2243,,2300,,,2317,,,
