列車番号,,2820Y,2520Y,8121M,2822Y,2522Y,2824Y,2524Y,2826Y,2526Y,4520Y,1091M,2828Y,2528Y,8111M,9123M,4820Y,1083M,4522Y,2530Y,2830Y,9035M,4524Y,4822Y,2532Y,2832Y,4526Y,4824Y,2534Y,2834Y,8113M,4528Y,4826Y,2536Y,2836Y,4530Y,9523M,9523M,4828Y,9521M,2538Y,2838Y,9523M,4532Y,4830Y,2540Y,2840Y,4534Y,4832Y,9523M,2542Y,2842Y,9835M,9883M,4536Y,4834Y,9887M,2544Y,2844Y,2546Y,2846Y,2548Y,2848Y,8098M,9098M,2550Y,2850Y,2852Y,2552Y,2854Y,2554Y,2856Y,2858Y,2556Y,2860Y,2558Y,2862Y,2560Y,2864Y,2562Y,2868Y,2870Y
列車名_列車名,,快速_快速,普通_普通,特急 日光21号_特急 日光21号,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,特急 スペーシア日光1号_特急 スペーシア日光1号,快速_快速,普通_普通,特急 スペーシアきぬがわ11号_特急 スペーシアきぬがわ11号,特急 きぬがわ23号_特急 きぬがわ23号,特別快速_特別快速,特急 きぬがわ3号_特急 きぬがわ3号,快速_快速,普通_普通,快速_快速,特急 ゆけむり草津・四万_特急 ゆけむり草津・四万,快速_快速,特別快速_特別快速,普通_普通,快速_快速,快速_快速,特別快速_特別快速,普通_普通,快速_快速,特急 きぬがわ13号_特急 きぬがわ13号,快速_快速,特別快速_特別快速,普通_普通,快速_快速,快速_快速,特急 きらきら足利イルミ_特急 きらきら足利イルミ,特急 きらきら足利イルミ_特急 きらきら足利イルミ,特別快速_特別快速,特急 ときめき足利イルミ_特急 ときめき足利イルミ,普通_普通,快速_快速,特急 きらきら足利イルミ_特急 きらきら足利イルミ,快速_快速,特別快速_特別快速,普通_普通,快速_快速,快速_快速,特別快速_特別快速,特急 開運成田山初詣栃木号_特急 開運成田山初詣栃木号,普通_普通,快速_快速,特急 開運高尾山初詣群馬号_特急 開運高尾山初詣群馬号,特急 開運成田山初詣群馬号_特急 開運成田山初詣群馬号,快速_快速,特別快速_特別快速,特急 冬を満喫！海浜公園号_特急 冬を満喫！海浜公園号,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,特急 踊り子18号_特急 踊り子18号,特急 下田水仙まつり号_特急 下田水仙まつり号,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速
設備,,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,４人用グリーン個室連結_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,４人用グリーン個室連結_普通車全車指定席____,普通車全車指定席___,グリーン車自由席___,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,普通車全車指定席___,グリーン車自由席___,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___
運転日,,土休日,土休日,11月23～26日・12月29日～1月3日・2月10～12・23～25日運転__◆_11月23～26日・12月29日～1月3日・2月10～12・23～25日運転_,土休日,土休日,土休日,土休日,土休日,土休日,土休日,全日,土休日,土休日,11月26日までの土曜・休日・1月6日～2月25日の土曜・休日と12月16・23・30日～1月3日運転__◆_11月26日までの土曜・休日・1月6日～2月25日の土曜・休日と12月16・23・30日～1月3日運転_,12月9・10・17・24日運転__◆_12月9・10・17・24日運転_,土休日,全日,土休日,土休日,土休日,1月27日運転__◆_1月27日運転_,土休日,土休日,土休日,土休日,全日,土休日,土休日,土休日,11月26日までの土曜・休日と12月27日～1月8日・2月10～12・23～25日運転__◆_11月26日までの土曜・休日と12月27日～1月8日・2月10～12・23～25日運転_,土休日,全日,土休日,土休日,土休日,11月26日運転__◆_11月26日運転_,1月13・20・27日・2月10・11日運転__◆_1月13・20・27日・2月10・11日運転_,全日,12月16・23日運転__◆_12月16・23日運転_,土休日,土休日,12月16・23日運転__◆_12月16・23日運転_,土休日,全日,土休日,土休日,土休日,土休日,1月6・7日運転__◆_1月6・7日運転_,土休日,土休日,1月6・7日運転__◆_1月6・7日運転_,1月13・14日運転__◆_1月13・14日運転_,土休日,土休日,12月23・24日運転__◆_12月23・24日運転_,土休日,土休日,土休日,土休日,土休日,土休日,1月14日までの土曜・休日・1月27日～2月25日の土曜・休日と12月30日～1月3日運転__◆_1月14日までの土曜・休日・1月27日～2月25日の土曜・休日と12月30日～1月3日運転_,1月20・21日運転__◆_1月20・21日運転_,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,全日
前の区間,,↑,,,↑,↑,↑,↑,↑,,,,↑,,,,↑,,↑,,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑
始発,,国府津_0540_国府津_0540,___,___,国府津_0613_国府津_0613,逗子_0704_逗子_0704,小田原_0657_小田原_0657,逗子_0732_逗子_0732,小田原_0710_小田原_0710,___,___,___,小田原_0810_小田原_0810,___,___,___,平塚_0909_平塚_0909,___,逗子_0931_逗子_0931,___,国府津_0929_国府津_0929,八王子_1041_八王子_1041,逗子_1001_逗子_1001,小田原_1004_小田原_1004,逗子_1033_逗子_1033,国府津_1032_国府津_1032,逗子_1102_逗子_1102,小田原_1104_小田原_1104,逗子_1133_逗子_1133,平塚_1146_平塚_1146,___,逗子_1203_逗子_1203,小田原_1204_小田原_1204,逗子_1233_逗子_1233,平塚_1245_平塚_1245,逗子_1303_逗子_1303,吉川美南_1415_吉川美南_1415,西船橋_1350_西船橋_1350,小田原_1304_小田原_1304,八王子_1403_八王子_1403,逗子_1333_逗子_1333,平塚_1345_平塚_1345,西船橋_1440_西船橋_1440,逗子_1403_逗子_1403,小田原_1404_小田原_1404,逗子_1433_逗子_1433,平塚_1445_平塚_1445,逗子_1503_逗子_1503,小田原_1504_小田原_1504,成田_1527_成田_1527,逗子_1532_逗子_1532,国府津_1532_国府津_1532,高尾_1623_高尾_1623,成田_1557_成田_1557,逗子_1602_逗子_1602,小田原_1604_小田原_1604,勝田_1624_勝田_1624,逗子_1634_逗子_1634,平塚_1646_平塚_1646,逗子_1702_逗子_1702,小田原_1658_小田原_1658,逗子_1730_逗子_1730,平塚_1745_平塚_1745,伊豆急下田_1601_伊豆急下田_1601,伊豆急下田_1601_伊豆急下田_1601,逗子_1802_逗子_1802,国府津_1753_国府津_1753,小田原_1800_小田原_1800,逗子_1829_逗子_1829,平塚_1847_平塚_1847,逗子_1902_逗子_1902,小田原_1850_小田原_1850,国府津_1917_国府津_1917,逗子_1945_逗子_1945,小田原_1944_小田原_1944,逗子_2018_逗子_2018,平塚_2034_平塚_2034,逗子_2055_逗子_2055,平塚_2112_平塚_2112,逗子_2137_逗子_2137,国府津_2141_国府津_2141,国府津_2215_国府津_2215
鎌倉_鎌倉,発,・,,,・,0709,・,0737,・,,,,・,,,,・,,0936,,・,・,1006,・,1038,・,1107,・,1138,・,,1208,・,1238,・,1308,・,・,・,・,1338,・,・,1408,・,1438,・,1508,・,・,1536,・,・,・,1607,・,・,1638,・,1707,・,1736,・,・,・,1807,・,・,1835,・,1907,・,・,1950,・,2022,・,2100,・,2142,・,・
藤沢_藤沢,発,0605,,,0641,||,0733,||,0751,,,,0844,,,,0921,,||,,0957,・,||,1029,||,1057,||,1129,||,1158,,||,1229,||,1257,||,・,・,1329,・,||,1357,・,||,1430,||,1457,||,1529,・,||,1557,・,・,||,1629,・,||,1658,||,1729,||,1757,レ,レ,||,1818,1831,||,1859,||,1926,1944,||,2015,||,2046,||,2125,||,2207,2240
大船_大船,発,0610,0630,,0646,0716,0738,0745,0757,0816,0830,,0849,0901,,,0926,,0943,0951,1001,・,1015,1034,1045,1101,1115,1134,1145,1203,,1215,1234,1245,1301,1315,・,・,1334,・,1345,1401,・,1415,1435,1445,1501,1515,1534,・,1544,1601,・,・,1615,1634,・,1645,1703,1715,1734,1744,1801,レ,レ,1815,1823,1836,1844,1904,1916,1931,1949,1958,2020,2029,2053,2107,2130,2149,2211,2245
戸塚_戸塚,発,0616,0636,,0652,0721,0743,0751,0802,0821,0836,,0855,0906,,,0932,,0948,0956,1007,・,1021,1039,1050,1107,1120,1139,1150,1208,,1221,1239,1250,1307,1321,・,・,1339,・,1350,1407,・,1420,1440,1450,1507,1520,1539,・,1549,1607,・,・,1620,1639,・,1650,1708,1720,1739,1749,1807,レ,レ,1821,1828,1841,1849,1909,1921,1937,1954,2003,2025,2034,2058,2113,2136,2154,2217,2250
東戸塚_東戸塚,発,レ,0640,,レ,0725,レ,0755,レ,0825,0840,,レ,0910,,,レ,,0952,1001,レ,・,1025,レ,1054,レ,1124,レ,1154,レ,,1225,レ,1254,レ,1325,・,・,レ,・,1354,レ,・,1424,レ,1454,レ,1524,レ,・,1553,レ,・,・,1624,レ,・,1654,レ,1724,レ,1753,レ,レ,レ,1825,レ,レ,1853,レ,1926,レ,レ,2008,レ,2038,レ,2117,レ,2158,レ,レ
