列車番号,,2820Y,2520Y,8121M,2822Y,3092M,2522Y,2824Y,2524Y,2826Y,3094M,2526Y,2828Y,2828Y,2528Y,3096M,4520Y,2830Y,1091M,2530Y,2532Y,9111M,4820Y,1083M,4522Y,2534Y,2832Y,4524Y,4822Y,2536Y,2834Y,4526Y,4824Y,2538Y,2836Y,8113M,4528Y,4826Y,2540Y,2838Y,4530Y,4828Y,2542Y,2840Y,4532Y,4830Y,2544Y,2842Y,4534Y,4832Y,2546Y,2844Y,4536Y,4834Y,2548Y,2846Y,2550Y,2848Y,2552Y,2850Y,2554Y,2852Y,2854Y,2556Y,2856Y,2558Y,2858Y,2560Y,2860Y,2862Y,2562Y,2864Y,2866Y,2564Y,2868Y,2566Y,2870Y
列車名_列車名,,快速_快速,普通_普通,特急 日光21号_特急 日光21号,快速_快速,特急 湘南22号_特急 湘南22号,普通_普通,快速_快速,普通_普通,快速_快速,特急 湘南24号_特急 湘南24号,普通_普通,快速_快速,快速_快速,普通_普通,特急 湘南26号_特急 湘南26号,快速_快速,快速_快速,特急 スペーシア日光1号_特急 スペーシア日光1号,普通_普通,普通_普通,特急 スペーシアきぬがわ11号_特急 スペーシアきぬがわ11号,特別快速_特別快速,特急 きぬがわ3号_特急 きぬがわ3号,快速_快速,普通_普通,快速_快速,快速_快速,特別快速_特別快速,普通_普通,快速_快速,快速_快速,特別快速_特別快速,普通_普通,快速_快速,特急 きぬがわ13号_特急 きぬがわ13号,快速_快速,特別快速_特別快速,普通_普通,快速_快速,快速_快速,特別快速_特別快速,普通_普通,快速_快速,快速_快速,特別快速_特別快速,普通_普通,快速_快速,快速_快速,特別快速_特別快速,普通_普通,快速_快速,快速_快速,特別快速_特別快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速
設備,,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,４人用グリーン個室連結_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,４人用グリーン個室連結_普通車全車指定席____,グリーン車自由席___,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___
運転日,,平日,平日,11月23～26日・12月29日～1月3日・2月10～12・23～25日運転__◆_11月23～26日・12月29日～1月3日・2月10～12・23～25日運転_,平日,平日,平日,平日,平日,平日,平日,平日,平日,11月24日・12月15・22・25～29日・1月4・5・12・19・22・26・29日・2月2・5～9・13～16・19～22・26～29日はこの時刻に変更__時変_11月24日・12月15・22・25～29日・1月4・5・12・19・22・26・29日・2月2・5～9・13～16・19～22・26～29日はこの時刻に変更_,平日,平日,平日,平日,全日,平日,平日,11月24日・12月27～29日・1月4・5日運転__◆_11月24日・12月27～29日・1月4・5日運転_,平日,全日,平日,平日,平日,平日,平日,平日,平日,全日,平日,平日,平日,11月26日までの土曜・休日と12月27日～1月8日・2月10～12・23～25日運転__◆_11月26日までの土曜・休日と12月27日～1月8日・2月10～12・23～25日運転_,平日,全日,平日,平日,平日,全日,平日,平日,平日,全日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,全日
前の区間,,↑,,,↑,↑,,↑,↑,↑,↑,↑,↑,↑,↑,↑,,↑,,,,,↑,,,↑,↑,↑,↑,,↑,↑,↑,↑,↑,,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,,↑,↑,↑,↑,,↑
始発,,国府津_0540_国府津_0540,___,___,国府津_0614_国府津_0614,小田原_0630_小田原_0630,___,国府津_0638_国府津_0638,逗子_0709_逗子_0709,小田原_0645_小田原_0645,小田原_0709_小田原_0709,逗子_0734_逗子_0734,小田原_0704_小田原_0704,小田原_0704_小田原_0704,逗子_0746_逗子_0746,小田原_0745_小田原_0745,___,平塚_0807_平塚_0807,___,___,___,___,平塚_0904_平塚_0904,___,___,逗子_0934_逗子_0934,平塚_0945_平塚_0945,逗子_1006_逗子_1006,小田原_1004_小田原_1004,___,国府津_1032_国府津_1032,逗子_1102_逗子_1102,小田原_1104_小田原_1104,逗子_1133_逗子_1133,平塚_1145_平塚_1145,___,逗子_1203_逗子_1203,小田原_1204_小田原_1204,逗子_1233_逗子_1233,平塚_1245_平塚_1245,逗子_1303_逗子_1303,小田原_1304_小田原_1304,逗子_1333_逗子_1333,平塚_1345_平塚_1345,逗子_1403_逗子_1403,小田原_1404_小田原_1404,逗子_1433_逗子_1433,平塚_1445_平塚_1445,逗子_1503_逗子_1503,小田原_1504_小田原_1504,逗子_1532_逗子_1532,国府津_1532_国府津_1532,逗子_1602_逗子_1602,小田原_1604_小田原_1604,逗子_1633_逗子_1633,平塚_1646_平塚_1646,逗子_1700_逗子_1700,小田原_1658_小田原_1658,逗子_1731_逗子_1731,平塚_1745_平塚_1745,逗子_1801_逗子_1801,国府津_1753_国府津_1753,小田原_1800_小田原_1800,逗子_1832_逗子_1832,平塚_1847_平塚_1847,逗子_1902_逗子_1902,小田原_1850_小田原_1850,逗子_1933_逗子_1933,国府津_1935_国府津_1935,小田原_1944_小田原_1944,___,小田原_2013_小田原_2013,国府津_2041_国府津_2041,逗子_2112_逗子_2112,平塚_2123_平塚_2123,___,国府津_2215_国府津_2215
鎌倉_鎌倉,発,・,,,・,・,,・,0714,・,・,0738,・,・,0751,・,,・,,,,,・,,,0939,・,1011,・,,・,1107,・,1138,・,,1208,・,1238,・,1308,・,1338,・,1408,・,1438,・,1507,・,1537,・,1607,・,1638,・,1706,・,1736,・,1806,・,・,1837,・,1907,・,1938,・,・,,・,・,2117,・,,・
藤沢_藤沢,発,0605,,,0641,0654,,0708,||,0726,0745,||,0744,0744,||,0811,,0822,,,,,0915,,,||,0957,||,1029,,1057,||,1129,||,1157,,||,1229,||,1257,||,1329,||,1357,||,1430,||,1457,||,1529,||,1557,||,1629,||,1658,||,1729,||,1757,||,1818,1831,||,1859,||,1926,||,2001,2016,,2046,2106,||,2135,,2240
大船_大船,発,0610,0630,,0646,レ,0706,0714,0723,0732,レ,0745,0750,0750,0758,レ,0816,0828,,0846,0901,,0920,,0940,0950,1001,1018,1034,1045,1101,1115,1134,1145,1201,,1216,1234,1245,1301,1316,1334,1345,1401,1415,1435,1445,1501,1514,1534,1544,1601,1615,1634,1645,1703,1715,1734,1744,1801,1815,1823,1836,1844,1904,1915,1931,1945,2007,2021,2029,2053,2111,2123,2141,2210,2245
戸塚_戸塚,発,0616,0636,,0652,レ,0711,0720,0728,0738,レ,0750,0756,0756,0803,レ,0821,0835,,0851,0907,,0926,,0945,0957,1007,1023,1039,1050,1107,1120,1139,1150,1207,,1221,1239,1250,1307,1321,1339,1350,1407,1420,1440,1450,1507,1519,1539,1549,1607,1620,1639,1650,1708,1720,1739,1749,1807,1821,1828,1841,1849,1909,1920,1937,1950,2013,2026,2035,2058,2116,2128,2147,2216,2250
東戸塚_東戸塚,発,レ,0640,,レ,||,0715,レ,0732,レ,||,0754,レ,レ,0808,||,0825,レ,,0855,0911,,レ,,0949,1001,レ,1027,レ,1054,レ,1124,レ,1154,レ,,1225,レ,1254,レ,1325,レ,1354,レ,1424,レ,1454,レ,1523,レ,1553,レ,1624,レ,1654,レ,1724,レ,1753,レ,1825,レ,レ,1853,レ,1924,レ,1954,レ,レ,2039,レ,レ,2132,レ,2220,レ
保土ケ谷_保土ケ谷,発,レ,0644,,レ,||,0720,レ,0738,レ,||,0759,レ,レ,0813,||,0830,レ,,0900,0916,,レ,,0954,1006,レ,1032,レ,1059,レ,1129,レ,1159,レ,,1230,レ,1259,レ,1330,レ,1359,レ,1429,レ,1459,レ,1528,レ,1558,レ,1629,レ,1659,レ,1729,レ,1757,レ,1830,レ,レ,1858,レ,1929,レ,1959,レ,レ,2043,レ,レ,2137,レ,2224,レ
