列車番号,,9033M,2821Y,2521Y,2823Y,2523Y,2825Y,2525Y,2827Y,8091M,2527Y,4821Y,9834M,9886M,2529Y,9095M,8095M,2829Y,2531Y,4823Y,9522M,2831Y,4521Y,2833Y,2533Y,4825Y,9882M,4523Y,2835Y,2535Y,4827Y,4525Y,8015M,2837Y,2537Y,8112M,4829Y,4527Y,2839Y,2539Y,4831Y,4529Y,2841Y,9034M,2541Y,4833Y,4531Y,2843Y,2543Y,8114M,9124M,4835Y,4533Y,2845Y,2545Y,4837Y,1082M,4535Y,2847Y,2547Y,2849Y,4537Y,2851Y,1094M,2549Y,2853Y,8122M,2551Y,2855Y,2553Y,2857Y,2555Y,2859Y,2557Y,2861Y,2559Y,9522M,2561Y,2863Y,9526M,9526M,2563Y,2865Y,2867Y
列車名_列車名,,特急 湘南国際マラソン3号_特急 湘南国際マラソン3号,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,特急 踊り子1号_特急 踊り子1号,普通_普通,特別快速_特別快速,特急 開運高尾山初詣群馬号_特急 開運高尾山初詣群馬号,特急 冬を満喫！海浜公園号_特急 冬を満喫！海浜公園号,普通_普通,特急 下田水仙まつり号_特急 下田水仙まつり号,特急 踊り子5号_特急 踊り子5号,快速_快速,普通_普通,特別快速_特別快速,特急 開運成田山初詣栃木号_特急 開運成田山初詣栃木号,快速_快速,快速_快速,快速_快速,普通_普通,特別快速_特別快速,特急 開運成田山初詣群馬号_特急 開運成田山初詣群馬号,快速_快速,快速_快速,普通_普通,特別快速_特別快速,快速_快速,特急 サフィール踊り子5号_特急 サフィール踊り子5号,快速_快速,普通_普通,特急 きぬがわ12号_特急 きぬがわ12号,特別快速_特別快速,快速_快速,快速_快速,普通_普通,特別快速_特別快速,快速_快速,快速_快速,特急 ゆけむり草津・四万_特急 ゆけむり草津・四万,普通_普通,特別快速_特別快速,快速_快速,快速_快速,普通_普通,特急 スペーシアきぬがわ14号_特急 スペーシアきぬがわ14号,特急 きぬがわ24号_特急 きぬがわ24号,特別快速_特別快速,快速_快速,快速_快速,普通_普通,特別快速_特別快速,特急 きぬがわ2号_特急 きぬがわ2号,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,特急 スペーシア日光4号_特急 スペーシア日光4号,普通_普通,快速_快速,特急 日光22号_特急 日光22号,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,特急 ときめき足利イルミ_特急 ときめき足利イルミ,普通_普通,快速_快速,特急 きらきら足利イルミ_特急 きらきら足利イルミ,特急 きらきら足利イルミ_特急 きらきら足利イルミ,普通_普通,快速_快速,快速_快速
設備,,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,プレミアムグリーン_グリーン車指定席_６人用グリーン個室連結_４人用グリーン個室連結______,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,４人用グリーン個室連結_普通車全車指定席____,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,４人用グリーン個室連結_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___
運転日,,12月3日運転__◆_12月3日運転_,土休日,土休日,土休日,土休日,土休日,土休日,土休日,12月30日～1月3・6・8日・2月10～12・17・18・23～25日運転__◆_12月30日～1月3・6・8日・2月10～12・17・18・23～25日運転_,土休日,土休日,1月6・7日運転__◆_1月6・7日運転_,12月23・24日運転__◆_12月23・24日運転_,土休日,1月20・21日運転__◆_1月20・21日運転_,1月14日までの土曜・休日・1月27日～2月25日の土曜・休日と12月30日～1月3日運転__◆_1月14日までの土曜・休日・1月27日～2月25日の土曜・休日と12月30日～1月3日運転_,土休日,土休日,土休日,1月6・7日運転__◆_1月6・7日運転_,土休日,土休日,土休日,土休日,土休日,1月13・14日運転__◆_1月13・14日運転_,土休日,土休日,土休日,土休日,土休日,2月25日までの土曜・休日と12月30日～1月3日運転__◆_2月25日までの土曜・休日と12月30日～1月3日運転_,土休日,土休日,11月26日までの土曜・休日と12月27日～1月8日・2月10～12・23～25日運転__◆_11月26日までの土曜・休日と12月27日～1月8日・2月10～12・23～25日運転_,土休日,土休日,土休日,土休日,土休日,土休日,土休日,1月28日運転__◆_1月28日運転_,土休日,土休日,土休日,土休日,土休日,11月23～26日・12月16・23・27日～1月8日の毎日と1月13日～2月25日の土曜・休日運転__◆_11月23～26日・12月16・23・27日～1月8日の毎日と1月13日～2月25日の土曜・休日運転_,12月9・10・17・24日運転__◆_12月9・10・17・24日運転_,土休日,土休日,土休日,土休日,土休日,全日,土休日,土休日,土休日,土休日,土休日,土休日,全日,土休日,土休日,11月26日までの土曜・休日と12月30日～1月3日・2月10～12・23～25日運転__◆_11月26日までの土曜・休日と12月30日～1月3日・2月10～12・23～25日運転_,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,12月16・23日運転__◆_12月16・23日運転_,土休日,土休日,12月16・23日・1月13・20・27日・2月10・11日運転__◆_12月16・23日・1月13・20・27日・2月10・11日運転_,11月26日運転__◆_11月26日運転_,土休日,土休日,土休日
前の区間,,,↑,↑,↑,↑,↑,↑,↑,,↑,↑,↑,↑,↑,,,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑
始発,,___,籠原_0523_籠原_0523,宇都宮_0515_宇都宮_0515,籠原_0618_籠原_0618,宇都宮_0558_宇都宮_0558,前橋_0531_前橋_0531,小金井_0645_小金井_0645,前橋_0608_前橋_0608,___,宇都宮_0650_宇都宮_0650,高崎_0704_高崎_0704,高崎_0722_高崎_0722,高崎_0722_高崎_0722,小金井_0738_小金井_0738,___,___,高崎_0740_高崎_0740,小金井_0816_小金井_0816,高崎_0758_高崎_0758,宇都宮_0826_宇都宮_0826,前橋_0758_前橋_0758,宇都宮_0836_宇都宮_0836,籠原_0904_籠原_0904,宇都宮_0855_宇都宮_0855,高崎_0912_高崎_0912,前橋_0906_前橋_0906,宇都宮_0938_宇都宮_0938,籠原_1013_籠原_1013,宇都宮_0956_宇都宮_0956,高崎_1014_高崎_1014,宇都宮_1035_宇都宮_1035,___,籠原_1113_籠原_1113,宇都宮_1055_宇都宮_1055,鬼怒川温泉_1039_鬼怒川温泉_1039,高崎_1114_高崎_1114,宇都宮_1135_宇都宮_1135,籠原_1213_籠原_1213,宇都宮_1152_宇都宮_1152,高崎_1214_高崎_1214,宇都宮_1235_宇都宮_1235,籠原_1313_籠原_1313,長野原草津口_1205_長野原草津口_1205,宇都宮_1255_宇都宮_1255,高崎_1314_高崎_1314,宇都宮_1333_宇都宮_1333,籠原_1412_籠原_1412,宇都宮_1348_宇都宮_1348,鬼怒川温泉_1340_鬼怒川温泉_1340,鬼怒川温泉_1340_鬼怒川温泉_1340,高崎_1414_高崎_1414,宇都宮_1435_宇都宮_1435,籠原_1513_籠原_1513,宇都宮_1455_宇都宮_1455,高崎_1515_高崎_1515,鬼怒川温泉_1455_鬼怒川温泉_1455,宇都宮_1535_宇都宮_1535,籠原_1613_籠原_1613,宇都宮_1553_宇都宮_1553,高崎_1611_高崎_1611,宇都宮_1637_宇都宮_1637,籠原_1714_籠原_1714,東武日光_1639_東武日光_1639,宇都宮_1657_宇都宮_1657,高崎_1712_高崎_1712,東武日光_1702_東武日光_1702,古河_1807_古河_1807,籠原_1814_籠原_1814,宇都宮_1756_宇都宮_1756,高崎_1814_高崎_1814,宇都宮_1823_宇都宮_1823,籠原_1913_籠原_1913,小金井_1917_小金井_1917,高崎_1915_高崎_1915,宇都宮_1929_宇都宮_1929,足利_1925_足利_1925,小金井_2010_小金井_2010,籠原_2036_籠原_2036,足利_1958_足利_1958,足利_1958_足利_1958,小金井_2049_小金井_2049,籠原_2124_籠原_2124,高崎_2105_高崎_2105
小山_小山,発,,・,0548,・,0629,・,0653,・,,0721,・,・,・,0746,,,・,0825,・,0848,・,0902,・,0921,・,・,1004,・,1024,・,1101,,・,1122,・,・,1202,・,1223,・,1301,・,・,1323,・,1400,・,1423,・,・,・,1501,・,1523,・,・,1605,・,1626,・,1704,・,・,1725,・,・,・,・,1822,・,1852,・,1924,・,1956,レ,2017,・,レ,レ,2056,・,・
熊谷_熊谷,発,,0529,||,0625,||,0650,||,0710,,||,0748,0756,0756,||,,,0821,||,0844,||,0855,||,0911,||,0956,1000,||,1019,||,1056,||,,1119,||,・,1156,||,1219,||,1256,||,1319,レ,||,1356,||,1418,||,・,・,1456,||,1519,||,1557,・,||,1621,||,1653,||,1721,・,||,1755,・,・,1821,||,1856,||,1919,||,1956,||,・,||,2043,・,・,||,2131,2146
大宮_大宮,発,,0607,0643,0704,0719,0728,0743,0749,,0811,0820,・,・,0838,0842,,0859,0918,0926,・,0934,0943,0957,1012,1027,・,1044,1057,1113,1128,1142,,1157,1212,1217,1227,1242,1257,1313,1327,1342,1357,1409,1412,1427,1442,1456,1512,1524,1524,1528,1542,1557,1612,1627,1638,1646,1700,1716,1730,1744,1759,1804,1818,1834,1840,1846,1859,1912,1934,1942,1957,2013,2034,2046,2106,2108,2126,2135,2135,2154,2210,2225
浦和_浦和,発,,0613,0649,0710,0724,0733,0749,0754,,0818,0826,・,・,0844,レ,,0905,0924,0933,・,0940,0949,1003,1018,1033,・,1050,1103,1119,1135,1148,,1203,1218,1224,1233,1248,1303,1319,1334,1349,1403,・,1419,1433,1448,1503,1518,1530,1530,1534,1548,1603,1619,1633,1644,1652,1706,1722,1736,1751,1805,1811,1824,1841,1847,1852,1905,1918,1940,1949,2003,2018,2040,2052,・,2115,2133,・,・,2200,2216,2231
赤羽_赤羽,発,,0622,0657,0719,0733,0742,0757,0803,,0827,0835,・,・,0853,レ,,0914,0932,0941,・,0948,0958,1012,1026,1042,・,1058,1111,1127,1144,1157,,1212,1226,レ,1241,1256,1311,1327,1342,1357,1412,・,1427,1441,1456,1512,1526,レ,レ,1542,1557,1611,1627,1642,レ,1700,1715,1731,1744,1801,1813,レ,1832,1850,レ,1901,1913,1926,1948,1959,2011,2026,2048,2101,・,2124,2142,・,・,2208,2225,2240
