列車番号,,2821Y,2521Y,2823Y,2523Y,2825Y,2525Y,2827Y,2527Y,2829Y,2529Y,2831Y,2531Y,2833Y,4006M,2533Y,2835Y,2535Y,2837Y,2537Y,2839Y,2539Y,4821Y,4521Y,2841Y,2541Y,4823Y,4523Y,2843Y,2543Y,8112M,4825Y,4525Y,2845Y,2545Y,4827Y,4527Y,2847Y,2547Y,4829Y,4529Y,2849Y,2549Y,8114M,4831Y,4531Y,2851Y,2551Y,4833Y,1082M,4533Y,2853Y,2553Y,2855Y,4535Y,3091M,2857Y,1094M,2555Y,2859Y,9122M,2557Y,3093M,2861Y,2559Y,2863Y,2561Y,2865Y,2563Y,2867Y,2565Y,2567Y,2869Y,2569Y,2871Y,2873Y
列車名_列車名,,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,特急 あかぎ6号_特急 あかぎ6号,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,特別快速_特別快速,快速_快速,快速_快速,普通_普通,特別快速_特別快速,快速_快速,快速_快速,普通_普通,特急 きぬがわ12号_特急 きぬがわ12号,特別快速_特別快速,快速_快速,快速_快速,普通_普通,特別快速_特別快速,快速_快速,快速_快速,普通_普通,特別快速_特別快速,快速_快速,快速_快速,普通_普通,特急 スペーシアきぬがわ14号_特急 スペーシアきぬがわ14号,特別快速_特別快速,快速_快速,快速_快速,普通_普通,特別快速_特別快速,特急 きぬがわ2号_特急 きぬがわ2号,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,特急 湘南21号_特急 湘南21号,快速_快速,特急 スペーシア日光4号_特急 スペーシア日光4号,普通_普通,快速_快速,特急 日光22号_特急 日光22号,普通_普通,特急 湘南23号_特急 湘南23号,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速
設備,,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,４人用グリーン個室連結_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,４人用グリーン個室連結_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___
運転日,,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,11月26日までの土曜・休日と12月27日～1月8日・2月10～12・23～25日運転__◆_11月26日までの土曜・休日と12月27日～1月8日・2月10～12・23～25日運転_,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,11月23～26日・12月16・23・27日～1月8日の毎日と1月13日～2月25日の土曜・休日運転__◆_11月23～26日・12月16・23・27日～1月8日の毎日と1月13日～2月25日の土曜・休日運転_,平日,平日,平日,平日,平日,全日,平日,平日,平日,平日,平日,平日,平日,全日,平日,平日,11月24日・12月29日運転__◆_11月24日・12月29日運転_,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日
前の区間,,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,,↑,↑,↑,↑,↑,↑,,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑
始発,,籠原_0523_籠原_0523,宇都宮_0513_宇都宮_0513,籠原_0614_籠原_0614,宇都宮_0546_宇都宮_0546,前橋_0531_前橋_0531,小金井_0625_小金井_0625,高崎_0613_高崎_0613,小金井_0645_小金井_0645,高崎_0624_高崎_0624,宇都宮_0633_宇都宮_0633,深谷_0707_深谷_0707,小金井_0708_小金井_0708,高崎_0701_高崎_0701,高崎_0740_高崎_0740,古河_0807_古河_0807,前橋_0708_前橋_0708,小金井_0816_小金井_0816,高崎_0758_高崎_0758,宇都宮_0822_宇都宮_0822,籠原_0908_籠原_0908,宇都宮_0854_宇都宮_0854,高崎_0915_高崎_0915,宇都宮_0936_宇都宮_0936,籠原_1013_籠原_1013,宇都宮_0957_宇都宮_0957,高崎_1014_高崎_1014,宇都宮_1035_宇都宮_1035,籠原_1113_籠原_1113,宇都宮_1055_宇都宮_1055,鬼怒川温泉_1039_鬼怒川温泉_1039,高崎_1114_高崎_1114,宇都宮_1135_宇都宮_1135,籠原_1213_籠原_1213,宇都宮_1155_宇都宮_1155,高崎_1214_高崎_1214,宇都宮_1235_宇都宮_1235,籠原_1313_籠原_1313,宇都宮_1255_宇都宮_1255,高崎_1314_高崎_1314,宇都宮_1332_宇都宮_1332,籠原_1412_籠原_1412,宇都宮_1348_宇都宮_1348,鬼怒川温泉_1340_鬼怒川温泉_1340,高崎_1414_高崎_1414,宇都宮_1435_宇都宮_1435,籠原_1513_籠原_1513,宇都宮_1450_宇都宮_1450,高崎_1514_高崎_1514,鬼怒川温泉_1455_鬼怒川温泉_1455,宇都宮_1533_宇都宮_1533,籠原_1613_籠原_1613,宇都宮_1555_宇都宮_1555,高崎_1611_高崎_1611,宇都宮_1637_宇都宮_1637,___,籠原_1713_籠原_1713,東武日光_1639_東武日光_1639,宇都宮_1655_宇都宮_1655,高崎_1713_高崎_1713,東武日光_1702_東武日光_1702,古河_1812_古河_1812,___,籠原_1827_籠原_1827,宇都宮_1802_宇都宮_1802,高崎_1814_高崎_1814,宇都宮_1825_宇都宮_1825,籠原_1919_籠原_1919,宇都宮_1850_宇都宮_1850,高崎_1916_高崎_1916,宇都宮_1929_宇都宮_1929,古河_2034_古河_2034,籠原_2036_籠原_2036,宇都宮_2023_宇都宮_2023,籠原_2124_籠原_2124,高崎_2105_高崎_2105
小山_小山,発,・,0549,・,0620,・,0633,・,0652,・,0703,・,0715,・,・,・,・,0825,・,0852,・,0921,・,1002,・,1024,・,1101,・,1122,・,・,1202,・,1223,・,1301,・,1323,・,1400,・,1423,・,・,1501,・,1523,・,・,1605,・,1622,・,1704,,・,・,1729,・,・,・,,・,1834,・,1852,・,1922,・,1956,・,・,2055,・,・
熊谷_熊谷,発,0529,||,0621,||,0637,||,0657,||,0709,||,0721,||,0745,0810,・,0815,||,0844,||,0915,||,0956,||,1019,||,1056,||,1119,||,・,1156,||,1219,||,1256,||,1319,||,1356,||,1418,||,・,1456,||,1519,||,1556,・,||,1621,||,1652,||,,1719,・,||,1755,・,・,,1833,||,1857,||,1925,||,1958,||,・,2043,||,2131,2146
大宮_大宮,発,0607,0643,0703,0713,0719,0729,0739,0746,0752,0757,0805,0811,0828,0839,0846,0857,0918,0924,0943,0957,1011,1028,1042,1057,1113,1128,1142,1157,1212,1217,1227,1242,1257,1313,1327,1342,1357,1412,1427,1442,1456,1512,1524,1528,1542,1557,1612,1627,1638,1647,1700,1712,1730,1744,,1757,1804,1819,1833,1838,1851,,1912,1925,1935,1947,2003,2012,2036,2045,2109,2124,2153,2211,2226
浦和_浦和,発,0613,0649,0709,0719,0727,0737,0745,0752,0759,0804,0813,0820,0835,レ,0852,0903,0925,0930,0950,1003,1017,1034,1048,1103,1119,1135,1149,1203,1218,1224,1233,1248,1303,1319,1334,1349,1403,1419,1433,1448,1503,1518,1530,1534,1548,1603,1619,1633,1644,1653,1706,1718,1735,1751,,1803,1811,1824,1840,1845,1856,,1918,1931,1941,1953,2008,2018,2042,2052,2115,2131,2159,2217,2232
