列車番号,,547F,563F,579F,515F,621F,531F,665F,448S,523F,480S,481F,576S,577F,540S,541F,721F,542S,543F,560S,561F,2520Y,692S,693F,9131M,626S,627F,670S,9131M,747F,618S,619F,684S,685F,2522Y,634S,635F,748S,891F,724S,879F,782S,783F,2524Y,869F,774S,775F,813F,706S,707F,756S,757F,2526Y,804S,993F,728S,729F,4520Y,925F,816S,817F,866S,867F,872S,981F,2528Y,808S,809F,834H,954S,955F,910S,911F,1041F,976S,977F,952H,4522Y,952S,953F,2530Y,948S,949F,986S,987F,1137F,4524Y,934H,1014S,1015F,1052H,1088S,1089F,2532Y,1004S,1135F,1066H,1072S,1073F,1275F,4526Y,1026S,1027F,1152H,1178S,1179F,2534Y,1142S,1143F,1166H,1120S,1121F,1367F,4528Y,1182S,1183F,1224S,1225F,1252H,2536Y,1284S,1285F,1266H,1254S,1255F,1475F,4530Y,1216S,1217F,1340S,1341F,1352H,2538Y,1306S,1307F,1366H,1328S,1329F,1567F,4532Y,1352S,1353F,1436S,1437F,1452H,2540Y,1527F,1523F,1408S,1466H,1492S,1493F,4534Y,1677F,1669F,1488S,1552H,1578S,1579F,2542Y,1631F,1586S,1587F,1566H,1514S,1515F,4536Y,1602S,1603F,1542S,1747F,1662S,1663F,2544Y,1711F,1618S,1619F,1666H,1769F,1648S,1781F,1624S,1625F,2546Y,1829F,2545M,1684S,1685F,1805F,1772S,2548Y,1738S,1739F,1766H,1782S,1783F,2383M,1740S,1741F,2550Y,1774S,1775F,1963F,1826S,1827F,1854S,1855F,2552Y,1864S,1865F,1888S,1889F,1866S,1867F,2554Y,1836S,1837F,1978S,1979F,2005F,1990S,2009F,2003F,1916S,1917F,2556Y,1942S,2111F,1958S,1948S,1949F,2558Y,1960S,1961F,2092S,2052S,2053F,2165F,2072S,2073F,2170S,2171F,2560Y,2068S,2069F,2130S,2131F,2132S,2133F,2562Y,2176S,2177F,2184S,2185F,2162S,2163F,2186S,2187F,2343F,2214S,2215F,2292S,2331F,2226S,2227F,2382S,2324S
列車名_列車名,,快速_快速,快速_快速,快速_快速,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,快速 Ｂ．Ｂ．ＢＡＳＥ内房_快速 Ｂ．Ｂ．ＢＡＳＥ内房,普通_普通,快速_快速,普通_普通,快速 Ｂ．Ｂ．ＢＡＳＥ鹿野山_快速 Ｂ．Ｂ．ＢＡＳＥ鹿野山,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通
設備,,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___
運転日,,土休日,全日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,11月25・26日運転__◆_11月25・26日運転_,土休日,土休日,土休日,11月23日運転__◆_11月23日運転_,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,全日,土休日,土休日,全日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,全日,土休日,全日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,全日,土休日,全日,全日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,全日,全日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,全日,全日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,全日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,全日,全日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,全日,土休日,土休日,土休日,土休日,全日,全日,土休日
記事,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京－佐倉間は4829Fに併結__★_東京－佐倉間は4829Fに併結_,,,,,,,,,,,逗子－佐倉間は4783Fに併結__★_逗子－佐倉間は4783Fに併結_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
久里浜_久里浜,発,,,,,,,,0431,,0447,,0507,,0523,,,0537,,0551,,,,,,0605,,,,,0624,,0636,,,0649,,,,,,0704,,,,,,,0719,,0734,,,,,0750,,,,0802,,,,0815,,,0827,,0841,,,,,,,,0902,,,,,,,0929,,,,0942,,,1004,,,,,,1027,,,,,1046,,1104,,,,,,1124,,,,,1144,,,,1204,,,,1224,,,,,1244,,,,1304,,,,1324,,,,,1344,,,,1404,,,,,1424,,,,,,1444,1501,,,,,,,1522,,,,,,1542,,1601,,,,,,1621,,,,,,,,,1642,,,1701,,,,1718,,,,,,,1743,,,,,,,,,,1813,,1831,,,1844,,,,,1901,,,1914,,,1926,,,1941,,,1954,,,2007,,,2021,,,,,2040,,,,2105,,,2118,,2132,,,,2150,,,2214,,,,2239,,,2311
衣笠_衣笠,発,,,,,,,,0437,,0452,,0512,,0528,,,0542,,0557,,,,,,0611,,,,,0629,,0642,,,0655,,,,,,0710,,,,,,,0725,,0741,,,,,0755,,,,0808,,,,0821,,,0833,,0846,,,,,,,,0908,,,,,,,0935,,,,0948,,,1009,,,,,,1032,,,,,1052,,1109,,,,,,1130,,,,,1150,,,,1209,,,,1229,,,,,1250,,,,1309,,,,1329,,,,,1350,,,,1409,,,,,1429,,,,,,1450,1506,,,,,,,1528,,,,,,1548,,1607,,,,,,1626,,,,,,,,,1648,,,1707,,,,1725,,,,,,,1748,,,,,,,,,,1818,,1836,,,1849,,,,,1907,,,1919,,,1932,,,1947,,,2000,,,2013,,,2027,,,,,2046,,,,2111,,,2123,,2137,,,,2155,,,2220,,,,2244,,,2316
横須賀_横須賀,発,,,,,,,,0441,,0457,,0517,,0533,,,0547,,0602,,,0609,,,0615,,,,,0635,,0646,,,0659,,,,,,0714,,,,,,,0730,,0745,,,,,0800,,,,0813,,,,0825,,,0838,,0851,,,,,,,,0912,,,,,,,0939,,,,0953,,,1014,,,,,,1037,,,,,1057,,1114,,,,,,1134,,,,,1155,,,,1214,,,,1234,,,,,1255,,,,1314,,,,1334,,,,,1355,,,,1414,,,,,1434,,,,,,1455,1511,,,,,,,1533,,,,,,1553,,1611,,,,,,1631,,,,1638,,,,,1653,,,1711,,,,1729,,,,1740,,,1753,,,,,,,,,,1823,,1841,,,1854,,,,,1911,,,1924,,,1937,,1945,1952,,,2005,,,2018,,,2031,,,,,2051,,,,2115,,,2128,,2142,,2151,,2200,,,2225,,,,2249,,,2321
田浦_田浦,発,,,,,,,,0444,,0500,,0520,,0536,,,0550,,0605,,,0612,,,0618,,,,,0638,,0649,,,0702,,,,,,0717,,,,,,,0733,,0748,,,,,0803,,,,0816,,,,0828,,,0841,,0854,,,,,,,,0915,,,,,,,0942,,,,0956,,,1017,,,,,,1040,,,,,1100,,1117,,,,,,1137,,,,,1158,,,,1217,,,,1237,,,,,1258,,,,1317,,,,1337,,,,,1358,,,,1417,,,,,1437,,,,,,1458,1514,,,,,,,1536,,,,,,1556,,1614,,,,,,1634,,,,1641,,,,,1656,,,1714,,,,1732,,,,1743,,,1756,,,,,,,,,,1826,,1844,,,1857,,,,,1914,,,1927,,,1940,,1948,1955,,,2008,,,2021,,,2034,,,,,2054,,,,2118,,,2131,,2145,,2154,,2203,,,2228,,,,2252,,,2324
東逗子_東逗子,発,,,,,,,,0448,,0504,,0524,,0540,,,0554,,0609,,,0615,,,0622,,,,,0641,,0653,,,0706,,,,,,0721,,,,,,,0737,,0752,,,,,0807,,,,0819,,,,0832,,,0844,,0858,,,,,,,,0919,,,,,,,0946,,,,1000,,,1021,,,,,,1044,,,,,1103,,1121,,,,,,1141,,,,,1202,,,,1221,,,,1241,,,,,1302,,,,1321,,,,1341,,,,,1402,,,,1421,,,,,1441,,,,,,1502,1518,,,,,,,1540,,,,,,1600,,1618,,,,,,1638,,,,1645,,,,,1700,,,1718,,,,1736,,,,1746,,,1800,,,,,,,,,,1830,,1848,,,1901,,,,,1918,,,1931,,,1944,,1951,1959,,,2011,,,2024,,,2038,,,,,2057,,,,2122,,,2135,,2149,,2157,,2207,,,2231,,,,2256,,,2328
逗子_逗子,発,,,,,,,,0453,,0511,,0531,,0547,,,0601,,0616,,,0622,,,0630,,0642,,,0651,,0700,,0704,0713,,0717,,,,0728,,0732,,0739,,,0750,,0801,,,0808,,0814,,,,0826,,0833,,0841,,,0853,,0901,0902,,0909,,,0918,,0923,0931,,,,0943,,0955,,,1001,1003,1010,,1024,1026,,1033,1041,,1047,1053,,,1102,1113,,1124,1125,,1133,1142,,1145,1153,,,1203,1212,,1222,,1224,1233,1242,,1244,1253,,,1303,1312,,1322,,1324,1333,1342,,1344,1353,,,1403,1412,,1422,,1424,1433,,,1442,1444,1453,,1503,,,1512,1521,1522,,1532,,1538,,1544,1550,,1602,,,1613,,1625,,1634,,,,1641,,1645,,1654,,1702,,,1712,,,1725,1730,1737,,1740,1743,,,1753,,1802,1808,,,1816,,1824,,1829,1840,,1847,,1855,,1902,1909,,1916,,,1926,,,1938,,1945,1952,,1959,2009,,2018,2023,,,2033,,,2046,,,,2055,2105,,2115,,2129,,2137,2142,,2156,,2205,,2217,,,2238,,2245,,2303,,2316,2335
