列車番号,,515F,563F,509F,565F,637F,531F,659F,442S,523F,633F,418S,419F,621F,548S,549F,582S,583F,576S,577F,737F,540S,541F,2520Y,692S,693F,626S,627F,733F,600S,670S,671F,715F,680S,681F,721F,2522Y,628S,629F,724S,725F,684S,685F,2524Y,849F,634S,635F,702S,703F,760S,761F,822S,823F,2526Y,752S,753F,869F,706S,707F,2528Y,844S,845F,774S,775F,756S,757F,4520Y,804S,805F,932S,933F,742S,743F,858S,925F,980S,981F,816S,817F,2530Y,872S,873F,866S,867F,2532Y,878S,879F,854S,855F,816H,946S,947F,910S,904H,976S,1053F,4522Y,912S,913F,2534Y,986S,987F,962S,963F,916H,1105F,4524Y,1014S,1015F,1088S,1089F,1004H,2536Y,1034S,1035F,1082H,1020S,1021F,1207F,4526Y,1026S,1027F,1102S,1103F,1104H,2538Y,1140S,1141F,1182H,1136S,1137F,1373F,4528Y,1182S,1183F,1224S,1225F,1204H,2540Y,1228S,1229F,1282H,1284S,1285F,1407F,4530Y,1216S,1217F,1354S,1355F,1304H,2542Y,1374S,1375F,1382H,1342S,1343F,1573F,4532Y,1352S,1353F,1404S,1405F,1404H,2544Y,1531F,1478S,1479F,1482H,1446S,1447F,4534Y,1607F,1488S,1489F,1502S,1503F,1504H,2546Y,1562S,1563F,1657F,1534H,1514S,1515F,1767F,4536Y,1540S,1541F,1769F,1638S,1639F,1692S,1693F,1723F,2548Y,1670S,1671F,1634H,1765F,1626S,1627F,1624S,1625F,1803F,2550Y,1628S,1629F,2545M,1888S,1889F,1710S,1711F,1720S,1721F,2552Y,1839F,1734H,1718S,1719F,1782S,1783F,2383M,1809F,1754S,1755F,1979F,2554Y,1786S,1787F,1913F,1890S,1891F,1836S,1837F,1947F,2556Y,1816S,1817F,1989F,1872S,1873F,1948S,1949F,2009F,2558Y,1804S,1805F,1942S,2021F,1930S,1931F,2041F,2560Y,2037F,1984S,1985F,2045F,1980S,1981F,2171F,1966S,1967F,1974S,1975F,2113F,2092S,2562Y,1960S,1961F,2052S,2053F,2064S,2065F,2022S,2023F,2002S,2003F,2068S,2069F,2564Y,2231F,2032S,2033F,2162S,2163F,2106S,2107F,2287F,2110S,2111F,2566Y,2142S,2143F,2156S,2157F,2313F,2214S,2215F,3832M,2331F,2226S,2227F,2382S,2324S
列車名_列車名,,快速_快速,快速_快速,快速_快速,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通
設備,,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___
運転日,,平日,全日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,全日,平日,全日,平日,平日,平日,平日,平日,平日,平日,平日,全日,平日,全日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,全日,平日,全日,全日,平日,平日,平日,平日,平日,平日,平日,平日,平日,全日,全日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,全日,全日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,全日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,全日,全日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,全日,平日,平日,平日,平日,全日,全日,平日
記事,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,逗子－佐倉間は4629Fに併結__★_逗子－佐倉間は4629Fに併結_,,,,,,,,,,,,,,逗子－佐倉間は4783Fに併結__★_逗子－佐倉間は4783Fに併結_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
久里浜_久里浜,発,,,,,,,,0431,,,0447,,,0507,,0523,,0537,,,0551,,,,,0605,,,,,,,0625,,,,,,,,0637,,,,0650,,,,0703,,,,,,,,0716,,,,,,,0732,,,,,,,0749,,,,,,0802,,,0815,,,,,0827,,,,0840,,,,0902,,,,,,,0921,,,,0941,,,,,,,1005,,,,1029,,,,,1049,,,,1106,,,,1124,,,,,1144,,,,1204,,,,1224,,,,,1244,,,,1304,,,,1324,,,,,1344,,,,1404,,,,,1424,,,,,1444,,,,1504,,,,,1524,,,,,1543,,,,,1602,,,,,,1621,,,,,,,,1641,,,,,,,1700,,,,1717,,,,,,,,,,,1741,,,,,1800,,,,,,,1825,,,,,,1838,,,,1900,,,,,1914,,,1926,,,,,1943,,,,,1956,,2009,,,,2021,,,,2035,,,,2049,,,,2114,,,2133,,,,,2153,,,2214,,,,2239,,,2311
衣笠_衣笠,発,,,,,,,,0437,,,0452,,,0512,,0528,,0542,,,0557,,,,,0611,,,,,,,0630,,,,,,,,0643,,,,0656,,,,0709,,,,,,,,0722,,,,,,,0739,,,,,,,0754,,,,,,0808,,,0820,,,,,0833,,,,0845,,,,0907,,,,,,,0927,,,,0946,,,,,,,1010,,,,1035,,,,,1054,,,,1111,,,,1130,,,,,1150,,,,1209,,,,1229,,,,,1250,,,,1309,,,,1329,,,,,1350,,,,1409,,,,,1429,,,,,1450,,,,1509,,,,,1529,,,,,1549,,,,,1608,,,,,,1626,,,,,,,,1647,,,,,,,1706,,,,1723,,,,,,,,,,,1747,,,,,1806,,,,,,,1830,,,,,,1843,,,,1906,,,,,1919,,,1932,,,,,1948,,,,,2001,,2014,,,,2027,,,,2040,,,,2054,,,,2120,,,2139,,,,,2158,,,2220,,,,2244,,,2316
横須賀_横須賀,発,,,,,,,,0441,,,0457,,,0517,,0533,,0547,,,0601,,,0608,,0615,,,,,,,0635,,,,,,,,0648,,,,0700,,,,0714,,,,,,,,0727,,,,,,,0744,,,,,,,0759,,,,,,0812,,,0825,,,,,0837,,,,0850,,,,0912,,,,,,,0931,,,,0951,,,,,,,1016,,,,1040,,,,,1059,,,,1116,,,,1134,,,,,1155,,,,1214,,,,1234,,,,,1255,,,,1314,,,,1334,,,,,1355,,,,1414,,,,,1434,,,,,1455,,,,1514,,,,,1534,,,,,1553,,,,,1613,,,,,,1631,,,,1638,,,,1652,,,,,,,1710,,,,1727,,,,,,,1738,,,,1752,,,,,1810,,,,,,,1835,,,,,,1848,,,,1911,,,,,1924,,,1937,,,1945,,1953,,,,,2006,,2019,,,,2032,,,,2045,,,,2059,,,,2125,,,2143,,,2150,,2203,,,2225,,,,2249,,,2321
田浦_田浦,発,,,,,,,,0444,,,0500,,,0520,,0536,,0550,,,0604,,,0611,,0619,,,,,,,0638,,,,,,,,0651,,,,0704,,,,0717,,,,,,,,0730,,,,,,,0747,,,,,,,0802,,,,,,0816,,,0828,,,,,0840,,,,0853,,,,0915,,,,,,,0934,,,,0954,,,,,,,1019,,,,1043,,,,,1102,,,,1119,,,,1137,,,,,1158,,,,1217,,,,1237,,,,,1258,,,,1317,,,,1337,,,,,1358,,,,1417,,,,,1437,,,,,1458,,,,1517,,,,,1537,,,,,1556,,,,,1616,,,,,,1634,,,,1641,,,,1655,,,,,,,1713,,,,1730,,,,,,,1741,,,,1755,,,,,1813,,,,,,,1838,,,,,,1851,,,,1914,,,,,1927,,,1940,,,1948,,1956,,,,,2009,,2022,,,,2035,,,,2048,,,,2102,,,,2128,,,2146,,,2153,,2206,,,2228,,,,2252,,,2324
東逗子_東逗子,発,,,,,,,,0448,,,0504,,,0524,,0540,,0554,,,0608,,,0615,,0623,,,,,,,0642,,,,,,,,0655,,,,0708,,,,0721,,,,,,,,0734,,,,,,,0751,,,,,,,0806,,,,,,0820,,,0832,,,,,0844,,,,0857,,,,0919,,,,,,,0938,,,,0958,,,,,,,1022,,,,1047,,,,,1106,,,,1123,,,,1141,,,,,1202,,,,1221,,,,1241,,,,,1302,,,,1321,,,,1341,,,,,1402,,,,1421,,,,,1441,,,,,1502,,,,1521,,,,,1541,,,,,1600,,,,,1620,,,,,,1638,,,,1645,,,,1659,,,,,,,1717,,,,1734,,,,,,,1745,,,,1759,,,,,1817,,,,,,,1842,,,,,,1855,,,,1917,,,,,1931,,,1944,,,1951,,2000,,,,,2013,,2026,,,,2039,,,,2052,,,,2106,,,,2132,,,2150,,,2157,,2210,,,2231,,,,2256,,,2328
逗子_逗子,発,,,,,,,,0453,,,0511,,,0531,,0547,,0601,,,0615,,,0622,,0630,,,0634,0643,,,0649,,,,0658,,,,0705,,0709,,0717,,0722,,0728,,,,0734,,,,0742,,0746,,,0751,,0759,,,0808,,,,0814,,0822,,,,0830,,,0839,,0844,,,0853,,0858,,0900,0908,,0917,0922,0925,,,,,0934,0943,,0955,,1001,,1006,1011,,1023,,1026,,1039,,1050,1054,,,1102,1113,,1124,,1126,1133,1142,,1145,1153,,,1203,1212,,1222,,1224,1233,1242,,1244,1253,,,1303,1312,,1322,,1324,1333,1342,,1344,1353,,,1403,1412,,1422,,1424,1433,,1442,,1444,1453,,1503,,1512,,1522,,1524,1532,1538,,,1544,1551,,,1602,1610,,,,,1627,,,1633,,,1641,,1646,,1655,,,1700,1710,,,,,1717,,1726,,1731,,1738,,,1743,,,,1753,,,1801,1810,,,,,1825,,,1832,1840,,,1849,,,,,1902,1907,,1918,,1926,,,1933,,1938,,,1951,,,1959,,2009,,,2017,,2026,,2033,,2037,,2046,,2052,,2100,,2112,,2116,,2125,,2139,,,2157,,,2204,,2217,,,2238,,2244,,2303,,2316,2335
