列車番号,,427S,485S,635S,470F,471S,607S,528F,529S,649S,516F,517S,775S,572F,573S,609S,504F,505S,835H,620F,664F,665S,2521Y,666F,667S,853H,654F,655S,686F,687S,646F,771S,722F,2523Y,690F,610F,611S,776F,777S,935H,650F,651S,2525Y,730F,849S,662F,663S,953H,778F,738F,739S,768F,712F,2527Y,967H,714F,715S,788F,789S,892F,826F,827S,2529Y,780F,905S,1053H,818F,819S,973S,990F,991S,2531Y,1067H,978F,979S,982F,983S,840F,4521Y,842F,843S,1153H,920F,921S,1092F,2533Y,1167H,1024F,1025S,1036F,1016F,1017S,4523Y,984F,985S,1253H,934F,1054F,1055S,1074F,2535Y,1267H,1140F,1141S,1152F,1153S,4525Y,1006F,1007S,1353H,1028F,1029S,1166F,2537Y,1367H,1236F,1237S,1288F,1289S,4527Y,1108F,1109S,1453H,1110F,1393S,1374F,2539Y,1467H,1378F,1379S,1342F,1343S,4529Y,1286F,1287S,1563S,1214F,1215S,1466F,2541Y,1567H,1424F,1425S,1484F,1485S,4531Y,1372F,1373S,1326F,1548F,1549S,1576F,2543Y,1667H,1574F,1575S,1540F,1541S,1568F,4533Y,1420F,1689S,1739S,1482F,1483S,1666F,1667S,2545Y,1636F,1637S,1646F,1626F,1627S,1891S,1554F,1555S,4535Y,1516F,1517S,1865S,1668F,1743S,1780F,2547Y,1606F,1749S,1778F,1779S,1628F,1760F,1761S,1758F,1759S,4537Y,1652F,1653S,1873S,1846F,1847S,2549Y,1862F,1722F,1723S,1868F,1869S,1832F,1833S,2551Y,1776F,1777S,1892F,1893S,2553Y,1984F,1985S,9132M,1886F,1887S,1830F,1831S,1904F,1814F,1815S,2555Y,1962F,1963S,1902F,2091S,2557Y,2026F,2027S,1910F,1980F,1981S,2064F,2159S,2559Y,1924F,1925S,2028F,2193S,2178F,2179S,2561Y,2038F,2039S,2082F,2083S,2390M,2116F,2117S,2563Y,2140F,2141S,2174F,2175S,2154F,2155S,2272F,2273S,2204F,2205S,2330F,2332F,2333S,2376F,2260F,2362F,2442F
列車名_列車名,,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速 Ｂ．Ｂ．ＢＡＳＥ内房_快速 Ｂ．Ｂ．ＢＡＳＥ内房,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速
設備,,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___
運転日,,全日,全日,土休日,全日,土休日,土休日,全日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,全日,全日,土休日,全日,全日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,全日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,全日,全日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,全日,全日,土休日,土休日,土休日,全日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,全日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,11月25・26日運転__◆_11月25・26日運転_,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,全日,全日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,全日,土休日,全日,全日,土休日,全日,土休日,土休日
記事,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐倉－逗子間は5082Fに併結__★_佐倉－逗子間は5082Fに併結_,,,,,,,,,,,,,,,,,,,,
前の区間,,,,,,,,,,,,,,↑,,,↑,,,,,,↑,↑,,,↑,,↑,,↑,,,↑,↑,↑,,,,,↑,,↑,↑,,↑,,,↑,↑,,↑,↑,↑,,↑,,↑,,,,,↑,↑,,,,,,,,↑,,,,,,↑,↑,↑,,,↑,,,↑,,,,,,,↑,↑,,,↑,,,↑,↑,,,,,,↑,↑,,,↑,,↑,↑,,,,,,↑,↑,,,↑,,,↑,,,,,,↑,↑,,,↑,,,↑,,,,,,↑,↑,,↑,,,,↑,,,,,,,↑,↑,,,↑,,,,↑,,,,,,,↑,,↑,↑,,,,,,↑,↑,,,,↑,,,,,↑,↑,,,,,↑,,↑,,,,,,↑,↑,,↑,,↑,,,↑,↑,,↑,,,↑,,↑,,,↑,,↑,,,↑,↑,,,,↑,↑,,↑,,,,↑,↑,,↑,,↑,,,↑,↑,,↑,,↑,,,,↑,,,,,,↑,,
始発,,___,___,___,___,___,___,___,___,___,___,___,___,佐倉_0536_佐倉_0536,___,___,佐倉_0556_佐倉_0556,___,___,___,___,___,宇都宮_0515_宇都宮_0515,成田_0607_成田_0607,___,___,君津_0602_君津_0602,___,佐倉_0640_佐倉_0640,___,上総一ノ宮_0614_上総一ノ宮_0614,___,___,宇都宮_0558_宇都宮_0558,成田_0644_成田_0644,君津_0626_君津_0626,___,___,___,___,上総一ノ宮_0646_上総一ノ宮_0646,___,小金井_0645_小金井_0645,鹿島神宮_0602_鹿島神宮_0602,___,成田空港_0652_成田空港_0652,___,___,君津_0700_君津_0700,君津_0705_君津_0705,___,上総一ノ宮_0712_上総一ノ宮_0712,成東_0705_成東_0705,宇都宮_0650_宇都宮_0650,___,成田空港_0722_成田空港_0722,___,木更津_0730_木更津_0730,___,___,___,___,小金井_0738_小金井_0738,成田空港_0759_成田空港_0759,___,___,___,___,___,___,___,小金井_0816_小金井_0816,___,___,___,___,___,君津_0839_君津_0839,宇都宮_0836_宇都宮_0836,君津_0858_君津_0858,___,___,成田空港_0905_成田空港_0905,___,___,宇都宮_0855_宇都宮_0855,___,___,___,___,___,___,宇都宮_0938_宇都宮_0938,君津_0952_君津_0952,___,___,成田空港_0959_成田空港_0959,___,___,上総一ノ宮_1021_上総一ノ宮_1021,宇都宮_0956_宇都宮_0956,___,___,___,___,___,宇都宮_1035_宇都宮_1035,君津_1050_君津_1050,___,___,成田空港_1059_成田空港_1059,___,上総一ノ宮_1120_上総一ノ宮_1120,宇都宮_1055_宇都宮_1055,___,___,___,___,___,宇都宮_1135_宇都宮_1135,君津_1150_君津_1150,___,___,成田空港_1158_成田空港_1158,___,___,宇都宮_1152_宇都宮_1152,___,___,___,___,___,宇都宮_1235_宇都宮_1235,君津_1250_君津_1250,___,___,成田空港_1259_成田空港_1259,___,___,宇都宮_1255_宇都宮_1255,___,___,___,___,___,宇都宮_1333_宇都宮_1333,君津_1350_君津_1350,___,成田空港_1358_成田空港_1358,___,___,___,宇都宮_1348_宇都宮_1348,___,___,___,___,___,___,宇都宮_1435_宇都宮_1435,君津_1450_君津_1450,___,___,成田空港_1459_成田空港_1459,___,___,___,宇都宮_1455_宇都宮_1455,___,___,___,___,___,___,君津_1539_君津_1539,___,宇都宮_1535_宇都宮_1535,成田空港_1558_成田空港_1558,___,___,___,___,___,宇都宮_1553_宇都宮_1553,上総一ノ宮_1621_上総一ノ宮_1621,___,___,___,君津_1635_君津_1635,___,___,___,___,宇都宮_1637_宇都宮_1637,成田空港_1658_成田空港_1658,___,___,___,___,宇都宮_1657_宇都宮_1657,___,君津_1736_君津_1736,___,___,___,___,___,古河_1807_古河_1807,成田空港_1759_成田空港_1759,___,上総一ノ宮_1806_上総一ノ宮_1806,___,宇都宮_1756_宇都宮_1756,___,___,館山_1709_館山_1709,君津_1825_君津_1825,___,成田空港_1830_成田空港_1830,___,___,上総一ノ宮_1855_上総一ノ宮_1855,___,宇都宮_1823_宇都宮_1823,___,___,成田空港_1903_成田空港_1903,___,小金井_1917_小金井_1917,___,___,君津_1926_君津_1926,成田空港_1937_成田空港_1937,___,___,___,宇都宮_1929_宇都宮_1929,上総一ノ宮_1956_上総一ノ宮_1956,___,成田空港_2010_成田空港_2010,___,___,___,小金井_2010_小金井_2010,君津_2024_君津_2024,___,成田空港_2029_成田空港_2029,___,成東_2027_成東_2027,___,___,小金井_2049_小金井_2049,上総一ノ宮_2102_上総一ノ宮_2102,___,成田空港_2115_成田空港_2115,___,君津_2134_君津_2134,___,___,___,成田空港_2210_成田空港_2210,___,___,___,___,___,成田空港_2257_成田空港_2257,___,___
千葉_千葉,発,,,,0445,,,0506,,,0538,,,0553,,,0614,,,0621,0633,,・,0640,,,0651,,0658,,0702,,0708,・,0714,0718,,0723,,,0730,,・,0736,,0742,,,0746,0751,,0755,0801,・,,0809,,0816,,0825,0835,,・,0846,,,0855,,,0908,,・,,0919,,0923,,0933,・,0943,,,0953,,1002,・,,1012,,,1026,,・,1040,,,1052,1057,,1102,・,,1112,,1126,,・,1140,,,1152,,1202,・,,1212,,1226,,・,1240,,,1252,,1302,・,,1312,,1326,,・,1340,,,1352,,1402,・,,1412,,1426,,・,1440,,1452,,,1502,・,,1512,,1526,,,・,1540,,,1552,,1602,,・,1612,,,1623,,,1633,,・,1644,,,1657,,,・,1708,,1714,,1722,1730,,,,・,1745,,,1802,,・,1813,1822,,1830,,,,・,1846,,1848,,・,1902,,レ,1916,,1926,,1931,1937,,・,,,1951,,・,2007,,2014,2023,,2031,,・,2043,,2054,,2101,,・,2115,,2124,,,2134,,・,2148,,2200,,2222,,2239,,2254,,2303,2311,,2327,2350,2356,0015
稲毛_稲毛,発,,,,0449,,,0510,,,0541,,,0557,,,0617,,,0625,0637,,・,0644,,,0654,,0701,,0705,,0712,・,0718,0721,,0726,,,0734,,・,0739,,0746,,,0750,0754,,0759,0805,・,,0812,,0820,,0828,0838,,・,0849,,,0859,,,0912,,・,,0922,,0926,,0936,・,0947,,,0956,,1006,・,,1015,,,1030,,・,1044,,,1055,1101,,1106,・,,1115,,1130,,・,1144,,,1155,,1206,・,,1215,,1230,,・,1244,,,1255,,1306,・,,1315,,1330,,・,1344,,,1355,,1406,・,,1415,,1430,,・,1444,,1456,,,1506,・,,1516,,1530,,,・,1544,,,1555,,1606,,・,1615,,,1626,,,1637,,・,1647,,,1701,,,・,1711,,1717,,1725,1733,,,,・,1749,,,1806,,・,1816,1826,,1834,,,,・,1849,,1852,,・,1906,,レ,1919,,1930,,1935,1941,,・,,,1954,,・,2010,,2017,2026,,2034,,・,2046,,2057,,2105,,・,2119,,2128,,,2138,,・,2151,,2203,,2226,,2243,,2258,,2306,2315,,2330,2354,2359,0018
津田沼_津田沼,発,,,,0456,,,0517,,,0548,,,0604,,,0624,,,0632,0644,,・,0652,,,0702,,0708,,0712,,0719,・,0725,0728,,0734,,,0741,,・,0746,,0753,,,0758,0802,,0806,0812,・,,0819,,0828,,0837,0845,,・,0856,,,0906,,,0920,,・,,0930,,0939,,0945,・,0954,,,1004,,1013,・,,1022,,1031,1037,,・,1051,,,1103,1108,,1113,・,,1122,,1137,,・,1151,,,1203,,1213,・,,1222,,1237,,・,1251,,,1303,,1313,・,,1322,,1337,,・,1351,,,1403,,1413,・,,1422,,1437,,・,1451,,1503,1507,,1513,・,,1523,,1537,,1542,・,1551,,,1603,,1613,,・,1622,,1629,1633,,,1645,,・,1654,,,1708,,1713,・,1719,,1729,,1732,1740,,1746,,・,1756,,,1812,,・,1824,1833,,1840,,1845,,・,1856,,1903,,・,1913,,レ,1926,,1937,,1942,1948,,・,1955,,2003,,・,2018,,2024,2033,,2041,,・,2054,,2105,,2112,,・,2126,,2136,,,2145,,・,2200,,2213,,2233,,2251,,2305,,2313,2322,,2337,0001,0006,0026
