列車番号,,427S,485S,635S,470F,471S,607S,528F,529S,643S,703S,516F,517S,3833M,572F,573S,3835M,775S,679S,504F,505S,817H,636F,658F,659S,2521Y,666F,667S,805H,632F,654F,655S,686F,687S,614F,701S,2523Y,746F,747S,720F,690F,691S,610F,611S,748F,2525Y,917H,722F,723S,776F,777S,650F,651S,730F,2527Y,744F,745S,905H,662F,663S,708F,738F,739S,2529Y,892F,893S,768F,832F,833S,712F,713S,983H,814F,815S,2531Y,764F,788F,789S,880F,881S,826F,827S,824F,870F,871S,2533Y,834F,835S,718F,719S,1005H,820F,821S,948F,949S,2535Y,1083H,902F,903S,882F,883S,952F,2537Y,840F,841S,1105H,936F,937S,1004F,2539Y,1183H,1024F,1025S,1016F,1017S,4521Y,928F,929S,1205H,984F,985S,1006F,2541Y,1283H,1154F,1155S,1152F,1153S,4523Y,1074F,1075S,1305H,1042F,1043S,1172F,2543Y,1383H,1204F,1205S,1288F,1289S,4525Y,1178F,1179S,1405H,1146F,1147S,1306F,2545Y,1435H,1302F,1303S,1340F,1341S,4527Y,1262F,1263S,1593S,1214F,1215S,1472F,2547Y,1535H,1424F,1425S,1428F,1429S,4529Y,1320F,1321S,1326F,1327S,1506F,2549Y,1635H,1586F,1587S,1611S,1554F,1555S,4531Y,1436F,1437S,1482F,1483S,1656F,1672F,1673S,2551Y,1604F,1605S,1666F,1630F,1631S,1668F,1584F,1585S,1622F,4533Y,1516F,1517S,1780F,1781S,1688F,1689S,2553Y,1674F,1675S,1702F,1642F,1643S,1760F,1761S,1766F,1767S,4535Y,1652F,1653S,1838F,1822F,1823S,1868F,1869S,2555Y,1892F,1893S,1778F,1832F,1833S,1864F,1865S,1959S,2557Y,1706F,1707S,1846F,1802F,1803S,1988F,1910F,1911S,1856F,1857S,1908F,2559Y,1862F,1863S,1920F,1814F,1815S,2561Y,2043S,1940F,2036F,1978F,1979S,2563Y,2090F,2091S,1970F,1926F,1927S,2016F,2017S,2565Y,1924F,1925S,2072F,2073S,2028F,2140F,2141S,2567Y,2120F,2038F,2039S,2130F,2082F,2083S,2390M,2180F,2181S,2569Y,2154F,2155S,2186F,2274F,2275S,2146F,2147S,2212F,2222F,2223S,2204F,2205S,2330F,2332F,2333S,2306F,2260F,2342F,2412F
列車名_列車名,,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速
設備,,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___
運転日,,全日,全日,平日,全日,平日,平日,全日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,全日,全日,全日,全日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,全日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,全日,全日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,全日,全日,平日,平日,平日,全日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,全日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,全日,全日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,全日,平日,全日,全日,平日,全日,平日,平日
記事,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐倉－逗子間は5082Fに併結__★_佐倉－逗子間は5082Fに併結_,,,,,,,,,,,,,,,,,,,,,,
前の区間,,,,,,,,,,,,,,,↑,,,,,↑,,,,,,↑,↑,,,,↑,,↑,,↑,,↑,,,,↑,,↑,,,↑,,↑,,,,↑,,↑,↑,,,,↑,,↑,↑,,↑,,,↑,,,↑,,,,,↑,↑,↑,,,,,,,,,↑,,,↑,,,,,,,↑,,,,↑,,,↑,↑,,,↑,,,↑,,,,,,↑,↑,,,↑,,↑,↑,,,,,,↑,↑,,,↑,,↑,↑,,,,,,↑,↑,,,↑,,,↑,,,,,,↑,↑,,,↑,,,↑,,,,,,↑,↑,,↑,,,↑,,,,,,,↑,↑,,↑,,,,,↑,,,,,,,↑,,,↑,↑,,,,,,↑,↑,,,↑,,,,,,↑,↑,,,,,,,↑,,,↑,,,,,,↑,↑,,↑,,,,,,↑,,,↑,↑,,,↑,,↑,,↑,,,,↑,,,↑,↑,,,,↑,↑,,,,↑,,,↑,,↑,,,↑,,↑,,,↑,↑,,↑,,,↑,,,,,↑,,,,,,↑,,
始発,,___,___,___,___,___,___,___,___,___,___,___,___,___,佐倉_0536_佐倉_0536,___,___,___,___,佐倉_0556_佐倉_0556,___,___,___,___,___,宇都宮_0513_宇都宮_0513,成田_0607_成田_0607,___,___,___,君津_0602_君津_0602,___,佐倉_0640_佐倉_0640,___,上総一ノ宮_0614_上総一ノ宮_0614,___,宇都宮_0546_宇都宮_0546,___,___,___,成田_0644_成田_0644,___,君津_0626_君津_0626,___,___,小金井_0625_小金井_0625,___,佐倉_0707_佐倉_0707,___,___,___,上総一ノ宮_0646_上総一ノ宮_0646,___,鹿島神宮_0602_鹿島神宮_0602,小金井_0645_小金井_0645,___,___,___,成田空港_0652_成田空港_0652,___,君津_0700_君津_0700,君津_0705_君津_0705,___,宇都宮_0633_宇都宮_0633,___,___,上総一ノ宮_0712_上総一ノ宮_0712,___,___,成東_0705_成東_0705,___,___,___,___,小金井_0708_小金井_0708,成田空港_0722_成田空港_0722,木更津_0730_木更津_0730,___,___,___,___,___,___,___,___,古河_0807_古河_0807,___,___,成田空港_0759_成田空港_0759,___,___,___,___,___,___,小金井_0816_小金井_0816,___,___,___,君津_0839_君津_0839,___,___,宇都宮_0822_宇都宮_0822,君津_0858_君津_0858,___,___,成田空港_0905_成田空港_0905,___,___,宇都宮_0854_宇都宮_0854,___,___,___,___,___,宇都宮_0936_宇都宮_0936,君津_0952_君津_0952,___,___,成田空港_0959_成田空港_0959,___,上総一ノ宮_1021_上総一ノ宮_1021,宇都宮_0957_宇都宮_0957,___,___,___,___,___,宇都宮_1035_宇都宮_1035,君津_1050_君津_1050,___,___,成田空港_1059_成田空港_1059,___,上総一ノ宮_1120_上総一ノ宮_1120,宇都宮_1055_宇都宮_1055,___,___,___,___,___,宇都宮_1135_宇都宮_1135,君津_1150_君津_1150,___,___,成田空港_1158_成田空港_1158,___,___,宇都宮_1155_宇都宮_1155,___,___,___,___,___,宇都宮_1235_宇都宮_1235,君津_1250_君津_1250,___,___,成田空港_1259_成田空港_1259,___,___,宇都宮_1255_宇都宮_1255,___,___,___,___,___,宇都宮_1332_宇都宮_1332,君津_1350_君津_1350,___,成田空港_1358_成田空港_1358,___,___,宇都宮_1348_宇都宮_1348,___,___,___,___,___,___,宇都宮_1435_宇都宮_1435,君津_1450_君津_1450,___,成田空港_1459_成田空港_1459,___,___,___,___,宇都宮_1450_宇都宮_1450,___,___,___,___,___,___,君津_1539_君津_1539,___,___,宇都宮_1533_宇都宮_1533,成田空港_1558_成田空港_1558,___,___,___,___,___,宇都宮_1555_宇都宮_1555,上総一ノ宮_1621_上総一ノ宮_1621,___,___,君津_1635_君津_1635,___,___,___,___,___,宇都宮_1637_宇都宮_1637,成田空港_1658_成田空港_1658,___,___,___,___,___,___,宇都宮_1655_宇都宮_1655,___,___,君津_1736_君津_1736,___,___,___,___,___,古河_1812_古河_1812,成田空港_1759_成田空港_1759,___,上総一ノ宮_1806_上総一ノ宮_1806,___,___,___,___,___,君津_1825_君津_1825,___,___,宇都宮_1802_宇都宮_1802,成田空港_1830_成田空港_1830,___,___,上総一ノ宮_1855_上総一ノ宮_1855,___,宇都宮_1825_宇都宮_1825,___,成田空港_1903_成田空港_1903,___,___,___,宇都宮_1850_宇都宮_1850,___,___,君津_1926_君津_1926,成田空港_1937_成田空港_1937,___,___,___,宇都宮_1929_宇都宮_1929,上総一ノ宮_1956_上総一ノ宮_1956,___,___,___,成田空港_2010_成田空港_2010,___,___,古河_2034_古河_2034,___,君津_2024_君津_2024,___,___,成田空港_2029_成田空港_2029,___,成東_2027_成東_2027,___,___,宇都宮_2023_宇都宮_2023,上総一ノ宮_2102_上総一ノ宮_2102,___,成田空港_2115_成田空港_2115,___,___,君津_2134_君津_2134,___,___,___,___,成田空港_2210_成田空港_2210,___,___,___,___,___,成田空港_2257_成田空港_2257,___,___
千葉_千葉,発,,,,0445,,,0506,,,,0535,,,0553,,,,,0614,,,0623,0632,,・,0640,,,0647,0651,,0658,,0701,,・,,,0709,0714,,0718,,0723,・,,0726,,,,0731,,0736,・,,,,0742,,0746,0751,,・,,,0756,,,0803,,,,,・,0809,0816,,,,0825,,,0836,,・,,,0846,,,0856,,0907,,・,,0922,,0932,,0936,・,0943,,,0952,,1002,・,,1012,,1026,,・,1040,,,1052,,1102,・,,1112,,1126,,・,1140,,,1152,,1202,・,,1212,,1226,,・,1240,,,1252,,1302,・,,1312,,1326,,・,1340,,,1352,,1402,・,,1412,,1426,,・,1440,,1452,,1502,・,,1512,,,1526,,・,1540,,1552,,,1602,,・,1612,,,1624,,,1632,,,・,1644,,,,1659,,・,1708,,1713,1722,,1731,,,,・,1745,,,,,1802,,・,1813,,1822,,,1834,,,・,1846,,1848,1855,,1900,1908,,1915,,,・,1926,,1930,1937,,・,,1948,,1955,,・,2008,,2014,2023,,2032,,・,2042,,2050,,2055,,,・,2106,2117,,2120,2127,,,2139,,・,2147,,2157,2204,,2222,,2233,2243,,2255,,2303,2311,,2327,2350,2356,0015
稲毛_稲毛,発,,,,0449,,,0510,,,,0539,,,0557,,,,,0617,,,0626,0636,,・,0644,,,0651,0656,,0702,,0705,,・,,,0713,0719,,0722,,0727,・,,0730,,,,0736,,0740,・,,,,0747,,0750,0755,,・,,,0800,,,0807,,,,,・,0813,0820,,,,0829,,,0840,,・,,,0850,,,0900,,0911,,・,,0925,,0935,,0940,・,0947,,,0956,,1006,・,,1015,,1030,,・,1044,,,1055,,1106,・,,1115,,1130,,・,1144,,,1155,,1206,・,,1215,,1230,,・,1244,,,1255,,1306,・,,1315,,1330,,・,1344,,,1355,,1406,・,,1415,,1430,,・,1444,,1456,,1506,・,,1516,,,1530,,・,1544,,1555,,,1606,,・,1615,,,1628,,,1636,,,・,1647,,,,1703,,・,1711,,1717,1725,,1734,,,,・,1749,,,,,1806,,・,1816,,1826,,,1838,,,・,1849,,1852,1859,,1904,1912,,1919,,,・,1930,,1934,1940,,・,,1951,,1959,,・,2011,,2017,2026,,2036,,・,2046,,2053,,2058,,,・,2110,2120,,2124,2130,,,2142,,・,2150,,2201,2208,,2226,,2236,2246,,2258,,2306,2315,,2330,2354,2359,0018
津田沼_津田沼,発,,,,0456,,,0517,,,,0546,,,0604,,,,,0625,,,0634,0643,,・,0652,,,0659,0704,,0709,,0712,,・,0718,,0721,0726,,0729,,0734,・,,0737,,0740,,0744,,0747,・,0751,,,0754,,0758,0802,,・,0805,,0808,0812,,0815,,,0819,,・,0821,0828,,0830,,0837,,0842,0848,,・,0852,,0900,,,0907,,0918,,・,,0932,,0942,,0947,・,0954,,,1004,,1013,・,,1022,,1037,,・,1051,,,1103,,1113,・,,1122,,1137,,・,1151,,,1203,,1213,・,,1222,,1237,,・,1251,,,1303,,1313,・,,1322,,1337,,・,1351,,,1403,,1413,・,,1422,,1437,,・,1451,,1503,,1513,・,,1523,,,1537,,・,1551,,1603,,1608,1613,,・,1622,,1629,1635,,1639,1643,,1647,・,1654,,1704,,1711,,・,1720,,1729,1733,,1741,,1746,,・,1756,,1801,1809,,1813,,・,1824,,1833,1836,,1844,,,・,1856,,1902,1907,,1911,1919,,1926,,1933,・,1937,,1942,1948,,・,,1958,2002,2006,,・,2019,,2024,2033,,2043,,・,2053,,2100,,2106,2111,,・,2117,2127,,2132,2138,,,2150,,・,2158,,2208,2215,,2233,,2244,2254,,2305,,2313,2322,,2337,0001,0006,0026
