列車番号,,1420M,3572F,572F,573S,1422M,1320M,3504F,504F,505S,322M,3666F,666F,667S,4002M,1424M,3686F,686F,687S,426M,3690F,690F,691S,4004M,3722F,722F,723S,324M,2520M,3730F,730F,3662F,662F,663S,326M,428M,3712F,712F,713S,1328M,3764F,764F,330M,2002M,2202M,430M,332M,1432M,2434M,3718F,718F,719S,2004M,2204M,334M,4006M,436M,1438M,2006M,2206M,336M,3528M,3936F,936F,937S,1338M,2008M,2208M,440M,2010M,2210M,1340M,3984F,984F,985S,2012M,2212M,342M,442M,2014M,2214M,344M,4042F,1042F,1043S,2016M,2216M,1346M,444M,2018M,2218M,348M,2446M,4008M,4146F,1146F,1147S,2020M,2220M,1350M,1448M,2022M,2222M,352M,4214F,1214F,1215S,2024M,2224M,1354M,450M,2026M,2226M,356M,2452M,4010M,4326F,1326F,1327S,2028M,2228M,1358M,1454M,2030M,2230M,360M,4482F,1482F,1483S,2032M,2232M,1362M,456M,2034M,2234M,364M,4516F,1516F,1517S,2036M,2236M,1366M,458M,1460M,2038M,2238M,368M,4652F,1652F,1653S,2040M,2240M,1370M,2462M,4012M,1464M,2042M,372M,4706F,1706F,1707S,2044M,2244M,1374M,466M,1376M,4862F,1862F,1863S,2046M,2246M,378M,2468M,4940F,1940F,2048M,2248M,1380M,4014M,1470M,4926F,1926F,1927S,382M,472M,2384M,2050M,2250M,1386M,5028F,2028F,1388M,1474M,5082F,2082F,2083S,2390M,2052M,2252M,392M,476M,5186F,2186F,1394M,1478M,2054M,2254M,396M,5204F,2204F,2205S,1398M,480M,3320M,5260F,2260F,2482M,3322M,5368F
列車名_列車名,,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,特急 しおさい2号_特急 しおさい2号,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,特急 しおさい4号_特急 しおさい4号,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,特急 成田エクスプレス2号_特急 成田エクスプレス2号,特急 成田エクスプレス2号_特急 成田エクスプレス2号,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,特急 成田エクスプレス4号_特急 成田エクスプレス4号,特急 成田エクスプレス4号_特急 成田エクスプレス4号,普通_普通,特急 しおさい6号_特急 しおさい6号,普通_普通,普通_普通,特急 成田エクスプレス6号_特急 成田エクスプレス6号,特急 成田エクスプレス6号_特急 成田エクスプレス6号,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,特急 成田エクスプレス8号_特急 成田エクスプレス8号,特急 成田エクスプレス8号_特急 成田エクスプレス8号,普通_普通,特急 成田エクスプレス10号_特急 成田エクスプレス10号,特急 成田エクスプレス10号_特急 成田エクスプレス10号,普通_普通,快速_快速,快速_快速,普通_普通,特急 成田エクスプレス12号_特急 成田エクスプレス12号,特急 成田エクスプレス12号_特急 成田エクスプレス12号,普通_普通,普通_普通,特急 成田エクスプレス14号_特急 成田エクスプレス14号,特急 成田エクスプレス14号_特急 成田エクスプレス14号,普通_普通,快速_快速,快速_快速,普通_普通,特急 成田エクスプレス16号_特急 成田エクスプレス16号,特急 成田エクスプレス16号_特急 成田エクスプレス16号,普通_普通,普通_普通,特急 成田エクスプレス18号_特急 成田エクスプレス18号,特急 成田エクスプレス18号_特急 成田エクスプレス18号,普通_普通,普通_普通,特急 しおさい8号_特急 しおさい8号,快速_快速,快速_快速,普通_普通,特急 成田エクスプレス20号_特急 成田エクスプレス20号,特急 成田エクスプレス20号_特急 成田エクスプレス20号,普通_普通,普通_普通,特急 成田エクスプレス22号_特急 成田エクスプレス22号,特急 成田エクスプレス22号_特急 成田エクスプレス22号,普通_普通,快速_快速,快速_快速,普通_普通,特急 成田エクスプレス24号_特急 成田エクスプレス24号,特急 成田エクスプレス24号_特急 成田エクスプレス24号,普通_普通,普通_普通,特急 成田エクスプレス26号_特急 成田エクスプレス26号,特急 成田エクスプレス26号_特急 成田エクスプレス26号,普通_普通,普通_普通,特急 しおさい10号_特急 しおさい10号,快速_快速,快速_快速,普通_普通,特急 成田エクスプレス28号_特急 成田エクスプレス28号,特急 成田エクスプレス28号_特急 成田エクスプレス28号,普通_普通,普通_普通,特急 成田エクスプレス30号_特急 成田エクスプレス30号,特急 成田エクスプレス30号_特急 成田エクスプレス30号,普通_普通,快速_快速,快速_快速,普通_普通,特急 成田エクスプレス32号_特急 成田エクスプレス32号,特急 成田エクスプレス32号_特急 成田エクスプレス32号,普通_普通,普通_普通,特急 成田エクスプレス34号_特急 成田エクスプレス34号,特急 成田エクスプレス34号_特急 成田エクスプレス34号,普通_普通,快速_快速,快速_快速,普通_普通,特急 成田エクスプレス36号_特急 成田エクスプレス36号,特急 成田エクスプレス36号_特急 成田エクスプレス36号,普通_普通,普通_普通,普通_普通,特急 成田エクスプレス38号_特急 成田エクスプレス38号,特急 成田エクスプレス38号_特急 成田エクスプレス38号,普通_普通,快速_快速,快速_快速,普通_普通,特急 成田エクスプレス40号_特急 成田エクスプレス40号,特急 成田エクスプレス40号_特急 成田エクスプレス40号,普通_普通,普通_普通,特急 しおさい12号_特急 しおさい12号,普通_普通,特急 成田エクスプレス42号_特急 成田エクスプレス42号,普通_普通,快速_快速,快速_快速,普通_普通,特急 成田エクスプレス44号_特急 成田エクスプレス44号,特急 成田エクスプレス44号_特急 成田エクスプレス44号,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,特急 成田エクスプレス46号_特急 成田エクスプレス46号,特急 成田エクスプレス46号_特急 成田エクスプレス46号,普通_普通,普通_普通,快速_快速,快速_快速,特急 成田エクスプレス48号_特急 成田エクスプレス48号,特急 成田エクスプレス48号_特急 成田エクスプレス48号,普通_普通,特急 しおさい14号_特急 しおさい14号,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,特急 成田エクスプレス50号_特急 成田エクスプレス50号,特急 成田エクスプレス50号_特急 成田エクスプレス50号,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,特急 成田エクスプレス52号_特急 成田エクスプレス52号,特急 成田エクスプレス52号_特急 成田エクスプレス52号,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,特急 成田エクスプレス54号_特急 成田エクスプレス54号,特急 成田エクスプレス54号_特急 成田エクスプレス54号,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速
設備,,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車一部指定席____,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,普通車一部指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,グリーン車指定席_普通車一部指定席____,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車指定席_普通車一部指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車指定席_普通車一部指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車指定席_普通車一部指定席____,_,グリーン車指定席_普通車全車指定席____,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,グリーン車指定席_普通車一部指定席____,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,_,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___
運転日,,全日,全日,平日,平日,全日,全日,全日,平日,平日,全日,全日,平日,平日,全日,全日,全日,平日,平日,全日,全日,平日,平日,平日,平日,平日,平日,全日,全日,全日,平日,全日,平日,平日,全日,全日,全日,平日,平日,全日,平日,平日,全日,平日,平日,全日,全日,全日,全日,平日,平日,平日,全日,平日,全日,平日,全日,全日,全日,全日,全日,全日,平日,平日,平日,全日,全日,全日,全日,全日,全日,全日,平日,平日,平日,全日,全日,全日,全日,全日,全日,全日,平日,平日,平日,全日,全日,全日,全日,全日,全日,全日,全日,全日,平日,平日,平日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,平日,平日,全日,全日,全日,全日,全日,全日,全日,全日,全日,平日,全日,全日,全日,全日,全日,全日,全日,全日,平日,平日,全日,全日,全日,全日,全日,全日,全日,全日,全日,平日,平日,全日,全日,全日,全日,平日,全日,全日,全日,平日,平日,平日,全日,全日,全日,全日,全日,平日,平日,平日,全日,全日,全日,全日,平日,平日,全日,全日,全日,平日,全日,平日,平日,平日,全日,全日,全日,全日,平日,全日,全日,平日,全日,全日,全日,平日,全日,全日,全日,平日,全日,全日,平日,平日,全日,全日,全日,全日,全日,全日,平日,全日,全日,全日,全日,全日,全日,全日,全日,全日
記事,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,成田空港－東京間は2002M〔成田エクスプレス2号〕に併結__★_成田空港－東京間は2002M〔成田エクスプレス2号〕に併結_,,,,,,,,,,,,,,,成田空港－東京間は2006M〔成田エクスプレス6号〕に併結__★_成田空港－東京間は2006M〔成田エクスプレス6号〕に併結_,,,,,,,,,,,成田空港－東京間は2010M〔成田エクスプレス10号〕に併結__★_成田空港－東京間は2010M〔成田エクスプレス10号〕に併結_,,,,,,,,,,成田空港－東京間は2014M〔成田エクスプレス14号〕に併結__★_成田空港－東京間は2014M〔成田エクスプレス14号〕に併結_,,,,,,,,,,成田空港－東京間は2018M〔成田エクスプレス18号〕に併結__★_成田空港－東京間は2018M〔成田エクスプレス18号〕に併結_,,,,,,,,,,,,成田空港－東京間は2022M〔成田エクスプレス22号〕に併結__★_成田空港－東京間は2022M〔成田エクスプレス22号〕に併結_,,,,,,,,,,成田空港－東京間は2026M〔成田エクスプレス26号〕に併結__★_成田空港－東京間は2026M〔成田エクスプレス26号〕に併結_,,,,,,,,,,,,成田空港－東京間は2030M〔成田エクスプレス30号〕に併結__★_成田空港－東京間は2030M〔成田エクスプレス30号〕に併結_,,,,,,,,,,成田空港－東京間は2034M〔成田エクスプレス34号〕に併結__★_成田空港－東京間は2034M〔成田エクスプレス34号〕に併結_,,,,,,,,,,,成田空港－東京間は2038M〔成田エクスプレス38号〕に併結__★_成田空港－東京間は2038M〔成田エクスプレス38号〕に併結_,,,,,,成田空港－東京間は2040M〔成田エクスプレス40号〕に併結__★_成田空港－東京間は2040M〔成田エクスプレス40号〕に併結_,,,,,,,,,,,,,,,,,,,成田空港－東京間は2046M〔成田エクスプレス46号〕に併結__★_成田空港－東京間は2046M〔成田エクスプレス46号〕に併結_,,,,,,,,,,,,,,,,,成田空港－東京間は2050M〔成田エクスプレス50号〕に併結__★_成田空港－東京間は2050M〔成田エクスプレス50号〕に併結_,,,,,,,,,佐倉－逗子間は5082Fに併結__★_佐倉－逗子間は5082Fに併結_,,成田空港－東京間は2052M〔成田エクスプレス52号〕に併結__★_成田空港－東京間は2052M〔成田エクスプレス52号〕に併結_,,,,,,,,成田空港－東京間は2054M〔成田エクスプレス54号〕に併結__★_成田空港－東京間は2054M〔成田エクスプレス54号〕に併結_,,,,,,,,,,,,
前の区間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,↑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,↑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
始発,,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,鹿島神宮_0602_鹿島神宮_0602,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,鹿島神宮_0812_鹿島神宮_0812,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___
銚子_銚子,発,,,,,,,,,,0455,,,,,,,,,0508,,,,,,,,0538,・,,,,,,0604,0550,,,,,,,0630,,,0625,0649,,0653,,,,,,0720,0742,0716,,,,0809,・,,,,,,,0823,,,,,,,,,0903,0924,,,0950,,,,,,,1024,,,1044,1110,1121,,,,,,,,,,1147,,,,,,,1208,,,1259,1308,1321,,,,,,,,,,1349,,,,,,,1405,,,1459,,,,,,,1508,,,,1546,,,,,,,1608,1638,,,1644,,,,,,,1709,,,,,,,1737,,,,,,,1836,,,,,1822,1832,1910,,,,,,,,,,,,,,1941,1952,,,,,,,2047,,,,,2131,2152,,,,,
松岸_松岸,発,,,,,,,,,,0459,,,,,,,,,0512,,,,,,,,0542,・,,,,,,0608,0554,,,,,,,0634,,,0629,0653,,0657,,,,,,0724,レ,0721,,,,0813,・,,,,,,,0828,,,,,,,,,0908,0928,,,0955,,,,,,,1028,,,1051,1114,レ,,,,,,,,,,1158,,,,,,,1212,,,1303,1312,レ,,,,,,,,,,1354,,,,,,,1409,,,1503,,,,,,,1512,,,,1554,,,,,,,1612,レ,,,1651,,,,,,,1718,,,,,,,1741,,,,,,,レ,,,,,1831,1838,1914,,,,,,,,,,,,,,1945,1959,,,,,,,2051,,,,,2135,2200,,,,,
猿田_猿田,発,,,,,,,,,,0505,,,,,,,,,||,,,,,,,,0547,・,,,,,,0613,||,,,,,,,0639,,,||,0703,,||,,,,,,0729,レ,||,,,,0818,・,,,,,,,||,,,,,,,,,0913,||,,,1005,,,,,,,||,,,1056,||,レ,,,,,,,,,,1203,,,,,,,||,,,1308,||,レ,,,,,,,,,,1359,,,,,,,||,,,1508,,,,,,,||,,,,1559,,,,,,,||,レ,,,1657,,,,,,,||,,,,,,,1746,,,,,,,レ,,,,,1837,||,1920,,,,,,,,,,,,,,1953,||,,,,,,,2056,,,,,||,2205,,,,,
倉橋_倉橋,発,,,,,,,,,,0508,,,,,,,,,||,,,,,,,,0551,・,,,,,,0617,||,,,,,,,0643,,,||,0707,,||,,,,,,0733,レ,||,,,,0822,・,,,,,,,||,,,,,,,,,0917,||,,,1008,,,,,,,||,,,1100,||,レ,,,,,,,,,,1207,,,,,,,||,,,1312,||,レ,,,,,,,,,,1403,,,,,,,||,,,1512,,,,,,,||,,,,1603,,,,,,,||,レ,,,1700,,,,,,,||,,,,,,,1750,,,,,,,レ,,,,,1840,||,1923,,,,,,,,,,,,,,1957,||,,,,,,,2100,,,,,||,2209,,,,,
