列車番号,,9401M,9342M,9403M,9405M,2321M,423M,3521M,323M,563F,3563F,425M,515F,2515F,325M,531F,3531F,327M,427M,480S,481F,3481F,2001M,2201M,1429M,329M,2003M,2203M,1431M,721F,3721F,2005M,2205M,1331M,2007M,2207M,4001M,2433M,1435M,2209M,2009M,333M,634S,635F,3635F,2437M,2211M,2011M,1335M,9501M,337M,2013M,1439M,1339M,728S,729F,3729F,2441M,9433M,9433M,341M,2015M,2015M,2215M,1443M,4003M,1343M,910S,911F,3911F,2217M,2017M,2017M,2445M,345M,2019M,2219M,1447M,1347M,1014S,1015F,4015F,2221M,2021M,9303M,349M,2449M,2023M,2223M,1451M,1351M,1026S,1027F,4027F,2225M,2025M,353M,2453M,2027M,2227M,1455M,355M,1182S,1183F,4183F,2229M,2029M,4005M,2457M,1357M,2031M,2231M,1459M,359M,359M,1216S,1217F,4217F,2461M,2233M,2033M,1361M,2035M,2235M,1463M,363M,1352S,1353F,4353F,2237M,2037M,4007M,2465M,1365M,1467M,2039M,2239M,1469M,367M,1677F,4677F,471M,2241M,2041M,1369M,1631F,4631F,2043M,2243M,371M,2473M,1602S,1603F,4603F,1373M,2245M,2045M,475M,375M,1781F,4781F,2047M,2247M,1377M,379M,1829F,4829F,2545M,2249M,2049M,1477M,1381M,1782S,1783F,4783F,2383M,4009M,2051M,2251M,479M,385M,1774S,1775F,4775F,1387M,3547M,1389M,1481M,1888S,1889F,4889F,2053M,2253M,4011M,483M,391M,2005F,5005F,1393M,2003F,3003F,1485M,395M,2111F,3111F,1397M,1960S,1961F,4961F,2165F,5165F,487M,399M,2170S,2171F,3171F,2068S,2069F,5069F,3321M,1489M,2184S,2185F,5185F,3323M,1421M
列車名_列車名,,特急 犬吠初日の出1号_特急 犬吠初日の出1号,特急 犬吠初日の出3号_特急 犬吠初日の出3号,特急 犬吠初日の出3号_特急 犬吠初日の出3号,特急 犬吠初日の出5号_特急 犬吠初日の出5号,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,特急 成田エクスプレス1号_特急 成田エクスプレス1号,特急 成田エクスプレス1号_特急 成田エクスプレス1号,普通_普通,普通_普通,特急 成田エクスプレス3号_特急 成田エクスプレス3号,特急 成田エクスプレス3号_特急 成田エクスプレス3号,普通_普通,快速_快速,快速_快速,特急 成田エクスプレス5号_特急 成田エクスプレス5号,特急 成田エクスプレス5号_特急 成田エクスプレス5号,普通_普通,特急 成田エクスプレス7号_特急 成田エクスプレス7号,特急 成田エクスプレス7号_特急 成田エクスプレス7号,特急 しおさい1号_特急 しおさい1号,普通_普通,普通_普通,特急 成田エクスプレス9号_特急 成田エクスプレス9号,特急 成田エクスプレス9号_特急 成田エクスプレス9号,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,特急 成田エクスプレス11号_特急 成田エクスプレス11号,特急 成田エクスプレス11号_特急 成田エクスプレス11号,普通_普通,特急 開運初詣号_特急 開運初詣号,普通_普通,特急 成田エクスプレス13号_特急 成田エクスプレス13号,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,特急 開運成田山初詣青梅号_特急 開運成田山初詣青梅号,特急 開運成田山初詣八王子号_特急 開運成田山初詣八王子号,普通_普通,特急 成田エクスプレス15号_特急 成田エクスプレス15号,特急 成田エクスプレス15号_特急 成田エクスプレス15号,特急 成田エクスプレス15号_特急 成田エクスプレス15号,普通_普通,特急 しおさい3号_特急 しおさい3号,普通_普通,普通_普通,快速_快速,快速_快速,特急 成田エクスプレス17号_特急 成田エクスプレス17号,特急 成田エクスプレス17号_特急 成田エクスプレス17号,特急 成田エクスプレス17号_特急 成田エクスプレス17号,普通_普通,普通_普通,特急 成田エクスプレス19号_特急 成田エクスプレス19号,特急 成田エクスプレス19号_特急 成田エクスプレス19号,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,特急 成田エクスプレス21号_特急 成田エクスプレス21号,特急 成田エクスプレス21号_特急 成田エクスプレス21号,特急 しおさい83号_特急 しおさい83号,普通_普通,普通_普通,特急 成田エクスプレス23号_特急 成田エクスプレス23号,特急 成田エクスプレス23号_特急 成田エクスプレス23号,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,特急 成田エクスプレス25号_特急 成田エクスプレス25号,特急 成田エクスプレス25号_特急 成田エクスプレス25号,普通_普通,普通_普通,特急 成田エクスプレス27号_特急 成田エクスプレス27号,特急 成田エクスプレス27号_特急 成田エクスプレス27号,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,特急 成田エクスプレス29号_特急 成田エクスプレス29号,特急 成田エクスプレス29号_特急 成田エクスプレス29号,特急 しおさい5号_特急 しおさい5号,普通_普通,普通_普通,特急 成田エクスプレス31号_特急 成田エクスプレス31号,特急 成田エクスプレス31号_特急 成田エクスプレス31号,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,特急 成田エクスプレス33号_特急 成田エクスプレス33号,特急 成田エクスプレス33号_特急 成田エクスプレス33号,普通_普通,特急 成田エクスプレス35号_特急 成田エクスプレス35号,特急 成田エクスプレス35号_特急 成田エクスプレス35号,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,特急 成田エクスプレス37号_特急 成田エクスプレス37号,特急 成田エクスプレス37号_特急 成田エクスプレス37号,特急 しおさい7号_特急 しおさい7号,普通_普通,普通_普通,普通_普通,特急 成田エクスプレス39号_特急 成田エクスプレス39号,特急 成田エクスプレス39号_特急 成田エクスプレス39号,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,特急 成田エクスプレス41号_特急 成田エクスプレス41号,特急 成田エクスプレス41号_特急 成田エクスプレス41号,普通_普通,快速_快速,快速_快速,特急 成田エクスプレス43号_特急 成田エクスプレス43号,特急 成田エクスプレス43号_特急 成田エクスプレス43号,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,特急 成田エクスプレス45号_特急 成田エクスプレス45号,特急 成田エクスプレス45号_特急 成田エクスプレス45号,普通_普通,普通_普通,快速_快速,快速_快速,特急 成田エクスプレス47号_特急 成田エクスプレス47号,特急 成田エクスプレス47号_特急 成田エクスプレス47号,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,特急 成田エクスプレス49号_特急 成田エクスプレス49号,特急 成田エクスプレス49号_特急 成田エクスプレス49号,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,特急 しおさい9号_特急 しおさい9号,特急 成田エクスプレス51号_特急 成田エクスプレス51号,特急 成田エクスプレス51号_特急 成田エクスプレス51号,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,特急 成田エクスプレス53号_特急 成田エクスプレス53号,特急 成田エクスプレス53号_特急 成田エクスプレス53号,特急 しおさい11号_特急 しおさい11号,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通
設備,,普通車全車指定席___,普通車全車指定席___,普通車全車指定席___,グリーン車指定席_普通車全車指定席____,_,_,_,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車一部指定席____,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,普通車全車指定席___,_,グリーン車指定席_普通車全車指定席____,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,グリーン車指定席_普通車一部指定席____,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,普通車一部指定席___,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車一部指定席____,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車一部指定席____,_,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車指定席_普通車一部指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車一部指定席____,_,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_
運転日,,1月1日運転__◆_1月1日運転_,1月1日運転__◆_1月1日運転_,1月1日運転__◆_1月1日運転_,1月1日運転__◆_1月1日運転_,全日,全日,全日,全日,全日,全日,全日,土休日,土休日,全日,土休日,全日,全日,全日,土休日,土休日,土休日,全日,全日,全日,全日,全日,土休日,全日,土休日,土休日,全日,全日,全日,全日,土休日,土休日,全日,全日,全日,全日,全日,土休日,土休日,土休日,全日,全日,全日,全日,1月2・3日運転__◆_1月2・3日運転_,全日,全日,全日,全日,土休日,土休日,土休日,全日,1月6日運転__◆_1月6日運転_,1月7日運転__◆_1月7日運転_,全日,全日,成田停車は1月1～3日__臨停_成田停車は1月1～3日_,全日,全日,全日,全日,土休日,土休日,土休日,全日,全日,成田停車は1月1～3日__臨停_成田停車は1月1～3日_,全日,全日,全日,全日,全日,全日,土休日,全日,全日,全日,全日,12月30・31日運転__◆_12月30・31日運転_,全日,全日,全日,全日,全日,全日,土休日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,土休日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,1月2・3日はこの時刻に変更__時変_1月2・3日はこの時刻に変更_,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,土休日,土休日,全日,全日,全日,全日,土休日,土休日,全日,全日,全日,全日,土休日,土休日,土休日,全日,全日,全日,全日,全日,土休日,土休日,全日,全日,全日,全日,土休日,土休日,全日,全日,全日,全日,全日,土休日,全日,全日,全日,全日,全日,全日,全日,全日,土休日,土休日,土休日,全日,全日,全日,全日,土休日,土休日,土休日,全日,全日,全日,全日,全日,土休日,土休日,全日,土休日,土休日,全日,全日,土休日,土休日,全日,土休日,土休日,全日,土休日,土休日,全日,全日,土休日,土休日,土休日,土休日,土休日,全日,全日,全日,土休日,土休日,土休日,全日,全日
記事,,,,,,,,,,,,,,,,,,,,,,,,東京－成田空港間は2001M〔成田エクスプレス1号〕に併結__★_東京－成田空港間は2001M〔成田エクスプレス1号〕に併結_,,,,東京－成田空港間は2003M〔成田エクスプレス3号〕に併結__★_東京－成田空港間は2003M〔成田エクスプレス3号〕に併結_,,,,,東京－成田空港間は2005M〔成田エクスプレス5号〕に併結__★_東京－成田空港間は2005M〔成田エクスプレス5号〕に併結_,,,東京－成田空港間は2007M〔成田エクスプレス7号〕に併結__★_東京－成田空港間は2007M〔成田エクスプレス7号〕に併結_,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京－成田空港間は2015M〔成田エクスプレス15号〕に併結__★_東京－成田空港間は2015M〔成田エクスプレス15号〕に併結_,,,,,,,,,,,,,東京－成田空港間は2019M〔成田エクスプレス19号〕に併結__★_東京－成田空港間は2019M〔成田エクスプレス19号〕に併結_,,,,,,,,,,,,東京－成田空港間は2023M〔成田エクスプレス23号〕に併結__★_東京－成田空港間は2023M〔成田エクスプレス23号〕に併結_,,,,,,,,,,,東京－成田空港間は2027M〔成田エクスプレス27号〕に併結__★_東京－成田空港間は2027M〔成田エクスプレス27号〕に併結_,,,,,,,,,,,,東京－成田空港間は2031M〔成田エクスプレス31号〕に併結__★_東京－成田空港間は2031M〔成田エクスプレス31号〕に併結_,,,,,,,,,,,,東京－成田空港間は2035M〔成田エクスプレス35号〕に併結__★_東京－成田空港間は2035M〔成田エクスプレス35号〕に併結_,,,,,,,,,,,,,東京－成田空港間は2039M〔成田エクスプレス39号〕に併結__★_東京－成田空港間は2039M〔成田エクスプレス39号〕に併結_,,,,,,,,,,,,東京－成田空港間は2043M〔成田エクスプレス43号〕に併結__★_東京－成田空港間は2043M〔成田エクスプレス43号〕に併結_,,,,,,,,,,,,,,東京－成田空港間は2047M〔成田エクスプレス47号〕に併結__★_東京－成田空港間は2047M〔成田エクスプレス47号〕に併結_,,,,,東京－佐倉間は4829Fに併結__★_東京－佐倉間は4829Fに併結_,,,,,,,,逗子－佐倉間は4783Fに併結__★_逗子－佐倉間は4783Fに併結_,,,東京－成田空港間は2051M〔成田エクスプレス51号〕に併結__★_東京－成田空港間は2051M〔成田エクスプレス51号〕に併結_,,,,,,,,,,,,,,東京－成田空港間は2053M〔成田エクスプレス53号〕に併結__★_東京－成田空港間は2053M〔成田エクスプレス53号〕に併結_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前の区間,,↑,,,,,,,,,,,,,,,,,,↑,,,,,,,,↑,,,,,,,,↑,,,,,,,↑,,,,,,,,,,,,↑,,,,↑,↑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,↑,,,,,,,,,,,↑,,,,,,,,,,,,,↑,,,,,,,,,,,↑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,↑,,,,,,,↑,,,,,,,,,,,,,,,,,,↑,,,,,,,,,,↑,,,,,↑,,,,
始発,,高尾_0130_高尾_0130,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,久里浜_0447_久里浜_0447,___,___,___,___,___,___,___,八王子_0555_八王子_0555,___,___,___,___,___,___,___,八王子_0627_八王子_0627,___,___,___,___,___,___,久里浜_0649_久里浜_0649,___,___,___,___,___,___,___,___,___,___,___,久里浜_0750_久里浜_0750,___,___,___,青梅_0839_青梅_0839,高尾_0852_高尾_0852,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,久里浜_1046_久里浜_1046,___,___,___,___,___,___,___,___,___,___,久里浜_1144_久里浜_1144,___,___,___,___,___,___,___,___,___,___,___,___,久里浜_1244_久里浜_1244,___,___,___,___,___,___,___,___,___,___,久里浜_1344_久里浜_1344,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,久里浜_1743_久里浜_1743,___,___,___,___,___,___,久里浜_1813_久里浜_1813,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,久里浜_1954_久里浜_1954,___,___,___,___,___,___,___,___,___,久里浜_2040_久里浜_2040,___,___,___,___,久里浜_2132_久里浜_2132,___,___,___,___
横須賀_横須賀,発,・,,,,,,,,,,,,,,,,,,0457,,,,,,,,・,,,,,,,,・,,,,,,,0659,,,,,,,,,,,,0800,,,,・,・,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1057,,,,,,,,,,,1155,,,,,,,,,,,,,1255,,,,,,,,,,,1355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1753,,,,,,,1823,,,,,,,,,,,,,,,,,,2005,,,,,,,,,,2051,,,,,2142,,,,
逗子_逗子,発,・,,,,,,,,,,,,,,,,,,0511,,,,,,,,・,,,,,,,,・,,,,,,,0713,,,,,,,,,,,,0814,,,,・,・,,,,,,,,0909,,,,,,,,,,,,1010,,,,,,,,,,,,1113,,,,,,,,,,,1212,,,,,,,,,,,,,1312,,,,,,,,,,,1412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1743,,,,,,,,,1808,,,,,,,1847,,,,,,,,,,,,,,,,,,2023,,,,,,,,,,2105,,,,,2156,,,,
鎌倉_鎌倉,発,・,,,,,,,,,,,,,,,,,,0515,,,,,,,,・,,,,,,,,・,,,,,,,0717,,,,,,,,,,,,0818,,,,・,・,,,,,,,,0913,,,,,,,,,,,,1014,,,,,,,,,,,,1117,,,,,,,,,,,1216,,,,,,,,,,,,,1316,,,,,,,,,,,1416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1747,,,,,,,,,1813,,,,,,,1851,,,,,,,,,,,,,,,,,,2028,,,,,,,,,,2109,,,,,2200,,,,
北鎌倉_北鎌倉,発,・,,,,,,,,,,,,,,,,,,0518,,,,,,,,・,,,,,,,,・,,,,,,,0720,,,,,,,,,,,,0821,,,,・,・,,,,,,,,0916,,,,,,,,,,,,1017,,,,,,,,,,,,1120,,,,,,,,,,,1219,,,,,,,,,,,,,1319,,,,,,,,,,,1419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,,,,,,,,,1816,,,,,,,1854,,,,,,,,,,,,,,,,,,2031,,,,,,,,,,2112,,,,,2203,,,,
