列車番号,,2321M,423M,3521M,323M,563F,3563F,425M,565F,3565F,325M,531F,3531F,327M,523F,3523F,427M,418S,419F,3419F,2001M,2201M,1429M,329M,2003M,2203M,1431M,737F,3737F,2005M,2205M,1331M,2007M,2207M,4001M,2433M,1435M,2209M,2009M,333M,684S,685F,3685F,2437M,2211M,2011M,1335M,337M,2013M,1439M,1339M,742S,743F,3743F,2441M,341M,2015M,2215M,1443M,4003M,1343M,946S,947F,3947F,2217M,2017M,2445M,345M,2019M,2219M,1447M,1347M,1014S,1015F,4015F,2221M,2021M,349M,2449M,2023M,2223M,1451M,1351M,1026S,1027F,4027F,2225M,2025M,353M,2453M,2027M,2227M,1455M,355M,1182S,1183F,4183F,2229M,2029M,4005M,2457M,1357M,2031M,2231M,1459M,359M,1216S,1217F,4217F,2461M,2233M,2033M,1361M,2035M,2235M,1463M,363M,1352S,1353F,4353F,2237M,2037M,4007M,2465M,1365M,1467M,2039M,2239M,1469M,367M,1607F,4607F,471M,2241M,2041M,1369M,1562S,1563F,4563F,2043M,2243M,371M,2473M,1540S,1541F,4541F,1373M,2245M,2045M,475M,375M,1626S,1627F,4627F,2047M,2247M,1377M,379M,1628S,1629F,4629F,2545M,2249M,2049M,1477M,1381M,1782S,1783F,4783F,2383M,4009M,2051M,2251M,479M,385M,1786S,1787F,4787F,1387M,3547M,1389M,1481M,1989F,4989F,2053M,2253M,4011M,483M,391M,1804S,1805F,4805F,1393M,1984S,1985F,4985F,1485M,395M,2171F,5171F,1397M,1960S,1961F,4961F,2064S,2065F,5065F,4013M,487M,399M,2002S,2003F,5003F,2068S,2069F,5069F,3321M,1489M,2110S,2111F,5111F,3323M,1421M
列車名_列車名,,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,特急 成田エクスプレス1号_特急 成田エクスプレス1号,特急 成田エクスプレス1号_特急 成田エクスプレス1号,普通_普通,普通_普通,特急 成田エクスプレス3号_特急 成田エクスプレス3号,特急 成田エクスプレス3号_特急 成田エクスプレス3号,普通_普通,快速_快速,快速_快速,特急 成田エクスプレス5号_特急 成田エクスプレス5号,特急 成田エクスプレス5号_特急 成田エクスプレス5号,普通_普通,特急 成田エクスプレス7号_特急 成田エクスプレス7号,特急 成田エクスプレス7号_特急 成田エクスプレス7号,特急 しおさい1号_特急 しおさい1号,普通_普通,普通_普通,特急 成田エクスプレス9号_特急 成田エクスプレス9号,特急 成田エクスプレス9号_特急 成田エクスプレス9号,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,特急 成田エクスプレス11号_特急 成田エクスプレス11号,特急 成田エクスプレス11号_特急 成田エクスプレス11号,普通_普通,普通_普通,特急 成田エクスプレス13号_特急 成田エクスプレス13号,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,特急 成田エクスプレス15号_特急 成田エクスプレス15号,特急 成田エクスプレス15号_特急 成田エクスプレス15号,普通_普通,特急 しおさい3号_特急 しおさい3号,普通_普通,普通_普通,快速_快速,快速_快速,特急 成田エクスプレス17号_特急 成田エクスプレス17号,特急 成田エクスプレス17号_特急 成田エクスプレス17号,普通_普通,普通_普通,特急 成田エクスプレス19号_特急 成田エクスプレス19号,特急 成田エクスプレス19号_特急 成田エクスプレス19号,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,特急 成田エクスプレス21号_特急 成田エクスプレス21号,特急 成田エクスプレス21号_特急 成田エクスプレス21号,普通_普通,普通_普通,特急 成田エクスプレス23号_特急 成田エクスプレス23号,特急 成田エクスプレス23号_特急 成田エクスプレス23号,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,特急 成田エクスプレス25号_特急 成田エクスプレス25号,特急 成田エクスプレス25号_特急 成田エクスプレス25号,普通_普通,普通_普通,特急 成田エクスプレス27号_特急 成田エクスプレス27号,特急 成田エクスプレス27号_特急 成田エクスプレス27号,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,特急 成田エクスプレス29号_特急 成田エクスプレス29号,特急 成田エクスプレス29号_特急 成田エクスプレス29号,特急 しおさい5号_特急 しおさい5号,普通_普通,普通_普通,特急 成田エクスプレス31号_特急 成田エクスプレス31号,特急 成田エクスプレス31号_特急 成田エクスプレス31号,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,特急 成田エクスプレス33号_特急 成田エクスプレス33号,特急 成田エクスプレス33号_特急 成田エクスプレス33号,普通_普通,特急 成田エクスプレス35号_特急 成田エクスプレス35号,特急 成田エクスプレス35号_特急 成田エクスプレス35号,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,特急 成田エクスプレス37号_特急 成田エクスプレス37号,特急 成田エクスプレス37号_特急 成田エクスプレス37号,特急 しおさい7号_特急 しおさい7号,普通_普通,普通_普通,普通_普通,特急 成田エクスプレス39号_特急 成田エクスプレス39号,特急 成田エクスプレス39号_特急 成田エクスプレス39号,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,特急 成田エクスプレス41号_特急 成田エクスプレス41号,特急 成田エクスプレス41号_特急 成田エクスプレス41号,普通_普通,普通_普通,快速_快速,快速_快速,特急 成田エクスプレス43号_特急 成田エクスプレス43号,特急 成田エクスプレス43号_特急 成田エクスプレス43号,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,特急 成田エクスプレス45号_特急 成田エクスプレス45号,特急 成田エクスプレス45号_特急 成田エクスプレス45号,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,特急 成田エクスプレス47号_特急 成田エクスプレス47号,特急 成田エクスプレス47号_特急 成田エクスプレス47号,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,特急 成田エクスプレス49号_特急 成田エクスプレス49号,特急 成田エクスプレス49号_特急 成田エクスプレス49号,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,特急 しおさい9号_特急 しおさい9号,特急 成田エクスプレス51号_特急 成田エクスプレス51号,特急 成田エクスプレス51号_特急 成田エクスプレス51号,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,特急 成田エクスプレス53号_特急 成田エクスプレス53号,特急 成田エクスプレス53号_特急 成田エクスプレス53号,特急 しおさい11号_特急 しおさい11号,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,特急 しおさい13号_特急 しおさい13号,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通
設備,,_,_,_,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車一部指定席____,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車指定席_普通車全車指定席____,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,グリーン車指定席_普通車一部指定席____,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車一部指定席____,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車一部指定席____,_,_,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車指定席_普通車一部指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車一部指定席____,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車一部指定席____,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_
運転日,,全日,全日,全日,全日,全日,全日,全日,平日,平日,全日,平日,全日,全日,平日,平日,全日,平日,平日,平日,全日,全日,全日,全日,全日,平日,全日,平日,平日,全日,全日,全日,全日,平日,平日,全日,全日,全日,全日,全日,平日,平日,平日,全日,全日,全日,全日,全日,全日,全日,全日,平日,平日,平日,全日,全日,全日,全日,全日,全日,全日,平日,平日,平日,全日,全日,全日,全日,全日,全日,全日,全日,平日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,平日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,平日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,平日,平日,全日,全日,全日,全日,平日,平日,平日,全日,全日,全日,全日,平日,平日,平日,全日,全日,全日,全日,全日,平日,平日,平日,全日,全日,全日,全日,平日,平日,平日,全日,全日,全日,全日,全日,平日,全日,全日,全日,全日,全日,全日,全日,全日,平日,平日,平日,全日,全日,全日,全日,平日,平日,全日,全日,全日,全日,全日,平日,平日,平日,全日,平日,平日,平日,全日,全日,平日,平日,全日,平日,平日,全日,平日,平日,平日,平日,全日,全日,平日,平日,平日,平日,平日,全日,全日,全日,平日,平日,平日,全日,全日
記事,,,,,,,,,,,,,,,,,,,,,,東京－成田空港間は2001M〔成田エクスプレス1号〕に併結__★_東京－成田空港間は2001M〔成田エクスプレス1号〕に併結_,,,,東京－成田空港間は2003M〔成田エクスプレス3号〕に併結__★_東京－成田空港間は2003M〔成田エクスプレス3号〕に併結_,,,,,東京－成田空港間は2005M〔成田エクスプレス5号〕に併結__★_東京－成田空港間は2005M〔成田エクスプレス5号〕に併結_,,,東京－成田空港間は2007M〔成田エクスプレス7号〕に併結__★_東京－成田空港間は2007M〔成田エクスプレス7号〕に併結_,,,,,,,,,,,,,,,,,,,,,,,,東京－成田空港間は2015M〔成田エクスプレス15号〕に併結__★_東京－成田空港間は2015M〔成田エクスプレス15号〕に併結_,,,,,,,,,,,,東京－成田空港間は2019M〔成田エクスプレス19号〕に併結__★_東京－成田空港間は2019M〔成田エクスプレス19号〕に併結_,,,,,,,,,,,東京－成田空港間は2023M〔成田エクスプレス23号〕に併結__★_東京－成田空港間は2023M〔成田エクスプレス23号〕に併結_,,,,,,,,,,,東京－成田空港間は2027M〔成田エクスプレス27号〕に併結__★_東京－成田空港間は2027M〔成田エクスプレス27号〕に併結_,,,,,,,,,,,,東京－成田空港間は2031M〔成田エクスプレス31号〕に併結__★_東京－成田空港間は2031M〔成田エクスプレス31号〕に併結_,,,,,,,,,,,東京－成田空港間は2035M〔成田エクスプレス35号〕に併結__★_東京－成田空港間は2035M〔成田エクスプレス35号〕に併結_,,,,,,,,,,,,,東京－成田空港間は2039M〔成田エクスプレス39号〕に併結__★_東京－成田空港間は2039M〔成田エクスプレス39号〕に併結_,,,,,,,,,,,,,東京－成田空港間は2043M〔成田エクスプレス43号〕に併結__★_東京－成田空港間は2043M〔成田エクスプレス43号〕に併結_,,,,,,,,,,,,,,,東京－成田空港間は2047M〔成田エクスプレス47号〕に併結__★_東京－成田空港間は2047M〔成田エクスプレス47号〕に併結_,,,,,,逗子－佐倉間は4629Fに併結__★_逗子－佐倉間は4629Fに併結_,,,,,,,,逗子－佐倉間は4783Fに併結__★_逗子－佐倉間は4783Fに併結_,,,東京－成田空港間は2051M〔成田エクスプレス51号〕に併結__★_東京－成田空港間は2051M〔成田エクスプレス51号〕に併結_,,,,,,,,,,,,,東京－成田空港間は2053M〔成田エクスプレス53号〕に併結__★_東京－成田空港間は2053M〔成田エクスプレス53号〕に併結_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前の区間,,,,,,,,,,,,,,,,,,↑,,,,,,,,↑,,,,,,,,↑,,,,,,,↑,,,,,,,,,,,↑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,↑,,,,,,,,,,,↑,,,,,,,,,,,,↑,,,,,,,,,,,↑,,,,,,,,,,,,,,,,,,,,,,,,,,↑,,,,,,,,,,,,,,,↑,,,,,,,,,,,,,,,,,↑,,,,,,,,,,,,,,↑,,,,↑,,,,,,,,↑,,,,,,,,,,,,↑,,,,,↑,,,,
始発,,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,久里浜_0447_久里浜_0447,___,___,___,___,___,___,___,八王子_0555_八王子_0555,___,___,___,___,___,___,___,八王子_0628_八王子_0628,___,___,___,___,___,___,久里浜_0637_久里浜_0637,___,___,___,___,___,___,___,___,___,___,久里浜_0749_久里浜_0749,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,久里浜_1049_久里浜_1049,___,___,___,___,___,___,___,___,___,___,久里浜_1144_久里浜_1144,___,___,___,___,___,___,___,___,___,___,___,久里浜_1244_久里浜_1244,___,___,___,___,___,___,___,___,___,___,久里浜_1344_久里浜_1344,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,久里浜_1543_久里浜_1543,___,___,___,___,___,___,___,___,___,___,___,___,___,___,久里浜_1641_久里浜_1641,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,久里浜_1741_久里浜_1741,___,___,___,___,___,___,___,___,___,___,___,___,___,久里浜_1838_久里浜_1838,___,___,___,久里浜_1914_久里浜_1914,___,___,___,___,___,___,___,久里浜_1956_久里浜_1956,___,___,___,___,___,___,___,___,___,___,___,久里浜_2035_久里浜_2035,___,___,___,___,久里浜_2133_久里浜_2133,___,___,___,___
横須賀_横須賀,発,,,,,,,,,,,,,,,,,0457,,,,,,,,・,,,,,,,,・,,,,,,,0648,,,,,,,,,,,0759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1059,,,,,,,,,,,1155,,,,,,,,,,,,1255,,,,,,,,,,,1355,,,,,,,,,,,,,,,,,,,,,,,,,,1553,,,,,,,,,,,,,,,1652,,,,,,,,,,,,,,,,,1752,,,,,,,,,,,,,,1848,,,,1924,,,,,,,,2006,,,,,,,,,,,,2045,,,,,2143,,,,
逗子_逗子,発,,,,,,,,,,,,,,,,,0511,,,,,,,,・,,,,,,,,・,,,,,,,0705,,,,,,,,,,,0814,,,,,,,,,,0908,,,,,,,,,,,1011,,,,,,,,,,,1113,,,,,,,,,,,1212,,,,,,,,,,,,1312,,,,,,,,,,,1412,,,,,,,,,,,,,,,,,,,1538,,,,,,,1610,,,,,,,,1646,,,,,,,1710,,,,,,,,1743,,,,,,,,,1810,,,,,,,,,,,,,,1907,,,,1938,,,,,,,,2026,,,2037,,,,,,2052,,,2100,,,,,2157,,,,
鎌倉_鎌倉,発,,,,,,,,,,,,,,,,,0515,,,,,,,,・,,,,,,,,・,,,,,,,0709,,,,,,,,,,,0818,,,,,,,,,,0912,,,,,,,,,,,1016,,,,,,,,,,,1117,,,,,,,,,,,1216,,,,,,,,,,,,1316,,,,,,,,,,,1416,,,,,,,,,,,,,,,,,,,1542,,,,,,,1614,,,,,,,,1650,,,,,,,1714,,,,,,,,1747,,,,,,,,,1814,,,,,,,,,,,,,,1911,,,,1942,,,,,,,,2030,,,2041,,,,,,2057,,,2104,,,,,2201,,,,
北鎌倉_北鎌倉,発,,,,,,,,,,,,,,,,,0518,,,,,,,,・,,,,,,,,・,,,,,,,0712,,,,,,,,,,,0821,,,,,,,,,,0915,,,,,,,,,,,1019,,,,,,,,,,,1120,,,,,,,,,,,1219,,,,,,,,,,,,1319,,,,,,,,,,,1419,,,,,,,,,,,,,,,,,,,1545,,,,,,,1617,,,,,,,,1653,,,,,,,1717,,,,,,,,1750,,,,,,,,,1817,,,,,,,,,,,,,,1914,,,,1945,,,,,,,,2033,,,2044,,,,,,2100,,,2107,,,,,2204,,,,
