列車番号,,220M,222M,224M,226M,3618A,618A,3646F,646F,228M,3628Y,628Y,1624M,230M,232M,3650F,650F,4284M,3784A,784A,3684A,234M,3768F,768F,236M,238M,240M,2220M,242M,1054M,1630M,244M,1056M,1632M,246M,1634M,3222M,248M,1058M,250M,1636M,252M,2224M,3074F,1074F,1638M,4010A,1010A,1640M,1060M,1060M,254M,254M,4166F,1166F,2226M,4126A,1126A,1642M,256M,258M,3228M,1062M,1062M,4230A,1230A,1644M,260M,262M,3230M,4334A,1334A,1646M,264M,9214M,266M,3232M,4420A,1420A,1064M,1064M,268M,270M,3234M,4506A,1506A,272M,9092M,4606F,1606F,1066M,274M,3236M,276M,278M,9056M,9058M,1656M,3238M,1068M,280M,282M,284M,4892F,1892F,286M,288M,1070M,3240M,4814F,1814F,290M,1662M,1072M,292M,3242M,4924F,1924F,294M,5034Y,2034Y,296M,298M,1074M,3244M,1220M,5140F,2140F,5128Y,2128Y,1222M,3246M,1224M,1226M,1228M
列車名_列車名,,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 わかしお4号_特急 わかしお4号,普通_普通,普通_普通,特急 わかしお6号_特急 わかしお6号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 わかしお8号_特急 わかしお8号,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,特急 わかしお10号_特急 わかしお10号,特急 わかしお10号_特急 わかしお10号,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,特急 わかしお12号_特急 わかしお12号,特急 わかしお12号_特急 わかしお12号,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,特急 わかしお９２号（いすみマラソン）_特急 わかしお９２号（いすみマラソン）,普通_普通,普通_普通,快速_快速,快速_快速,特急 わかしお14号_特急 わかしお14号,特急 わかしお14号_特急 わかしお14号,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,特急 かつうらひな祭り_特急 かつうらひな祭り,快速_快速,快速_快速,特急 わかしお16号_特急 わかしお16号,普通_普通,普通_普通,普通_普通,普通_普通,特急 新宿わかしお_特急 新宿わかしお,特急 新宿わかしお_特急 新宿わかしお,普通_普通,普通_普通,特急 わかしお18号_特急 わかしお18号,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,特急 わかしお20号_特急 わかしお20号,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,特急 わかしお22号_特急 わかしお22号,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 わかしお24号_特急 わかしお24号,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通
設備,,_,_,_,_,_,_,グリーン車自由席___,グリーン車自由席___,_,_,_,_,_,_,グリーン車自由席___,グリーン車自由席___,_,_,_,_,_,グリーン車自由席___,グリーン車自由席___,_,_,_,_,_,普通車一部指定席___,_,_,普通車一部指定席___,_,_,_,_,_,普通車一部指定席___,_,_,_,_,グリーン車自由席___,グリーン車自由席___,_,_,_,_,普通車一部指定席___,普通車一部指定席___,_,_,グリーン車自由席___,グリーン車自由席___,_,_,_,_,_,_,_,グリーン車指定席_普通車一部指定席____,グリーン車指定席_普通車一部指定席____,_,_,_,_,_,_,_,_,_,_,普通車全車指定席___,_,_,_,_,普通車一部指定席___,普通車一部指定席___,_,_,_,_,_,_,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,普通車一部指定席___,_,_,_,_,普通車一部指定席___,普通車一部指定席___,_,_,普通車一部指定席___,_,_,_,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車指定席_普通車一部指定席____,_,グリーン車自由席___,グリーン車自由席___,_,_,普通車一部指定席___,_,_,グリーン車自由席___,グリーン車自由席___,_,_,_,_,_,普通車一部指定席___,_,_,グリーン車自由席___,グリーン車自由席___,_,_,_,_,_,_,_
運転日,,全日,全日,全日,全日,全日,土休日,土休日,土休日,全日,全日,土休日,全日,全日,全日,全日,土休日,全日,土休日,土休日,土休日,全日,全日,土休日,全日,全日,全日,全日,全日,土休日,全日,全日,全日,全日,全日,全日,全日,全日,土休日,全日,全日,全日,全日,土休日,土休日,全日,土休日,土休日,全日,土休日,2月23～25日はこの時刻に変更__時変_2月23～25日はこの時刻に変更_,全日,2月23～25日はこの時刻に変更__時変_2月23～25日はこの時刻に変更_,土休日,土休日,全日,全日,全日,全日,全日,全日,全日,土休日,長者町停車は12月3日__臨停_長者町停車は12月3日_,土休日,土休日,全日,全日,全日,全日,土休日,土休日,全日,全日,12月3日運転__◆_12月3日運転_,全日,全日,土休日,土休日,土休日,長者町停車は12月3日__臨停_長者町停車は12月3日_,全日,全日,全日,土休日,土休日,全日,2月23～25日運転__◆_2月23～25日運転_,土休日,土休日,土休日,全日,全日,全日,全日,12月24日までの土曜・休日・1月6日～2月25日の土曜・休日と12月30・31日・1月2・3日運転__◆_12月24日までの土曜・休日・1月6日～2月25日の土曜・休日と12月30・31日・1月2・3日運転_,12月24日までの土曜・休日・1月6日～2月25日の土曜・休日と12月30・31日・1月2・3日運転__◆_12月24日までの土曜・休日・1月6日～2月25日の土曜・休日と12月30・31日・1月2・3日運転_,全日,全日,土休日,全日,全日,全日,土休日,土休日,全日,全日,土休日,全日,全日,土休日,全日,全日,土休日,全日,全日,全日,土休日,全日,土休日,土休日,全日,全日,全日,全日,全日,土休日,土休日,土休日,土休日,全日,全日,全日,全日,全日
記事,,,,,,,,,,,,,,,,,,,,,誉田－東京間は3784Aに併結__★_誉田－東京間は3784Aに併結_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前の区間,,,,,,,,,,,,,↑,,,,,,,,↑,,,,,,,,,,↑,,,↑,,↑,↑,,,,↑,,,,,↑,,,↑,,,,,,,,,,↑,,,↑,,,,,↑,,,↑,,,↑,,,,↑,,,,,,,↑,,,,,,,,,↑,,,,,↑,↑,,,,,,,,,,↑,,,,↑,,,↑,,,,,,,,,↑,,,,,,,↑,,,
始発,,___,___,___,___,___,___,___,___,___,___,___,成東_0632_成東_0632,___,___,___,___,___,___,___,成東_0651_成東_0651,___,___,___,___,___,___,___,___,___,成東_0804_成東_0804,___,___,成東_0828_成東_0828,___,成東_0902_成東_0902,館山_0716_館山_0716,___,___,___,成東_0939_成東_0939,___,___,___,___,成東_1021_成東_1021,___,___,成東_1049_成東_1049,___,___,___,___,___,___,___,___,___,成東_1148_成東_1148,___,___,木更津_0931_木更津_0931,___,___,___,___,成東_1248_成東_1248,___,___,木更津_1028_木更津_1028,___,___,成東_1349_成東_1349,___,___,___,木更津_1117_木更津_1117,___,___,___,___,___,___,木更津_1217_木更津_1217,___,___,___,___,___,___,___,___,木更津_1317_木更津_1317,___,___,___,___,成東_1713_成東_1713,木更津_1417_木更津_1417,___,___,___,___,___,___,___,___,___,木更津_1517_木更津_1517,___,___,___,成東_1908_成東_1908,___,___,木更津_1625_木更津_1625,___,___,___,___,___,___,___,___,木更津_1730_木更津_1730,___,___,___,___,___,___,木更津_1834_木更津_1834,___,___,___
安房鴨川_安房鴨川,発,,,,,,,,,0511,,,・,,,,,,,,・,,,,0600,,0629,,,,・,0714,0739,・,,・,0806,,0839,,・,,0917,,,・,,,・,,,,,,,1035,,,・,,,1120,1141,1141,,,・,,,1225,,,・,,,,1328,,,1406,1406,,,1430,,,,,,,1535,,1540,,,1620,,・,1633,1639,,,,,,,,,1742,,,,・,,,1838,,,,,,,,,1933,,,,,,,2044,2109,,
安房天津_安房天津,発,,,,,,,,,0517,,,・,,,,,,,,・,,,,0610,,0635,,,,・,0720,レ,・,,・,0811,,レ,,・,,0922,,,・,,,・,,,,,,,1040,,,・,,,1126,レ,レ,,,・,,,1230,,,・,,,,1337,,,レ,レ,,,1438,,,,,,,レ,,1549,,,レ,,・,1638,レ,,,,,,,,,1747,,,,・,,,1843,,,,,,,,,1939,,,,,,,2050,2115,,
安房小湊_安房小湊,発,,,,,,,,,0521,,,・,,,,,,,,・,,,,0614,,0640,,,,・,0725,0750,・,,・,0820,,0848,,・,,0927,,,・,,,・,,,,,,,1045,,,・,,,1130,1151,1151,,,・,,,1244,,,・,,,,1341,,,1415,1415,,,1444,,,,,,,1544,,1554,,,1629,,・,1653,1648,,,,,,,,,1754,,,,・,,,1849,,,,,,,,,1944,,,,,,,2055,2119,,
行川アイランド_行川アイランド,発,,,,,,,,,0526,,,・,,,,,,,,・,,,,0620,,0645,,,,・,0730,レ,・,,・,0826,,レ,,・,,0932,,,・,,,・,,,,,,,1050,,,・,,,1135,レ,レ,,,・,,,1249,,,・,,,,1346,,,レ,レ,,,1449,,,,,,,レ,,1559,,,レ,,・,1658,レ,,,,,,,,,1759,,,,・,,,1854,,,,,,,,,1949,,,,,,,2100,2124,,
