列車番号,,221M,515F,3515F,223M,1625M,225M,1627M,3227M,227M,2229M,229M,231M,2231M,1633M,1051M,233M,1635M,235M,237M,2233M,239M,1639M,1053M,707F,3707F,815A,3815A,3235M,1641M,241M,1055M,873F,3873F,1027A,4027A,3237M,1643M,243M,1057M,245M,1123A,4123A,3239M,1645M,247M,249M,1233A,4233A,3241M,1647M,251M,1059M,253M,1331A,4331A,1649M,3243M,255M,257M,1415A,4415A,3245M,259M,1653M,1061M,1375F,4375F,261M,263M,3247M,265M,267M,1447F,4447F,269M,2249M,271M,273M,1063M,1515F,4515F,275M,277M,1663M,3251M,279M,1725A,4725A,1065M,281M,1625F,4625F,2883A,5883A,4283M,5983A,283M,1803A,4803A,1067M,5267M,285M,2253M,287M,1755F,4755F,289M,291M,1909A,4909A,2255M,293M,1069M,295M,1949F,4949F,297M,2027A,5027A,1071M,5271M,1675M,299M,1967F,4967F,1221M,2117A,5117A,1223M,1073M,1225M,1227M,1229M,1231M,1233M
列車名_列車名,,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 わかしお1号_特急 わかしお1号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 わかしお3号_特急 わかしお3号,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,特急 わかしお5号_特急 わかしお5号,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,特急 わかしお7号_特急 わかしお7号,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,特急 わかしお9号_特急 わかしお9号,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,特急 わかしお11号_特急 わかしお11号,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,特急 わかしお13号_特急 わかしお13号,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,特急 わかしお15号_特急 わかしお15号,普通_普通,快速_快速,快速_快速,通勤快速_通勤快速,通勤快速_通勤快速,普通_普通,通勤快速_通勤快速,普通_普通,快速_快速,快速_快速,特急 わかしお17号_特急 わかしお17号,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,特急 わかしお19号_特急 わかしお19号,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,特急 わかしお21号_特急 わかしお21号,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,特急 わかしお23号_特急 わかしお23号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通
設備,,_,グリーン車自由席___,グリーン車自由席___,_,_,_,_,_,_,_,_,_,_,_,普通車一部指定席___,_,_,_,_,_,_,_,グリーン車指定席_普通車一部指定席____,グリーン車自由席___,グリーン車自由席___,_,_,_,_,_,普通車一部指定席___,グリーン車自由席___,グリーン車自由席___,_,_,_,_,_,普通車一部指定席___,_,_,_,_,_,_,_,_,_,_,_,_,普通車一部指定席___,_,_,_,_,_,_,_,_,_,_,_,_,グリーン車指定席_普通車一部指定席____,グリーン車自由席___,グリーン車自由席___,_,_,_,_,_,グリーン車自由席___,グリーン車自由席___,_,_,_,_,普通車一部指定席___,グリーン車自由席___,グリーン車自由席___,_,_,_,_,_,_,_,普通車一部指定席___,_,グリーン車自由席___,グリーン車自由席___,_,_,_,_,_,_,_,普通車一部指定席___,_,_,_,_,グリーン車自由席___,グリーン車自由席___,_,_,_,_,_,_,グリーン車指定席_普通車一部指定席____,_,グリーン車自由席___,グリーン車自由席___,_,_,_,普通車一部指定席___,_,_,_,グリーン車自由席___,グリーン車自由席___,_,_,_,_,普通車一部指定席___,_,_,_,_,_
運転日,,全日,平日,平日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,平日,全日,全日,全日,全日,全日,全日,全日,平日,平日,平日,平日,平日,全日,全日,全日,全日,平日,平日,平日,全日,全日,全日,全日,平日,全日,平日,平日,全日,全日,全日,全日,平日,平日,全日,全日,全日,平日,全日,平日,平日,全日,全日,全日,全日,平日,平日,全日,全日,全日,平日,平日,平日,全日,全日,全日,全日,全日,平日,平日,全日,全日,全日,全日,全日,平日,全日,全日,全日,全日,全日,全日,平日,平日,全日,全日,平日,全日,平日,平日,全日,平日,全日,平日,平日,全日,全日,全日,全日,全日,平日,平日,全日,全日,平日,平日,全日,全日,平日,全日,平日,平日,全日,平日,全日,全日,全日,全日,全日,平日,平日,全日,平日,全日,全日,全日,全日,全日,全日,全日,全日
記事,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東京－誉田間は5883Aに併結__★_東京－誉田間は5883Aに併結_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前の区間,,,,,,,,,,,,,,,,,,,,,,,,,↑,,,,,,,,↑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,↑,,,,,,,↑,,,,,,,↑,,,,,,,,,,,↑,,,,,,,,,,,,,,↑,,,,,,,,,,↑,,,,,,,,,↑,,,,,,,,,,,
始発,,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,久里浜_0716_久里浜_0716,___,___,___,___,___,___,___,久里浜_0815_久里浜_0815,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,逗子_1342_逗子_1342,___,___,___,___,___,___,逗子_1453_逗子_1453,___,___,___,___,___,___,逗子_1551_逗子_1551,___,___,___,___,___,___,___,___,___,___,横須賀_1638_横須賀_1638,___,___,___,___,___,___,___,___,___,___,___,___,___,横須賀_1738_横須賀_1738,___,___,___,___,___,___,___,___,___,大船_1907_大船_1907,___,___,___,___,___,___,___,___,横須賀_1945_横須賀_1945,___,___,___,___,___,___,___,___,___,___,___
新宿番線_新宿番線,,,,,,,,,,,,,,,,,,,,,,,,,・,,,,,,,,・,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,・,,,,,,,・,,,,,,,・,,,,,,,,,,,・,,,,,,,,,,,,,,・,,,,,,,,,,・,,,,,,,,,・,,,,,,,,,,,
新宿_新宿,発,,,,,,,,,,,,,,,,,,,,,,,,・,,,,,,,,・,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,・,,,,,,,・,,,,,,,・,,,,,,,,,,,・,,,,,,,,,,,,,,・,,,,,,,,,,・,,,,,,,,,・,,,,,,,,,,,
秋葉原_秋葉原,発,,,,,,,,,,,,,,,,,,,,,,,,・,,,,,,,,・,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,・,,,,,,,・,,,,,,,・,,,,,,,,,,,・,,,,,,,,,,,,,,・,,,,,,,,,,・,,,,,,,,,・,,,,,,,,,,,
両国_両国,発,,,,,,,,,,,,,,,,,,,,,,,,・,,,,,,,,・,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,・,,,,,,,・,,,,,,,・,,,,,,,,,,,・,,,,,,,,,,,,,,・,,,,,,,,,,・,,,,,,,,,・,,,,,,,,,,,
