列車番号,,1821E,2821Y,1823E,1825E,820M,1827E,4002M,822M,1829E,2823Y,4004M,1831E,2825Y,1833E,824M,420M,1835E,720M,2827Y,826M,1837E,2829Y,828M,1839E,2831Y,830M,422M,1841E,520M,832M,1843E,2833Y,2722M,424M,1845E,1847E,724M,4006M,2835Y,620M,522M,1849E,1851E,426M,4008M,2837Y,726M,428M,1853E,430M,1855E,2839Y,524M,728M,622M,834M,1857E,432M,1859E,1620M,526M,4821Y,730M,438M,1861E,2841Y,440M,1863E,1865E,732M,4823Y,528M,624M,1867E,2843Y,1622M,734M,442M,1869E,1871E,4825Y,444M,1873E,2845Y,530M,736M,626M,1875E,1877E,4827Y,446M,1879E,2847Y,448M,532M,1881E,1883E,738M,9072M,9078M,4829Y,628M,1885E,2849Y,450M,3002M,1887E,1889E,4831Y,740M,630M,1891E,2851Y,534M,452M,1893E,1895E,4833Y,1897E,632M,742M,846M,2853Y,1899E,454M,1921E,536M,2855Y,1923E,634M,1925E,2857Y,1927E,3004M,636M,744M,1929E,456M,2859Y,1931E,538M,848M,458M,3932M,1933E,2861Y,746M,460M,1935E,540M,2863Y,1937E,462M,3934M,2865Y,464M,1939E,748M,638M,1941E,2867Y,466M,542M,1943E,3936M,640M,1945E,750M,468M,2869Y,2752M,1947E,1949E,470M,850M,642M,1951E,2871Y,754M,544M,1953E,472M,2873Y,852M,1624M,1955E,756M,474M,854M,646M,856M,858M,546M,476M,860M,758M,478M,862M,648M,968M,480M
列車名_列車名,,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,特急 あかぎ2号_特急 あかぎ2号,普通_普通,普通_普通,快速_快速,特急 あかぎ4号_特急 あかぎ4号,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 あかぎ6号_特急 あかぎ6号,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 あかぎ8号_特急 あかぎ8号,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 草津・四万72号_特急 草津・四万72号,特急 ゆのたび草津・四万_特急 ゆのたび草津・四万,特別快速_特別快速,普通_普通,普通_普通,快速_快速,普通_普通,特急 草津・四万2号_特急 草津・四万2号,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,特急 草津・四万4号_特急 草津・四万4号,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速 アーバン_快速 アーバン,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速 アーバン_快速 アーバン,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速 アーバン_快速 アーバン,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通
設備,,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,_,普通車全車指定席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,_,普通車全車指定席___,グリーン車自由席___,_,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,_,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,_,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,_,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,_,普通車全車指定席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,_,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,_,_,グリーン車自由席___,_,グリーン車自由席___,_
運転日,,平日,平日,平日,平日,全日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,全日,平日,全日,平日,平日,平日,平日,平日,平日,平日,平日,全日,平日,全日,平日,平日,平日,全日,全日,平日,平日,全日,平日,平日,全日,全日,平日,平日,全日,平日,平日,全日,全日,平日,全日,平日,平日,全日,全日,全日,平日,平日,全日,平日,全日,全日,平日,全日,全日,平日,平日,全日,平日,全日,全日,平日,全日,全日,平日,平日,全日,全日,全日,平日,平日,平日,全日,平日,平日,全日,全日,全日,全日,平日,平日,全日,平日,平日,全日,全日,平日,平日,全日,12月18・25・26・29日・1月22・29日・2月5～7・13・14・19・20・26～28日運転__◆_12月18・25・26・29日・1月22・29日・2月5～7・13・14・19・20・26～28日運転_,12月27・28日・1月4・5日・2月8・9・15・16・21・22・29日運転__◆_12月27・28日・1月4・5日・2月8・9・15・16・21・22・29日運転_,平日,全日,平日,平日,全日,全日,全日,平日,平日,全日,全日,平日,平日,全日,全日,平日,平日,平日,平日,全日,全日,平日,平日,平日,全日,平日,全日,平日,平日,全日,平日,平日,平日,全日,全日,全日,平日,全日,平日,平日,全日,平日,全日,平日,平日,平日,全日,全日,平日,全日,平日,平日,全日,平日,平日,全日,平日,全日,全日,平日,平日,全日,全日,平日,平日,全日,平日,全日,全日,平日,全日,平日,平日,全日,平日,全日,平日,平日,全日,全日,平日,全日,平日,平日,全日,平日,全日,全日,平日,全日,全日,平日,全日,全日,全日,全日,全日,平日,全日,全日,全日
前の区間,,,,,,,,,,,,,,↑,,,↑,,,,,,,,↑,,,↑,,↑,↑,↑,,,↑,,,,,↑,↑,↑,,,↑,,,,↑,,↑,,,↑,,↑,,,↑,,↑,↑,,,↑,,,↑,,,,,↑,↑,,,↑,,↑,,,,↑,,,↑,,↑,,,,↑,,,↑,↑,,,,↑,↑,,↑,,,↑,↑,,,,,↑,,,↑,↑,,,,,↑,,,,,↑,,↑,,,↑,,,↑,↑,↑,,,↑,,,↑,,↑,,,,,↑,,↑,,,↑,↑,,↑,,,↑,,,↑,↑,,↑,↑,,,↑,,,,,↑,,↑,,,,↑,,↑,,,↑,,,↑,,↑,,,↑,↑,,,↑,,↑,,↑
始発,,___,___,___,___,___,___,___,___,___,___,___,___,前橋_0531_前橋_0531,___,___,桐生_0518_桐生_0518,___,___,___,___,___,___,___,前橋_0608_前橋_0608,___,___,桐生_0549_桐生_0549,___,長野原草津口_0522_長野原草津口_0522,前橋_0633_前橋_0633,前橋_0641_前橋_0641,___,___,桐生_0622_桐生_0622,___,___,___,___,前橋_0708_前橋_0708,伊勢崎_0701_伊勢崎_0701,長野原草津口_0604_長野原草津口_0604,___,___,桐生_0700_桐生_0700,___,___,___,小山_0553_小山_0553,___,小山_0630_小山_0630,___,___,万座・鹿沢口_0648_万座・鹿沢口_0648,___,伊勢崎_0809_伊勢崎_0809,___,___,小山_0659_小山_0659,___,前橋_0850_前橋_0850,大前_0717_大前_0717,___,___,桐生_0837_桐生_0837,___,___,小山_0809_小山_0809,___,___,___,___,大前_0832_大前_0832,伊勢崎_0950_伊勢崎_0950,___,___,前橋_1022_前橋_1022,___,小山_0856_小山_0856,___,___,___,小山_0927_小山_0927,___,___,長野原草津口_1008_長野原草津口_1008,___,伊勢崎_1120_伊勢崎_1120,___,___,___,小山_1011_小山_1011,___,___,小山_1102_小山_1102,大前_1050_大前_1050,___,___,___,長野原草津口_1205_長野原草津口_1205,長野原草津口_1205_長野原草津口_1205,___,伊勢崎_1250_伊勢崎_1250,___,___,小山_1202_小山_1202,長野原草津口_1307_長野原草津口_1307,___,___,___,___,伊勢崎_1350_伊勢崎_1350,___,___,万座・鹿沢口_1247_万座・鹿沢口_1247,小山_1302_小山_1302,___,___,___,___,伊勢崎_1450_伊勢崎_1450,___,___,___,___,小山_1402_小山_1402,___,長野原草津口_1421_長野原草津口_1421,___,___,伊勢崎_1545_伊勢崎_1545,___,___,前橋_1613_前橋_1613,長野原草津口_1543_長野原草津口_1543,伊勢崎_1616_伊勢崎_1616,___,___,小山_1502_小山_1502,___,___,万座・鹿沢口_1524_万座・鹿沢口_1524,___,桐生_1642_桐生_1642,___,___,___,___,小山_1602_小山_1602,___,万座・鹿沢口_1621_万座・鹿沢口_1621,___,___,桐生_1732_桐生_1732,前橋_1815_前橋_1815,___,小山_1645_小山_1645,___,___,伊勢崎_1828_伊勢崎_1828,___,___,小山_1725_小山_1725,大前_1732_大前_1732,___,前橋_1913_前橋_1913,伊勢崎_1907_伊勢崎_1907,___,___,小山_1800_小山_1800,___,___,___,___,小山_1830_小山_1830,___,伊勢崎_1959_伊勢崎_1959,___,___,___,万座・鹿沢口_1859_万座・鹿沢口_1859,___,小山_1901_小山_1901,___,___,前橋_2055_前橋_2055,___,___,小山_1932_小山_1932,___,前橋_2123_前橋_2123,___,___,大前_2011_大前_2011,小山_2006_小山_2006,___,___,小山_2040_小山_2040,___,前橋_2237_前橋_2237,___,小山_2130_小山_2130
水上_水上,発,,,,,,,,,,,,,・,,,・,,0504,,,,,,・,,,・,,・,・,・,,,・,,,0608,,・,・,・,,,・,,,0656,・,,・,,,・,0732,・,,,・,,・,・,,0823,・,,,・,,,0900,,・,・,,,・,0940,・,,,,・,,,・,1045,・,,,,・,,,・,・,,,1157,・,・,,・,,,・,・,,,,1314,・,,,・,・,,,,,・,1420,,,,・,,・,,,・,,,・,・,・,1553,,・,,,・,,・,,,,1647,・,,・,,,・,・,,・,,1745,・,,,・,・,,・,・,,1844,・,,,,,・,,・,,,1933,・,,・,,,・,,2016,・,,・,,,・,・,,2113,・,,・,,・
上牧_上牧,発,,,,,,,,,,,,,・,,,・,,0510,,,,,,・,,,・,,・,・,・,,,・,,,0614,,・,・,・,,,・,,,0702,・,,・,,,・,0738,・,,,・,,・,・,,0829,・,,,・,,,0906,,・,・,,,・,0946,・,,,,・,,,・,1051,・,,,,・,,,・,・,,,1203,・,・,,・,,,・,・,,,,1320,・,,,・,・,,,,,・,1426,,,,・,,・,,,・,,,・,・,・,1559,,・,,,・,,・,,,,1653,・,,・,,,・,・,,・,,1751,・,,,・,・,,・,・,,1850,・,,,,,・,,・,,,1939,・,,・,,,・,,2022,・,,・,,,・,・,,2119,・,,・,,・
後閑_後閑,発,,,,,,,,,,,,,・,,,・,,0516,,,,,,・,,,・,,・,・,・,,,・,,,0620,,・,・,・,,,・,,,0708,・,,・,,,・,0745,・,,,・,,・,・,,0836,・,,,・,,,0912,,・,・,,,・,0953,・,,,,・,,,・,1057,・,,,,・,,,・,・,,,1209,・,・,,・,,,・,・,,,,1327,・,,,・,・,,,,,・,1433,,,,・,,・,,,・,,,・,・,・,1605,,・,,,・,,・,,,,1659,・,,・,,,・,・,,・,,1757,・,,,・,・,,・,・,,1857,・,,,,,・,,・,,,1946,・,,・,,,・,,2028,・,,・,,,・,・,,2126,・,,・,,・
沼田_沼田,発,,,,,,,,,,,,,・,,,・,,0521,,,,,,・,,,・,,・,・,・,,,・,,,0625,,・,・,・,,,・,,,0713,・,,・,,,・,0750,・,,,・,,・,・,,0841,・,,,・,,,0917,,・,・,,,・,0958,・,,,,・,,,・,1102,・,,,,・,,,・,・,,,1215,・,・,,・,,,・,・,,,,1332,・,,,・,・,,,,,・,1438,,,,・,,・,,,・,,,・,・,・,1610,,・,,,・,,・,,,,1704,・,,・,,,・,・,,・,,1802,・,,,・,・,,・,・,,1902,・,,,,,・,,・,,,1951,・,,・,,,・,,2033,・,,・,,,・,・,,2131,・,,・,,・
岩本_岩本,発,,,,,,,,,,,,,・,,,・,,0527,,,,,,・,,,・,,・,・,・,,,・,,,0630,,・,・,・,,,・,,,0719,・,,・,,,・,0755,・,,,・,,・,・,,0846,・,,,・,,,0922,,・,・,,,・,1004,・,,,,・,,,・,1107,・,,,,・,,,・,・,,,1220,・,・,,・,,,・,・,,,,1337,・,,,・,・,,,,,・,1443,,,,・,,・,,,・,,,・,・,・,1615,,・,,,・,,・,,,,1709,・,,・,,,・,・,,・,,1808,・,,,・,・,,・,・,,1907,・,,,,,・,,・,,,1956,・,,・,,,・,,2038,・,,・,,,・,・,,2136,・,,・,,・
