列車番号,,425M,961M,429M,521M,721M,621M,1621M,431M,821M,433M,723M,435M,523M,823M,625M,725M,1820E,437M,825M,627M,1822E,1623M,727M,827M,439M,1824E,2820Y,525M,629M,1826E,1828E,1625M,729M,2822Y,441M,1830E,9791,633M,1834E,2824Y,3920E,1838E,2826Y,3031M,731M,443M,527M,1840E,1844E,635M,3922E,1846E,2828Y,3001M,445M,529M,733M,637M,1850E,4820Y,833M,1852E,2830Y,9035M,1854E,1854E,9083M,9093M,447M,531M,735M,4822Y,639M,1856E,1858E,2832Y,1860E,3003M,449M,9421,533M,4824Y,641M,9793,1862E,1864E,1864E,9091M,451M,737M,2834Y,1866E,4826Y,453M,535M,1868E,643M,739M,1870E,2836Y,455M,1872E,4828Y,457M,537M,1874E,459M,741M,1876E,2838Y,1878E,461M,4830Y,539M,1880E,645M,743M,1882E,463M,2840Y,1884E,465M,4832Y,541M,1886E,647M,845M,745M,1888E,2842Y,9835M,467M,9883M,1890E,747M,1892E,469M,4834Y,543M,649M,847M,9887M,1894E,1894E,749M,471M,849M,2844Y,1896E,2751M,1627M,851M,3931M,1898E,473M,2846Y,753M,545M,1920E,475M,1922E,4005M,2848Y,651M,1924E,3933M,2850Y,477M,2852Y,1926E,755M,479M,547M,1928E,4009M,2854Y,1930E,3935M,653M,1932E,2856Y,481M,2858Y,1934E,1936E,757M,2860Y,3937M,1938E,483M,1940E,2862Y,655M,1942E,1944E,3939M,2864Y,1946E,1948E,2868Y,859M,1950E,2870Y,861M
列車名_列車名,,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,ＳＬ快速 ＳＬぐんま伊香保1号_ＳＬ快速 ＳＬぐんま伊香保1号,普通_普通,普通_普通,快速_快速,快速 アーバン_快速 アーバン,普通_普通,快速_快速,特急 草津・四万31号_特急 草津・四万31号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速 アーバン_快速 アーバン,普通_普通,快速_快速,特急 草津・四万1号_特急 草津・四万1号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,快速_快速,特急 ゆけむり草津・四万_特急 ゆけむり草津・四万,普通_普通,普通_普通,特急 草津・四万83号_特急 草津・四万83号,特急 草津・四万93号_特急 草津・四万93号,普通_普通,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,特急 草津・四万3号_特急 草津・四万3号,普通_普通,快速 ＥＬ両毛_快速 ＥＬ両毛,普通_普通,特別快速_特別快速,普通_普通,ＳＬ快速 ＳＬぐんま伊香保3号_ＳＬ快速 ＳＬぐんま伊香保3号,普通_普通,普通_普通,普通_普通,特急 水上_特急 水上,普通_普通,普通_普通,快速_快速,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,特急 開運高尾山初詣群馬号_特急 開運高尾山初詣群馬号,普通_普通,特急 開運成田山初詣群馬号_特急 開運成田山初詣群馬号,普通_普通,普通_普通,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,特急 冬を満喫！海浜公園号_特急 冬を満喫！海浜公園号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速 アーバン_快速 アーバン,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 あかぎ5号_特急 あかぎ5号,快速_快速,普通_普通,普通_普通,快速 アーバン_快速 アーバン,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 あかぎ9号_特急 あかぎ9号,快速_快速,普通_普通,快速 アーバン_快速 アーバン,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,快速 アーバン_快速 アーバン,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速 アーバン_快速 アーバン,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通
設備,,_,グリーン車自由席___,_,_,_,_,グリーン車自由席___,_,グリーン車自由席___,_,_,_,_,グリーン車自由席___,_,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,_,グリーン車自由席___,普通車全車指定席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,_,_,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,_,_,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,普通車全車指定席___,_,_,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,_,普通車全車指定席___,_,グリーン車自由席___,_,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,_,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,_,グリーン車自由席___,_,グリーン車自由席___,普通車全車指定席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,_,_,グリーン車自由席___,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___
運転日,,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,土休日,全日,全日,全日,全日,土休日,全日,土休日,土休日,全日,全日,土休日,土休日,全日,全日,土休日,全日,土休日,2月17日運転__◆_2月17日運転_,全日,土休日,土休日,土休日,土休日,土休日,土休日,全日,全日,全日,土休日,土休日,全日,土休日,土休日,土休日,全日,全日,全日,全日,全日,土休日,土休日,土休日,土休日,土休日,1月27日運転__◆_1月27日運転_,土休日,11月23・25日・12月2・9・16・17・23・24・30日～1月3・6・7・13・20・21日・2月3・4・10～12・17・18・23～25日はこの時刻に変更__時変_11月23・25日・12月2・9・16・17・23・24・30日～1月3・6・7・13・20・21日・2月3・4・10～12・17・18・23～25日はこの時刻に変更_,11月23・25日・12月16・17・23・24・30日～1月3・6・7日・2月3・4・10～12・17・18・23～25日運転__◆_11月23・25日・12月16・17・23・24・30日～1月3・6・7日・2月3・4・10～12・17・18・23～25日運転_,12月2・9日・1月13・20・21日運転__◆_12月2・9日・1月13・20・21日運転_,全日,全日,全日,土休日,全日,土休日,土休日,土休日,土休日,全日,全日,2月23日運転__◆_2月23日運転_,全日,土休日,全日,2月17日運転__◆_2月17日運転_,土休日,土休日,12月30・31日はこの時刻に変更__時変_12月30・31日はこの時刻に変更_,12月29～31日運転__◆_12月29～31日運転_,全日,全日,土休日,土休日,全日,全日,全日,土休日,全日,全日,土休日,土休日,全日,土休日,全日,全日,全日,土休日,全日,全日,土休日,土休日,土休日,全日,全日,全日,土休日,全日,全日,土休日,全日,土休日,土休日,全日,土休日,全日,土休日,全日,土休日,全日,土休日,土休日,1月6・7日運転__◆_1月6・7日運転_,全日,1月13・14日運転__◆_1月13・14日運転_,土休日,全日,土休日,全日,土休日,全日,全日,土休日,12月23・24日運転__◆_12月23・24日運転_,土休日,12月23・24日はこの時刻に変更__時変_12月23・24日はこの時刻に変更_,全日,全日,土休日,土休日,土休日,全日,全日,土休日,土休日,土休日,全日,土休日,全日,全日,土休日,全日,土休日,全日,土休日,全日,土休日,土休日,土休日,全日,土休日,土休日,全日,全日,全日,土休日,土休日,土休日,土休日,土休日,全日,土休日,土休日,全日,土休日,土休日,土休日,全日,土休日,土休日,土休日,全日,土休日,土休日,全日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,全日,土休日,全日,全日
前の区間,,,,,,,,,,,,,,,,,,↑,,,,↑,,,,,,↑,,,↑,,,,↑,,↑,,,↑,↑,↑,↑,↑,,,,,↑,↑,,↑,↑,↑,,,,,,↑,↑,,↑,↑,↑,↑,↑,,,,,,↑,,↑,↑,↑,↑,,,,,↑,,,↑,↑,↑,,,,↑,↑,↑,,,↑,,,↑,↑,,↑,↑,,,↑,,,↑,↑,↑,,↑,,↑,,,↑,,↑,↑,,↑,,↑,,,,↑,↑,↑,,↑,↑,,↑,,↑,,,,↑,↑,↑,,,,↑,↑,,,,,↑,,↑,,,↑,,↑,,↑,,↑,,↑,,↑,↑,,,,↑,,↑,↑,,,↑,↑,,↑,↑,↑,,↑,,↑,,↑,↑,,↑,↑,,↑,↑,↑,↑,,,↑,
始発,,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,小田原_0430_小田原_0430,___,___,___,熱海_0435_熱海_0435,___,___,___,___,___,国府津_0540_国府津_0540,___,___,国府津_0556_国府津_0556,___,___,___,国府津_0613_国府津_0613,___,平塚_0645_平塚_0645,___,___,小田原_0643_小田原_0643,小田原_0657_小田原_0657,国府津_0710_国府津_0710,小田原_0706_小田原_0706,小田原_0710_小田原_0710,___,___,___,___,小田原_0730_小田原_0730,小田原_0747_小田原_0747,___,小田原_0755_小田原_0755,小田原_0817_小田原_0817,小田原_0810_小田原_0810,___,___,___,___,___,熱海_0823_熱海_0823,平塚_0909_平塚_0909,___,平塚_0936_平塚_0936,国府津_0929_国府津_0929,八王子_1041_八王子_1041,熱海_0909_熱海_0909,熱海_0909_熱海_0909,___,___,___,___,___,小田原_1004_小田原_1004,___,平塚_1014_平塚_1014,平塚_1038_平塚_1038,国府津_1032_国府津_1032,国府津_1042_国府津_1042,___,___,___,___,小田原_1104_小田原_1104,___,___,小田原_1054_小田原_1054,平塚_1140_平塚_1140,平塚_1140_平塚_1140,___,___,___,平塚_1146_平塚_1146,小田原_1137_小田原_1137,小田原_1204_小田原_1204,___,___,熱海_1134_熱海_1134,___,___,熱海_1152_熱海_1152,平塚_1245_平塚_1245,___,小田原_1239_小田原_1239,小田原_1304_小田原_1304,___,___,熱海_1231_熱海_1231,___,___,熱海_1249_熱海_1249,平塚_1345_平塚_1345,小田原_1335_小田原_1335,___,小田原_1404_小田原_1404,___,熱海_1335_熱海_1335,___,___,熱海_1348_熱海_1348,___,平塚_1445_平塚_1445,小田原_1435_小田原_1435,___,小田原_1504_小田原_1504,___,熱海_1433_熱海_1433,___,___,___,熱海_1450_熱海_1450,国府津_1532_国府津_1532,高尾_1623_高尾_1623,___,成田_1557_成田_1557,小田原_1538_小田原_1538,___,平塚_1609_平塚_1609,___,小田原_1604_小田原_1604,___,___,___,勝田_1624_勝田_1624,熱海_1549_熱海_1549,熱海_1549_熱海_1549,___,___,___,平塚_1646_平塚_1646,小田原_1636_小田原_1636,___,___,___,___,平塚_1720_平塚_1720,___,小田原_1658_小田原_1658,___,___,熱海_1646_熱海_1646,___,熱海_1707_熱海_1707,___,平塚_1745_平塚_1745,___,熱海_1730_熱海_1730,___,国府津_1753_国府津_1753,___,小田原_1800_小田原_1800,平塚_1825_平塚_1825,___,___,___,熱海_1751_熱海_1751,___,平塚_1847_平塚_1847,国府津_1838_国府津_1838,___,___,小田原_1856_小田原_1856,小田原_1850_小田原_1850,___,国府津_1917_国府津_1917,小田原_1916_小田原_1916,伊東_1844_伊東_1844,___,小田原_1944_小田原_1944,___,国府津_2003_国府津_2003,___,小田原_2016_小田原_2016,平塚_2034_平塚_2034,___,熱海_2018_熱海_2018,国府津_2057_国府津_2057,___,平塚_2112_平塚_2112,小田原_2105_小田原_2105,小田原_2130_小田原_2130,国府津_2141_国府津_2141,___,___,国府津_2215_国府津_2215,___
東京番線_東京番線,,,,,,,,,,,,,,,,,,(7),,,,(7),,,,,(7),・,,,(7),(7),,,・,,(7),,,(7),・,(7),(7),・,,,,,(8),(7),,(7),(7),・,,,,,,(7),・,,(7),・,・,(7),(7),,(8),,,,・,,(7),(7),・,(7),,,,,・,,,(7),(7),(7),,,,・,(7),・,,,(7),,,(7),・,,(7),・,,,(7),,,(7),・,(7),,・,,(7),,,(7),,・,(7),,・,,(7),,,,(7),・,・,,・,(7),,(7),,・,,,,・,(7),(7),,,,・,(7),,,,,(7),,・,,,(7),,(7),,・,,(7),,・,,・,(7),,,,(7),,・,(7),,,(7),・,,・,(7),(7),,・,,(7),,(7),・,,(7),(7),,・,(7),(7),・,,(7),・,
東京_東京,発,,,,,,,,,,,,,,,,,0553,,,,0620,,,,,0648,・,,,0718,0727,,,・,,0751,,,0811,・,0829,0839,・,,,,,0900,0916,,0921,0938,・,,,,,,1008,・,,1039,・,・,1059,1059,,1102,,,,・,,1119,1139,・,1159,,,,,・,,,1219,1239,1239,,,,・,1259,・,,,1319,,,1339,・,,1359,・,,,1419,,,1439,・,1459,,・,,1520,,,1539,,・,1559,,・,,1620,,,,1640,・,・,,・,1700,,1709,,・,,,,・,1736,1736,,,,・,1800,,,,,1818,,・,,,1831,,1846,,・,,1908,,・,,・,1927,,,,1939,,・,1957,,,2015,・,,・,2038,2059,,・,,2120,,2139,・,,2159,2209,,・,2230,2248,・,,2319,・,
上野_上野,着,,,,,,,,,,,,,,,,,0558,,,,0625,,,,,0653,・,,,0723,0731,,,・,,0755,,,0816,・,0834,0844,・,,,,,0905,0921,,0926,0943,・,,,,,,1013,・,,1044,・,・,1104,1104,,1108,,,,・,,1124,1144,・,1204,,,,,・,,,1224,1244,1244,,,,・,1304,・,,,1324,,,1344,・,,1404,・,,,1424,,,1444,・,1504,,・,,1525,,,1544,,・,1604,,・,,1625,,,,1644,・,・,,・,1704,,1713,,・,,,,・,1741,1741,,,,・,1804,,,,,1823,,・,,,1836,,1851,,・,,1913,,・,,・,1932,,,,1944,,・,2002,,,2020,・,,・,2043,2103,,・,,2125,,2144,・,,2204,2214,,・,2235,2253,・,,2324,・,
上野番線_上野番線,,,,,,,,,,(6),,,,,(7),,,(5),,(7),,(5),,,(6),,(5),・,,,(5),(5),,,・,,(5),,,(5),・,(5),(5),・,(14),,,,(5),(5),,(5),(5),・,(14),,,,,(5),・,(15),(5),・,・,(5),(5),(14),(5),,,,・,,(5),(5),・,(5),(14),,,,・,,,(5),(5),(5),(15),,,・,(5),・,,,(5),,,(5),・,,(5),・,,,(5),,,(5),・,(5),,・,,(5),,,(5),,・,(5),,・,,(5),,(14),,(5),・,・,,・,(5),,(5),,・,,,(15),・,(5),(5),,,(15),・,(5),,,(16),(16),(5),,・,,,(5),,(5),(14),・,,(5),(15),・,,・,(5),,,,(5),(14),・,(5),(16),,(5),・,,・,(5),(5),,・,(14),(5),,(5),・,,(5),(5),(14),・,(5),(5),・,(15),(5),・,(7)
上野_上野,発,,,,,,,,,0513,,,,,0543,,,0600,,0615,,0626,,,0640,,0655,・,,,0724,0733,,,・,,0757,,,0819,・,0835,0845,・,0900,,,,0906,0923,,0930,0944,・,1000,,,,,1014,・,1030,1045,・,・,1106,1106,1108,1112,,,,・,,1125,1145,・,1205,1210,,,,・,,,1227,1245,1245,1248,,,・,1305,・,,,1327,,,1345,・,,1405,・,,,1427,,,1445,・,1505,,・,,1527,,,1545,,・,1605,,・,,1627,,1632,,1645,・,・,,・,1705,,1714,,・,,,1731,・,1742,1742,,,1746,・,1805,,,1810,1822,1825,,・,,,1837,,1852,1900,・,,1915,1923,・,,・,1933,,,,1946,2000,・,2004,2019,,2022,・,,・,2044,2104,,・,2123,2126,,2145,・,,2205,2215,2223,・,2237,2254,・,2307,2325,・,2346
