列車番号,,425M,961M,429M,521M,721M,621M,1621M,431M,821M,433M,723M,435M,523M,823M,625M,725M,1820E,437M,825M,627M,1822E,1623M,727M,827M,439M,1824E,2820Y,525M,629M,829M,1826E,831M,1625M,729M,2822Y,1828E,441M,1830E,2824Y,633M,1834E,2826Y,3920E,1836E,1836E,2828Y,2828Y,731M,1838E,9071M,9077M,443M,443M,527M,1840E,3922E,635M,2830Y,1842E,1844E,3001M,445M,529M,733M,637M,1846E,4820Y,833M,1848E,2832Y,1850E,447M,531M,735M,4822Y,639M,1852E,1854E,2834Y,1856E,3003M,449M,533M,4824Y,641M,1858E,1860E,1860E,9091M,451M,737M,2836Y,1862E,4826Y,453M,535M,1864E,643M,739M,1866E,2838Y,455M,1868E,4828Y,457M,537M,1870E,459M,741M,1872E,2840Y,1874E,461M,4830Y,539M,1876E,645M,743M,1878E,463M,2842Y,1880E,465M,4832Y,541M,1882E,647M,845M,745M,1884E,2844Y,467M,1886E,747M,1888E,469M,847M,4834Y,543M,649M,849M,749M,1890E,471M,2846Y,4001M,851M,2751M,1627M,1892E,1894E,4003M,473M,753M,545M,2848Y,475M,1896E,3931M,1898E,4005M,2850Y,853M,651M,1920E,2852Y,4007M,477M,2854Y,1922E,3933M,755M,479M,547M,1924E,4009M,2856Y,1926E,855M,653M,1928E,2858Y,3935M,481M,1930E,1930E,857M,857M,8081M,2860Y,1932E,757M,2862Y,1934E,3937M,483M,1936E,655M,2864Y,2866Y,1938E,1940E,1942E,2868Y,1944E,859M,1946E,2870Y,861M
列車名_列車名,,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,快速 アーバン_快速 アーバン,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,特急 草津・四万71号_特急 草津・四万71号,特急 ゆのたび草津・四万_特急 ゆのたび草津・四万,普通_普通,普通_普通,普通_普通,普通_普通,快速 アーバン_快速 アーバン,普通_普通,快速_快速,普通_普通,普通_普通,特急 草津・四万1号_特急 草津・四万1号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,特急 草津・四万3号_特急 草津・四万3号,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,普通_普通,特急 水上_特急 水上,普通_普通,普通_普通,快速_快速,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,特急 あかぎ1号_特急 あかぎ1号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 あかぎ3号_特急 あかぎ3号,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速 アーバン_快速 アーバン,普通_普通,特急 あかぎ5号_特急 あかぎ5号,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,特急 あかぎ7号_特急 あかぎ7号,普通_普通,快速_快速,普通_普通,快速 アーバン_快速 アーバン,普通_普通,普通_普通,普通_普通,普通_普通,特急 あかぎ9号_特急 あかぎ9号,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,快速 アーバン_快速 アーバン,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 あかぎ81号_特急 あかぎ81号,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,快速 アーバン_快速 アーバン,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通
設備,,_,グリーン車自由席___,_,_,_,_,グリーン車自由席___,_,グリーン車自由席___,_,_,_,_,グリーン車自由席___,_,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,普通車全車指定席___,グリーン車指定席_普通車全車指定席____,_,_,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,_,_,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,_,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,普通車全車指定席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,_,_,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,_,グリーン車自由席___,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___
運転日,,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,平日,全日,全日,全日,全日,平日,全日,平日,平日,全日,全日,平日,平日,平日,全日,全日,平日,平日,全日,平日,平日,全日,平日,平日,平日,平日,11月24日・12月15・22・25～29日・1月4・5・12・19・22・26・29日・2月2・5～9・13～16・19～22・26～29日はこの時刻に変更__時変_11月24日・12月15・22・25～29日・1月4・5・12・19・22・26・29日・2月2・5～9・13～16・19～22・26～29日はこの時刻に変更_,平日,11月24日・12月15・22・25～29日・1月4・5・12・19・22・26・29日・2月2・5～9・13～16・19～22・26～29日はこの時刻に変更__時変_11月24日・12月15・22・25～29日・1月4・5・12・19・22・26・29日・2月2・5～9・13～16・19～22・26～29日はこの時刻に変更_,全日,平日,11月24日・12月15・22・25・26・29日・1月12・19・22・26・29日・2月2・5～7・13・14・19・20・26～28日運転__◆_11月24日・12月15・22・25・26・29日・1月12・19・22・26・29日・2月2・5～7・13・14・19・20・26～28日運転_,12月27・28日・1月4・5日・2月8・9・15・16・21・22・29日運転__◆_12月27・28日・1月4・5日・2月8・9・15・16・21・22・29日運転_,全日,11月24日・12月15・22・25～29日・1月4・5・12・19・22・26・29日・2月2・5～9・13～16・19～22・26～29日はこの時刻に変更__時変_11月24日・12月15・22・25～29日・1月4・5・12・19・22・26・29日・2月2・5～9・13～16・19～22・26～29日はこの時刻に変更_,全日,平日,平日,全日,平日,平日,平日,全日,全日,全日,全日,全日,平日,平日,平日,平日,平日,平日,全日,全日,全日,平日,全日,平日,平日,平日,平日,全日,全日,全日,平日,全日,平日,平日,12月29日はこの時刻に変更__時変_12月29日はこの時刻に変更_,12月29～31日運転__◆_12月29～31日運転_,全日,全日,平日,平日,全日,全日,全日,平日,全日,全日,平日,平日,全日,平日,全日,全日,全日,平日,全日,全日,平日,平日,平日,全日,全日,全日,平日,全日,全日,平日,全日,平日,平日,全日,平日,全日,平日,全日,平日,全日,平日,平日,全日,平日,全日,平日,全日,平日,平日,全日,全日,平日,全日,平日,全日,平日,平日,平日,全日,全日,平日,平日,平日,全日,全日,全日,平日,全日,平日,平日,平日,全日,平日,平日,全日,平日,平日,平日,全日,平日,平日,平日,全日,全日,全日,平日,平日,平日,平日,平日,全日,平日,平日,平日,全日,平日,12月1・8・14・15・21・22日・1月12・19・26日・2月2・9・16・22日はこの時刻に変更__時変_12月1・8・14・15・21・22日・1月12・19・26日・2月2・9・16・22日はこの時刻に変更_,平日,12月1・8・14・15・21・22日・1月12・19・26日・2月2・9・16・22日はこの時刻に変更__時変_12月1・8・14・15・21・22日・1月12・19・26日・2月2・9・16・22日はこの時刻に変更_,12月1・8・14・15・21・22日・1月12・19・26日・2月2・9・16・22日運転__◆_12月1・8・14・15・21・22日・1月12・19・26日・2月2・9・16・22日運転_,平日,平日,全日,平日,平日,平日,全日,平日,全日,平日,平日,平日,平日,平日,平日,平日,全日,平日,全日,全日
前の区間,,,,,,,,,,,,,,,,,,↑,,,,↑,,,,,,↑,,,,↑,,,,↑,↑,,↑,↑,,↑,↑,↑,↑,↑,↑,↑,,↑,,,,,,↑,↑,,↑,↑,↑,,,,,,↑,↑,,↑,↑,↑,,,,↑,,↑,↑,↑,↑,,,,↑,,↑,↑,↑,,,,↑,↑,↑,,,↑,,,↑,↑,,↑,↑,,,↑,,,↑,↑,↑,,↑,,↑,,,↑,,↑,↑,,↑,,↑,,,,↑,↑,,↑,,↑,,,↑,,,,,↑,,↑,,,,,↑,↑,,,,,↑,,↑,,↑,,↑,,,↑,↑,,,↑,↑,,,,,↑,,↑,↑,,,↑,↑,,,↑,↑,,,,↑,↑,,↑,↑,,,↑,,↑,↑,↑,↑,↑,↑,↑,,,↑,
始発,,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,小田原_0430_小田原_0430,___,___,___,熱海_0435_熱海_0435,___,___,___,___,___,国府津_0540_国府津_0540,___,___,___,国府津_0556_国府津_0556,___,___,___,国府津_0614_国府津_0614,平塚_0632_平塚_0632,___,国府津_0628_国府津_0628,国府津_0638_国府津_0638,___,小田原_0636_小田原_0636,小田原_0645_小田原_0645,小田原_0650_小田原_0650,国府津_0707_国府津_0707,国府津_0707_国府津_0707,小田原_0704_小田原_0704,小田原_0704_小田原_0704,___,二宮_0733_二宮_0733,___,___,___,___,___,小田原_0732_小田原_0732,小田原_0750_小田原_0750,___,平塚_0807_平塚_0807,小田原_0813_小田原_0813,小田原_0829_小田原_0829,___,___,___,___,___,熱海_0823_熱海_0823,平塚_0904_平塚_0904,___,平塚_0936_平塚_0936,平塚_0945_平塚_0945,熱海_0909_熱海_0909,___,___,___,小田原_1004_小田原_1004,___,平塚_1014_平塚_1014,平塚_1038_平塚_1038,国府津_1032_国府津_1032,小田原_1035_小田原_1035,___,___,___,小田原_1104_小田原_1104,___,小田原_1054_小田原_1054,平塚_1139_平塚_1139,平塚_1139_平塚_1139,___,___,___,平塚_1145_平塚_1145,小田原_1137_小田原_1137,小田原_1204_小田原_1204,___,___,熱海_1134_熱海_1134,___,___,熱海_1152_熱海_1152,平塚_1245_平塚_1245,___,小田原_1237_小田原_1237,小田原_1304_小田原_1304,___,___,熱海_1231_熱海_1231,___,___,熱海_1249_熱海_1249,平塚_1345_平塚_1345,小田原_1335_小田原_1335,___,小田原_1404_小田原_1404,___,熱海_1335_熱海_1335,___,___,熱海_1348_熱海_1348,___,平塚_1445_平塚_1445,小田原_1435_小田原_1435,___,小田原_1504_小田原_1504,___,熱海_1433_熱海_1433,___,___,___,熱海_1450_熱海_1450,国府津_1532_国府津_1532,___,小田原_1538_小田原_1538,___,平塚_1609_平塚_1609,___,___,小田原_1604_小田原_1604,___,___,___,___,熱海_1549_熱海_1549,___,平塚_1646_平塚_1646,___,___,___,___,小田原_1636_小田原_1636,平塚_1714_平塚_1714,___,___,___,___,小田原_1658_小田原_1658,___,熱海_1646_熱海_1646,___,熱海_1707_熱海_1707,___,平塚_1745_平塚_1745,___,___,熱海_1730_熱海_1730,国府津_1753_国府津_1753,___,___,小田原_1800_小田原_1800,平塚_1825_平塚_1825,___,___,___,___,熱海_1751_熱海_1751,___,平塚_1847_平塚_1847,国府津_1838_国府津_1838,___,___,小田原_1856_小田原_1856,小田原_1850_小田原_1850,___,___,小田原_1916_小田原_1916,小田原_1916_小田原_1916,___,___,___,国府津_1935_国府津_1935,伊東_1844_伊東_1844,___,小田原_1944_小田原_1944,平塚_2017_平塚_2017,___,___,小田原_2016_小田原_2016,___,小田原_2013_小田原_2013,国府津_2041_国府津_2041,熱海_2018_熱海_2018,国府津_2057_国府津_2057,小田原_2112_小田原_2112,平塚_2123_平塚_2123,小田原_2130_小田原_2130,___,___,国府津_2215_国府津_2215,___
東京番線_東京番線,,,,,,,,,,,,,,,,,,(7),,,,(7),,,,,(8),・,,,,(7),,,,・,(7),,(7),・,,(7),・,(7),(7),(7),・,・,,(7),,,,,,(8),(7),,・,(7),(7),,,,,,(7),・,,(7),・,(7),,,,・,,(7),(7),・,(7),,,,・,,(7),(7),(7),,,,・,(7),・,,,(7),,,(7),・,,(7),・,,,(7),,,(7),・,(7),,・,,(7),,,(7),,・,(7),,・,,(7),,,,(7),・,,(7),,(7),,,・,,,,,(7),,・,,,,,(7),(7),,,,,・,,(7),,(7),,・,,,(7),・,,,・,(7),,,,,(7),,・,(7),,,(7),・,,,(7),(7),,,,・,(7),,・,(7),,,(7),,・,・,(7),(7),(7),・,(7),,(7),・,
東京_東京,発,,,,,,,,,,,,,,,,,0553,,,,0620,,,,,0648,・,,,,0718,,,,・,0743,,0750,・,,0809,・,0825,0836,0836,・,・,,0855,,,,,,0906,0921,,・,0939,0951,,,,,,1009,・,,1039,・,1059,,,,・,,1119,1139,・,1159,,,,・,,1219,1239,1239,,,,・,1259,・,,,1319,,,1339,・,,1359,・,,,1419,,,1439,・,1459,,・,,1519,,,1539,,・,1559,,・,,1619,,,,1639,・,,1659,,1708,,,・,,,,,1737,,・,,,,,1802,1814,,,,,・,,1831,,1846,,・,,,1908,・,,,・,1927,,,,,1939,,・,1958,,,2016,・,,,2038,2038,,,,・,2059,,・,2120,,,2139,,・,・,2201,2209,2230,・,2248,,2319,・,
上野_上野,着,,,,,,,,,,,,,,,,,0558,,,,0625,,,,,0653,・,,,,0723,,,,・,0748,,0755,・,,0814,・,0830,0841,0841,・,・,,0901,,,,,,0912,0926,,・,0944,0955,,,,,,1014,・,,1044,・,1104,,,,・,,1124,1144,・,1204,,,,・,,1224,1244,1244,,,,・,1304,・,,,1324,,,1344,・,,1404,・,,,1424,,,1444,・,1504,,・,,1524,,,1544,,・,1604,,・,,1624,,,,1644,・,,1704,,1713,,,・,,,,,1742,,・,,,,,1807,1819,,,,,・,,1836,,1851,,・,,,1913,・,,,・,1932,,,,,1944,,・,2002,,,2021,・,,,2043,2043,,,,・,2104,,・,2125,,,2144,,・,・,2206,2215,2235,・,2253,,2324,・,
上野番線_上野番線,,,,,,,,,,(6),,,,,(7),,,(5),,(7),,(5),,,(6),,(5),・,,,(15),(5),(14),,,・,(5),,(6),・,,(6),・,(6),(6),(6),・,・,,(6),(16),(16),,,,(5),(5),,・,(5),(5),(14),,,,,(5),・,(15),(5),・,(5),,,,・,,(5),(5),・,(5),(14),,,・,,(5),(5),(5),(15),,,・,(5),・,,,(5),,,(5),・,,(5),・,,,(5),,,(5),・,(5),,・,,(5),,,(5),,・,(5),,・,,(5),,(15),,(5),・,,(5),,(5),,(14),・,,,(15),,(5),,・,(15),(14),,,(5),(5),(14),,,,・,,(5),(15),(5),(14),・,(15),,(5),・,(15),,・,(5),(14),,,,(5),(15),・,(5),(14),,(5),・,(15),,(5),(5),(16),(16),(15),・,(5),,・,(5),(15),,(5),,・,・,(5),(5),(5),・,(5),(15),(5),・,(7)
上野_上野,発,,,,,,,,,0513,,,,,0543,,,0600,,0612,,0626,,,0640,,0655,・,,,0711,0724,0732,,,・,0749,,0800,・,,0815,・,0831,0842,0842,・,・,,0902,0905,0905,,,,0915,0928,,・,0945,0956,1000,,,,,1015,・,1030,1045,・,1105,,,,・,,1125,1145,・,1205,1210,,,・,,1227,1245,1245,1248,,,・,1305,・,,,1327,,,1345,・,,1405,・,,,1427,,,1445,・,1505,,・,,1525,,,1545,,・,1605,,・,,1625,,1632,,1645,・,,1705,,1714,,1721,・,,,1731,,1744,,・,1800,1804,,,1809,1822,1830,,,,・,,1838,1842,1852,1900,・,1909,,1914,・,1930,,・,1933,1941,,,,1947,2000,・,2003,2014,,2024,・,2033,,2044,2044,2050,2050,2100,・,2106,,・,2126,2130,,2145,,・,・,2208,2219,2236,・,2254,2307,2325,・,2346
