列車番号,,623M,321M,625M,627M,323M,2823M,521M,631M,325M,523M,633M,525M,635M,527M,2683M,637M,327M,2521M,1520E,3620E,639M,529M,1524E,641M,2520Y,8121M,1526E,1528E,3622E,643M,2522Y,1534E,2524Y,1538E,645M,1542E,2526Y,329M,1546E,1550E,647M,2528Y,1556E,4520Y,1558E,649M,1564E,1091M,2530Y,651M,1566E,2532Y,1568E,1568E,9111M,1572E,1083M,653M,1574E,4522Y,331M,2534Y,655M,1576E,4524Y,1578E,1580E,657M,2536Y,659M,1582E,4526Y,1584E,1586E,661M,2538Y,333M,663M,1588E,8113M,4528Y,1590E,1592E,665M,335M,2540Y,1594E,667M,4530Y,1596E,1598E,669M,2542Y,671M,1620E,4532Y,1622E,1624E,673M,2544Y,675M,1626E,4534Y,677M,1628E,679M,1630E,2546Y,681M,1632E,683M,537M,4536Y,539M,1634E,1636E,685M,2548Y,1638E,687M,1640E,1642E,3551M,343M,2550Y,1644E,689M,541M,2552Y,691M,1646E,543M,693M,1648E,2554Y,3553M,345M,1650E,1652E,2556Y,695M,1654E,545M,1656E,3555M,2558Y,697M,1658E,1660E,2560Y,1662E,347M,699M,547M,1664E,3557M,2562Y,1666E,1668E,549M,551M,2564Y,1670E,1672E,2566Y,1674E,553M,1676E
列車名_列車名,,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速 ラビット_快速 ラビット,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 日光21号_特急 日光21号,普通_普通,普通_普通,快速 ラビット_快速 ラビット,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,特急 スペーシア日光1号_特急 スペーシア日光1号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 スペーシアきぬがわ11号_特急 スペーシアきぬがわ11号,普通_普通,特急 きぬがわ3号_特急 きぬがわ3号,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 きぬがわ13号_特急 きぬがわ13号,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速 ラビット_快速 ラビット,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速 ラビット_快速 ラビット,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速 ラビット_快速 ラビット,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速 ラビット_快速 ラビット,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通
設備,,_,_,_,_,_,_,グリーン車自由席___,_,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,４人用グリーン個室連結_普通車全車指定席____,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,４人用グリーン個室連結_普通車全車指定席____,グリーン車自由席___,普通車全車指定席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,_,グリーン車自由席___,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___
運転日,,全日,全日,全日,全日,全日,全日,全日,全日,全日,平日,全日,全日,全日,全日,全日,全日,全日,平日,平日,平日,全日,平日,平日,全日,平日,11月23～26日・12月29日～1月3日・2月10～12・23～25日運転__◆_11月23～26日・12月29日～1月3日・2月10～12・23～25日運転_,平日,平日,平日,全日,平日,平日,平日,平日,全日,平日,平日,全日,平日,平日,全日,平日,平日,平日,平日,全日,平日,全日,平日,全日,平日,平日,平日,11月24日・12月27～29日・1月4・5日はこの時刻に変更__時変_11月24日・12月27～29日・1月4・5日はこの時刻に変更_,11月24日・12月27～29日・1月4・5日運転__◆_11月24日・12月27～29日・1月4・5日運転_,平日,全日,全日,平日,平日,全日,平日,全日,平日,平日,平日,平日,全日,平日,全日,平日,全日,平日,平日,全日,平日,全日,全日,平日,11月26日までの土曜・休日と12月27日～1月8日・2月10～12・23～25日運転__◆_11月26日までの土曜・休日と12月27日～1月8日・2月10～12・23～25日運転_,平日,平日,平日,全日,全日,平日,平日,全日,平日,平日,平日,全日,平日,全日,平日,平日,平日,平日,全日,平日,全日,平日,平日,全日,平日,全日,平日,平日,全日,平日,全日,平日,平日,平日,平日,平日,全日,平日,平日,全日,平日,平日,平日,全日,平日,平日,全日,平日,平日,全日,平日,平日,平日,平日,平日,平日,全日,平日,平日,平日,全日,平日,平日,平日,平日,平日,全日,平日,平日,平日,平日,全日,全日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,全日,平日,全日,全日,全日
前の区間,,,,,,,,,,,,,,,,,,,,,↑,,,↑,,↑,↑,↑,↑,↑,,↑,↑,↑,↑,,↑,↑,,↑,↑,,↑,↑,↑,↑,,↑,↑,↑,,↑,↑,↑,↑,↑,↑,↑,,↑,↑,,↑,,↑,↑,↑,↑,,↑,,↑,↑,↑,↑,,↑,,,↑,↑,↑,↑,↑,,,↑,↑,,↑,↑,↑,,↑,,↑,↑,↑,↑,,↑,,↑,↑,,↑,,↑,↑,,↑,,,↑,,↑,↑,,↑,↑,,↑,↑,,,↑,↑,,,↑,,↑,,,↑,↑,,,↑,↑,↑,,↑,,↑,,↑,,,↑,↑,↑,,,,↑,,↑,↑,↑,,,↑,↑,↑,↑,↑,,
始発,,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,小田原_0521_小田原_0521,___,___,熱海_0518_熱海_0518,___,大船_0630_大船_0630,新宿_0731_新宿_0731,小田原_0558_小田原_0558,熱海_0539_熱海_0539,国府津_0621_国府津_0621,___,大船_0706_大船_0706,熱海_0604_熱海_0604,逗子_0709_逗子_0709,沼津_0552_沼津_0552,___,沼津_0606_沼津_0606,逗子_0734_逗子_0734,___,国府津_0717_国府津_0717,熱海_0649_熱海_0649,___,逗子_0746_逗子_0746,国府津_0740_国府津_0740,大船_0816_大船_0816,平塚_0801_平塚_0801,___,小田原_0805_小田原_0805,新宿_0934_新宿_0934,大船_0846_大船_0846,___,沼津_0735_沼津_0735,大船_0901_大船_0901,熱海_0810_熱海_0810,熱海_0810_熱海_0810,新宿_1004_新宿_1004,平塚_0917_平塚_0917,新宿_1031_新宿_1031,___,小田原_0900_小田原_0900,大船_0940_大船_0940,___,逗子_0934_逗子_0934,___,小田原_0916_小田原_0916,逗子_1006_逗子_1006,熱海_0926_熱海_0926,熱海_0939_熱海_0939,___,大船_1045_大船_1045,___,熱海_1001_熱海_1001,逗子_1102_逗子_1102,熱海_1018_熱海_1018,熱海_1037_熱海_1037,___,逗子_1133_逗子_1133,___,___,熱海_1104_熱海_1104,新宿_1300_新宿_1300,逗子_1203_逗子_1203,平塚_1209_平塚_1209,平塚_1228_平塚_1228,___,___,逗子_1233_逗子_1233,熱海_1206_熱海_1206,___,逗子_1303_逗子_1303,平塚_1309_平塚_1309,平塚_1325_平塚_1325,___,逗子_1333_逗子_1333,___,熱海_1310_熱海_1310,逗子_1403_逗子_1403,平塚_1408_平塚_1408,平塚_1425_平塚_1425,___,逗子_1433_逗子_1433,___,熱海_1409_熱海_1409,逗子_1503_逗子_1503,___,平塚_1509_平塚_1509,___,平塚_1529_平塚_1529,逗子_1532_逗子_1532,___,熱海_1500_熱海_1500,___,___,逗子_1602_逗子_1602,___,熱海_1526_熱海_1526,平塚_1625_平塚_1625,___,逗子_1633_逗子_1633,国府津_1630_国府津_1630,___,熱海_1606_熱海_1606,熱海_1621_熱海_1621,___,___,逗子_1700_逗子_1700,国府津_1709_国府津_1709,___,___,逗子_1731_逗子_1731,___,国府津_1727_国府津_1727,___,___,小田原_1734_小田原_1734,逗子_1801_逗子_1801,___,___,小田原_1755_小田原_1755,小田原_1809_小田原_1809,逗子_1832_逗子_1832,___,国府津_1828_国府津_1828,___,伊東_1745_伊東_1745,___,逗子_1902_逗子_1902,___,___,沼津_1808_沼津_1808,逗子_1933_逗子_1933,熱海_1855_熱海_1855,___,___,___,沼津_1903_沼津_1903,___,大船_2029_大船_2029,熱海_1942_熱海_1942,熱海_2003_熱海_2003,___,___,逗子_2112_逗子_2112,伊東_2005_伊東_2005,沼津_2038_沼津_2038,大船_2210_大船_2210,熱海_2126_熱海_2126,___,___
東京番線_東京番線,,,,,,,,,,,,,,,,,,,,(8),(7),,,(7),,・,・,(7),(7),(7),,・,(7),・,(7),,(7),・,,(8),(8),,・,(7),・,(8),,(7),・,・,,(7),・,(7),(7),・,(7),・,,(7),・,,・,,(7),・,(7),(7),,・,,(7),・,(7),(7),,・,,,(7),・,・,(7),(7),,,・,(7),,・,(7),(7),,・,,(7),・,(7),(7),,・,,(7),・,,(7),,(7),・,,(7),,,・,,(7),(7),,・,(7),,(7),(7),,,・,(7),,,・,,(7),,,(7),・,,,(7),(7),・,,(7),,(7),,・,,(8),(7),・,(7),,,,(7),,・,(7),(7),,,・,(7),(7),・,(7),,(7)
東京_東京,発,,,,,,,,,,,,,,,,,,,0630,0641,,,0707,,・,・,0730,0737,0747,,・,0801,・,0817,,0829,・,,0840,0848,,・,0902,・,0911,,0931,・,・,,0946,・,0959,0959,・,1019,・,,1031,・,,・,,1049,・,1109,1129,,・,,1149,・,1209,1229,,・,,,1249,・,・,1309,1329,,,・,1349,,・,1409,1429,,・,,1449,・,1509,1529,,・,,1549,・,,1609,,1629,・,,1649,,,・,,1719,1729,,・,1742,,1751,1807,,,・,1821,,,・,,1841,,,1858,・,,,1914,1931,・,,1947,,2006,,・,,2021,2029,・,2049,,,,2109,,・,2130,2145,,,・,2220,2240,・,2308,,2332
上野_上野,着,,,,,,,,,,,,,,,,,,,0635,0646,,,0713,,・,・,0735,0742,0753,,・,0806,・,0822,,0835,・,,0845,0853,,・,0907,・,0916,,0935,・,・,,0951,・,1004,1004,・,1024,・,,1035,・,,・,,1054,・,1114,1134,,・,,1154,・,1214,1234,,・,,,1254,・,・,1313,1334,,,・,1354,,・,1413,1434,,・,,1454,・,1514,1534,,・,,1554,・,,1614,,1634,・,,1654,,,・,,1724,1734,,・,1748,,1756,1812,,,・,1826,,,・,,1846,,,1903,・,,,1919,1936,・,,1951,,2010,,・,,2026,2034,・,2053,,,,2114,,・,2135,2150,,,・,2225,2245,・,2313,,2336
上野番線_上野番線,,,,,,,,(5),,,(6),,(5),,(6),,,,,(5),(5),,(14),(5),,・,・,(5),(5),(5),,・,(6),・,(5),,(6),・,,(6),(5),,・,(5),・,(6),,(5),・,・,,(5),・,(5),(5),・,(5),・,,(5),・,,・,,(5),・,(5),(5),,・,,(5),・,(5),(5),,・,,,(5),・,・,(5),(5),,,・,(5),,・,(5),(5),,・,,(5),・,(5),(5),,・,,(5),・,,(5),,(5),・,,(5),,(14),・,(15),(5),(5),,・,(5),,(5),(5),(15),,・,(5),,(16),・,,(5),(16),,(5),・,(14),,(5),(5),・,,(5),(16),(5),(16),・,,(5),(5),・,(5),,,(13),(5),(14),・,(5),(5),(15),(15),・,(5),(5),・,(5),(14),(5)
上野_上野,発,,,,,,,0510,,,0532,,0546,,0608,,,,,0636,0648,,0659,0716,,・,・,0737,0746,0755,,・,0810,・,0823,,0837,・,,0846,0854,,・,0908,・,0918,,0936,・,・,,0952,・,1006,1006,・,1025,・,,1036,・,,・,,1055,・,1116,1135,,・,,1155,・,1215,1235,,・,,,1255,・,・,1316,1335,,,・,1355,,・,1417,1435,,・,,1455,・,1515,1535,,・,,1555,・,,1615,,1635,・,,1655,,1700,・,1717,1725,1735,,・,1750,,1757,1813,1819,,・,1827,,1835,・,,1848,1856,,1905,・,1917,,1921,1937,・,,1952,1955,2011,2020,・,,2027,2036,・,2054,,,2103,2116,2122,・,2136,2151,2204,2216,・,2226,2246,・,2314,2328,2338
