列車番号,,1521E,1523E,520M,1525E,2521Y,620M,1527E,522M,1529E,2523Y,1531E,1533E,622M,2525Y,1535E,530M,322M,624M,532M,2527Y,1537E,626M,1539E,1541E,2529Y,534M,628M,324M,536M,630M,1545E,634M,2531Y,1547E,538M,538M,636M,9522M,1549E,326M,4521Y,638M,1551E,2533Y,1553E,640M,1555E,328M,4523Y,642M,1557E,2535Y,1559E,644M,1561E,330M,4525Y,646M,1563E,2537Y,648M,8112M,1565E,1567E,4527Y,650M,1569E,2539Y,1571E,1573E,652M,332M,4529Y,654M,1575E,2541Y,656M,1577E,1579E,4531Y,658M,1581E,2543Y,660M,1583E,8114M,9124M,1585E,334M,4533Y,662M,9727M,1587E,2545Y,1589E,1082M,1591E,664M,1593E,4535Y,666M,1595E,2547Y,668M,1597E,1599E,670M,542M,1623E,4537Y,1094M,1625E,2549Y,672M,1627E,8122M,2551Y,1629E,1631E,674M,2553Y,1635E,676M,1637E,2555Y,678M,1639E,3554M,2557Y,1641E,680M,1643E,682M,2559Y,1645E,3556M,684M,9522M,2561Y,1647E,686M,342M,688M,546M,690M,344M,692M,9526M,9526M,1649E,2563Y,3558M,1651E,1653E,548M,550M,552M,694M,554M,696M,556M,346M,698M,2544M
列車名_列車名,,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 開運成田山初詣栃木号_特急 開運成田山初詣栃木号,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,特急 きぬがわ12号_特急 きぬがわ12号,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 スペーシアきぬがわ14号_特急 スペーシアきぬがわ14号,特急 きぬがわ24号_特急 きぬがわ24号,普通_普通,普通_普通,快速_快速,普通_普通,特急 氏家雛めぐり号_特急 氏家雛めぐり号,普通_普通,普通_普通,普通_普通,特急 きぬがわ2号_特急 きぬがわ2号,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,特急 スペーシア日光4号_特急 スペーシア日光4号,普通_普通,普通_普通,普通_普通,普通_普通,特急 日光22号_特急 日光22号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速 ラビット_快速 ラビット,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速 ラビット_快速 ラビット,普通_普通,特急 ときめき足利イルミ_特急 ときめき足利イルミ,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 きらきら足利イルミ_特急 きらきら足利イルミ,特急 きらきら足利イルミ_特急 きらきら足利イルミ,普通_普通,普通_普通,快速 ラビット_快速 ラビット,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通
設備,,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,４人用グリーン個室連結_普通車全車指定席____,普通車全車指定席___,グリーン車自由席___,_,グリーン車自由席___,_,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,４人用グリーン個室連結_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,_,_,_,グリーン車自由席___,_,_,_,普通車全車指定席___,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,_,グリーン車自由席___
運転日,,土休日,土休日,土休日,土休日,土休日,全日,土休日,土休日,土休日,土休日,土休日,土休日,全日,土休日,土休日,土休日,全日,全日,土休日,土休日,土休日,全日,土休日,土休日,土休日,土休日,全日,全日,土休日,全日,土休日,全日,土休日,土休日,土休日,1月6・7日はこの時刻に変更__時変_1月6・7日はこの時刻に変更_,全日,1月6・7日運転__◆_1月6・7日運転_,土休日,全日,土休日,全日,土休日,土休日,土休日,全日,土休日,全日,土休日,全日,土休日,土休日,土休日,全日,土休日,全日,土休日,全日,土休日,土休日,全日,11月26日までの土曜・休日と12月27日～1月8日・2月10～12・23～25日運転__◆_11月26日までの土曜・休日と12月27日～1月8日・2月10～12・23～25日運転_,土休日,土休日,土休日,全日,土休日,土休日,土休日,土休日,全日,全日,土休日,全日,土休日,土休日,全日,土休日,土休日,土休日,全日,土休日,土休日,全日,土休日,11月23～26日・12月16・23・27日～1月8日の毎日と1月13日～2月25日の土曜・休日運転__◆_11月23～26日・12月16・23・27日～1月8日の毎日と1月13日～2月25日の土曜・休日運転_,12月9・10・17・24日運転__◆_12月9・10・17・24日運転_,土休日,全日,土休日,全日,2月3日運転__◆_2月3日運転_,土休日,土休日,土休日,全日,土休日,全日,土休日,土休日,全日,土休日,土休日,全日,土休日,土休日,全日,土休日,土休日,土休日,全日,土休日,土休日,全日,土休日,11月26日までの土曜・休日と12月30日～1月3日・2月10～12・23～25日運転__◆_11月26日までの土曜・休日と12月30日～1月3日・2月10～12・23～25日運転_,土休日,土休日,土休日,全日,土休日,土休日,全日,土休日,土休日,全日,土休日,土休日,土休日,土休日,全日,土休日,全日,土休日,土休日,土休日,全日,12月16・23日運転__◆_12月16・23日運転_,土休日,土休日,全日,全日,全日,土休日,土休日,全日,全日,12月16・23日・1月13・20・27日・2月10・11日運転__◆_12月16・23日・1月13・20・27日・2月10・11日運転_,11月26日運転__◆_11月26日運転_,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,全日,土休日,全日,土休日,全日,全日,全日
前の区間,,,,,,,,,,,,,,,,,,↑,,,,,,,,,,,↑,,,,,,,,,,,,↑,,,,,,,,↑,,,,,,,,↑,,,,,,↑,,,,,,,,,,↑,,,,,,,,,,,,,,↑,↑,,↑,,,,,,,↑,,,,,,,,,,,,,,,↑,,,,,↑,,,,,,,,,,,,,,,,,,,,,,↑,,,,↑,,,,↑,,↑,↑,,,,,,,,,,,,,↑,,
始発,,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,烏山_0540_烏山_0540,___,___,___,___,___,___,___,___,___,___,烏山_0637_烏山_0637,___,___,___,___,___,___,___,___,___,___,___,烏山_0731_烏山_0731,___,___,___,___,___,___,___,烏山_0826_烏山_0826,___,___,___,___,___,___,___,烏山_0939_烏山_0939,___,___,___,___,___,鬼怒川温泉_1039_鬼怒川温泉_1039,___,___,___,___,___,___,___,___,___,烏山_1139_烏山_1139,___,___,___,___,___,___,___,___,___,___,___,___,___,鬼怒川温泉_1340_鬼怒川温泉_1340,鬼怒川温泉_1340_鬼怒川温泉_1340,___,烏山_1339_烏山_1339,___,___,___,___,___,___,鬼怒川温泉_1455_鬼怒川温泉_1455,___,___,___,___,___,___,___,___,___,___,___,___,___,___,東武日光_1639_東武日光_1639,___,___,___,___,東武日光_1702_東武日光_1702,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,足利_1925_足利_1925,___,___,___,烏山_1920_烏山_1920,___,___,___,烏山_2017_烏山_2017,___,足利_1958_足利_1958,足利_1958_足利_1958,___,___,___,___,___,___,___,___,___,___,___,___,烏山_2135_烏山_2135,___,___
黒磯_黒磯,発,,,,,,,,,,,,,0527,,,,・,0553,,,,0617,,,,,0631,・,,0649,,0708,,,,,0732,,,・,,0757,,,,0816,,・,,0847,,,,0915,,・,,0948,,,1021,・,,,,1048,,,,,1123,・,,1146,,,1223,,,,1248,,,1321,,・,・,,・,,1347,,,,,・,,1423,,,1445,,,1514,,,1542,,,,・,,,1616,,・,,,,1647,,,1715,,,1743,,,,,1815,,1834,,,,1900,・,,,1913,・,1936,,2000,・,2029,・,・,,,,,,,,,2053,,2116,,・,2151,
那須塩原_那須塩原,発,,,,,,,,,,,,,0533,,,,・,0558,,,,0623,,,,,0637,・,,0655,,0713,,,,,0738,,,・,,0803,,,,0822,,・,,0853,,,,0921,,・,,0954,,,1027,・,,,,1054,,,,,1129,・,,1152,,,1229,,,,1254,,,1327,,・,・,,・,,1353,,,,,・,,1429,,,1451,,,1520,,,1548,,,,・,,,1622,,・,,,,1653,,,1721,,,1749,,,,,1821,,1840,,,,1905,・,,,1919,・,1942,,2006,・,2035,・,・,,,,,,,,,2059,,2122,,・,2156,
西那須野_西那須野,発,,,,,,,,,,,,,0538,,,,・,0604,,,,0628,,,,,0642,・,,0701,,0719,,,,,0743,,,・,,0808,,,,0827,,・,,0859,,,,0926,,・,,0959,,,1032,・,,,,1059,,,,,1134,・,,1158,,,1234,,,,1259,,,1332,,・,・,,・,,1358,,,,,・,,1434,,,1456,,,1525,,,1553,,,,・,,,1628,,・,,,,1658,,,1726,,,1754,,,,,1826,,1845,,,,1910,・,,,1924,・,1947,,2011,・,2040,・,・,,,,,,,,,2105,,2127,,・,2202,
野崎_野崎,発,,,,,,,,,,,,,0543,,,,・,0609,,,,0633,,,,,0647,・,,0706,,0724,,,,,0748,,,・,,0813,,,,0832,,・,,0903,,,,0931,,・,,1004,,,1037,・,,,,1104,,,,,1139,・,,1203,,,1239,,,,1304,,,1337,,・,・,,・,,1403,,,,,・,,1439,,,1501,,,1530,,,1558,,,,・,,,1632,,・,,,,1703,,,1731,,,1759,,,,,1831,,1850,,,,1915,・,,,1929,・,1952,,2016,・,2045,・,・,,,,,,,,,2109,,2132,,・,2207,
矢板_矢板,発,,,,,,,,,,,,,0548,,,,・,0614,,,,0638,,,,,0652,・,,0711,,0729,,,,,0753,,,・,,0818,,,,0837,,・,,0908,,,,0936,,・,,1009,,,1042,・,,,,1109,,,,,1144,・,,1208,,,1244,,,,1309,,,1342,,・,・,,・,,1408,,,,,・,,1444,,,1506,,,1535,,,1603,,,,・,,,1637,,・,,,,1708,,,1736,,,1804,,,,,1836,,1855,,,,1920,・,,,1934,・,1957,,2021,・,2050,・,・,,,,,,,,,2114,,2143,,・,2211,
