列車番号,,1521E,1523E,520M,1525E,2521Y,620M,1527E,522M,1529E,2523Y,1531E,1531E,524M,2525Y,1533E,1535E,622M,2527Y,1537E,2529Y,322M,624M,1539E,2531Y,532M,1541E,1543E,626M,1545E,628M,324M,2533Y,1547E,630M,1549E,632M,634M,2535Y,1551E,538M,2537Y,636M,326M,1553E,638M,2539Y,1557E,640M,1559E,328M,4521Y,642M,1561E,2541Y,1563E,644M,1565E,330M,4523Y,646M,1567E,2543Y,648M,8112M,1569E,1571E,4525Y,650M,1573E,2545Y,1575E,652M,1577E,332M,4527Y,654M,1579E,2547Y,656M,1581E,1583E,4529Y,658M,1585E,2549Y,660M,1587E,8114M,1589E,334M,4531Y,662M,1591E,2551Y,1593E,1082M,540M,664M,1597E,4533Y,666M,1599E,2553Y,668M,1621E,1623E,542M,670M,1627E,1629E,4535Y,1094M,1631E,2555Y,672M,1635E,9122M,1637E,2557Y,544M,674M,1643E,2559Y,676M,1645E,2561Y,678M,1647E,3554M,2563Y,1649E,680M,1651E,682M,2565Y,1653E,3556M,684M,2567Y,1655E,686M,342M,688M,546M,690M,344M,692M,1657E,2569Y,3558M,1659E,1661E,548M,550M,552M,694M,554M,696M,556M,346M,698M,2544M
列車名_列車名,,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,特急 きぬがわ12号_特急 きぬがわ12号,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 スペーシアきぬがわ14号_特急 スペーシアきぬがわ14号,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,特急 きぬがわ2号_特急 きぬがわ2号,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,特急 スペーシア日光4号_特急 スペーシア日光4号,普通_普通,普通_普通,普通_普通,普通_普通,特急 日光22号_特急 日光22号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速 ラビット_快速 ラビット,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速 ラビット_快速 ラビット,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速 ラビット_快速 ラビット,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通
設備,,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,４人用グリーン個室連結_普通車全車指定席____,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,４人用グリーン個室連結_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,_,_,グリーン車自由席___,_,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,_,_,グリーン車自由席___
運転日,,平日,平日,平日,平日,平日,全日,平日,平日,平日,平日,平日,2月19～22日はこの時刻に変更__時変_2月19～22日はこの時刻に変更_,平日,平日,平日,平日,全日,平日,平日,平日,全日,全日,平日,平日,平日,平日,平日,全日,平日,全日,全日,平日,平日,全日,平日,平日,全日,平日,平日,平日,平日,全日,全日,平日,全日,平日,平日,全日,平日,全日,平日,全日,平日,平日,平日,全日,平日,全日,平日,全日,平日,平日,全日,11月26日までの土曜・休日と12月27日～1月8日・2月10～12・23～25日運転__◆_11月26日までの土曜・休日と12月27日～1月8日・2月10～12・23～25日運転_,平日,平日,平日,全日,平日,平日,平日,全日,平日,全日,平日,全日,平日,平日,全日,平日,平日,平日,全日,平日,平日,全日,平日,11月23～26日・12月16・23・27日～1月8日の毎日と1月13日～2月25日の土曜・休日運転__◆_11月23～26日・12月16・23・27日～1月8日の毎日と1月13日～2月25日の土曜・休日運転_,平日,全日,平日,全日,平日,平日,平日,全日,平日,全日,平日,平日,全日,平日,平日,全日,平日,平日,平日,全日,平日,平日,平日,全日,平日,平日,全日,平日,11月24日・12月29日運転__◆_11月24日・12月29日運転_,平日,平日,平日,全日,平日,平日,全日,平日,平日,全日,平日,平日,平日,平日,全日,平日,全日,平日,平日,平日,全日,平日,平日,全日,全日,全日,平日,平日,全日,全日,平日,平日,平日,平日,平日,平日,平日,平日,全日,平日,全日,平日,全日,全日,全日
前の区間,,,,,,,,,,,,,,,,,,,,,,↑,,,,,,,,,,↑,,,,,,,,,,,,↑,,,,,,,↑,,,,,,,,↑,,,,,,↑,,,,,,,,,,↑,,,,,,,,,,,,,,↑,,↑,,,,,,↑,,,,,,,,,,,,,,,,↑,,,,,↑,,,,,,,,,,,,,,,,,,,,,,,,,↑,,,,↑,,,,,,,,,,,,,,↑,,
始発,,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,烏山_0540_烏山_0540,___,___,___,___,___,___,___,___,___,烏山_0637_烏山_0637,___,___,___,___,___,___,___,___,___,___,___,烏山_0731_烏山_0731,___,___,___,___,___,___,烏山_0826_烏山_0826,___,___,___,___,___,___,___,烏山_0939_烏山_0939,___,___,___,___,___,鬼怒川温泉_1039_鬼怒川温泉_1039,___,___,___,___,___,___,___,___,___,烏山_1139_烏山_1139,___,___,___,___,___,___,___,___,___,___,___,___,___,鬼怒川温泉_1340_鬼怒川温泉_1340,___,烏山_1339_烏山_1339,___,___,___,___,___,鬼怒川温泉_1455_鬼怒川温泉_1455,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,東武日光_1639_東武日光_1639,___,___,___,___,東武日光_1702_東武日光_1702,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,烏山_1920_烏山_1920,___,___,___,烏山_2017_烏山_2017,___,___,___,___,___,___,___,___,___,___,___,___,___,烏山_2135_烏山_2135,___,___
黒磯_黒磯,発,,,,,,,,,,,,,,,,,0527,,,,・,0553,,,,,,0617,,0631,・,,,0649,,,0708,,,,,0732,・,,0757,,,0816,,・,,0847,,,,0915,,・,,0948,,,1021,・,,,,1048,,,,1123,,・,,1146,,,1223,,,,1248,,,1321,,・,,・,,1347,,,,・,,1423,,,1445,,,1514,,,,1542,,,,・,,,1616,,・,,,,1647,,,1715,,,1743,,,,,1815,,1834,,,,1900,,,1913,・,1936,,2000,・,2029,,,,,,,,,2053,,2116,,・,2151,
那須塩原_那須塩原,発,,,,,,,,,,,,,,,,,0533,,,,・,0558,,,,,,0623,,0637,・,,,0655,,,0713,,,,,0738,・,,0803,,,0822,,・,,0853,,,,0921,,・,,0954,,,1027,・,,,,1054,,,,1129,,・,,1152,,,1229,,,,1254,,,1327,,・,,・,,1353,,,,・,,1429,,,1451,,,1520,,,,1548,,,,・,,,1622,,・,,,,1653,,,1721,,,1749,,,,,1821,,1840,,,,1905,,,1919,・,1942,,2006,・,2035,,,,,,,,,2059,,2122,,・,2156,
西那須野_西那須野,発,,,,,,,,,,,,,,,,,0538,,,,・,0604,,,,,,0628,,0642,・,,,0701,,,0719,,,,,0743,・,,0808,,,0827,,・,,0859,,,,0926,,・,,0959,,,1032,・,,,,1059,,,,1134,,・,,1158,,,1234,,,,1259,,,1332,,・,,・,,1358,,,,・,,1434,,,1456,,,1525,,,,1553,,,,・,,,1628,,・,,,,1658,,,1726,,,1754,,,,,1826,,1845,,,,1910,,,1924,・,1947,,2011,・,2040,,,,,,,,,2105,,2127,,・,2202,
野崎_野崎,発,,,,,,,,,,,,,,,,,0543,,,,・,0609,,,,,,0633,,0647,・,,,0706,,,0724,,,,,0748,・,,0813,,,0832,,・,,0903,,,,0931,,・,,1004,,,1037,・,,,,1104,,,,1139,,・,,1203,,,1239,,,,1304,,,1337,,・,,・,,1403,,,,・,,1439,,,1501,,,1530,,,,1558,,,,・,,,1632,,・,,,,1703,,,1731,,,1759,,,,,1831,,1850,,,,1915,,,1929,・,1952,,2016,・,2045,,,,,,,,,2109,,2132,,・,2207,
矢板_矢板,発,,,,,,,,,,,,,,,,,0548,,,,・,0614,,,,,,0638,,0652,・,,,0711,,,0729,,,,,0753,・,,0818,,,0837,,・,,0908,,,,0936,,・,,1009,,,1042,・,,,,1109,,,,1144,,・,,1208,,,1244,,,,1309,,,1342,,・,,・,,1408,,,,・,,1444,,,1506,,,1535,,,,1603,,,,・,,,1637,,・,,,,1708,,,1736,,,1804,,,,,1836,,1855,,,,1920,,,1934,・,1957,,2021,・,2050,,,,,,,,,2114,,2143,,・,2211,
