列車番号,,1820E,1822E,3620E,2820Y,1524E,1826E,1622M,1526E,2822Y,1528E,1530E,1830E,3622E,1532E,624,1624M,1534E,1834E,1536E,1540E,2824Y,3920E,1544E,626,1838E,2826Y,1626M,1548E,1550E,702,1840E,1556E,1558E,1844E,3922E,1564E,5628M,2828Y,1846E,1566E,630,5630M,1568E,1850E,4820Y,1570E,632,1572E,1632M,1574E,1852E,330M,2830Y,1576E,1854E,634,1634M,1578E,1856E,4822Y,1580E,636,1858E,2832Y,5636M,1582E,1860E,1584E,1862E,4824Y,1586E,5638M,1864E,2834Y,1588E,1866E,5640M,3024M,1590E,1868E,4826Y,1592E,1870E,2836Y,5642M,1594E,1872E,1596E,1874E,644,4828Y,1598E,5644M,1876E,8026M,2838Y,1620E,1878E,5646M,3028M,4028M,1622E,1880E,4830Y,1624E,1882E,8054M,9032M,9062M,2840Y,1626E,1884E,5648M,3030M,1628E,1886E,4832Y,1630E,5650M,1888E,2842Y,1632E,8032M,8082M,1890E,1892E,5652M,8068M,9068M,1634E,3002M,4834Y,1636E,5654M,1894E,8034M,9034M,1638E,2844Y,1640E,1896E,5656M,1642E,3036M,4036M,2846Y,1898E,1644E,1644E,1920E,1658M,8056M,1646E,2848Y,1922E,5660M,8098M,9098M,1648E,2850Y,1924E,1650E,2852Y,1926E,1652E,5662M,1928E,704,8004M,1654E,2854Y,1930E,1930E,1656E,8060M,8060M,2856Y,1932E,1660E,1664M,2858Y,1934E,1662E,706,1936E,2860Y,1664E,666,1938E,1666M,1666E,2862Y,1940E,1668E,5668M,1942E,1944E,2864Y,1670E,1946E,1672E,670,1670M,1948E,2868Y,1674E,722M,1672M,724M,2870Y,726M,728M,710,520M,1674M,730M,732M,676,1676M,734M,604,9012M,5032M,5032M
列車名_列車名,,普通_普通,普通_普通,快速 ラビット_快速 ラビット,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速 ラビット_快速 ラビット,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,快速 アーバン_快速 アーバン,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速 アーバン_快速 アーバン,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,特急 踊り子4号_特急 踊り子4号,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,特急 踊り子6号_特急 踊り子6号,快速_快速,普通_普通,普通_普通,普通_普通,特急 踊り子8号_特急 踊り子8号,特急 踊り子8号_特急 踊り子8号,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,特急 踊り子54号_特急 踊り子54号,特急 湘南国際マラソン2号_特急 湘南国際マラソン2号,特急 「１８５」_特急 「１８５」,快速_快速,普通_普通,普通_普通,普通_普通,特急 踊り子10号_特急 踊り子10号,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,特急 踊り子12号_特急 踊り子12号,特急 踊り子12号_特急 踊り子12号,普通_普通,普通_普通,普通_普通,特急 鎌倉_特急 鎌倉,特急 武蔵野線５０周年鎌倉号_特急 武蔵野線５０周年鎌倉号,普通_普通,特急 サフィール踊り子2号_特急 サフィール踊り子2号,特別快速_特別快速,普通_普通,普通_普通,普通_普通,特急 踊り子14号_特急 踊り子14号,特急 湘南国際マラソン4号_特急 湘南国際マラソン4号,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,特急 踊り子16号_特急 踊り子16号,特急 踊り子16号_特急 踊り子16号,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 踊り子56号_特急 踊り子56号,普通_普通,快速_快速,普通_普通,普通_普通,特急 踊り子18号_特急 踊り子18号,特急 下田水仙まつり号_特急 下田水仙まつり号,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 サフィール踊り子4号_特急 サフィール踊り子4号,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,特急 踊り子60号_特急 踊り子60号,特急 踊り子60号_特急 踊り子60号,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,寝台特急 サンライズ出雲92号_寝台特急 サンライズ出雲92号,寝台特急 サンライズ出雲_寝台特急 サンライズ出雲,寝台特急 サンライズ瀬戸_寝台特急 サンライズ瀬戸
設備,,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車指定席_普通車全車指定席____,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,_,普通車全車指定席___,普通車全車指定席___,グリーン車自由席___,プレミアムグリーン_グリーン車指定席_６人用グリーン個室連結_４人用グリーン個室連結______,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,プレミアムグリーン_グリーン車指定席_６人用グリーン個室連結_４人用グリーン個室連結______,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,_,Ａ寝台１人個室_Ｂ寝台１人個室_Ｂ寝台２人個室_普通車全車指定席______,Ａ寝台１人個室_Ｂ寝台１人個室_Ｂ寝台２人個室_普通車全車指定席______,Ａ寝台１人個室_Ｂ寝台１人個室_Ｂ寝台２人個室_普通車全車指定席______
運転日,,全日,全日,土休日,土休日,土休日,土休日,全日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,全日,全日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,全日,土休日,土休日,全日,土休日,土休日,全日,土休日,土休日,土休日,土休日,土休日,土休日,全日,土休日,土休日,土休日,全日,全日,土休日,土休日,土休日,土休日,全日,土休日,全日,土休日,土休日,全日,土休日,土休日,土休日,全日,全日,土休日,土休日,土休日,土休日,全日,土休日,土休日,全日,土休日,土休日,土休日,土休日,土休日,土休日,全日,土休日,土休日,土休日,土休日,全日,全日,土休日,土休日,全日,土休日,土休日,土休日,全日,土休日,土休日,土休日,土休日,全日,全日,土休日,全日,土休日,12月30日～1月3・6・8日・2月10～12・17・18・23～25日運転__◆_12月30日～1月3・6・8日・2月10～12・17・18・23～25日運転_,土休日,土休日,土休日,全日,全日,全日,土休日,土休日,全日,土休日,土休日,12月29日と2月10～25日の土曜・休日運転__◆_12月29日と2月10～25日の土曜・休日運転_,12月3日運転__◆_12月3日運転_,12月9・17日・1月14・28日運転__◆_12月9・17日・1月14・28日運転_,土休日,土休日,土休日,全日,全日,土休日,土休日,土休日,土休日,全日,土休日,土休日,土休日,2月25日までの土曜・休日と12月29日～1月3日運転__◆_2月25日までの土曜・休日と12月29日～1月3日運転_,2月25日までの土曜・休日と12月30日～1月3日運転__◆_2月25日までの土曜・休日と12月30日～1月3日運転_,土休日,土休日,全日,11月23日・12月2・9日・1月6・7・13・20・27日・2月3・10・11・17・23・24日運転__◆_11月23日・12月2・9日・1月6・7・13・20・27日・2月3・10・11・17・23・24日運転_,11月25日運転__◆_11月25日運転_,土休日,全日,土休日,土休日,全日,土休日,11月25・26日・12月28・30日～1月3・6～8・13・14・20・21・27・28日の毎日と2月3～25日の土曜・休日運転__◆_11月25・26日・12月28・30日～1月3・6～8・13・14・20・21・27・28日の毎日と2月3～25日の土曜・休日運転_,12月3日運転__◆_12月3日運転_,土休日,土休日,土休日,土休日,全日,土休日,全日,全日,土休日,土休日,土休日,2月10～25日の土曜・休日はこの時刻に変更__時変_2月10～25日の土曜・休日はこの時刻に変更_,土休日,全日,2月10～25日の土曜・休日運転__◆_2月10～25日の土曜・休日運転_,土休日,土休日,土休日,全日,1月14日までの土曜・休日・1月27日～2月25日の土曜・休日と12月30日～1月3日運転__◆_1月14日までの土曜・休日・1月27日～2月25日の土曜・休日と12月30日～1月3日運転_,1月20・21日運転__◆_1月20・21日運転_,土休日,土休日,土休日,土休日,土休日,土休日,土休日,全日,土休日,全日,11月20～27・30日～12月4・7～11・14～18・21日～1月8・11～15・18～22・25～29日・2月1～5・8～12・15～29日運転__◆_11月20～27・30日～12月4・7～11・14～18・21日～1月8・11～15・18～22・25～29日・2月1～5・8～12・15～29日運転_,土休日,土休日,土休日,12月30日～1月3日・2月10～12・17・18・23～25日はこの時刻に変更__時変_12月30日～1月3日・2月10～12・17・18・23～25日はこの時刻に変更_,土休日,12月30日～1月3日運転__◆_12月30日～1月3日運転_,12月28・29日・2月10～12・17～25日運転__◆_12月28・29日・2月10～12・17～25日運転_,土休日,土休日,土休日,全日,土休日,土休日,土休日,全日,土休日,土休日,土休日,全日,土休日,全日,土休日,土休日,土休日,土休日,全日,土休日,土休日,土休日,土休日,土休日,全日,全日,全日,土休日,土休日,全日,土休日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,12月28日・1月3日運転__◆_12月28日・1月3日運転_,全日,全日
記事,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,熱海－東京間は3028M〔踊り子8号〕に併結__★_熱海－東京間は3028M〔踊り子8号〕に併結_,,,,,,,,,,,,,,,,,,,,,,,熱海－東京間は8032M〔踊り子12号〕に併結__★_熱海－東京間は8032M〔踊り子12号〕に併結_,,,,,,,,,,,,,,,,,,,,,熱海－東京間は3036M〔踊り子16号〕に併結__★_熱海－東京間は3036M〔踊り子16号〕に併結_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前の区間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
始発,,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,沼津_0552_沼津_0552,___,___,沼津_0606_沼津_0606,___,___,___,___,___,___,___,___,沼津_0632_沼津_0632,___,___,___,___,___,___,沼津_0700_沼津_0700,___,___,___,沼津_0735_沼津_0735,___,___,___,___,___,___,___,___,___,___,___,沼津_0829_沼津_0829,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,修善寺_1235_修善寺_1235,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,修善寺_1418_修善寺_1418,___,___,___,鎌倉_1623_鎌倉_1623,鎌倉_1623_鎌倉_1623,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,修善寺_1539_修善寺_1539,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,沼津_1808_沼津_1808,___,___,___,___,___,___,___,沼津_1903_沼津_1903,___,___,___,___,___,___,___,___,___,___,___,___,___,沼津_2038_沼津_2038,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,出雲市_1437_出雲市_1437,出雲市_1855_出雲市_1855,高松_2126_高松_2126
伊豆急下田_伊豆急下田,発,,,,,,,,,,,,,,,,,・,,,・,,,,,,,,,・,0538,,,,,,・,0607,,,・,0634,,,,,,0701,,,,,・,,,,0743,,,,,,0823,,,,,,,,,,0903,,,,,0940,1009,,,,,,,1016,,,,,1101,,,,,1132,,,,1140,1205,・,,,,,,1231,,,,,,1213,1302,,,,,1309,,,,1342,・,,,,・,・,,1418,,,1350,,1434,,,,,,1442,,1508,・,,,,,,,1524,,,,1536,1601,1601,,,,,,,,,,1627,1639,,,,,,1654,1654,,,・,,,,,1719,,,・,1758,,,,,,,1831,,,,,,・,1922,,,,,,,,,,,2024,,,,,2124,,,2228,・,・,・
蓮台寺_蓮台寺,発,,,,,,,,,,,,,,,,,・,,,・,,,,,,,,,・,0542,,,,,,・,0611,,,・,0638,,,,,,0705,,,,,・,,,,0746,,,,,,0826,,,,,,,,,,0907,,,,,0944,レ,,,,,,,1020,,,,,1105,,,,,レ,,,,1145,レ,・,,,,,,レ,,,,,,1217,レ,,,,,1313,,,,レ,・,,,,・,・,,レ,,,1353,,レ,,,,,,1446,,レ,・,,,,,,,レ,,,,1541,レ,レ,,,,,,,,,,1630,レ,,,,,,レ,レ,,,・,,,,,1723,,,・,1802,,,,,,,1835,,,,,,・,1926,,,,,,,,,,,2028,,,,,2128,,,2232,・,・,・
稲梓_稲梓,発,,,,,,,,,,,,,,,,,・,,,・,,,,,,,,,・,0547,,,,,,・,0615,,,・,0642,,,,,,0709,,,,,・,,,,0751,,,,,,0830,,,,,,,,,,0912,,,,,0949,レ,,,,,,,1025,,,,,1110,,,,,レ,,,,1149,レ,・,,,,,,レ,,,,,,1222,レ,,,,,1323,,,,レ,・,,,,・,・,,レ,,,1359,,レ,,,,,,1450,,レ,・,,,,,,,レ,,,,1544,レ,レ,,,,,,,,,,1633,レ,,,,,,レ,レ,,,・,,,,,1728,,,・,1808,,,,,,,1840,,,,,,・,1931,,,,,,,,,,,2033,,,,,2132,,,2236,・,・,・
河津_河津,発,,,,,,,,,,,,,,,,,・,,,・,,,,,,,,,・,0554,,,,,,・,0621,,,・,0648,,,,,,0716,,,,,・,,,,0757,,,,,,0837,,,,,,,,,,0919,,,,,0956,1020,,,,,,,1031,,,,,1116,,,,,1147,,,,1159,1217,・,,,,,,1249,,,,,,1230,1318,,,,,1329,,,,1353,・,,,,・,・,,1431,,,1406,,1448,,,,,,1456,,1521,・,,,,,,,1544,,,,1550,1614,1614,,,,,,,,,,1640,1652,,,,,,1706,1706,,,・,,,,,1735,,,・,1815,,,,,,,1847,,,,,,・,1938,,,,,,,,,,,2040,,,,,2140,,,2244,・,・,・
