列車番号,,1820E,1822E,3620E,2820Y,1524E,1826E,1622M,1526E,3072M,2822Y,1528E,1828E,3622E,3074M,1830E,1532E,1534E,2824Y,3092M,624,1832E,1624M,1834E,1536E,1538E,3076M,1540E,2826Y,3920E,1542E,3078M,1544E,1836E,2828Y,626,3094M,1546E,1548E,1626M,1550E,1552E,3080M,1838E,1554E,702,1556E,1840E,1558E,1560E,3096M,2830Y,3922E,3082M,1562E,1564E,5628M,1842E,3084M,1566E,630,5630M,1844E,1568E,4820Y,1846E,632,1572E,1632M,1574E,1848E,330M,2832Y,1576E,1850E,634,1634M,1578E,1852E,4822Y,1580E,636,1854E,2834Y,5636M,1582E,1856E,1584E,1858E,4824Y,1586E,5638M,1860E,2836Y,1588E,1862E,5640M,3024M,1590E,1864E,4826Y,1592E,1866E,2838Y,5642M,1594E,1868E,1596E,1870E,644,4828Y,1598E,5644M,1872E,2840Y,1620E,1874E,5646M,3028M,4028M,1622E,1876E,4830Y,1624E,1878E,8054M,2842Y,1626E,1880E,5648M,3030M,1628E,1882E,4832Y,1630E,5650M,1884E,2844Y,1632E,9062M,8032M,1886E,1888E,5652M,1634E,3002M,4834Y,1636E,5654M,1890E,8034M,8034M,1638E,2846Y,1640E,1892E,5656M,1642E,3036M,4036M,1894E,2848Y,1644E,1896E,1658M,1646E,2850Y,1898E,5660M,8058M,1648E,2852Y,1920E,1650E,2854Y,1922E,1652E,5662M,1924E,704,8004M,1654E,2856Y,1926E,1926E,1656E,8060M,9078M,2858Y,1928E,1660E,1664M,1930E,1662E,706,2860Y,1932E,2862Y,1664E,666,1934E,1666M,1666E,2864Y,1936E,1668E,2866Y,5668M,1938E,1940E,1670E,2868Y,1942E,1672E,670,1670M,1944E,1720M,1674E,722M,1672M,724M,2870Y,726M,728M,710,520M,1674M,730M,732M,676,1676M,734M,604,9012M,5032M,5032M
列車名_列車名,,普通_普通,普通_普通,快速 ラビット_快速 ラビット,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,特急 湘南2号_特急 湘南2号,快速_快速,普通_普通,普通_普通,快速 ラビット_快速 ラビット,特急 湘南4号_特急 湘南4号,普通_普通,普通_普通,普通_普通,快速_快速,特急 湘南22号_特急 湘南22号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 湘南6号_特急 湘南6号,普通_普通,快速_快速,快速 アーバン_快速 アーバン,普通_普通,特急 湘南8号_特急 湘南8号,普通_普通,普通_普通,快速_快速,普通_普通,特急 湘南24号_特急 湘南24号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 湘南10号_特急 湘南10号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 湘南26号_特急 湘南26号,快速_快速,快速 アーバン_快速 アーバン,特急 湘南12号_特急 湘南12号,普通_普通,普通_普通,普通_普通,普通_普通,特急 湘南14号_特急 湘南14号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,特急 踊り子4号_特急 踊り子4号,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,特急 踊り子8号_特急 踊り子8号,特急 踊り子8号_特急 踊り子8号,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,特急 踊り子54号_特急 踊り子54号,快速_快速,普通_普通,普通_普通,普通_普通,特急 踊り子10号_特急 踊り子10号,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,特急 「１８５」_特急 「１８５」,特急 踊り子12号_特急 踊り子12号,普通_普通,普通_普通,普通_普通,普通_普通,特急 サフィール踊り子2号_特急 サフィール踊り子2号,特別快速_特別快速,普通_普通,普通_普通,普通_普通,特急 踊り子14号_特急 踊り子14号,特急 踊り子14号_特急 踊り子14号,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,特急 踊り子16号_特急 踊り子16号,特急 踊り子16号_特急 踊り子16号,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,特急 踊り子58号_特急 踊り子58号,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 サフィール踊り子4号_特急 サフィール踊り子4号,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,特急 踊り子60号_特急 踊り子60号,特急 みなみの桜・河津桜号_特急 みなみの桜・河津桜号,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,寝台特急 サンライズ出雲92号_寝台特急 サンライズ出雲92号,寝台特急 サンライズ出雲_寝台特急 サンライズ出雲,寝台特急 サンライズ瀬戸_寝台特急 サンライズ瀬戸
設備,,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車指定席_普通車全車指定席____,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,プレミアムグリーン_グリーン車指定席_６人用グリーン個室連結_４人用グリーン個室連結______,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車指定席_普通車全車指定席____,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,プレミアムグリーン_グリーン車指定席_６人用グリーン個室連結_４人用グリーン個室連結______,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車指定席_普通車全車指定席____,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,_,Ａ寝台１人個室_Ｂ寝台１人個室_Ｂ寝台２人個室_普通車全車指定席______,Ａ寝台１人個室_Ｂ寝台１人個室_Ｂ寝台２人個室_普通車全車指定席______,Ａ寝台１人個室_Ｂ寝台１人個室_Ｂ寝台２人個室_普通車全車指定席______
運転日,,全日,全日,平日,平日,平日,平日,全日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,全日,平日,全日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,全日,平日,平日,平日,全日,平日,平日,平日,平日,平日,全日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,全日,平日,平日,平日,全日,全日,平日,平日,平日,平日,全日,平日,全日,平日,平日,全日,平日,平日,平日,全日,全日,平日,平日,平日,平日,全日,平日,平日,全日,平日,平日,平日,平日,平日,平日,全日,平日,平日,平日,平日,全日,全日,平日,平日,全日,平日,平日,平日,全日,平日,平日,平日,平日,全日,全日,平日,全日,平日,平日,平日,平日,全日,全日,全日,平日,平日,全日,平日,平日,12月29日と2月10～25日の土曜・休日運転__◆_12月29日と2月10～25日の土曜・休日運転_,平日,平日,平日,全日,全日,平日,平日,平日,平日,全日,平日,平日,平日,12月22日・1月19日運転__◆_12月22日・1月19日運転_,2月25日までの土曜・休日と12月29日～1月3日運転__◆_2月25日までの土曜・休日と12月29日～1月3日運転_,平日,平日,全日,平日,全日,平日,平日,全日,平日,11月25・26日・12月28・30日～1月3・6～8・13・14・20・21・27・28日の毎日と2月3～25日の土曜・休日運転__◆_11月25・26日・12月28・30日～1月3・6～8・13・14・20・21・27・28日の毎日と2月3～25日の土曜・休日運転_,12月29日運転__◆_12月29日運転_,平日,平日,平日,平日,全日,平日,全日,全日,平日,平日,平日,平日,全日,平日,平日,平日,全日,11月24日・2月13～16・19～22・26～29日運転__◆_11月24日・2月13～16・19～22・26～29日運転_,平日,平日,平日,平日,平日,平日,平日,全日,平日,全日,11月20～27・30日～12月4・7～11・14～18・21日～1月8・11～15・18～22・25～29日・2月1～5・8～12・15～29日運転__◆_11月20～27・30日～12月4・7～11・14～18・21日～1月8・11～15・18～22・25～29日・2月1～5・8～12・15～29日運転_,平日,平日,平日,12月28・29日・2月19～22日はこの時刻に変更__時変_12月28・29日・2月19～22日はこの時刻に変更_,平日,12月28・29日・2月10～12・17～25日運転__◆_12月28・29日・2月10～12・17～25日運転_,2月16日運転__◆_2月16日運転_,平日,平日,平日,全日,平日,平日,全日,平日,平日,平日,平日,全日,平日,全日,平日,平日,平日,平日,平日,全日,平日,平日,平日,平日,平日,全日,全日,全日,平日,平日,全日,平日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,全日,12月28日・1月3日運転__◆_12月28日・1月3日運転_,全日,全日
記事,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,熱海－東京間は3028M〔踊り子8号〕に併結__★_熱海－東京間は3028M〔踊り子8号〕に併結_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,熱海－東京間は3036M〔踊り子16号〕に併結__★_熱海－東京間は3036M〔踊り子16号〕に併結_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前の区間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
始発,,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,沼津_0552_沼津_0552,___,___,___,___,沼津_0606_沼津_0606,___,___,___,___,___,___,___,___,___,___,___,___,___,沼津_0632_沼津_0632,___,___,___,___,___,___,___,___,___,沼津_0700_沼津_0700,___,___,___,___,沼津_0735_沼津_0735,___,___,___,___,___,___,___,___,___,___,___,沼津_0829_沼津_0829,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,修善寺_1235_修善寺_1235,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,修善寺_1539_修善寺_1539,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,沼津_1808_沼津_1808,___,___,___,___,___,___,___,沼津_1903_沼津_1903,___,___,___,___,___,___,___,___,___,___,___,___,___,___,沼津_2038_沼津_2038,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,出雲市_1437_出雲市_1437,出雲市_1855_出雲市_1855,高松_2126_高松_2126
伊豆急下田_伊豆急下田,発,,,,,,,,,,,,,,,,,,,,,,,,,・,,,,,・,,,,,,,,,,,,,,・,0538,,,,,,,,,・,,0607,,,・,0634,,,,,,0701,,,,,・,,,,0743,,,,,,0823,,,,,,,,,,0903,,,,,0940,1009,,,,,,,1016,,,,,1101,,,,,,,,1140,1205,・,,,,,,1231,,,,1213,1302,,,,,1309,,,,,1342,,,,,1418,,,1350,,1434,1434,,,,,1442,,1508,・,,,,,,,,,1536,1601,,,,,,,,,,1627,1639,,,,,,1654,1654,,,・,,,,1719,,,,・,1758,,,,,,,,1831,,,,,,・,1922,,,,,,,,,,,2024,,,,,2124,,,2228,・,・,・
蓮台寺_蓮台寺,発,,,,,,,,,,,,,,,,,,,,,,,,,・,,,,,・,,,,,,,,,,,,,,・,0542,,,,,,,,,・,,0611,,,・,0638,,,,,,0705,,,,,・,,,,0746,,,,,,0826,,,,,,,,,,0907,,,,,0944,レ,,,,,,,1020,,,,,1105,,,,,,,,1145,レ,・,,,,,,レ,,,,1217,レ,,,,,1313,,,,,レ,,,,,レ,,,1353,,レ,レ,,,,,1446,,レ,・,,,,,,,,,1541,レ,,,,,,,,,,1630,レ,,,,,,レ,レ,,,・,,,,1723,,,,・,1802,,,,,,,,1835,,,,,,・,1926,,,,,,,,,,,2028,,,,,2128,,,2232,・,・,・
稲梓_稲梓,発,,,,,,,,,,,,,,,,,,,,,,,,,・,,,,,・,,,,,,,,,,,,,,・,0547,,,,,,,,,・,,0615,,,・,0642,,,,,,0709,,,,,・,,,,0751,,,,,,0830,,,,,,,,,,0912,,,,,0949,レ,,,,,,,1025,,,,,1110,,,,,,,,1149,レ,・,,,,,,レ,,,,1222,レ,,,,,1323,,,,,レ,,,,,レ,,,1359,,レ,レ,,,,,1450,,レ,・,,,,,,,,,1544,レ,,,,,,,,,,1633,レ,,,,,,レ,レ,,,・,,,,1728,,,,・,1808,,,,,,,,1840,,,,,,・,1931,,,,,,,,,,,2033,,,,,2132,,,2236,・,・,・
河津_河津,発,,,,,,,,,,,,,,,,,,,,,,,,,・,,,,,・,,,,,,,,,,,,,,・,0554,,,,,,,,,・,,0621,,,・,0648,,,,,,0716,,,,,・,,,,0757,,,,,,0837,,,,,,,,,,0919,,,,,0956,1020,,,,,,,1031,,,,,1116,,,,,,,,1159,1217,・,,,,,,1249,,,,1230,1318,,,,,1329,,,,,1353,,,,,1431,,,1406,,1448,1448,,,,,1456,,1521,・,,,,,,,,,1550,1614,,,,,,,,,,1640,1652,,,,,,1706,1706,,,・,,,,1735,,,,・,1815,,,,,,,,1847,,,,,,・,1938,,,,,,,,,,,2040,,,,,2140,,,2244,・,・,・
