列車番号,,401K,433S,433S,513S,513S,529S,529S,517S,517S,655E,519S,519S,521S,521S,515K,515K,501S,501S,623S,623S,641E,641E,609K,609K,601K,601K,513K,513K,633S,633S,637S,637S,717K,717K,731S,731S,645E,645E,713S,713S,641S,641S,721K,721K,705K,705K,639S,639S,823K,823K,829S,829S,815K,815K,801S,801S,823S,823S,825K,825K,827S,827S,821S,821S,901K,901K,927K,927K,903S,913K,913K,919K,919K,861E,861E,937S,937S,917K,917K,843S,843S,935S,935S,1009K,1009K,1005S,1005S,1025S,1025S,1039S,1039S,1029K,1029K,1129S,1129S,1003K,1003K,1133S,1133S,1123S,1105K,1105K,1101K,1101K,1119S,1123K,1123K,1219K,1219K,1231S,1231S,1237S,1237S,1227K,1227K,1235S,1235S,1261E,1261E,1305S,1305S,1343S,1343S,1339S,1339S,1309K,1309K,1329S,1329S,1325S,1325S,1433S,1433S,1429K,1429K,1401K,1401K,1403K,1403K,1419K,1419K,1405K,1405K,1537S,1537S,1523K,1523K,1535S,1535S,1531S,1531S,1513S,1513S,1541S,1541S,1527K,1527K,1615S,1615S,1661E,1661E,1629S,1629S,1625S,1625S,1643S,1643S,1601S,1601S,1729K,1729K,1701K,1701K,1765E,1765E,1719K,1719K,1725K,1725K,1711K,1711K,1715K,1715K,1737S,1737S,1823K,1823K,1817S,1817S,1831S,1831S,1813S,1833S,1833S,1815S,1815S,1849E,1849E,1839S,1839S,1843E,1843E,1909S,1909S,1905S,1905S,1941S,1941S,1929K,1929K,2035S,2035S,2013S,2013S,2011K,2011K,2001S,2001S,2023K,2023K,2103K,2103K,2025K,2025K,2137S,2137S,2107S,2107S,2109K,2109K,2125S,2125S,2139S,2139S,2223S,2223S,2229K,2229K,2203S,2203S,2311K,2311K,2305K,2305K,2323K,2323K,2303K,2303K,2325K,2325K,2429K,2429K
列車名_列車名,,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通
運転日,,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日
前の区間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
始発,,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,本厚木_0553_本厚木_0553,___,___,___,海老名_0613_海老名_0613,___,___,___,___,___,本厚木_0627_本厚木_0627,___,___,___,本厚木_0645_本厚木_0645,___,___,___,___,___,町田_0719_町田_0719,___,___,___,向ヶ丘遊園_0801_向ヶ丘遊園_0801,___,___,___,___,___,___,___,___,___,___,___,向ヶ丘遊園_0841_向ヶ丘遊園_0841,___,___,___,___,___,向ヶ丘遊園_0901_向ヶ丘遊園_0901,___,___,___,___,本厚木_0843_本厚木_0843,___,___,___,___,___,向ヶ丘遊園_0932_向ヶ丘遊園_0932,___,___,___,成城学園前_1005_成城学園前_1005,___,___,___,向ヶ丘遊園_1016_向ヶ丘遊園_1016,___,___,___,成城学園前_1045_成城学園前_1045,___,___,___,向ヶ丘遊園_1056_向ヶ丘遊園_1056,___,___,___,___,成城学園前_1125_成城学園前_1125,___,___,___,___,向ヶ丘遊園_1136_向ヶ丘遊園_1136,___,___,___,向ヶ丘遊園_1202_向ヶ丘遊園_1202,___,___,___,向ヶ丘遊園_1221_向ヶ丘遊園_1221,___,___,___,向ヶ丘遊園_1241_向ヶ丘遊園_1241,___,___,___,向ヶ丘遊園_1301_向ヶ丘遊園_1301,___,___,___,向ヶ丘遊園_1321_向ヶ丘遊園_1321,___,___,___,向ヶ丘遊園_1341_向ヶ丘遊園_1341,___,___,___,向ヶ丘遊園_1401_向ヶ丘遊園_1401,___,___,___,向ヶ丘遊園_1421_向ヶ丘遊園_1421,___,___,___,向ヶ丘遊園_1441_向ヶ丘遊園_1441,___,___,___,向ヶ丘遊園_1501_向ヶ丘遊園_1501,___,___,___,向ヶ丘遊園_1521_向ヶ丘遊園_1521,___,___,___,___,___,向ヶ丘遊園_1541_向ヶ丘遊園_1541,___,___,___,向ヶ丘遊園_1601_向ヶ丘遊園_1601,___,___,___,___,___,向ヶ丘遊園_1620_向ヶ丘遊園_1620,___,___,___,___,___,___,___,___,___,___,___,___,___,向ヶ丘遊園_1721_向ヶ丘遊園_1721,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,成城学園前_1841_成城学園前_1841,___,___,___,___,___,___,___,向ヶ丘遊園_1921_向ヶ丘遊園_1921,___,___,___,___,___,___,___,___,___,向ヶ丘遊園_2020_向ヶ丘遊園_2020,___,___,___,___,___,向ヶ丘遊園_2041_向ヶ丘遊園_2041,___,向ヶ丘遊園_2101_向ヶ丘遊園_2101,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___
代々木上原_代々木上原,発,,,,,,0500,,0512,,,0526,,0538,,0549,,0558,,0606,,0614,,0623,,0631,,0638,,0651,,0700,,0707,,0714,,0721,,0730,,0741,,0747,,0755,,0801,,0811,,0819,,0830,,0835,,0845,,0850,,0855,,0859,,0908,,0915,,0919,0924,,0929,,0939,,0944,,0949,,0959,,1009,,1019,,1029,,1039,,1049,,1100,,1110,,1119,,1129,,1134,1139,,1149,,1154,1159,,1209,,1219,,1229,,1239,,1249,,1259,,1309,,1319,,1329,,1339,,1349,,1359,,1409,,1419,,1429,,1439,,1449,,1459,,1509,,1519,,1529,,1539,,1544,,1554,,1559,,1609,,1619,,1625,,1636,,1641,,1652,,1703,,1709,,1714,,1723,,1732,,1737,,1749,,1754,,1805,,1815,,1825,,1830,1835,,1845,,1855,,1900,,1910,,1920,,1932,,1940,,1951,,2002,,2013,,2024,,2036,,2048,,2100,,2106,,2118,,2129,,2135,,2148,,2155,,2211,,2231,,2249,,2306,,2316,,2327,,2338,,2355,,,
代々木公園_代々木公園,発,,,,,,0502,,0514,,,0528,,0540,,0551,,0600,,0608,,0616,,0625,,0633,,0640,,0653,,0702,,0709,,0716,,0723,,0732,,0743,,0749,,0757,,0803,,0813,,0821,,0832,,0837,,0847,,0852,,0857,,0901,,0910,,0917,,0921,0926,,0931,,0941,,0946,,0951,,1001,,1011,,1021,,1031,,1041,,1051,,1102,,1112,,1121,,1131,,1136,1141,,1151,,1156,1201,,1211,,1221,,1231,,1241,,1251,,1301,,1311,,1321,,1331,,1341,,1351,,1401,,1411,,1421,,1431,,1441,,1451,,1501,,1511,,1521,,1531,,1541,,1546,,1556,,1601,,1611,,1621,,1627,,1638,,1643,,1654,,1705,,1711,,1716,,1725,,1734,,1739,,1751,,1756,,1807,,1817,,1827,,1832,1837,,1847,,1857,,1902,,1912,,1922,,1934,,1942,,1953,,2004,,2015,,2026,,2038,,2050,,2102,,2108,,2120,,2131,,2137,,2150,,2157,,2213,,2233,,2251,,2308,,2318,,2329,,2340,,2357,,,
明治神宮前_明治神宮前,発,,,,,,0504,,0517,,,0530,,0543,,0553,,0602,,0610,,0618,,0627,,0635,,0642,,0655,,0704,,0711,,0718,,0726,,0734,,0746,,0751,,0800,,0805,,0815,,0823,,0834,,0839,,0849,,0854,,0859,,0903,,0913,,0919,,0924,0929,,0934,,0944,,0949,,0954,,1004,,1014,,1024,,1034,,1044,,1054,,1104,,1114,,1124,,1134,,1139,1144,,1154,,1159,1204,,1213,,1224,,1234,,1244,,1254,,1304,,1314,,1324,,1334,,1344,,1354,,1404,,1414,,1424,,1434,,1444,,1454,,1504,,1514,,1524,,1534,,1544,,1549,,1559,,1604,,1614,,1624,,1629,,1640,,1646,,1657,,1708,,1713,,1718,,1727,,1736,,1741,,1753,,1758,,1809,,1819,,1829,,1834,1839,,1849,,1859,,1904,,1914,,1924,,1936,,1944,,1955,,2006,,2017,,2028,,2040,,2052,,2105,,2110,,2122,,2133,,2139,,2152,,2159,,2215,,2235,,2253,,2310,,2320,,2331,,2342,,2359,,,
表参道_表参道,発,,,,,,0505,,0518,,,0532,,0544,,0554,,0604,,0612,,0620,,0629,,0637,,0644,,0657,,0706,,0712,,0720,,0727,,0736,,0747,,0753,,0801,,0806,,0817,,0824,,0836,,0841,,0851,,0856,,0901,,0905,,0914,,0921,,0925,0930,,0935,,0945,,0950,,0955,,1005,,1015,,1025,,1035,,1045,,1055,,1106,,1116,,1125,,1135,,1140,1145,,1155,,1200,1205,,1215,,1225,,1235,,1245,,1255,,1305,,1315,,1325,,1335,,1345,,1355,,1405,,1415,,1425,,1435,,1445,,1455,,1505,,1515,,1525,,1535,,1545,,1550,,1600,,1605,,1615,,1625,,1631,,1642,,1647,,1658,,1709,,1715,,1720,,1729,,1738,,1743,,1754,,1800,,1811,,1821,,1831,,1836,1841,,1851,,1901,,1906,,1915,,1926,,1938,,1946,,1957,,2008,,2019,,2030,,2042,,2054,,2106,,2112,,2124,,2135,,2141,,2154,,2201,,2217,,2236,,2255,,2312,,2322,,2333,,2344,,0001,,,
乃木坂_乃木坂,発,,,,,,0508,,0521,,,0535,,0547,,0557,,0606,,0615,,0623,,0631,,0639,,0647,,0659,,0708,,0715,,0722,,0730,,0738,,0750,,0755,,0804,,0809,,0820,,0827,,0838,,0844,,0853,,0858,,0903,,0908,,0917,,0923,,0928,0933,,0938,,0948,,0953,,0958,,1008,,1018,,1028,,1038,,1048,,1058,,1108,,1118,,1128,,1138,,1143,1148,,1158,,1203,1208,,1217,,1228,,1238,,1248,,1258,,1308,,1318,,1328,,1338,,1348,,1358,,1408,,1418,,1428,,1438,,1448,,1458,,1508,,1518,,1528,,1538,,1548,,1553,,1603,,1608,,1618,,1628,,1633,,1644,,1650,,1701,,1712,,1717,,1723,,1732,,1741,,1746,,1757,,1803,,1813,,1823,,1833,,1838,1843,,1853,,1903,,1908,,1918,,1928,,1941,,1948,,2000,,2011,,2022,,2033,,2044,,2057,,2109,,2115,,2127,,2137,,2143,,2157,,2204,,2219,,2239,,2257,,2315,,2325,,2335,,2347,,0003,,,
赤坂_赤坂,発,,,,,,0510,,0523,,,0537,,0549,,0559,,0608,,0617,,0625,,0633,,0641,,0649,,0702,,0711,,0717,,0725,,0732,,0741,,0752,,0758,,0806,,0811,,0822,,0829,,0840,,0846,,0855,,0901,,0906,,0910,,0919,,0925,,0930,0935,,0940,,0950,,0955,,1000,,1010,,1020,,1030,,1040,,1050,,1100,,1111,,1120,,1130,,1140,,1145,1150,,1200,,1205,1210,,1220,,1230,,1240,,1250,,1300,,1310,,1320,,1330,,1340,,1350,,1400,,1410,,1420,,1430,,1440,,1450,,1500,,1510,,1520,,1530,,1540,,1550,,1555,,1605,,1610,,1620,,1630,,1636,,1647,,1652,,1703,,1714,,1720,,1725,,1734,,1743,,1748,,1759,,1805,,1815,,1825,,1835,,1840,1845,,1855,,1905,,1910,,1920,,1931,,1943,,1950,,2002,,2013,,2024,,2035,,2046,,2059,,2111,,2117,,2129,,2140,,2146,,2159,,2206,,2222,,2241,,2300,,2317,,2327,,2338,,2349,,0005,,,
国会議事堂前_国会議事堂前,発,,,,,,0512,,0525,,,0539,,0551,,0601,,0610,,0619,,0627,,0635,,0643,,0651,,0703,,0712,,0719,,0726,,0734,,0742,,0754,,0759,,0808,,0813,,0824,,0831,,0842,,0848,,0857,,0902,,0907,,0912,,0921,,0927,,0932,0937,,0942,,0952,,0957,,1002,,1012,,1022,,1032,,1042,,1052,,1102,,1112,,1122,,1132,,1142,,1147,1152,,1202,,1207,1212,,1221,,1232,,1242,,1252,,1302,,1312,,1322,,1332,,1342,,1352,,1402,,1412,,1422,,1432,,1442,,1452,,1502,,1512,,1522,,1532,,1542,,1552,,1557,,1607,,1612,,1622,,1632,,1637,,1648,,1654,,1705,,1716,,1721,,1727,,1736,,1745,,1750,,1801,,1807,,1817,,1827,,1837,,1842,1847,,1857,,1907,,1912,,1922,,1932,,1945,,1952,,2004,,2015,,2026,,2037,,2048,,2101,,2113,,2119,,2131,,2141,,2147,,2201,,2208,,2223,,2243,,2301,,2319,,2329,,2339,,2351,,0007,,,
霞ケ関_霞ケ関,発,,,,,,0514,,0527,,,0541,,0553,,0603,,0612,,0621,,0629,,0637,,0645,,0653,,0705,,0714,,0721,,0728,,0736,,0744,,0756,,0801,,0810,,0815,,0825,,0833,,0844,,0849,,0859,,0904,,0909,,0914,,0923,,0929,,0934,0939,,0944,,0954,,0959,,1004,,1014,,1024,,1034,,1044,,1054,,1104,,1114,,1124,,1134,,1144,,1149,1154,,1204,,1209,1214,,1223,,1234,,1244,,1254,,1304,,1314,,1324,,1334,,1344,,1354,,1404,,1414,,1424,,1434,,1444,,1454,,1504,,1514,,1524,,1534,,1544,,1554,,1559,,1609,,1614,,1624,,1634,,1639,,1650,,1656,,1707,,1718,,1723,,1729,,1738,,1747,,1752,,1803,,1808,,1819,,1829,,1839,,1844,1849,,1859,,1909,,1914,,1924,,1934,,1947,,1954,,2006,,2017,,2028,,2039,,2050,,2103,,2115,,2121,,2133,,2143,,2149,,2203,,2209,,2225,,2245,,2303,,2321,,2331,,2341,,2353,,0010,,,
日比谷_日比谷,発,,,,,,0516,,0529,,,0543,,0555,,0605,,0614,,0623,,0631,,0639,,0647,,0655,,0707,,0716,,0723,,0730,,0738,,0746,,0758,,0803,,0812,,0817,,0828,,0835,,0846,,0852,,0901,,0906,,0911,,0916,,0925,,0931,,0936,0941,,0946,,0956,,1001,,1006,,1016,,1026,,1036,,1046,,1056,,1106,,1116,,1126,,1136,,1146,,1151,1156,,1206,,1211,1216,,1225,,1236,,1246,,1256,,1306,,1316,,1326,,1336,,1346,,1356,,1406,,1416,,1426,,1436,,1446,,1456,,1506,,1516,,1526,,1536,,1546,,1556,,1601,,1611,,1616,,1626,,1636,,1641,,1652,,1658,,1709,,1720,,1725,,1731,,1740,,1749,,1754,,1805,,1811,,1821,,1831,,1841,,1846,1851,,1901,,1911,,1916,,1926,,1936,,1949,,1956,,2008,,2019,,2030,,2041,,2052,,2105,,2117,,2123,,2135,,2145,,2151,,2205,,2212,,2227,,2247,,2305,,2323,,2333,,2343,,2355,,0012,,,
二重橋前_二重橋前,発,,,,,,0518,,0531,,,0544,,0557,,0607,,0616,,0624,,0632,,0641,,0649,,0656,,0709,,0718,,0725,,0732,,0740,,0748,,0800,,0805,,0814,,0819,,0829,,0837,,0848,,0853,,0903,,0908,,0913,,0918,,0927,,0933,,0938,0943,,0948,,0958,,1003,,1008,,1018,,1028,,1038,,1048,,1058,,1108,,1118,,1128,,1138,,1148,,1153,1158,,1208,,1213,1218,,1227,,1238,,1248,,1258,,1308,,1318,,1328,,1338,,1348,,1358,,1408,,1418,,1428,,1438,,1448,,1458,,1508,,1518,,1528,,1538,,1548,,1558,,1603,,1613,,1618,,1628,,1638,,1643,,1654,,1700,,1711,,1722,,1727,,1732,,1741,,1750,,1755,,1807,,1812,,1823,,1833,,1843,,1848,1853,,1903,,1913,,1918,,1928,,1938,,1950,,1958,,2009,,2020,,2031,,2042,,2054,,2106,,2119,,2124,,2136,,2147,,2153,,2206,,2213,,2229,,2249,,2307,,2324,,2334,,2345,,2356,,0014,,,
大手町_大手町,発,,,,,,0519,,0532,,,0546,,0558,,0608,,0617,,0626,,0634,,0642,,0650,,0658,,0711,,0720,,0726,,0734,,0741,,0750,,0801,,0807,,0815,,0820,,0831,,0838,,0849,,0855,,0904,,0910,,0915,,0919,,0928,,0934,,0939,0944,,0949,,0959,,1004,,1009,,1019,,1029,,1039,,1049,,1059,,1109,,1120,,1129,,1139,,1149,,1154,1159,,1209,,1214,1219,,1229,,1239,,1249,,1259,,1309,,1319,,1329,,1339,,1349,,1359,,1409,,1419,,1429,,1439,,1449,,1459,,1509,,1519,,1529,,1539,,1549,,1559,,1604,,1614,,1619,,1629,,1639,,1645,,1656,,1701,,1712,,1723,,1729,,1734,,1743,,1752,,1757,,1808,,1814,,1824,,1834,,1844,,1849,1854,,1904,,1914,,1919,,1929,,1940,,1952,,1959,,2011,,2022,,2033,,2044,,2055,,2108,,2120,,2126,,2138,,2149,,2155,,2208,,2215,,2231,,2250,,2309,,2326,,2336,,2347,,2358,,0015,,,
新御茶ノ水_新御茶ノ水,発,,,,,,0522,,0535,,,0548,,0601,,0611,,0620,,0628,,0636,,0645,,0653,,0700,,0713,,0722,,0729,,0736,,0744,,0752,,0804,,0809,,0818,,0823,,0833,,0841,,0852,,0857,,0907,,0912,,0917,,0922,,0931,,0937,,0942,0947,,0952,,1002,,1007,,1012,,1022,,1032,,1042,,1052,,1102,,1112,,1122,,1132,,1142,,1152,,1157,1202,,1212,,1217,1222,,1231,,1242,,1252,,1302,,1312,,1322,,1332,,1342,,1352,,1402,,1412,,1422,,1432,,1442,,1452,,1502,,1512,,1522,,1532,,1542,,1552,,1602,,1607,,1617,,1622,,1632,,1642,,1647,,1658,,1704,,1715,,1726,,1731,,1736,,1745,,1754,,1759,,1811,,1816,,1827,,1837,,1847,,1852,1857,,1907,,1917,,1922,,1932,,1942,,1954,,2002,,2013,,2024,,2035,,2046,,2058,,2110,,2123,,2128,,2140,,2151,,2157,,2210,,2217,,2233,,2253,,2311,,2328,,2338,,2349,,0000,,0018,,,
湯島_湯島,発,,,,0500,,0524,,0536,,,0550,,0602,,0613,,0622,,0630,,0638,,0647,,0655,,0702,,0715,,0724,,0731,,0738,,0745,,0754,,0805,,0811,,0819,,0825,,0835,,0843,,0854,,0859,,0909,,0914,,0919,,0924,,0932,,0939,,0943,0948,,0953,,1003,,1008,,1013,,1023,,1033,,1043,,1053,,1103,,1113,,1124,,1134,,1143,,1153,,1158,1203,,1213,,1218,1223,,1233,,1243,,1253,,1303,,1313,,1323,,1333,,1343,,1353,,1403,,1413,,1423,,1433,,1443,,1453,,1503,,1513,,1523,,1533,,1543,,1553,,1603,,1608,,1618,,1623,,1633,,1643,,1649,,1700,,1705,,1716,,1727,,1733,,1738,,1747,,1756,,1801,,1813,,1818,,1829,,1839,,1849,,1854,1859,,1909,,1919,,1924,,1934,,1944,,1956,,2004,,2015,,2026,,2037,,2048,,2100,,2112,,2124,,2130,,2142,,2153,,2159,,2212,,2219,,2235,,2255,,2313,,2330,,2340,,2351,,0002,,0020,,,
根津_根津,発,,,,0501,,0525,,0538,,,0552,,0604,,0615,,0624,,0632,,0640,,0649,,0657,,0704,,0717,,0726,,0733,,0740,,0747,,0756,,0807,,0813,,0821,,0827,,0837,,0845,,0856,,0901,,0911,,0916,,0921,,0926,,0934,,0941,,0945,0950,,0955,,1005,,1010,,1015,,1025,,1035,,1045,,1055,,1105,,1115,,1126,,1136,,1145,,1155,,1200,1205,,1215,,1220,1225,,1235,,1245,,1255,,1305,,1315,,1325,,1335,,1345,,1355,,1405,,1415,,1425,,1435,,1445,,1455,,1505,,1515,,1525,,1535,,1545,,1555,,1605,,1610,,1620,,1625,,1635,,1645,,1651,,1702,,1707,,1718,,1729,,1735,,1740,,1749,,1758,,1803,,1815,,1820,,1831,,1841,,1851,,1856,1901,,1911,,1921,,1926,,1935,,1946,,1958,,2006,,2017,,2028,,2039,,2050,,2102,,2114,,2126,,2132,,2144,,2155,,2201,,2214,,2221,,2237,,2257,,2315,,2332,,2342,,2353,,0004,,0022,,,
千駄木_千駄木,発,,,,0504,,0528,,0541,,,0554,,0607,,0617,,0626,,0634,,0642,,0651,,0659,,0706,,0719,,0728,,0735,,0742,,0750,,0758,,0810,,0815,,0824,,0829,,0839,,0847,,0858,,0903,,0913,,0918,,0923,,0928,,0937,,0943,,0948,0953,,0958,,1008,,1013,,1018,,1028,,1038,,1048,,1058,,1108,,1118,,1128,,1138,,1148,,1158,,1203,1208,,1218,,1223,1228,,1237,,1248,,1258,,1308,,1318,,1328,,1338,,1348,,1358,,1408,,1418,,1428,,1438,,1448,,1458,,1508,,1518,,1528,,1538,,1548,,1558,,1608,,1613,,1623,,1628,,1638,,1648,,1653,,1704,,1710,,1721,,1732,,1737,,1742,,1751,,1800,,1805,,1817,,1822,,1833,,1843,,1853,,1858,1903,,1913,,1923,,1928,,1938,,1948,,2000,,2008,,2019,,2030,,2041,,2052,,2104,,2116,,2129,,2134,,2146,,2157,,2203,,2216,,2223,,2239,,2259,,2317,,2334,,2344,,2355,,0006,,0024,,,
西日暮里_西日暮里,発,,,,0506,,0530,,0542,,,0556,,0608,,0619,,0628,,0636,,0644,,0653,,0701,,0708,,0721,,0730,,0737,,0744,,0751,,0800,,0811,,0817,,0825,,0831,,0841,,0849,,0900,,0905,,0915,,0920,,0925,,0930,,0938,,0945,,0949,0954,,0959,,1009,,1014,,1019,,1029,,1039,,1049,,1059,,1109,,1119,,1130,,1140,,1149,,1159,,1204,1209,,1219,,1224,1229,,1239,,1249,,1259,,1309,,1319,,1329,,1339,,1349,,1359,,1409,,1419,,1429,,1439,,1449,,1459,,1509,,1519,,1529,,1539,,1549,,1559,,1609,,1614,,1624,,1629,,1639,,1649,,1655,,1706,,1711,,1722,,1733,,1739,,1744,,1753,,1802,,1807,,1819,,1824,,1835,,1845,,1855,,1900,1905,,1915,,1925,,1930,,1940,,1950,,2002,,2010,,2021,,2032,,2043,,2054,,2106,,2118,,2130,,2136,,2148,,2159,,2205,,2218,,2225,,2241,,2301,,2319,,2336,,2346,,2357,,0008,,0026,,,
