列車番号,,451S,401K,401K,531S,531S,547S,547S,505S,535S,535S,609S,537S,537S,665E,621K,539S,539S,615S,515K,515K,633S,633S,501S,501S,619S,641S,641S,617K,617K,643S,643S,551E,551E,603S,603S,561E,561E,651S,651S,611S,611S,555S,555S,645S,645S,601K,601K,649E,649E,653S,653S,717S,717S,709S,709S,721S,721S,735S,735S,645E,705S,705S,757E,757E,713S,613K,613K,753E,753E,823K,823K,731S,807S,807S,825K,723S,723S,761S,761S,827K,827K,743E,743E,829K,829K,815K,759S,759S,819S,819S,825S,825S,921K,921K,911S,911S,951S,951S,949S,949S,935S,903K,903K,957S,957S,1021S,1021S,903S,903S,1005K,1005K,1055S,1055S,1013K,1013K,1019K,1019K,1123S,1123S,1001K,1001K,1129K,1129K,1107S,1107S,1119S,1119S,1161S,1161S,1251S,1251S,1259S,1259S,1215K,1215K,1211S,1211S,1221S,1221S,1249S,1249S,1305K,1305K,1357S,1357S,1313K,1313K,1309K,1303S,1303S,1323S,1323S,1355S,1355S,1403K,1403K,1429K,1419K,1419K,1419S,1419S,1401K,1401K,1451S,1451S,1407S,1407S,1515K,1515K,1561S,1561S,1521S,1521S,1559S,1559S,1505K,1505K,1511S,1511S,1629K,1629K,1643S,1643S,1605S,1605S,1661E,1661E,1637S,1637S,1627S,1627S,1607K,1607K,1739S,1739S,1609K,1609K,1631K,1631K,1721K,1721K,1603S,1603S,1725K,1725K,1745E,1745E,1717K,1717K,1711K,1711K,1741S,1741S,1729S,1729S,1733S,1733S,1709S,1709S,1717S,1717S,1749S,1749S,1857S,1857S,1701K,1701K,1835S,1835S,1813S,1813S,1819K,1819K,1843E,1843E,1849E,1823S,1823S,1859S,1859S,1801S,1801S,1811S,1811S,1931S,1931S,1861S,1861S,1905S,1905S,1955S,1955S,1961E,1961E,1825S,1825S,1927S,1927S,1865E,1865E,1937S,1937S,1921K,1921K,1905K,1905K,1931K,1931K,2009K,2009K,1929K,1929K,1959E,1959E,2041S,2041S,2017S,2017S,2011K,2011K,2007K,2007K,2025K,2025K,2033S,2033S,2101K,2101K,2101S,2101S,2161S,2161S,2159S,2159S,2149S,2149S,2217K,2217K,2111S,2111S,2221K,2221K,2213K,2213K,2209K,2209K,2231K,2231K,2319S,2319S,2303K,2303K,2307K,2307K,2325K,2325K,2319K,2319K,2401K,2401K,2421K,2421K
列車名_列車名,,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通
運転日,,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日
前の区間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
始発,,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,本厚木_0529_本厚木_0529,___,___,___,本厚木_0516_本厚木_0516,___,___,___,___,___,本厚木_0552_本厚木_0552,___,___,___,___,___,本厚木_0611_本厚木_0611,___,成城学園前_0657_成城学園前_0657,___,___,___,___,___,___,___,___,___,伊勢原_0617_伊勢原_0617,___,___,相模大野_0700_相模大野_0700,___,向ヶ丘遊園_0721_向ヶ丘遊園_0721,本厚木_0647_本厚木_0647,___,海老名_0704_海老名_0704,___,___,___,向ヶ丘遊園_0742_向ヶ丘遊園_0742,___,___,___,向ヶ丘遊園_0751_向ヶ丘遊園_0751,___,海老名_0724_海老名_0724,___,___,___,本厚木_0731_本厚木_0731,___,___,___,___,伊勢原_0732_伊勢原_0732,___,___,___,成城学園前_0852_成城学園前_0852,___,成城学園前_0901_成城学園前_0901,___,___,___,___,___,成城学園前_0918_成城学園前_0918,___,___,___,___,成城学園前_0945_成城学園前_0945,___,___,___,向ヶ丘遊園_0959_向ヶ丘遊園_0959,___,___,___,向ヶ丘遊園_1021_向ヶ丘遊園_1021,___,___,___,向ヶ丘遊園_1041_向ヶ丘遊園_1041,___,___,___,向ヶ丘遊園_1101_向ヶ丘遊園_1101,___,___,___,向ヶ丘遊園_1121_向ヶ丘遊園_1121,___,___,___,向ヶ丘遊園_1141_向ヶ丘遊園_1141,___,___,___,向ヶ丘遊園_1201_向ヶ丘遊園_1201,___,___,___,向ヶ丘遊園_1221_向ヶ丘遊園_1221,___,___,___,向ヶ丘遊園_1241_向ヶ丘遊園_1241,___,___,___,向ヶ丘遊園_1301_向ヶ丘遊園_1301,___,___,___,___,向ヶ丘遊園_1321_向ヶ丘遊園_1321,___,___,___,向ヶ丘遊園_1341_向ヶ丘遊園_1341,___,___,___,___,向ヶ丘遊園_1401_向ヶ丘遊園_1401,___,___,___,向ヶ丘遊園_1421_向ヶ丘遊園_1421,___,___,___,向ヶ丘遊園_1441_向ヶ丘遊園_1441,___,___,___,向ヶ丘遊園_1501_向ヶ丘遊園_1501,___,___,___,向ヶ丘遊園_1521_向ヶ丘遊園_1521,___,___,___,向ヶ丘遊園_1541_向ヶ丘遊園_1541,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,成城学園前_1650_成城学園前_1650,___,___,___,向ヶ丘遊園_1651_向ヶ丘遊園_1651,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,成城学園前_1753_成城学園前_1753,___,___,___,___,___,成城学園前_1803_成城学園前_1803,___,___,___,___,成城学園前_1814_成城学園前_1814,___,___,___,___,___,___,___,___,___,向ヶ丘遊園_1837_向ヶ丘遊園_1837,___,___,___,___,___,___,___,向ヶ丘遊園_1855_向ヶ丘遊園_1855,___,___,___,向ヶ丘遊園_1904_向ヶ丘遊園_1904,___,___,___,___,___,___,___,___,___,___,___,成城学園前_1954_成城学園前_1954,___,向ヶ丘遊園_1957_向ヶ丘遊園_1957,___,___,___,___,___,___,___,成城学園前_2034_成城学園前_2034,___,向ヶ丘遊園_2033_向ヶ丘遊園_2033,___,向ヶ丘遊園_2046_向ヶ丘遊園_2046,___,___,___,___,___,___,___,___,___,成城学園前_2137_成城学園前_2137,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___
代々木上原_代々木上原,発,,,,,,0500,,,0512,,,0526,,,,0536,,,0546,,,,0558,,,0606,,0612,,0617,,0623,,0627,,0631,,0635,,0642,,0645,,0650,,0655,,0700,,0709,,0713,,0721,,0732,,,,0738,0741,,0750,,0756,0759,,0809,,0812,,0814,0816,,0822,0824,,0830,,0832,,0841,,0843,,0848,0851,,0856,,0910,,0916,,0919,,0928,,0937,,0940,0949,,1000,,1008,,1020,,1029,,1039,,1049,,1059,,1109,,1119,,1129,,1139,,1149,,1159,,1209,,1219,,1229,,1239,,1249,,1259,,1309,,1319,,1329,,1334,1339,,1349,,1359,,1409,,1414,1419,,1429,,1439,,1449,,1459,,1509,,1519,,1529,,1539,,1549,,1559,,1602,,1614,,1625,,1632,,1639,,1646,,1651,,,,1659,,1703,,1712,,1715,,1722,,1725,,,,1733,,1738,,1744,,1747,,1750,,1756,,1759,,,,1811,,,,1816,,1820,,1823,,1826,1830,,1833,,1839,,1846,,,,1859,,1904,,1908,,1917,,1922,,1926,,1931,,1940,,1945,,1950,,1956,,2006,,2011,,2020,,2029,,2038,,2045,,2051,,2102,,2112,,2116,,2126,,2140,,2150,,2156,,2207,,2218,,2223,,2235,,2246,,2252,,2304,,2316,,2328,,2338,,2345,,0000,,,
代々木公園_代々木公園,発,,,,,,0502,,,0514,,,0528,,,,0538,,,0548,,,,0600,,,0608,,0614,,0619,,0625,,0629,,0633,,0637,,0644,,0647,,0652,,0657,,0702,,0711,,0715,,0723,,0734,,,,0740,0744,,0752,,0758,0801,,0811,,0814,,0816,0818,,0824,0826,,0832,,0835,,0843,,0845,,0851,0853,,0858,,0913,,0919,,0921,,0930,,0939,,0942,0951,,1002,,1010,,1022,,1031,,1041,,1051,,1101,,1111,,1121,,1131,,1141,,1151,,1201,,1211,,1221,,1231,,1241,,1251,,1301,,1311,,1321,,1331,,1336,1341,,1351,,1401,,1411,,1416,1421,,1431,,1441,,1451,,1501,,1511,,1521,,1531,,1541,,1551,,1601,,1605,,1616,,1627,,1634,,1641,,1648,,1653,,,,1701,,1705,,1714,,1717,,1724,,1727,,,,1735,,1740,,1746,,1749,,1752,,1758,,1801,,,,1813,,,,1818,,1822,,1825,,1828,1832,,1835,,1841,,1848,,,,1901,,1906,,1910,,1919,,1924,,1928,,1933,,1942,,1947,,1952,,1958,,2008,,2013,,2023,,2031,,2040,,2048,,2053,,2104,,2114,,2118,,2128,,2142,,2152,,2158,,2209,,2220,,2225,,2237,,2248,,2254,,2306,,2318,,2330,,2340,,2347,,0002,,,
明治神宮前_明治神宮前,発,,,,,,0504,,,0516,,,0530,,,,0541,,,0550,,,,0602,,,0611,,0616,,0622,,0627,,0631,,0635,,0639,,0646,,0649,,0654,,0700,,0704,,0714,,0717,,0725,,0736,,,,0742,0746,,0754,,0800,0804,,0813,,0816,,0819,0821,,0826,0829,,0835,,0837,,0845,,0848,,0853,0856,,0900,,0915,,0921,,0924,,0932,,0941,,0944,0953,,1004,,1012,,1024,,1034,,1044,,1054,,1104,,1114,,1124,,1134,,1144,,1154,,1204,,1214,,1224,,1234,,1244,,1254,,1304,,1314,,1324,,1334,,1339,1344,,1354,,1404,,1414,,1419,1424,,1434,,1444,,1454,,1504,,1514,,1524,,1534,,1544,,1554,,1603,,1608,,1618,,1629,,1636,,1643,,1650,,1655,,,,1703,,1707,,1716,,1719,,1726,,1729,,,,1737,,1742,,1748,,1751,,1754,,1800,,1803,,,,1815,,,,1820,,1824,,1827,,1830,1834,,1837,,1843,,1850,,,,1903,,1908,,1912,,1921,,1926,,1930,,1935,,1945,,1950,,1955,,2000,,2010,,2015,,2025,,2033,,2042,,2050,,2055,,2106,,2116,,2120,,2130,,2144,,2154,,2200,,2211,,2222,,2227,,2239,,2250,,2256,,2308,,2320,,2332,,2342,,2349,,0004,,,
表参道_表参道,発,,,,,,0505,,,0518,,,0532,,,,0542,,,0552,,,,0604,,,0612,,0618,,0623,,0628,,0633,,0637,,0641,,0647,,0651,,0656,,0701,,0706,,0715,,0719,,0727,,0738,,,,0744,0748,,0756,,0802,0806,,0815,,0818,,0821,0823,,0828,0831,,0837,,0839,,0847,,0850,,0855,0858,,0902,,0917,,0923,,0926,,0934,,0943,,0946,0955,,1005,,1014,,1026,,1035,,1045,,1055,,1105,,1115,,1125,,1135,,1145,,1155,,1205,,1215,,1225,,1235,,1245,,1255,,1305,,1315,,1325,,1335,,1340,1345,,1355,,1405,,1415,,1420,1425,,1435,,1445,,1455,,1505,,1515,,1525,,1535,,1545,,1555,,1605,,1609,,1620,,1631,,1638,,1645,,1652,,1656,,,,1705,,1709,,1718,,1721,,1727,,1731,,,,1739,,1744,,1750,,1753,,1756,,1802,,1805,,,,1817,,,,1822,,1825,,1829,,1832,1835,,1839,,1845,,1852,,,,1905,,1910,,1914,,1923,,1928,,1932,,1937,,1946,,1951,,1956,,2002,,2012,,2017,,2027,,2035,,2044,,2052,,2057,,2108,,2118,,2122,,2132,,2146,,2156,,2201,,2212,,2223,,2229,,2240,,2252,,2258,,2310,,2322,,2334,,2344,,2350,,0006,,,
乃木坂_乃木坂,発,,,,,,0508,,,0521,,,0534,,,,0545,,,0555,,,,0607,,,0615,,0621,,0626,,0631,,0635,,0639,,0643,,0650,,0654,,0658,,0704,,0709,,0718,,0722,,0729,,0741,,,,0747,0751,,0758,,0805,0808,,0818,,0821,,0823,0826,,0831,0834,,0839,,0842,,0850,,0852,,0858,0900,,0905,,0920,,0926,,0929,,0937,,0946,,0948,0958,,1008,,1016,,1028,,1038,,1048,,1058,,1108,,1118,,1128,,1138,,1148,,1158,,1208,,1218,,1228,,1238,,1248,,1258,,1308,,1318,,1328,,1338,,1343,1348,,1358,,1408,,1418,,1423,1428,,1438,,1448,,1458,,1508,,1518,,1528,,1538,,1548,,1558,,1608,,1612,,1623,,1633,,1640,,1648,,1654,,1659,,,,1707,,1712,,1720,,1724,,1730,,1733,,,,1742,,1746,,1753,,1756,,1759,,1805,,1808,,,,1820,,,,1824,,1828,,1831,,1835,1838,,1841,,1848,,1854,,,,1908,,1912,,1917,,1926,,1930,,1935,,1939,,1949,,1954,,1959,,2004,,2014,,2019,,2029,,2037,,2046,,2054,,2100,,2110,,2120,,2125,,2134,,2148,,2158,,2204,,2215,,2226,,2231,,2243,,2255,,2301,,2313,,2325,,2337,,2346,,2353,,0008,,,
