列車番号,,485S,485Y,537S,537Y,641S,641Y,645S,645Y,591S,591Y,593S,593Y,665S,665Y,617S,519S,519Y,631S,631A,629S,629Y,615S,615A,675S,675Y,639S,639A,777S,777Y,743S,743Y,779S,779Y,725S,725A,785S,785A,733S,733Y,711K,711Y,723S,723A,871S,871Y,809K,809A,863S,789S,789Y,845S,845Y,849S,849A,891S,835S,835Y,869S,813S,813A,927S,927Y,905K,905Y,987S,987Y,959S,959Y,1081S,1081Y,1079S,1079Y,1065S,1065Y,1011K,1091S,1091Y,1189S,1189Y,1135S,1135Y,1129S,1113S,1113Y,1139S,1127S,1127Y,1287S,1287Y,1259S,1259Y,1281S,1281Y,1279S,1279Y,1365S,1365Y,1391S,1391Y,1389S,1389Y,1339S,1335S,1335Y,1413S,1413Y,1427S,1427Y,1487S,1487Y,1459S,1459Y,1581S,1581Y,1515S,1515Y,1507K,1551S,1551A,1619S,1619Y,1529S,1529Y,1565S,1565Y,1603K,1603Y,1623S,1623Y,1567S,1567Y,1571S,1571A,1675S,1675Y,1695S,1695A,1637S,1637Y,1691S,1691Y,1743S,1743Y,1689S,1689Y,1757S,1757Y,1635S,1635Y,1787S,1787Y,1707K,1759S,1759Y,1713S,1713Y,1721S,1721A,1869S,1869Y,1717S,1717A,1739S,1739Y,1749S,1809K,1809A,1815S,1815A,1829S,1823S,1823Y,1803K,1825S,1867S,1867Y,1861S,1861Y,1827S,1945S,1945Y,1907K,1907A,1905K,1905A,1991S,1991Y,1987S,1963S,1963A,2057S,2057A,2003K,2003Y,2009K,2009Y,2111K,2111Y
列車名_列車名,,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,通勤快速_通勤快速,普通_普通,普通_普通,普通_普通,通勤快速_通勤快速,普通_普通,普通_普通,普通_普通,通勤快速_通勤快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,通勤快速_通勤快速,普通_普通,通勤快速_通勤快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,通勤快速_通勤快速,普通_普通,普通_普通,普通_普通,通勤快速_通勤快速,普通_普通,通勤快速_通勤快速,普通_普通,普通_普通,普通_普通,普通_普通,通勤快速_通勤快速,普通_普通,通勤快速_通勤快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通
運転日,,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日
前の区間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,↑,,↑,,,,↑,,↑,,,,↑,,↑,,,↑,,,,↑,,,↑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,↑,↑,,,,↑,,,↑,↑,,,,,↑,↑,,↑,,↑,,,,↑,,,,,,,,,,
始発,,八千代緑が丘_0459_八千代緑が丘_0459,___,___,___,___,___,___,___,東葉勝田台_0533_東葉勝田台_0533,___,東葉勝田台_0542_東葉勝田台_0542,___,___,___,___,東葉勝田台_0558_東葉勝田台_0558,___,東葉勝田台_0610_東葉勝田台_0610,___,___,___,東葉勝田台_0630_東葉勝田台_0630,___,___,___,東葉勝田台_0649_東葉勝田台_0649,___,___,___,東葉勝田台_0700_東葉勝田台_0700,___,___,___,津田沼_0737_津田沼_0737,___,津田沼_0744_津田沼_0744,___,東葉勝田台_0731_東葉勝田台_0731,___,津田沼_0752_津田沼_0752,___,津田沼_0759_津田沼_0759,___,___,___,津田沼_0807_津田沼_0807,___,津田沼_0814_津田沼_0814,東葉勝田台_0758_東葉勝田台_0758,___,津田沼_0826_津田沼_0826,___,東葉勝田台_0817_東葉勝田台_0817,___,津田沼_0835_津田沼_0835,東葉勝田台_0822_東葉勝田台_0822,___,津田沼_0846_津田沼_0846,東葉勝田台_0856_東葉勝田台_0856,___,東葉勝田台_0900_東葉勝田台_0900,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,東葉勝田台_1516_東葉勝田台_1516,___,___,___,___,___,___,___,___,___,___,___,東葉勝田台_1539_東葉勝田台_1539,___,東葉勝田台_1558_東葉勝田台_1558,___,___,___,東葉勝田台_1613_東葉勝田台_1613,___,___,___,東葉勝田台_1621_東葉勝田台_1621,___,___,___,東葉勝田台_1638_東葉勝田台_1638,___,___,___,東葉勝田台_1651_東葉勝田台_1651,___,___,___,___,___,___,東葉勝田台_1706_東葉勝田台_1706,___,東葉勝田台_1724_東葉勝田台_1724,___,___,___,東葉勝田台_1736_東葉勝田台_1736,___,___,___,津田沼_1752_津田沼_1752,津田沼_1803_津田沼_1803,___,東葉勝田台_1803_東葉勝田台_1803,___,津田沼_1812_津田沼_1812,___,___,津田沼_1822_津田沼_1822,津田沼_1832_津田沼_1832,___,___,東葉勝田台_1825_東葉勝田台_1825,___,津田沼_1853_津田沼_1853,津田沼_1902_津田沼_1902,___,津田沼_1920_津田沼_1920,___,津田沼_1935_津田沼_1935,___,東葉勝田台_1926_東葉勝田台_1926,___,津田沼_1949_津田沼_1949,東葉勝田台_1948_東葉勝田台_1948,___,東葉勝田台_2000_東葉勝田台_2000,___,___,___,___,___,___,___
西船橋_西船橋,発,0513,,,,,,,,0556,,0603,,0614,,0617,0620,,0632,,0638,,0653,,0654,,0711,,,,0723,,,,0749,,0756,,0754,,0803,,0810,,,,0818,,0824,0822,,0836,,0842,,0847,0845,,0857,0918,,0922,,0927,,0937,,0951,,1010,,1025,,1041,,1047,1055,,1110,,1125,,1132,1140,,1147,1155,,1210,,1225,,1240,,1255,,1310,,1325,,1340,,1347,1355,,1410,,1425,,1440,,1455,,1510,,1517,,1526,1538,,,,1540,,1546,,,,,,1601,,1621,,1617,,1637,,,,1643,,,,1700,,1703,,1713,,1716,,1731,1722,,1728,,1746,,,,1758,,1755,,1801,1813,,1826,,1822,1828,,1832,1843,1839,,1847,,1903,1912,,1930,,1945,,1948,,1959,2009,,2022,,2032,,2043,,2104,
原木中山_原木中山,発,0516,,,,,,,,0559,,0606,,0617,,0620,0623,,レ,,0643,,レ,,0657,,レ,,,,0727,,,,レ,,レ,,0800,,0806,,レ,,,,レ,,レ,0828,,0839,,レ,,レ,0850,,0900,レ,,0925,,0930,,0940,,0958,,1013,,1028,,1044,,1050,1058,,1113,,1128,,1135,1143,,1150,1158,,1213,,1228,,1243,,1258,,1313,,1328,,1343,,1350,1358,,1413,,1428,,1443,,1458,,1513,,1520,,1529,レ,,,,1543,,1549,,,,,,1604,,レ,,1620,,レ,,,,1646,,,,1703,,1706,,1716,,1723,,レ,1725,,1731,,レ,,,,レ,,1758,,1804,レ,,レ,,1825,1831,,1835,レ,1842,,1850,,1906,1915,,レ,,レ,,1950,,2002,レ,,レ,,2038,,2046,,2107,
妙典_妙典,発,0519,,,,,,,,0602,,0609,,0620,,0623,0626,,レ,,0646,,レ,,0701,,レ,,0725,,0730,,0744,,レ,,レ,,0803,,0810,,レ,,0817,,レ,,レ,0831,,0843,,レ,,レ,0854,,0903,レ,,0928,,0935,,0946,,1001,,1016,,1031,,1047,,1053,1101,,1116,,1131,,1138,1146,,1153,1201,,1216,,1231,,1246,,1301,,1316,,1331,,1346,,1353,1401,,1416,,1431,,1446,,1501,,1516,,1523,,1532,レ,,,,1546,,1552,,1603,,,,1607,,レ,,1625,,レ,,,,1649,,,,1706,,1713,,1719,,1726,,レ,1730,,1737,,レ,,,,レ,,1803,,1807,レ,,レ,,1831,1834,,1838,レ,1848,,1853,,1911,1918,,レ,,レ,,1953,,2005,レ,,レ,,2041,,2052,,2110,
行徳_行徳,発,0521,,,,,,,,0604,,0611,,0622,,0625,0628,,レ,,0648,,レ,,0704,,レ,,0727,,0732,,0746,,レ,,レ,,0805,,0812,,レ,,0819,,レ,,レ,0833,,0845,,レ,,レ,0856,,0906,レ,,0931,,0937,,0948,,1003,,1018,,1033,,1049,,1055,1103,,1118,,1133,,1140,1148,,1155,1203,,1218,,1233,,1248,,1303,,1318,,1333,,1348,,1355,1403,,1418,,1433,,1448,,1503,,1518,,1525,,1534,レ,,,,1548,,1554,,1605,,,,1609,,レ,,1628,,レ,,,,1651,,,,1708,,1715,,1721,,1728,,レ,1732,,1739,,レ,,,,レ,,1805,,1809,レ,,レ,,1833,1836,,1840,レ,1850,,1855,,1913,1920,,レ,,レ,,1956,,2007,レ,,レ,,2043,,2054,,2112,
南行徳_南行徳,発,0524,,,,,,,,0606,,0614,,0624,,0627,0630,,レ,,0651,,レ,,0706,,レ,,0729,,0735,,0748,,レ,,レ,,0807,,0814,,レ,,0821,,レ,,レ,0836,,0847,,レ,,レ,0858,,0908,レ,,0933,,0939,,0950,,1005,,1021,,1036,,1051,,1057,1105,,1121,,1136,,1142,1151,,1157,1206,,1221,,1236,,1251,,1306,,1321,,1336,,1351,,1357,1406,,1421,,1436,,1451,,1506,,1521,,1527,,1537,レ,,,,1551,,1556,,1607,,,,1612,,レ,,1630,,レ,,,,1653,,,,1710,,1717,,1723,,1731,,レ,1734,,1741,,レ,,,,レ,,1807,,1812,レ,,レ,,1835,1838,,1842,レ,1852,,1857,,1915,1922,,レ,,レ,,1958,,2009,レ,,レ,,2045,,2056,,2115,
