列車番号,,604,600,606,602,608,610,600B,604B,612,606B,608B,602B,700,710,712,706,704,702,708,710B,700B,712B,804,806,808,802,800,812,810,806B,804B,808B,802B,912,906,908,912B,1006,1012,1006B,1112,1106,1112B,1206,1212,1206B,1312,1306,1312B,1406,1412,1406B,1512,1506,1512B,1608,1606,1602,1612,1604,1608B,1606B,1700,1712,1702,1708,1706,1704,1712B,1702B,1700B,1808,1804,1806,1812,1808B,1800,1806B,1912,1900,1906,1912B,2000,2006,2012,2000B,2106,2112,2100,2112B,2200,2212,2200B,2300
列車名_列車名,,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通
運転日,,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,全日,全日
大川_大川,発,,,,,,,,,,,,,,,0718,,,,,,,0756,,,,,0823,,,,,0851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1729,,,,,1803,,,,,,1854,,,,1944,,,2029,,,,,,,,,
海芝浦_海芝浦,発,,,,,,,0638,,,,0657,,0710,,||,0724,,0733,,0745,,||,0801,,,,||,0829,,,,||,,0915,,,0956,,,,1116,,,,1236,,,,1356,,,,1516,,,,,,,,1653,,,1708,,1722,||,,1743,,,||,1809,,,1834,,||,,1920,,||,2000,,||,,2100,,,,2220,,,
新芝浦_新芝浦,発,,,,,,,0640,,,,0659,,0712,,||,0726,,0735,,0747,,||,0803,,,,||,0831,,,,||,,0917,,,0958,,,,1118,,,,1238,,,,1358,,,,1518,,,,,,,,1655,,,1710,,1724,||,,1745,,,||,1811,,,1836,,||,,1922,,||,2002,,||,,2102,,,,2222,,,
扇町_扇町,発,,0600,,0616,,,||,0637,,,||,0659,||,,||,||,0720,||,0733,||,0746,||,||,0800,,0812,||,||,0827,,0840,||,0855,||,0917,0937,||,1006,,1050,||,,,1210,||,,,,||,1410,,,||,,,,1610,,1632,,||,,,||,1704,||,||,1728,||,,1752,||,||,1811,,||,1836,||,1902,||,1930,||,||,2010,||,2040,||,,2135,,||,,2255,
昭和_昭和,発,,0601,,0617,,,||,0638,,,||,0700,||,,||,||,0722,||,0734,||,0747,||,||,0801,,0813,||,||,0828,,0841,||,0856,||,0918,0938,||,1008,,1052,||,,,1212,||,,,,||,1412,,,||,,,,1612,,1633,,||,,,||,1705,||,||,1729,||,,1753,||,||,1812,,||,1837,||,1903,||,1931,||,||,2011,||,2041,||,,2136,,||,,2256,
浜川崎_浜川崎,発,,0604,,0620,,,||,0641,,0651,||,0703,||,0714,||,||,0726,||,0738,||,0751,||,||,0805,,0816,||,||,0831,,0844,||,0903,||,0925,0941,||,1014,1034,1054,||,1134,,1214,||,1254,,1334,||,1414,,1454,||,1534,,,1614,,1636,,||,1657,,||,1713,||,||,1734,||,1749,1758,||,||,1815,1824,||,1843,||,1906,||,1934,||,||,2015,||,2044,||,2119,2139,2159,||,2239,2259,2336
武蔵白石_武蔵白石,発,,0606,,0622,,,||,0643,,0653,||,0705,||,0716,||,||,0728,||,0740,||,0753,||,||,0807,0810,0818,||,||,0833,0838,0846,||,0905,||,0927,0943,||,1017,1037,1057,||,1137,1157,1217,||,1257,1317,1337,||,1417,1437,1457,||,1537,1557,,1617,,1638,,||,1659,,||,1715,||,||,1736,||,1751,1800,||,||,1817,1826,||,1845,||,1908,||,1936,||,||,2017,||,2046,||,2121,2141,2201,||,2241,2301,2338
