列車番号,,123M,2121M,125M,3123M,127M,509F,3509F,129M,131M,133M,2125M,3689F,135M,137M,139M,583F,3583F,141M,2127M,541F,3541F,143M,145M,629F,3629F,3129M,147M,149M,775F,3775F,3131M,151M,153M,879F,3879F,3133M,155M,157M,3135M,963F,3963F,159M,161M,3137M,1021F,4021F,163M,165M,3139M,1137F,4137F,167M,169M,3141M,1285F,4285F,171M,173M,175M,1343F,4343F,3143M,177M,179M,1479F,4479F,181M,3145M,183M,185M,1657F,4657F,187M,1001M,3147M,189M,191M,1671F,4671F,193M,1831A,4831A,2149M,195M,1003M,197M,1839F,4839F,199M,2151M,2907A,5907A,1121M,1005M,1123M,1947F,4947F,1125M,2023A,5023A,2009F,5009F,1007M,1127M,1129M,2037F,5037F,1131M,2133A,5133A,1009M,1133M,2053F,5053F,1135M,1137M,2205A,5205A,1139M,1141M,121M
列車名_列車名,,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,特急 さざなみ1号_特急 さざなみ1号,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,特急 さざなみ3号_特急 さざなみ3号,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,通勤快速_通勤快速,通勤快速_通勤快速,普通_普通,特急 さざなみ5号_特急 さざなみ5号,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速,特急 さざなみ7号_特急 さざなみ7号,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,特急 さざなみ9号_特急 さざなみ9号,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通
設備,,_,_,_,_,_,グリーン車自由席___,グリーン車自由席___,_,_,_,_,グリーン車自由席___,_,_,_,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車自由席___,グリーン車自由席___,_,_,_,グリーン車自由席___,グリーン車自由席___,_,_,_,グリーン車自由席___,グリーン車自由席___,_,_,_,_,グリーン車自由席___,グリーン車自由席___,_,_,_,グリーン車自由席___,グリーン車自由席___,_,_,_,グリーン車自由席___,グリーン車自由席___,_,_,_,グリーン車自由席___,グリーン車自由席___,_,_,_,グリーン車自由席___,グリーン車自由席___,_,_,_,グリーン車自由席___,グリーン車自由席___,_,_,_,_,グリーン車自由席___,グリーン車自由席___,_,普通車一部指定席___,_,_,_,グリーン車自由席___,グリーン車自由席___,_,_,_,_,_,普通車一部指定席___,_,グリーン車自由席___,グリーン車自由席___,_,_,_,_,_,普通車一部指定席___,_,グリーン車自由席___,グリーン車自由席___,_,_,_,グリーン車自由席___,グリーン車自由席___,普通車一部指定席___,_,_,グリーン車自由席___,グリーン車自由席___,_,_,_,普通車一部指定席___,_,グリーン車自由席___,グリーン車自由席___,_,_,_,_,_,_,_
運転日,,全日,全日,平日,全日,全日,平日,平日,全日,全日,全日,全日,全日,全日,全日,全日,平日,平日,全日,全日,平日,平日,全日,全日,平日,平日,全日,全日,全日,平日,平日,全日,全日,全日,平日,平日,全日,全日,全日,全日,平日,平日,全日,全日,全日,平日,平日,全日,全日,全日,平日,平日,全日,全日,全日,平日,平日,全日,全日,全日,平日,平日,全日,全日,全日,平日,平日,全日,全日,全日,全日,平日,平日,全日,平日,全日,全日,全日,平日,平日,全日,平日,平日,全日,全日,平日,全日,平日,平日,全日,全日,平日,平日,全日,平日,全日,平日,平日,全日,平日,平日,平日,平日,平日,全日,全日,平日,平日,全日,平日,全日,平日,全日,平日,全日,全日,全日,平日,全日,全日,全日,全日
前の区間,,,,,,,,,,,,,,,,,↑,,,,↑,,,,↑,,,,,↑,,,,,↑,,,,,,↑,,,,,↑,,,,,↑,,,,,↑,,,,,↑,,,,,↑,,,,,,,,,,,,,↑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,↑,,,,,,,,
始発,,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,久里浜_0523_久里浜_0523,___,___,___,久里浜_0551_久里浜_0551,___,___,___,逗子_0658_逗子_0658,___,___,___,___,逗子_0751_逗子_0751,___,___,___,___,久里浜_0827_久里浜_0827,___,___,___,___,___,逗子_0955_逗子_0955,___,___,___,___,逗子_1054_逗子_1054,___,___,___,___,逗子_1153_逗子_1153,___,___,___,___,逗子_1253_逗子_1253,___,___,___,___,逗子_1353_逗子_1353,___,___,___,___,逗子_1442_逗子_1442,___,___,___,___,___,___,___,___,___,___,___,___,大船_1651_大船_1651,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,久里浜_2009_久里浜_2009,___,___,___,___,___,___,___,___
新宿番線_新宿番線,,,,,,,,,,,,,,,,,・,,,,・,,,,・,,,,,・,,,,,・,,,,,,・,,,,,・,,,,,・,,,,,・,,,,,・,,,,,・,,,,,,,,,,,,,・,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,・,,,,,,,,
新宿_新宿,発,,,,,,,,,,,,,,,,・,,,,・,,,,・,,,,,・,,,,,・,,,,,,・,,,,,・,,,,,・,,,,,・,,,,,・,,,,,・,,,,,,,,,,,,,・,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,・,,,,,,,,
秋葉原_秋葉原,発,,,,,,,,,,,,,,,,・,,,,・,,,,・,,,,,・,,,,,・,,,,,,・,,,,,・,,,,,・,,,,,・,,,,,・,,,,,・,,,,,,,,,,,,,・,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,・,,,,,,,,
両国_両国,発,,,,,,,,,,,,,,,,・,,,,・,,,,・,,,,,・,,,,,・,,,,,,・,,,,,・,,,,,・,,,,,・,,,,,・,,,,,・,,,,,,,,,,,,,・,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,・,,,,,,,,
東京番線_東京番線,,,,,,,(4),,,,,,,,,,(3),,,,(3),,,,(4),,,,,(4),,,,,(3),,,,,,(3),,,,,(3),,,,,(3),,,,,(3),,,,,(3),,,,,(4),,,,,,(2),,,(京1),,,,(4),,,(京4),,,,(京1),,(3),,,,(京2),,,(京1),,(3),,,(京4),,(3),,(京1),,,(4),,,(京3),,(京1),,(4),,,,(京4),,,,
