列車番号,,120M,122M,124M,3654F,654F,3608A,608A,126M,3610F,610F,128M,130M,3634Y,634Y,132M,134M,3778F,778F,3738F,738F,9102M,3606A,606A,2120M,3788F,788F,136M,138M,2122M,140M,142M,2840F,840F,144M,3842F,842F,2124M,146M,148M,150M,2984F,984F,3126M,152M,154M,3006F,1006F,2128M,156M,158M,4108F,1108F,160M,162M,164M,4286F,1286F,2130M,166M,168M,4372F,1372F,3134M,9106M,170M,172M,4420F,1420F,3136M,174M,176M,4554F,1554F,178M,3138M,9042M,9044M,180M,182M,9112M,4628F,1628F,3140M,3140M,9046M,9046M,9048M,9048M,184M,186M,188M,9134M,4722F,1722F,3142M,9114M,190M,192M,9132M,4886F,1886F,194M,196M,198M,3144M,1120M,4910F,1910F,4930Y,1930Y,1122M,3146M,1124M,5038F,2038F,1126M,2148M,1128M,1130M,3154F,2154F,5124Y,2124Y,3150M,1132M,1134M,2152M,1136M
列車名_列車名,,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,快速_快速,快速_快速,特急 外房初日の出_特急 外房初日の出,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,特急 新宿さざなみ86号_特急 新宿さざなみ86号,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,特急 新宿さざなみ2号_特急 新宿さざなみ2号,特急 新宿さざなみ2号_特急 新宿さざなみ2号,普通_普通,普通_普通,特急 さざなみ92号_特急 さざなみ92号,快速_快速,快速_快速,普通_普通,普通_普通,特急 新宿さざなみ4号_特急 新宿さざなみ4号,特急 新宿さざなみ4号_特急 新宿さざなみ4号,特急 新宿さざなみ4号_特急 新宿さざなみ4号,特急 新宿さざなみ4号_特急 新宿さざなみ4号,普通_普通,普通_普通,普通_普通,快速 Ｂ．Ｂ．ＢＡＳＥ鹿野山_快速 Ｂ．Ｂ．ＢＡＳＥ鹿野山,快速_快速,快速_快速,普通_普通,特急 さざなみ94号_特急 さざなみ94号,普通_普通,普通_普通,快速 Ｂ．Ｂ．ＢＡＳＥ内房_快速 Ｂ．Ｂ．ＢＡＳＥ内房,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通
設備,,_,_,_,グリーン車自由席___,グリーン車自由席___,_,_,_,グリーン車自由席___,グリーン車自由席___,_,_,_,_,_,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,_,_,_,グリーン車自由席___,グリーン車自由席___,_,_,_,_,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,_,_,_,グリーン車自由席___,グリーン車自由席___,_,_,_,グリーン車自由席___,グリーン車自由席___,_,_,_,グリーン車自由席___,グリーン車自由席___,_,_,_,グリーン車自由席___,グリーン車自由席___,_,_,_,グリーン車自由席___,グリーン車自由席___,_,普通車一部指定席___,_,_,グリーン車自由席___,グリーン車自由席___,_,_,_,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車指定席_普通車一部指定席____,グリーン車指定席_普通車一部指定席____,_,_,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,_,_,グリーン車指定席_普通車一部指定席____,グリーン車指定席_普通車一部指定席____,グリーン車指定席_普通車一部指定席____,グリーン車指定席_普通車一部指定席____,_,_,_,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車指定席_普通車全車指定席____,_,_,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,_,_,_,_,_,グリーン車自由席___,グリーン車自由席___,_,_,_,_,_,グリーン車自由席___,グリーン車自由席___,_,_,_,_,グリーン車自由席___,グリーン車自由席___,_,_,_,_,_,_,_
運転日,,全日,全日,全日,全日,土休日,全日,土休日,全日,全日,土休日,全日,全日,全日,土休日,全日,全日,土休日,土休日,全日,土休日,1月1日運転__◆_1月1日運転_,土休日,土休日,全日,全日,土休日,全日,全日,全日,全日,全日,土休日,土休日,全日,土休日,土休日,全日,全日,全日,全日,土休日,土休日,全日,全日,全日,土休日,土休日,全日,全日,全日,土休日,土休日,全日,全日,全日,土休日,土休日,全日,全日,全日,土休日,土休日,全日,1月2・3日運転__◆_1月2・3日運転_,全日,全日,土休日,土休日,全日,全日,全日,土休日,土休日,全日,全日,12月30・31日・1月2・3・28日運転__◆_12月30・31日・1月2・3・28日運転_,12月30・31日・1月2・3・28日運転__◆_12月30・31日・1月2・3・28日運転_,全日,全日,1月28日運転__◆_1月28日運転_,土休日,土休日,全日,1月28日はこの時刻に変更__時変_1月28日はこの時刻に変更_,12月24日までの土曜・休日・1月6日～2月25日の土曜・休日と12月30・31日・1月2・3日運転__◆_12月24日までの土曜・休日・1月6日～2月25日の土曜・休日と12月30・31日・1月2・3日運転_,1月28日はこの時刻に変更__時変_1月28日はこの時刻に変更_,12月24日までの土曜・休日・1月6日～2月25日の土曜・休日と12月30・31日・1月2・3日運転__◆_12月24日までの土曜・休日・1月6日～2月25日の土曜・休日と12月30・31日・1月2・3日運転_,1月28日はこの時刻に変更__時変_1月28日はこの時刻に変更_,全日,全日,全日,11月23日運転__◆_11月23日運転_,土休日,土休日,全日,1月28日運転__◆_1月28日運転_,全日,全日,11月25・26日運転__◆_11月25・26日運転_,土休日,土休日,全日,全日,全日,全日,全日,土休日,土休日,全日,土休日,全日,全日,全日,全日,土休日,全日,全日,全日,全日,土休日,土休日,土休日,土休日,全日,全日,全日,全日,全日
前の区間,,,,,,,,,,,,,,,,,,,,,,↑,,,,,,,,,,,,,,,,,,,,,,↑,,,,,,,,,,,,,,,,,,,,↑,,,,,,↑,,,,,,↑,,,,,,,,↑,↑,,,,,,,,,,,↑,,,,,,,,,,↑,,,,,,,↑,,,,,,,,,,,,↑,,,,
始発,,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,新宿_0230_新宿_0230,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,大原_0709_大原_0709,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,上総一ノ宮_1032_上総一ノ宮_1032,___,___,___,___,___,上総一ノ宮_1141_上総一ノ宮_1141,___,___,___,___,___,上総一ノ宮_1240_上総一ノ宮_1240,___,___,___,___,___,___,___,上総一ノ宮_1340_上総一ノ宮_1340,上総一ノ宮_1340_上総一ノ宮_1340,___,___,___,___,___,___,___,___,___,___,上総一ノ宮_1443_上総一ノ宮_1443,___,___,___,___,___,___,___,___,___,上総一ノ宮_1544_上総一ノ宮_1544,___,___,___,___,___,___,上総一ノ宮_1653_上総一ノ宮_1653,___,___,___,___,___,___,___,___,___,___,___,上総一ノ宮_1857_上総一ノ宮_1857,___,___,___,___
安房鴨川_安房鴨川,発,,,,,,,,,,,,,,,,,,,,,0528,,,,,,,,0616,,,,,,,,0718,,,,,,0804,,,,,,,,,,0940,,,,,1059,,,,,1202,,,,,,1259,,,,,,1359,,,,,,,,1455,1455,,,,,,,,,,,1556,,,,,,,,,,1708,,,,,,,1805,,,,,1903,,,,,,,2014,,,2118,
太海_太海,発,,,,,,,,,,,,,,,,,,,,,レ,,,,,,,,0621,,,,,,,,0722,,,,,,0809,,,,,,,,,,0944,,,,,1103,,,,,1207,,,,,,1304,,,,,,1404,,,,,,,,1500,1500,,,,,,,,,,,1601,,,,,,,,,,1713,,,,,,,1810,,,,,1907,,,,,,,2019,,,2122,
江見_江見,発,,,,,,,,,,,,,,,,,,,,,レ,,,,,,,,0627,,,,,,,,0728,,,,,,0815,,,,,,,,,,0950,,,,,1109,,,,,1213,,,,,,1313,,,,,,1412,,,,,,,,1506,1506,,,,,,,,,,,1607,,,,,,,,,,1723,,,,,,,1816,,,,,1917,,,,,,,2024,,,2128,
和田浦_和田浦,発,,,,,,,,,,,,,,,,,,,,,レ,,,,,,,,0632,,,,,,,,0733,,,,,,0820,,,,,,,,,,0955,,,,,1114,,,,,1218,,,,,,1318,,,,,,1417,,,,,,,,1511,1511,,,,,,,,,,,1612,,,,,,,,,,1728,,,,,,,1821,,,,,1922,,,,,,,2029,,,2133,
南三原_南三原,発,,,,,,,,,,,,,,,,,,,,,レ,,,,,,,,0637,,,,,,,,0739,,,,,,0830,,,,,,,,,,1000,,,,,1119,,,,,1223,,,,,,1323,,,,,,1423,,,,,,,,1516,1516,,,,,,,,,,,1618,,,,,,,,,,1734,,,,,,,1826,,,,,1927,,,,,,,2035,,,2139,
