列車番号,,1820E,1822E,1520E,3620E,1129M,1824E,1522E,1524E,1826E,1828E,1526E,1135M,1528E,1530E,1830E,3622E,1532E,1534E,1834E,1536E,1540E,3920E,1544E,1838E,1548E,1550E,1840E,1556E,1145M,1558E,1844E,1147M,3922E,1564E,1149M,1846E,1566E,1568E,1151M,1850E,1570E,1572E,1153M,1574E,1852E,1155M,1576E,1854E,9093M,1157M,1578E,1856E,1159M,1580E,1858E,1161M,1582E,1860E,1163M,1584E,1862E,1165M,1586E,1864E,1167M,1588E,1866E,1169M,1590E,1868E,1171M,1592E,1870E,1173M,1594E,1872E,1175M,1596E,1874E,1177M,1598E,1876E,1179M,1620E,1878E,3181M,1622E,1880E,1185M,1624E,1882E,1187M,1626E,1884E,3189M,1628E,1886E,1193M,1630E,1888E,1195M,1632E,1890E,1197M,1892E,1791H,1634E,1199M,1636E,1894E,1638E,1793H,1640E,1896E,1223M,1642E,1885H,1898E,1644E,1920E,1227M,1646E,1863H,1922E,1648E,1231M,1924E,1965H,1650E,1926E,1652E,1235M,1928E,1991H,1654E,1930E,1239M,1656E,2081H,1932E,1658E,1660E,1243M,1934E,2089H,1662E,1936E,1247M,1664E,2171H,1938E,1666E,1251M,1940E,1668E,2151H,1942E,2191H,1944E,1255M,1670E,1946E,2281H,1672E,1257M,1948E,1259M,1674E,1950E,1676E
列車名_列車名,,普通_普通,普通_普通,普通_普通,快速 ラビット_快速 ラビット,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速 ラビット_快速 ラビット,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速 アーバン_快速 アーバン,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速 アーバン_快速 アーバン,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 草津・四万93号_特急 草津・四万93号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通
設備,,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___
運転日,,全日,全日,土休日,土休日,全日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,12月2・9日・1月13・20・21日運転__◆_12月2・9日・1月13・20・21日運転_,全日,土休日,土休日,全日,土休日,土休日,全日,土休日,土休日,土休日,土休日,土休日,全日,土休日,土休日,全日,土休日,土休日,全日,土休日,土休日,全日,土休日,土休日,土休日,土休日,土休日,全日,土休日,土休日,全日,土休日,土休日,土休日,土休日,土休日,全日,土休日,土休日,全日,土休日,土休日,全日,土休日,土休日,全日,土休日,土休日,全日,土休日,土休日,全日,土休日,土休日,土休日,土休日,土休日,土休日,全日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,全日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,全日,土休日,土休日,土休日,全日,土休日,土休日,全日,全日,全日,土休日,全日,全日,土休日,全日
前の区間,,↑,↑,,↑,,,,↑,↑,,↑,,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,,↑,↑,,↑,↑,,↑,↑,↑,,↑,↑,↑,,↑,↑,,↑,↑,,,↑,↑,,↑,↑,,↑,↑,,↑,↑,,↑,↑,,↑,↑,,↑,↑,,↑,↑,,↑,↑,,↑,↑,,↑,↑,,↑,↑,,↑,↑,,↑,↑,,↑,↑,,↑,↑,,↑,↑,,↑,↑,,↑,,↑,,↑,↑,↑,,↑,↑,,↑,,↑,↑,↑,,↑,,↑,↑,,↑,,↑,↑,↑,,↑,,↑,↑,,↑,,↑,,↑,,↑,,↑,↑,,↑,,↑,↑,,↑,↑,,↑,,↑,,↑,↑,,↑,,↑,,↑,,
始発,,小田原_0430_小田原_0430,熱海_0435_熱海_0435,___,小田原_0521_小田原_0521,___,___,___,熱海_0518_熱海_0518,国府津_0556_国府津_0556,___,小田原_0558_小田原_0558,___,熱海_0539_熱海_0539,小田原_0620_小田原_0620,平塚_0645_平塚_0645,国府津_0635_国府津_0635,熱海_0604_熱海_0604,沼津_0552_沼津_0552,小田原_0643_小田原_0643,平塚_0707_平塚_0707,沼津_0606_沼津_0606,国府津_0710_国府津_0710,平塚_0726_平塚_0726,小田原_0706_小田原_0706,熱海_0649_熱海_0649,沼津_0632_沼津_0632,小田原_0730_小田原_0730,伊東_0644_伊東_0644,___,平塚_0803_平塚_0803,小田原_0747_小田原_0747,___,小田原_0755_小田原_0755,沼津_0700_沼津_0700,___,小田原_0817_小田原_0817,沼津_0735_沼津_0735,熱海_0810_熱海_0810,___,熱海_0823_熱海_0823,小田原_0852_小田原_0852,国府津_0907_国府津_0907,___,小田原_0908_小田原_0908,平塚_0936_平塚_0936,___,小田原_0918_小田原_0918,熱海_0909_熱海_0909,___,___,熱海_0926_熱海_0926,平塚_1014_平塚_1014,___,熱海_0939_熱海_0939,平塚_1038_平塚_1038,___,熱海_1001_熱海_1001,国府津_1042_国府津_1042,___,熱海_1018_熱海_1018,小田原_1054_小田原_1054,___,熱海_1037_熱海_1037,平塚_1140_平塚_1140,___,熱海_1104_熱海_1104,小田原_1137_小田原_1137,___,平塚_1209_平塚_1209,熱海_1134_熱海_1134,___,平塚_1229_平塚_1229,熱海_1152_熱海_1152,___,熱海_1206_熱海_1206,小田原_1239_小田原_1239,___,平塚_1309_平塚_1309,熱海_1231_熱海_1231,___,平塚_1325_平塚_1325,熱海_1249_熱海_1249,___,熱海_1310_熱海_1310,小田原_1335_小田原_1335,___,平塚_1408_平塚_1408,熱海_1335_熱海_1335,___,平塚_1425_平塚_1425,熱海_1348_熱海_1348,___,熱海_1409_熱海_1409,小田原_1435_小田原_1435,___,平塚_1509_平塚_1509,熱海_1433_熱海_1433,___,平塚_1529_平塚_1529,熱海_1450_熱海_1450,___,熱海_1500_熱海_1500,小田原_1538_小田原_1538,___,平塚_1609_平塚_1609,___,熱海_1526_熱海_1526,___,国府津_1612_国府津_1612,熱海_1549_熱海_1549,国府津_1630_国府津_1630,___,熱海_1606_熱海_1606,小田原_1636_小田原_1636,___,熱海_1621_熱海_1621,___,平塚_1720_平塚_1720,国府津_1710_国府津_1710,熱海_1646_熱海_1646,___,国府津_1730_国府津_1730,___,熱海_1707_熱海_1707,小田原_1734_小田原_1734,___,熱海_1730_熱海_1730,___,小田原_1755_小田原_1755,平塚_1825_平塚_1825,小田原_1809_小田原_1809,___,熱海_1751_熱海_1751,___,国府津_1828_国府津_1828,国府津_1838_国府津_1838,___,伊東_1745_伊東_1745,___,小田原_1856_小田原_1856,___,沼津_1808_沼津_1808,___,小田原_1916_小田原_1916,___,熱海_1855_熱海_1855,伊東_1844_伊東_1844,___,沼津_1903_沼津_1903,___,国府津_2003_国府津_2003,熱海_1942_熱海_1942,___,小田原_2016_小田原_2016,熱海_2003_熱海_2003,___,熱海_2018_熱海_2018,___,国府津_2057_国府津_2057,___,伊東_2005_伊東_2005,小田原_2105_小田原_2105,___,沼津_2038_沼津_2038,___,小田原_2130_小田原_2130,___,熱海_2126_熱海_2126,___,___
横浜_横浜,発,0525,0553,,0615,,,,0639,0651,,0658,,0707,0716,0722,0727,0731,0737,0742,0746,0753,0759,0805,0810,0817,0822,0829,0835,,0840,0847,,0855,0903,,0912,0921,0929,,0939,0947,0952,,1002,1012,,1022,1032,,,1042,1052,,1102,1112,,1122,1132,,1142,1152,,1202,1212,,1221,1233,,1242,1252,,1302,1312,,1322,1333,,1342,1352,,1402,1412,,1422,1432,,1442,1452,,1502,1512,,1522,1532,,1542,1552,,1602,1612,,1622,1632,,1642,,1652,,1702,1709,1716,,1721,1733,,1740,,1752,1801,1805,,1814,,1820,1831,,1842,,1848,1900,1906,,1911,,1920,1932,,1939,,1950,,2001,,2011,,2021,2032,,2042,,2051,2102,,2112,2119,,2132,,2142,,2154,2203,,2214,,2221,,2241,,
川崎_川崎,発,0534,0601,,0623,,,,0647,0700,,0708,,0716,0725,0731,0736,0740,0745,0750,0755,0802,0809,0814,0820,0826,0831,0838,0844,,0850,0856,,0903,0912,,0920,0930,0940,,0950,0955,1000,,1010,1020,,1030,1040,,,1050,1100,,1110,1120,,1131,1140,,1150,1200,,1210,1220,,1229,1241,,1250,1300,,1310,1320,,1331,1341,,1350,1400,,1410,1420,,1430,1440,,1450,1500,,1510,1520,,1530,1540,,1550,1600,,1610,1620,,1630,1640,,1650,,1700,,1710,1717,1724,,1729,1741,,1749,,1800,1809,1813,,1822,,1828,1839,,1850,,1856,1909,1914,,1920,,1928,1940,,1947,,1958,,2010,,2019,,2029,2040,,2050,,2100,2110,,2120,2127,,2140,,2150,,2202,2211,,2223,,2230,,2249,,
品川_品川,発,0544,0611,,0633,0635,,,0657,0710,,0720,0723,0728,0735,0741,0746,0751,0755,0800,0805,0812,0819,0825,0830,0836,0841,0848,0854,0856,0902,0906,0909,0912,0921,0923,0930,0940,0950,0955,0959,1005,1009,1016,1020,1030,1033,1040,1050,,1055,1100,1110,1117,1120,1130,1135,1140,1150,1155,1200,1210,1217,1220,1230,1235,1239,1250,1255,1300,1310,1317,1320,1330,1336,1340,1350,1355,1400,1410,1417,1420,1430,1435,1440,1450,1455,1500,1510,1517,1520,1530,1535,1540,1550,1555,1600,1610,1617,1620,1631,1635,1640,1650,1654,1700,1703,1709,1717,1720,1727,1733,1735,1739,1751,1753,1759,1804,1809,1818,1822,1824,1831,1833,1837,1849,1854,1859,1901,1905,1918,1924,1926,1929,1933,1937,1949,1954,1957,2002,2007,,2019,2024,2029,2032,2040,2050,2054,2100,2102,2110,2120,2126,2130,2136,2139,2150,2155,2159,2206,2211,2221,2223,2232,2234,2239,2256,2300,,
新橋_新橋,発,0549,0616,,0637,0640,,,0702,0714,,0725,0729,0733,0740,0746,0751,0756,0800,0806,0811,0817,0825,0831,0835,0841,0847,0854,0859,0902,0907,0911,0914,0917,0926,0929,0934,0944,0955,1000,1004,1010,1014,1022,1025,1035,1039,1045,1055,,1100,1104,1114,1123,1125,1135,1140,1144,1155,1200,1205,1215,1223,1225,1235,1240,1243,1255,1300,1305,1314,1323,1325,1334,1341,1345,1355,1400,1405,1414,1423,1425,1435,1440,1444,1455,1500,1505,1514,1523,1525,1535,1540,1544,1555,1600,1605,1615,1623,1625,1636,1640,1644,1655,1659,1704,1708,1714,1723,1725,1732,1738,1741,1743,1756,1759,1804,1809,1814,1823,1827,1830,1835,1839,1842,1854,1859,1904,1907,1910,1923,1928,1931,1934,1938,1942,1954,1959,2002,2007,2012,,2025,2029,2034,2037,2045,2055,2059,2105,2107,2114,2125,2132,2135,2141,2144,2155,2200,2205,2211,2216,2226,2229,2236,2239,2244,2301,2304,,
