列車番号,,1820E,1822E,1520E,3620E,1129M,1824E,1524E,1826E,1526E,1135M,1528E,1828E,3622E,1830E,1532E,1534E,1832E,1834E,1536E,1538E,1540E,3920E,1542E,1544E,1836E,1546E,1548E,1550E,1552E,1838E,1554E,1556E,1840E,1558E,1560E,1147M,3922E,1562E,1564E,1842E,1149M,1566E,1844E,1568E,1151M,1846E,1572E,1153M,1574E,1848E,1155M,1576E,1850E,1157M,1578E,1852E,1159M,1580E,1854E,1161M,1582E,1856E,1163M,1584E,1858E,1165M,1586E,1860E,1167M,1588E,1862E,1169M,1590E,1864E,1171M,1592E,1866E,1173M,1594E,1868E,1175M,1596E,1870E,1177M,1598E,1872E,1179M,1620E,1874E,3181M,1622E,1876E,1185M,1624E,1878E,1187M,1626E,1880E,3189M,1628E,1882E,1193M,1630E,1884E,1195M,1632E,1886E,1197M,1888E,1791H,1634E,1199M,1636E,1890E,1638E,1751H,1640E,1223M,1892E,1642E,1894E,1887H,1644E,1896E,1227M,1646E,1893H,1898E,1648E,1231M,1920E,1650E,1961H,1922E,1652E,1235M,1924E,1995H,1654E,1926E,1239M,1656E,1928E,2083H,1658E,1660E,1243M,1930E,2089H,1662E,1932E,1247M,1664E,2185H,1934E,1666E,1251M,1936E,1668E,2151H,1938E,2161H,1940E,1255M,1670E,1942E,2281H,1672E,1257M,1944E,1259M,1674E,1946E,1676E
列車名_列車名,,普通_普通,普通_普通,普通_普通,快速 ラビット_快速 ラビット,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速 ラビット_快速 ラビット,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速 アーバン_快速 アーバン,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速 アーバン_快速 アーバン,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通
設備,,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___
運転日,,全日,全日,平日,平日,全日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,全日,平日,平日,全日,平日,平日,全日,平日,平日,平日,平日,平日,全日,平日,平日,全日,平日,平日,全日,平日,平日,全日,平日,平日,平日,平日,平日,全日,平日,平日,全日,平日,平日,平日,平日,平日,全日,平日,平日,全日,平日,平日,全日,平日,平日,全日,平日,平日,全日,平日,平日,全日,平日,平日,平日,平日,平日,平日,全日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,平日,全日,平日,平日,平日,平日,平日,平日,平日,全日,平日,平日,平日,全日,平日,平日,全日,全日,全日,平日,全日,全日,平日,全日
前の区間,,↑,↑,,↑,,,↑,↑,↑,,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,,↑,↑,↑,↑,,↑,↑,↑,,↑,↑,,↑,↑,,↑,↑,,↑,↑,,↑,↑,,↑,↑,,↑,↑,,↑,↑,,↑,↑,,↑,↑,,↑,↑,,↑,↑,,↑,↑,,↑,↑,,↑,↑,,↑,↑,,↑,↑,,↑,↑,,↑,↑,,↑,↑,,↑,↑,,↑,,↑,,↑,↑,↑,,↑,,↑,↑,↑,,↑,↑,,↑,,↑,↑,,↑,↑,,↑,↑,,↑,,↑,↑,,↑,↑,,,↑,,↑,,↑,↑,,↑,,↑,↑,,↑,↑,,↑,,↑,,↑,↑,,↑,,↑,,↑,,
始発,,小田原_0430_小田原_0430,熱海_0435_熱海_0435,___,小田原_0521_小田原_0521,___,___,熱海_0518_熱海_0518,国府津_0556_国府津_0556,小田原_0558_小田原_0558,___,熱海_0539_熱海_0539,平塚_0632_平塚_0632,国府津_0621_国府津_0621,国府津_0628_国府津_0628,小田原_0623_小田原_0623,熱海_0604_熱海_0604,小田原_0632_小田原_0632,小田原_0636_小田原_0636,国府津_0646_国府津_0646,沼津_0552_沼津_0552,平塚_0706_平塚_0706,小田原_0650_小田原_0650,沼津_0606_沼津_0606,平塚_0723_平塚_0723,国府津_0707_国府津_0707,国府津_0717_国府津_0717,辻堂_0747_辻堂_0747,熱海_0649_熱海_0649,国府津_0724_国府津_0724,二宮_0733_二宮_0733,沼津_0632_沼津_0632,国府津_0740_国府津_0740,小田原_0732_小田原_0732,平塚_0801_平塚_0801,伊東_0644_伊東_0644,___,小田原_0750_小田原_0750,沼津_0700_沼津_0700,小田原_0805_小田原_0805,小田原_0813_小田原_0813,___,沼津_0735_沼津_0735,小田原_0829_小田原_0829,熱海_0810_熱海_0810,___,熱海_0823_熱海_0823,平塚_0917_平塚_0917,___,小田原_0900_小田原_0900,平塚_0936_平塚_0936,___,小田原_0916_小田原_0916,熱海_0909_熱海_0909,___,熱海_0926_熱海_0926,平塚_1014_平塚_1014,___,熱海_0939_熱海_0939,平塚_1038_平塚_1038,___,熱海_1001_熱海_1001,小田原_1035_小田原_1035,___,熱海_1018_熱海_1018,小田原_1054_小田原_1054,___,熱海_1037_熱海_1037,平塚_1139_平塚_1139,___,熱海_1104_熱海_1104,小田原_1137_小田原_1137,___,平塚_1209_平塚_1209,熱海_1134_熱海_1134,___,平塚_1228_平塚_1228,熱海_1152_熱海_1152,___,熱海_1206_熱海_1206,小田原_1237_小田原_1237,___,平塚_1309_平塚_1309,熱海_1231_熱海_1231,___,平塚_1325_平塚_1325,熱海_1249_熱海_1249,___,熱海_1310_熱海_1310,小田原_1335_小田原_1335,___,平塚_1408_平塚_1408,熱海_1335_熱海_1335,___,平塚_1425_平塚_1425,熱海_1348_熱海_1348,___,熱海_1409_熱海_1409,小田原_1435_小田原_1435,___,平塚_1509_平塚_1509,熱海_1433_熱海_1433,___,平塚_1529_平塚_1529,熱海_1450_熱海_1450,___,熱海_1500_熱海_1500,小田原_1538_小田原_1538,___,平塚_1609_平塚_1609,___,熱海_1526_熱海_1526,___,平塚_1625_平塚_1625,熱海_1549_熱海_1549,国府津_1630_国府津_1630,___,熱海_1606_熱海_1606,___,小田原_1636_小田原_1636,熱海_1621_熱海_1621,平塚_1714_平塚_1714,___,国府津_1709_国府津_1709,熱海_1646_熱海_1646,___,国府津_1727_国府津_1727,___,熱海_1707_熱海_1707,小田原_1734_小田原_1734,___,熱海_1730_熱海_1730,小田原_1755_小田原_1755,___,平塚_1825_平塚_1825,小田原_1809_小田原_1809,___,熱海_1751_熱海_1751,___,国府津_1828_国府津_1828,国府津_1838_国府津_1838,___,伊東_1745_伊東_1745,小田原_1856_小田原_1856,___,___,沼津_1808_沼津_1808,___,小田原_1916_小田原_1916,___,熱海_1855_熱海_1855,伊東_1844_伊東_1844,___,沼津_1903_沼津_1903,___,平塚_2017_平塚_2017,熱海_1942_熱海_1942,___,小田原_2016_小田原_2016,熱海_2003_熱海_2003,___,熱海_2018_熱海_2018,___,国府津_2057_国府津_2057,___,伊東_2005_伊東_2005,小田原_2112_小田原_2112,___,沼津_2038_沼津_2038,___,小田原_2130_小田原_2130,___,熱海_2126_熱海_2126,___,___
横浜_横浜,発,0525,0553,,0615,,,0639,0651,0659,,0706,0713,0718,0722,0726,0730,0734,0739,0742,0746,0750,0754,0758,0802,0806,0810,0813,0817,0820,0824,0827,0830,0834,0839,0845,,0851,0857,0903,0911,,0917,0923,0929,,0940,0951,,1002,1012,,1022,1032,,1042,1052,,1102,1112,,1122,1132,,1142,1152,,1202,1212,,1221,1232,,1242,1252,,1302,1312,,1322,1332,,1342,1352,,1402,1412,,1422,1432,,1442,1452,,1502,1512,,1522,1532,,1542,1552,,1602,1612,,1622,1632,,1642,,1652,,1702,1709,1716,,1721,,1733,1740,1748,,1754,1805,,1813,,1820,1831,,1842,1848,,1900,1905,,1912,,1920,1932,,1939,1950,,,2003,,2011,,2021,2032,,2042,,2051,2102,,2112,2119,,2132,,2142,,2152,2203,,2214,,2221,,2241,,
川崎_川崎,発,0534,0601,,0623,,,0647,0700,0708,,0715,0723,0727,0731,0735,0739,0743,0748,0751,0755,0759,0803,0807,0811,0815,0819,0823,0826,0830,0834,0837,0839,0844,0849,0853,,0900,0906,0911,0920,,0926,0932,0939,,0949,1000,,1010,1020,,1030,1040,,1050,1100,,1110,1120,,1130,1140,,1150,1200,,1210,1220,,1229,1240,,1250,1300,,1310,1320,,1331,1340,,1350,1400,,1410,1420,,1430,1440,,1450,1500,,1510,1520,,1530,1540,,1550,1600,,1610,1621,,1630,1640,,1650,,1700,,1710,1717,1724,,1729,,1741,1748,1756,,1803,1813,,1821,,1828,1839,,1850,1856,,1909,1913,,1920,,1928,1940,,1947,1958,,,2012,,2019,,2029,2040,,2050,,2100,2110,,2120,2127,,2140,,2150,,2201,2211,,2223,,2230,,2249,,
品川_品川,発,0544,0611,,0633,0635,,0657,0709,0719,0722,0724,0733,0737,0741,0746,0751,0755,0800,0803,0807,0811,0815,0819,0822,0827,0830,0834,0837,0840,0846,0849,0852,0856,0901,0904,0909,0912,0917,0921,0929,0933,0935,0941,0950,0952,1000,1009,1017,1020,1030,1036,1040,1050,1055,1100,1110,1117,1120,1130,1135,1140,1150,1155,1200,1210,1217,1220,1230,1235,1239,1250,1255,1300,1310,1317,1320,1330,1335,1340,1350,1355,1400,1410,1417,1420,1430,1435,1440,1450,1455,1500,1510,1517,1520,1530,1535,1540,1550,1555,1600,1610,1617,1620,1631,1635,1640,1650,1655,1700,1702,1709,1717,1720,1727,1733,1735,1739,1748,1751,1757,1805,1807,1812,1822,1824,1830,1833,1837,1849,1853,1859,1906,1909,1918,1922,1924,1930,1933,1937,1949,1954,1957,2007,2010,,2021,2024,2029,2032,2040,2050,2054,2100,2102,2110,2121,2127,2130,2136,2139,2150,2155,2159,2206,2211,2221,2223,2232,2234,2239,2256,2300,,
新橋_新橋,発,0549,0616,,0637,0640,,0702,0714,0724,0727,0730,0738,0742,0746,0751,0756,0801,0805,0809,0813,0817,0820,0825,0828,0833,0836,0840,0843,0846,0852,0855,0858,0902,0907,0910,0915,0917,0923,0926,0935,0938,0941,0947,0955,0957,1005,1014,1023,1025,1035,1041,1045,1055,1100,1105,1115,1123,1125,1135,1140,1144,1155,1200,1205,1215,1223,1225,1235,1240,1244,1255,1300,1305,1315,1323,1325,1334,1341,1345,1355,1400,1405,1414,1423,1425,1435,1440,1444,1455,1500,1505,1514,1523,1525,1535,1540,1544,1555,1600,1605,1615,1623,1625,1636,1640,1644,1655,1700,1705,1708,1714,1723,1725,1732,1738,1741,1744,1753,1757,1802,1810,1813,1817,1827,1830,1835,1839,1842,1854,1858,1904,1911,1914,1923,1927,1930,1935,1938,1942,1954,1959,2002,2012,2016,,2026,2029,2034,2037,2045,2055,2059,2105,2107,2114,2126,2133,2135,2141,2144,2156,2200,2204,2211,2216,2226,2229,2236,2239,2244,2301,2304,,
