列車番号,,1821E,1521E,1120M,1523E,1823E,1825E,1525E,1827E,1527E,1124M,1829E,1529E,1831E,1833E,1128M,752H,1531E,1835E,1533E,1837E,1134M,1535E,754H,1839E,1140M,1841E,1537E,1539E,1843E,1142M,1541E,1845E,1845E,1144M,1543E,1847E,1146M,1545E,1849E,1851E,1148M,1547E,3150M,1853E,1855E,1152M,1549E,1551E,1857E,1154M,1553E,3156M,1859E,1555E,1861E,1160M,1557E,1863E,1162M,1559E,1865E,1164M,1561E,1867E,1166M,1563E,1869E,1168M,1565E,1871E,1170M,1567E,1873E,1172M,1569E,1875E,1174M,1571E,1877E,1176M,1573E,1879E,1178M,1575E,9092M,1881E,1180M,1577E,1883E,1182M,1579E,1885E,1184M,1581E,1887E,1186M,1583E,1889E,1188M,1585E,1891E,1190M,1587E,1893E,1192M,1589E,1684H,1895E,1897E,1591E,1196M,1593E,1899E,1595E,1921E,1597E,1220M,1599E,1762H,1923E,1621E,1925E,1224M,1623E,1764H,1927E,1625E,1929E,1890H,1627E,1228M,1931E,1629E,1232M,1631E,1880H,1933E,1633E,1635E,1988H,1935E,1236M,1637E,1937E,1240M,1639E,1970H,1939E,1242M,1641E,1941E,1643E,2050H,1943E,1645E,1246M,2090H,1945E,1647E,2180H,1947E,1949E,1250M,1649E,1951E,1252M,1651E,1953E,1653E,1955E
列車名_列車名,,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特別快速_特別快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,特急 草津・四万92号_特急 草津・四万92号,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通
設備,,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,普通車全車指定席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,_,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___,グリーン車自由席___
運転日,,土休日,土休日,全日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,12月23・24日・1月6・7日はこの時刻に変更__時変_12月23・24日・1月6・7日はこの時刻に変更_,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,全日,土休日,土休日,土休日,土休日,土休日,土休日,全日,土休日,全日,全日,土休日,土休日,土休日,土休日,土休日,全日,土休日,土休日,全日,土休日,土休日,全日,土休日,全日,全日,土休日,土休日,全日,土休日,土休日,全日,土休日,12月3・10日・1月13・14・20・21日運転__◆_12月3・10日・1月13・14・20・21日運転_,土休日,全日,土休日,土休日,全日,土休日,土休日,全日,土休日,全日,全日,土休日,土休日,土休日,土休日,土休日,全日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,全日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,全日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,全日,土休日,土休日,土休日,土休日,土休日,土休日,全日,土休日,土休日,全日,土休日,土休日,土休日,土休日
前の区間,,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑,↑
始発,,籠原_0506_籠原_0506,宇都宮_0437_宇都宮_0437,勝田_0427_勝田_0427,小金井_0513_小金井_0513,籠原_0533_籠原_0533,新前橋_0500_新前橋_0500,小金井_0536_小金井_0536,高崎_0524_高崎_0524,小金井_0550_小金井_0550,勝田_0510_勝田_0510,高崎_0536_高崎_0536,宇都宮_0540_宇都宮_0540,高崎_0548_高崎_0548,高崎_0556_高崎_0556,土浦_0644_土浦_0644,成田_0632_成田_0632,小金井_0631_小金井_0631,籠原_0650_籠原_0650,宇都宮_0614_宇都宮_0614,高崎_0620_高崎_0620,土浦_0708_土浦_0708,小金井_0651_小金井_0651,成田_0701_成田_0701,深谷_0707_深谷_0707,勝田_0627_勝田_0627,前橋_0633_前橋_0633,宇都宮_0700_宇都宮_0700,小金井_0727_小金井_0727,前橋_0641_前橋_0641,土浦_0747_土浦_0747,小金井_0733_小金井_0733,高崎_0717_高崎_0717,高崎_0717_高崎_0717,高萩_0603_高萩_0603,___,前橋_0708_前橋_0708,勝田_0714_勝田_0714,宇都宮_0745_宇都宮_0745,籠原_0819_籠原_0819,高崎_0745_高崎_0745,高萩_0706_高萩_0706,宇都宮_0805_宇都宮_0805,土浦_0900_土浦_0900,籠原_0842_籠原_0842,高崎_0823_高崎_0823,水戸_0813_水戸_0813,宇都宮_0829_宇都宮_0829,小金井_0909_小金井_0909,高崎_0844_高崎_0844,土浦_0930_土浦_0930,宇都宮_0907_宇都宮_0907,土浦_1000_土浦_1000,籠原_0940_籠原_0940,宇都宮_0923_宇都宮_0923,高崎_0929_高崎_0929,水戸_0908_水戸_0908,小金井_1001_小金井_1001,高崎_0954_高崎_0954,勝田_0914_勝田_0914,宇都宮_1006_宇都宮_1006,籠原_1040_籠原_1040,土浦_1050_土浦_1050,宇都宮_1021_宇都宮_1021,高崎_1026_高崎_1026,土浦_1113_土浦_1113,宇都宮_1045_宇都宮_1045,高崎_1054_高崎_1054,土浦_1135_土浦_1135,小金井_1123_小金井_1123,籠原_1141_籠原_1141,土浦_1157_土浦_1157,宇都宮_1115_宇都宮_1115,高崎_1132_高崎_1132,土浦_1212_土浦_1212,小金井_1200_小金井_1200,高崎_1152_高崎_1152,土浦_1235_土浦_1235,古河_1247_古河_1247,籠原_1241_籠原_1241,土浦_1257_土浦_1257,宇都宮_1212_宇都宮_1212,高崎_1232_高崎_1232,土浦_1312_土浦_1312,小金井_1300_小金井_1300,長野原草津口_1205_長野原草津口_1205,高崎_1248_高崎_1248,土浦_1335_土浦_1335,古河_1347_古河_1347,籠原_1341_籠原_1341,土浦_1357_土浦_1357,宇都宮_1318_宇都宮_1318,高崎_1328_高崎_1328,土浦_1412_土浦_1412,小金井_1357_小金井_1357,高崎_1349_高崎_1349,土浦_1435_土浦_1435,古河_1446_古河_1446,籠原_1441_籠原_1441,土浦_1457_土浦_1457,宇都宮_1416_宇都宮_1416,高崎_1428_高崎_1428,土浦_1510_土浦_1510,小金井_1500_小金井_1500,高崎_1452_高崎_1452,土浦_1532_土浦_1532,古河_1549_古河_1549,成田_1514_成田_1514,籠原_1541_籠原_1541,籠原_1559_籠原_1559,宇都宮_1513_宇都宮_1513,土浦_1610_土浦_1610,小金井_1548_小金井_1548,高崎_1536_高崎_1536,小金井_1608_小金井_1608,高崎_1555_高崎_1555,古河_1647_古河_1647,土浦_1641_土浦_1641,宇都宮_1614_宇都宮_1614,取手_1718_取手_1718,籠原_1651_籠原_1651,___,籠原_1657_籠原_1657,土浦_1713_土浦_1713,小金井_1650_小金井_1650,取手_1748_取手_1748,前橋_1613_前橋_1613,小金井_1711_小金井_1711,高崎_1659_高崎_1659,取手_1811_取手_1811,宇都宮_1715_宇都宮_1715,土浦_1745_土浦_1745,籠原_1756_籠原_1756,小金井_1749_小金井_1749,土浦_1815_土浦_1815,宇都宮_1735_宇都宮_1735,取手_1849_取手_1849,高崎_1747_高崎_1747,___,宇都宮_1804_宇都宮_1804,取手_1910_取手_1910,高崎_1759_高崎_1759,勝田_1752_勝田_1752,古河_1855_古河_1855,籠原_1857_籠原_1857,勝田_1808_勝田_1808,小金井_1853_小金井_1853,取手_1948_取手_1948,高崎_1847_高崎_1847,水戸_1838_水戸_1838,宇都宮_1900_宇都宮_1900,高崎_1904_高崎_1904,宇都宮_1913_宇都宮_1913,取手_2024_取手_2024,籠原_1958_籠原_1958,小金井_1954_小金井_1954,土浦_2012_土浦_2012,取手_2051_取手_2051,高崎_1946_高崎_1946,宇都宮_1959_宇都宮_1959,取手_2104_取手_2104,高崎_2007_高崎_2007,籠原_2051_籠原_2051,土浦_2058_土浦_2058,宇都宮_2024_宇都宮_2024,籠原_2107_籠原_2107,勝田_2008_勝田_2008,宇都宮_2049_宇都宮_2049,高崎_2048_高崎_2048,宇都宮_2109_宇都宮_2109,籠原_2155_籠原_2155
大宮_大宮,発,0550,0554,・,0610,0618,0626,0633,0646,0652,・,0656,0708,0712,0720,・,・,0730,0736,0740,0745,・,0752,・,0801,・,0814,0818,0824,0827,・,0834,0840,12月23・24日・1月6・7日はこの時刻に変更__0844_12月23・24日・1月6・7日はこの時刻に変更_,・,,0851,・,0905,0907,0917,・,0927,・,0930,0942,・,0955,1006,1013,・,1023,・,1034,1042,1052,・,1102,1113,・,1123,1133,・,1143,1153,・,1203,1213,・,1224,1233,・,1243,1252,・,1302,1313,・,1323,1333,・,1343,1353,・,1403,1409,1413,・,1423,1433,・,1443,1452,・,1503,1514,・,1522,1533,・,1544,1553,・,1602,1616,・,1624,・,1633,1642,1645,・,1655,1705,1709,1717,1724,・,1731,・,1736,,1752,・,1759,・,1806,1813,1822,・,1832,・,1841,1850,・,1900,・,1907,,1919,・,1926,・,1937,1948,・,1957,・,2007,・,2019,2027,2036,・,2048,2058,・,・,2109,2117,・,2128,2136,・,2149,2156,・,2206,2216,2227,2239
さいたま新都心_さいたま新都心,発,0553,0556,・,0613,0621,0629,0636,0648,0654,・,0659,0711,0715,0723,・,・,0733,0739,0742,0748,・,0754,・,0804,・,0817,0820,0827,0830,・,0837,0843,12月23・24日・1月6・7日はこの時刻に変更__0846_12月23・24日・1月6・7日はこの時刻に変更_,・,,0854,・,0907,0911,0920,・,0930,・,0933,0945,・,0957,1009,1016,・,1026,・,1036,1045,1056,・,1105,1116,・,1126,1136,・,1146,1156,・,1206,1216,・,1227,1236,・,1246,1255,・,1305,1316,・,1326,1336,・,1346,1356,・,1406,レ,1416,・,1426,1436,・,1446,1455,・,1506,1517,・,1525,1536,・,1547,1556,・,1605,1619,・,1627,・,1636,1645,1648,・,1658,1708,1713,1720,1726,・,1734,・,1739,,1755,・,1802,・,1809,1816,1825,・,1835,・,1844,1853,・,1902,・,1910,,1922,・,1929,・,1940,1951,・,1959,・,2010,・,2022,2030,2039,・,2051,2101,・,・,2112,2120,・,2130,2139,・,2151,2159,・,2210,2219,2230,2242
浦和_浦和,発,0557,0601,・,0617,0625,0634,0641,0653,0659,・,0704,0716,0719,0727,・,・,0737,0743,0747,0753,・,0759,・,0809,・,0821,0825,0831,0835,・,0841,0847,12月23・24日・1月6・7日はこの時刻に変更__0851_12月23・24日・1月6・7日はこの時刻に変更_,・,,0859,・,0912,0915,0924,・,0934,・,0938,0949,・,1002,1013,1020,・,1030,・,1041,1049,1100,・,1110,1121,・,1130,1140,・,1150,1200,・,1210,1220,・,1231,1241,・,1250,1259,・,1310,1321,・,1330,1341,・,1350,1400,・,1410,1415,1420,・,1430,1440,・,1450,1459,・,1511,1521,・,1529,1541,・,1551,1600,・,1610,1623,・,1631,・,1640,1649,1653,・,1703,1712,1718,1725,1731,・,1738,・,1744,,1759,・,1806,・,1813,1820,1829,・,1840,・,1849,1857,・,1907,・,1914,,1926,・,1933,・,1944,1955,・,2004,・,2014,・,2026,2035,2044,・,2055,2105,・,・,2116,2124,・,2135,2143,・,2156,2203,・,2214,2224,2234,2246
赤羽_赤羽,発,0605,0609,・,0626,0633,0642,0649,0701,0708,・,0713,0724,0727,0736,・,・,0745,0751,0756,0802,・,0807,・,0817,・,0830,0833,0839,0843,・,0850,0856,12月23・24日・1月6・7日はこの時刻に変更__0859_12月23・24日・1月6・7日はこの時刻に変更_,・,,0907,・,0920,0925,0932,・,0942,・,0947,0958,・,1010,1021,1029,・,1038,・,1049,1057,1109,・,1118,1129,・,1138,1149,・,1159,1209,・,1219,1229,・,1240,1249,・,1259,1308,・,1318,1329,・,1339,1349,・,1359,1408,・,1419,1424,1429,・,1438,1449,・,1459,1508,・,1519,1529,・,1538,1549,・,1600,1608,・,1618,1632,・,1639,・,1649,1658,1701,・,1712,1721,1727,1733,1739,・,1746,・,1752,,1808,・,1815,・,1822,1829,1838,・,1848,・,1857,1906,・,1916,・,1923,,1935,・,1942,・,1952,2003,・,2012,・,2023,・,2034,2043,2053,・,2103,2113,・,・,2125,2133,・,2143,2152,・,2204,2211,・,2222,2233,2242,2255
