列車番号,,439K,417K,403K,521K,531K,533K,543K,513K,651K,641K,639K,605K,645K,617K,601K,603K,707K,721K,731K,725K,733K,749K,743K,713K,851K,841K,839K,845K,803K,823K,835K,815K,907K,3929K,931K,921K,925K,933K,949K,4013K,1051K,1019K,4041K,1039K,1045K,4011K,1003K,1023K,4135K,1115K,1129K,4121K,1107K,1131K,4147K,1125K,1133K,4251K,1213K,1249K,4239K,1241K,1219K,4203K,1211K,1245K,4315K,1335K,1323K,4307K,1321K,1329K,4325K,1347K,1331K,4413K,1451K,1433K,4441K,1439K,1449K,4411K,1403K,1419K,4535K,1515K,1545K,4521K,1507K,1523K,4547K,1525K,1529K,4651K,1613K,1631K,4639K,1641K,1633K,4603K,1611K,1649K,4715K,1735K,1719K,4707K,1721K,1745K,1725K,1713K,1723K,1851K,1841K,1743K,1829K,1701K,1803K,1811K,1833K,1915K,1831K,1921K,1907K,1919K,1945K,1949K,2043K,2023K,2029K,2001K,2013K,2011K,2115K,2121K,2107K,2119K,2145K,2149K,2243K,2223K,2117K,2229K,2201K,2213K,2311K,2315K,2321K,2345K,2449K
列車名_列車名,,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,快速_快速,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通,普通_普通
運転日,,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日,土休日
前の区間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,↑,,↑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,↑,,↑,,,,,↑,,,,,↑,,,,,↑,,,,,,,,,,↑,,,,,,,,
始発,,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,磯子_0822_磯子_0822,___,磯子_0840_磯子_0840,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,___,大船_1741_大船_1741,___,大船_1755_大船_1755,___,___,___,___,磯子_1848_磯子_1848,___,___,___,___,磯子_1934_磯子_1934,___,___,___,___,磯子_2024_磯子_2024,___,___,___,___,___,___,___,___,___,大船_2147_大船_2147,___,___,___,___,___,___,___,___
桜木町_桜木町,発,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0835,,0853,,0910,,0923,,,,1001,,,1021,,1031,1041,,1052,1101,,1112,1121,,1132,1141,,1152,1201,,1212,1221,,1232,1241,,1252,1301,,1312,1321,,1332,1341,,1352,1402,,1412,1421,,1432,1441,,1452,1501,,1511,1521,,1532,1542,,1552,1601,,1612,1621,,1632,1641,,1652,1701,,1712,1721,,1731,1740,,1751,,,1809,1816,1824,,1843,,,1901,,,,,1946,,,,,2036,,,,,,,,,,2215,,,,,,,,
横浜_横浜,発,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0838,,0856,,0913,,0926,,,,1005,,,1025,,1035,1045,,1055,1105,,1115,1125,,1135,1145,,1155,1205,,1215,1225,,1235,1245,,1255,1305,,1315,1325,,1335,1345,,1355,1405,,1415,1425,,1435,1445,,1455,1505,,1515,1525,,1535,1545,,1555,1605,,1615,1625,,1635,1645,,1656,1705,,1715,1725,,1735,1744,,1756,,,1814,1820,1827,,1846,,,1904,,,,,1949,,,,,2040,,,,,,,,,,2219,,,,,,,,
東神奈川_東神奈川,発,,,0453,,0518,,0535,0547,0600,0610,0618,,0627,0638,0646,0655,0702,0711,0721,0729,0739,,0751,0759,0804,0812,0820,0828,0835,0843,0851,0900,0909,0917,0921,0930,0940,0948,0958,1009,1012,1020,1029,1032,1040,1049,1052,1100,1109,1112,1120,1129,1132,1140,1149,1152,1200,1209,1212,1220,1229,1232,1240,1249,1252,1300,1309,1312,1320,1329,1332,1340,1349,1352,1400,1409,1412,1420,1429,1432,1440,1449,1452,1500,1509,1512,1520,1529,1532,1540,1549,1552,1600,1609,1612,1620,1629,1632,1640,1649,1652,1700,1709,1712,1720,1729,1732,1740,1747,1754,1800,1809,1813,1818,1824,1831,1840,1850,1855,1901,1907,1915,1924,1933,1944,1954,2004,2014,2026,2037,2043,2053,2106,2116,2126,2133,2146,2157,2206,2214,2222,2227,2238,2254,2309,2318,2332,2348,0003
大口_大口,発,,,0456,,0521,,0538,0550,0603,0613,0621,,0630,0641,0650,0659,0705,0714,0724,0733,0742,,0754,0802,0807,0815,0823,0831,0838,0846,0854,0903,0912,レ,0924,0933,0943,0951,1001,レ,1015,1023,レ,1035,1043,レ,1055,1103,レ,1115,1123,レ,1135,1143,レ,1155,1203,レ,1215,1223,レ,1235,1243,レ,1255,1303,レ,1315,1323,レ,1335,1343,レ,1355,1403,レ,1415,1423,レ,1435,1443,レ,1455,1503,レ,1515,1523,レ,1535,1543,レ,1555,1603,レ,1615,1623,レ,1635,1643,レ,1655,1703,レ,1715,1723,レ,1735,1743,1750,1757,1803,1812,1816,1821,1827,1834,1843,1853,1859,1904,1910,1918,1927,1936,1947,1957,2007,2017,2029,2040,2046,2056,2109,2119,2129,2136,2149,2200,2209,2217,2225,2231,2241,2257,2312,2321,2335,2351,0006
菊名_菊名,発,,,0459,,0525,,0542,0554,0606,0616,0625,,0633,0645,0653,0702,0708,0717,0727,0736,0746,,0758,0805,0810,0819,0827,0835,0841,0849,0858,0906,0915,0922,0928,0937,0946,0954,1005,1014,1019,1026,1034,1039,1046,1054,1059,1106,1114,1119,1126,1134,1139,1146,1154,1159,1206,1214,1219,1226,1234,1239,1246,1254,1259,1306,1314,1319,1326,1334,1339,1346,1354,1359,1406,1414,1419,1426,1434,1439,1446,1454,1459,1506,1514,1519,1526,1534,1539,1546,1554,1559,1606,1614,1618,1626,1634,1639,1646,1654,1659,1706,1714,1719,1726,1734,1739,1746,1754,1800,1806,1815,1819,1824,1830,1837,1847,1856,1902,1907,1914,1922,1930,1939,1950,2000,2010,2021,2032,2043,2050,2100,2112,2123,2133,2139,2152,2204,2213,2221,2229,2234,2244,2301,2315,2324,2339,2354,0010
